Sample	JSDistance_OM2_B_B	S1038_OM2_0.01_selected	S1038_OM2_0.01_JSD	S1050_OM2_0.01_selected	S1050_OM2_0.01_JSD	S1062_OM2_0.01_selected	S1062_OM2_0.01_JSD	S1070_OM2_0.01_selected	S1070_OM2_0.01_JSD	S1074_OM2_0.01_selected	S1074_OM2_0.01_JSD	S1149_OM2_0.01_selected	S1149_OM2_0.01_JSD	S1159_OM2_0.01_selected	S1159_OM2_0.01_JSD	S1163_OM2_0.01_selected	S1163_OM2_0.01_JSD	S1181_OM2_0.01_selected	S1181_OM2_0.01_JSD	S1230_OM2_0.01_selected	S1230_OM2_0.01_JSD	S1292_OM2_0.01_selected	S1292_OM2_0.01_JSD	S1316_OM2_0.01_selected	S1316_OM2_0.01_JSD	S1322_OM2_0.01_selected	S1322_OM2_0.01_JSD	S1330_OM2_0.01_selected	S1330_OM2_0.01_JSD	S1334_OM2_0.01_selected	S1334_OM2_0.01_JSD	S1377_OM2_0.01_selected	S1377_OM2_0.01_JSD	S1411_OM2_0.01_selected	S1411_OM2_0.01_JSD	S293_OM2_0.01_selected	S293_OM2_0.01_JSD	S321_OM2_0.01_selected	S321_OM2_0.01_JSD	S438_OM2_0.01_selected	S438_OM2_0.01_JSD	S498_OM2_0.01_selected	S498_OM2_0.01_JSD	S506_OM2_0.01_selected	S506_OM2_0.01_JSD	S538_OM2_0.01_selected	S538_OM2_0.01_JSD	S542_OM2_0.01_selected	S542_OM2_0.01_JSD	S574_OM2_0.01_selected	S574_OM2_0.01_JSD	S598_OM2_0.01_selected	S598_OM2_0.01_JSD	S600_OM2_0.01_selected	S600_OM2_0.01_JSD	S644_OM2_0.01_selected	S644_OM2_0.01_JSD	S771_OM2_0.01_selected	S771_OM2_0.01_JSD
OM2_B_B	0	OM2_B_B_3	0	OM2_B_B_2	0	OM2_B_B_3	0	OM2_B_B_3	0	OM2_B_B_3	0	OM2_B_B_1	0	NA	NA	OM2_B_B_2	0	OM2_B_B_2	0	OM2_B_B_3	0	OM2_B_B_3	0	OM2_B_B_2	0	OM2_B_B_1	0	NA	NA	OM2_B_B_1	0	OM2_B_B_2	0	OM2_B_B_3	0	OM2_B_B_3	0	OM2_B_B_2	0	NA	NA	OM2_B_B_3	0	OM2_B_B_2	0	OM2_B_B_2	0	OM2_B_B_2	0	OM2_B_B_3	0	OM2_B_B_2	0	NA	NA	OM2_B_B_2	0	OM2_B_B_1	0
OM2_B_C	0.263132788402351	OM2_B_C_2	0.014419960512061	OM2_B_C_1	0.00323668840862367	NA	NA	NA	NA	OM2_B_C_3	0.0374735963223785	NA	NA	NA	NA	OM2_B_C_1	0.00510512975528216	OM2_B_C_1	0.0103187222035746	OM2_B_C_1	0.00673548066661512	OM2_B_C_3	0.00635590618440714	OM2_B_C_3	0.0202186617595535	OM2_B_C_2	0.000902390900756376	NA	NA	OM2_B_C_2	0.00938138997875294	OM2_B_C_1	0.0183011944724988	OM2_B_C_2	0.0175545331004401	OM2_B_C_2	0.0352241563893357	OM2_B_C_1	0.0372385581839791	NA	NA	OM2_B_C_1	0.0069409796174696	OM2_B_C_1	0.00545278602566144	OM2_B_C_3	0.00110762726022358	OM2_B_C_1	0.0108245761926299	OM2_B_C_3	0.0033540923910321	OM2_B_C_1	0.012986358077076	NA	NA	NA	NA	NA	NA
OM2_C_4A	0.466059392488394	OM2_C_4A_3	0.00739179467229268	OM2_C_4A_2	0.00767394356226173	NA	NA	OM2_C_4A_3	0.101253159120516	OM2_C_4A_2	0.016435986900571	OM2_C_4A_2	0.00274216601879763	NA	NA	OM2_C_4A_3	0.0021277952179903	OM2_C_4A_2	0.017987161589496	OM2_C_4A_2	0.00429314499244738	OM2_C_4A_3	0.0254768542850236	OM2_C_4A_2	0.00979935176475562	OM2_C_4A_2	0.0115523200425457	NA	NA	NA	NA	OM2_C_4A_1	0.00426302849144434	OM2_C_4A_2	0.0231643235001122	OM2_C_4A_1	0.00838252642490891	OM2_C_4A_2	0.0618424499050979	NA	NA	OM2_C_4A_3	0.028813260758542	OM2_C_4A_2	0.0217671088993716	OM2_C_4A_2	0.00789339570399733	OM2_C_4A_1	0.0410032256027301	OM2_C_4A_3	0.0413808968367022	OM2_C_4A_3	0.00719778343822941	NA	NA	OM2_C_4A_3	0.0136177147605611	NA	NA
OM2_C_4B	0.571258831243352	NA	NA	OM2_C_4B_3	0.0190301980739541	NA	NA	OM2_C_4B_1	0.0498638777456101	OM2_C_4B_3	0.0806182157214992	OM2_C_4B_2	0.00548126397435529	NA	NA	OM2_C_4B_1	0.0102609209570763	OM2_C_4B_2	0.00707566038981439	OM2_C_4B_1	0.00423377951548001	OM2_C_4B_2	0.00668372482191468	OM2_C_4B_1	0.00415692132152363	OM2_C_4B_3	0.0030779179845992	NA	NA	OM2_C_4B_2	0.0162430888848235	OM2_C_4B_1	0.0294189436061592	OM2_C_4B_2	0.022177257439064	OM2_C_4B_2	0.0245261750743897	OM2_C_4B_2	0.065218197020988	NA	NA	OM2_C_4B_3	0.0914862442614577	OM2_C_4B_3	0.00264439136827573	OM2_C_4B_2	0.00372440209532593	OM2_C_4B_1	0.0423039868895424	OM2_C_4B_2	0.01074511634845	OM2_C_4B_2	0.0190334701025679	NA	NA	OM2_C_4B_1	0.0532550776464807	NA	NA
OM2_C_4C	0.667347206287274	OM2_C_4C_1	0.0224580801823045	OM2_C_4C_3	0.0112765544834338	OM2_C_4C_2	0.00709739987085968	OM2_C_4C_1	0.0735279592408945	OM2_C_4C_2	0.0485855839807275	OM2_C_4C_1	0.00447475364697102	NA	NA	OM2_C_4C_3	0.0154879745050893	OM2_C_4C_2	0.0146624125829025	OM2_C_4C_2	0.00410829382156627	OM2_C_4C_2	0.0103578764355498	OM2_C_4C_2	0.0057811999652402	OM2_C_4C_2	0.00835314342728439	NA	NA	OM2_C_4C_1	0.00528172184356495	OM2_C_4C_1	0.0406580079539725	OM2_C_4C_3	0.0122328526386237	OM2_C_4C_1	0.036580095109738	OM2_C_4C_2	0.0838012992019653	NA	NA	OM2_C_4C_3	0.0681005266698317	OM2_C_4C_3	0.0311859060522996	OM2_C_4C_2	0.0194597636018525	OM2_C_4C_3	0.0826708929964589	OM2_C_4C_1	0.0147323052634484	OM2_C_4C_2	0.0105717201877886	NA	NA	OM2_C_4C_2	0.0130027030172542	OM2_C_4C_2	0.0228981796076523
OM2_C_4E	0.67296853610414	OM2_C_4E_2	0.0629216679540233	OM2_C_4E_2	0.0128496336591799	OM2_C_4E_2	0.00801385578478648	OM2_C_4E_1	0.0113296014801109	OM2_C_4E_3	0.0753201779110279	OM2_C_4E_2	0.00345951340643589	NA	NA	OM2_C_4E_3	0.012078293180851	OM2_C_4E_2	0.0115988189300799	OM2_C_4E_2	0.00884876747027302	OM2_C_4E_1	0.00879032352000416	OM2_C_4E_3	0.0072806983746926	OM2_C_4E_2	0.0307342144073237	NA	NA	OM2_C_4E_3	0.0614503248964229	OM2_C_4E_3	0.0120146501985526	OM2_C_4E_2	0.0322539325393194	OM2_C_4E_1	0.0156916244617356	OM2_C_4E_2	0.0459128283065897	NA	NA	OM2_C_4E_3	0.0699398053492445	OM2_C_4E_2	0.0071917466169388	OM2_C_4E_3	0.0235099260623963	OM2_C_4E_2	0.0658680991889461	OM2_C_4E_3	0.00413669928425775	OM2_C_4E_3	0.0350453763230595	NA	NA	OM2_C_4E_2	0.0140384545383099	OM2_C_4E_2	0.0326895022595784
OM2_C_4F	0.644553333356954	OM2_C_4F_2	0.017469305609517	OM2_C_4F_1	0.00516821604347102	OM2_C_4F_2	0.0109029525984357	OM2_C_4F_1	0.0237302881609681	OM2_C_4F_2	0.0495518972642235	OM2_C_4F_2	0.00132250472228522	NA	NA	OM2_C_4F_1	0.0220326349347706	OM2_C_4F_2	0.0156741037542822	OM2_C_4F_1	0.00958262780614812	OM2_C_4F_1	0.0314702452059921	OM2_C_4F_2	0.00599195808471746	OM2_C_4F_2	0.00881798907592941	NA	NA	OM2_C_4F_1	0.00540243052178448	OM2_C_4F_1	0.0188497069283198	OM2_C_4F_3	0.0146346570823345	OM2_C_4F_2	0.116737211597513	OM2_C_4F_1	0.0938263808222219	NA	NA	OM2_C_4F_3	0.0495533011246082	OM2_C_4F_2	0.0368439573508248	OM2_C_4F_2	0.00405486302479341	OM2_C_4F_1	0.0605092506401223	OM2_C_4F_1	0.00648243278740444	OM2_C_4F_1	0.0066216823359204	NA	NA	OM2_C_4F_1	0.0238757809005431	OM2_C_4F_1	0.00544695497982293
OM2_C_4G	0.403631077937274	OM2_C_4G_2	0.0307736110420476	OM2_C_4G_1	0.0317504329859164	OM2_C_4G_1	0.00790800754997251	OM2_C_4G_1	0.054786950839235	OM2_C_4G_1	0.042537412774962	OM2_C_4G_2	0.0103565487061619	NA	NA	OM2_C_4G_1	0.00937324884855013	OM2_C_4G_1	0.00465405923111874	OM2_C_4G_1	0.00220129864417103	OM2_C_4G_2	0.00949910851605147	OM2_C_4G_1	0.00368365025721429	OM2_C_4G_2	0.00810812809072385	NA	NA	OM2_C_4G_3	0.00144604388421054	OM2_C_4G_2	0.00429842064672798	OM2_C_4G_3	0.0104993390675084	OM2_C_4G_3	0.0246462161624575	OM2_C_4G_2	0.0262727423635839	NA	NA	OM2_C_4G_1	0.00617774201195169	OM2_C_4G_2	0.00237135357411085	OM2_C_4G_1	0.00799036346502851	OM2_C_4G_2	0.0185792361829494	OM2_C_4G_2	0.0099230057480023	OM2_C_4G_2	0.0385300260094254	NA	NA	OM2_C_4G_2	0.0139033265901505	OM2_C_4G_2	0.0233608047450417
OM2_C_4H	0.692809278864226	OM2_C_4H_2	0.0173684904473804	OM2_C_4H_3	0.00417643512229644	OM2_C_4H_2	0.00784199609439206	OM2_C_4H_1	0.0379202884536399	OM2_C_4H_3	0.111785191352367	OM2_C_4H_1	0.0020050881631929	NA	NA	OM2_C_4H_1	0.0641932249562504	OM2_C_4H_1	0.00403377767139519	OM2_C_4H_1	0.0129643996103242	OM2_C_4H_1	0.0233868329322892	OM2_C_4H_1	0.0194051359298503	OM2_C_4H_2	0.0261475013687674	NA	NA	OM2_C_4H_1	0.0535185065143395	OM2_C_4H_1	0.0199699497733157	OM2_C_4H_1	0.0272969825472125	OM2_C_4H_1	0.009833039656249	OM2_C_4H_1	0.079752277616858	NA	NA	OM2_C_4H_3	0.0261124890027031	OM2_C_4H_1	0.0120155297246919	OM2_C_4H_3	0.00602869308553797	OM2_C_4H_1	0.0452090258090964	OM2_C_4H_2	0.0164308118739974	OM2_C_4H_2	0.0214057459815231	NA	NA	OM2_C_4H_1	0.0440078651765564	NA	NA
OM2_C_5A	0.416940825554685	OM2_C_5A_2	0.0129797100546147	OM2_C_5A_2	0.00419057130070984	OM2_C_5A_1	0.00572134335030611	OM2_C_5A_3	0.0177260162572544	OM2_C_5A_3	0.0160208000699643	OM2_C_5A_1	0.00162591606597464	NA	NA	OM2_C_5A_2	0.008269891445338	OM2_C_5A_1	0.00651125320966969	OM2_C_5A_1	0.0633172957436381	OM2_C_5A_2	0.0149207172951378	OM2_C_5A_1	0.00402067735377253	NA	NA	NA	NA	OM2_C_5A_3	0.0186899019074445	OM2_C_5A_2	0.00126682094031161	OM2_C_5A_2	0.0240552678428137	OM2_C_5A_3	0.0141265322463303	OM2_C_5A_2	0.0837169219531071	NA	NA	OM2_C_5A_3	0.0687628819108424	OM2_C_5A_2	0.00638941477921241	OM2_C_5A_2	0.00197074131501618	OM2_C_5A_2	0.0230851727546576	OM2_C_5A_2	0.00475740740820679	OM2_C_5A_1	0.00318151563307574	NA	NA	OM2_C_5A_2	0.00833901750844302	OM2_C_5A_2	0.00329503720884357
