	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5F_1	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_3	0	0.010572455594756	0.014419960512061	0.0114408048911646	0.00739179467229268	0.0224580801823045	0.0121591919858503	0.0629216679540233	0.0349895975311662	0.00927674976317374	0.017469305609517	0.0307736110420476	0.0202544250792368	0.0121130134541611	0.0173684904473804	0.00726776365509044	0.00262800959561545	0.0129797100546147	0.0453348924450499	0.00569959166517495	0.00769327594902976	0.00440242914771319	0.019654798033774	0.015175362345766	0.00770325128326497	0.0129872192815658	0.00144487347855656	0.00449874980050799	0.0113373764038391	0.00403422673321615	0.0197843845377928	0.0272429562634439	0.0357696580353864	0.0370141794590629	0.0459155733509973	0.0341179099208386	0.0513218364033828	0.0454977161052919
OM2_B_C_1	0.010572455594756	0	0.0173263483474375	0.0191361072894435	0.0105744811379816	0.0137284453940687	0.0183457138205885	0.0559329882035118	0.0296546262738196	0.00991643393157754	0.0131703949652538	0.0264075930273717	0.0173732733673972	0.00868658193586919	0.011926813165138	0.0108894638380123	0.0127102458794455	0.0101278413257676	0.0390404330762072	0.00998428953904121	0.00341140715096933	0.00829781772894306	0.0115463735200054	0.010811664985547	0.015195062326362	0.0178660979053612	0.0115763263734794	0.00612288241494852	0.00960531046742135	0.011283990346153	0.0261159765301259	0.0309850552629993	0.0423954805113589	0.0347226752378706	0.0413550094084785	0.0332968755559408	0.0458409003654448	0.0391603363652617
OM2_B_C_2	0.014419960512061	0.0173263483474375	0	0.0251516839420165	0.00764689417933804	0.0198529801288054	0.00534662784338501	0.0530043268337561	0.0245010992147515	0.00743121683055926	0.0106674888175239	0.0196735215015656	0.00994896323575705	0.00973878098393095	0.012201154850525	0.00756120464629356	0.0130559391596341	0.00872868715884553	0.0352143730652941	0.0197209763632591	0.0172598418825487	0.0177767229702883	0.01706979156035	0.010364664650095	0.021878705234438	0.0273845082221031	0.0155896116092963	0.0143330096459262	0.00818057281630846	0.0184454940100151	0.0336064824878228	0.0415868986948107	0.0488871973475557	0.0236080223106308	0.033877725698603	0.02005756065219	0.0399778865711225	0.0354224082052749
OM2_C_4A_2	0.0114408048911646	0.0191361072894435	0.0251516839420165	0	0.0187598534487195	0.032609289159475	0.0215494365361424	0.0740314735258404	0.0463501691774399	0.0207165682026258	0.028791042680867	0.0421962795984137	0.0316920144570172	0.0233536867362708	0.0285078696828037	0.0185885047595286	0.0121241494920582	0.0243330916154608	0.0565811647709043	0.00915660409237957	0.0157346501116455	0.0109710131096793	0.03006491340737	0.0264237166197525	0.00402840726810621	0.00502024854852031	0.0100239003882988	0.0146039687510461	0.0227290956402613	0.00825888857176622	0.00846334279992651	0.0169608720425181	0.0243415922026374	0.0483121759774048	0.0573420095013061	0.0451613635588154	0.0626995789009323	0.0567357416049534
OM2_C_4A_3	0.00739179467229268	0.0105744811379816	0.00764689417933804	0.0187598534487195	0	0.0178719149325687	0.00778270715424507	0.056303142361109	0.0280398728276397	0.00237731838791596	0.0108806645783705	0.0236435816994108	0.0130566642639088	0.00626863145305906	0.0113069051622411	0.000405816064832976	0.0069894162900235	0.00653335362295432	0.0385690955977845	0.0122306348251192	0.00981946777734909	0.0102035781005421	0.0148803259278176	0.00895439148195841	0.0150940144044662	0.0202693839692516	0.0087573749763429	0.00669446940796731	0.00484750433900439	0.0112524018549225	0.0271550287702263	0.034546855039963	0.0430208625002032	0.0296258260278099	0.0386980193948012	0.0268001597318892	0.0442705666338183	0.038745651549847
OM2_C_4C_1	0.0224580801823045	0.0137284453940687	0.0198529801288054	0.032609289159475	0.0178719149325687	0	0.0239371447274477	0.0423606933115902	0.0178223075671208	0.0156226032050844	0.00934425212361025	0.0161373617107666	0.0124212915812126	0.0116430610241482	0.00765580652700151	0.0182713093404211	0.0236778266672503	0.0118263779922886	0.0259498544025098	0.0235563411432265	0.017001830190757	0.0216422938738407	0.00299565818979551	0.00963672562728693	0.0285975758121789	0.0315902599437564	0.0237945588534059	0.0182744975906344	0.0132534712272562	0.024453307011343	0.0398316043706214	0.0444017509909105	0.0561081936959148	0.0258868303899009	0.0295748927622751	0.026474739071066	0.0331625002718599	0.0260399162598208
OM2_C_4C_2	0.0121591919858503	0.0183457138205885	0.00534662784338501	0.0215494365361424	0.00778270715424507	0.0239371447274477	0	0.058336058528507	0.0298450644993807	0.00909135157541951	0.0152325011851323	0.0250119692457818	0.015191636256209	0.0126880144620134	0.0164652927216336	0.00745727384055536	0.0100596835094257	0.0121628856106668	0.0405551805259499	0.0178474147962132	0.0172596528187993	0.0162654033629309	0.0210044976377865	0.0143104479281448	0.0187840739098314	0.0245237338652714	0.0129690751675094	0.0137455014382988	0.0109746654872345	0.0160612140766959	0.0298738373477506	0.0383973167413671	0.0445711019971281	0.0284521024912731	0.0390560463553261	0.0244827592886145	0.0452353568490957	0.04076370271317
OM2_C_4E_2	0.0629216679540233	0.0559329882035118	0.0530043268337561	0.0740314735258404	0.056303142361109	0.0423606933115902	0.058336058528507	0	0.0285493323690651	0.0540133715203551	0.0455323955614487	0.0333478012183379	0.0435984134020053	0.050827095800296	0.0455977123489133	0.0566009563787786	0.0632338484936398	0.0500187797546195	0.0178348006227892	0.0653658304584514	0.0590281819831153	0.0632902843774694	0.0444098590374572	0.047768570316893	0.0700324720019979	0.0736804760795313	0.0643605361691375	0.0594678857431755	0.0517051270359558	0.0657994369722381	0.0817630379701538	0.086690059769902	0.0980365776978382	0.0330477073396837	0.0211946134189024	0.0384003388925977	0.0144781663858229	0.0176388354545648
OM2_C_4E_3	0.0349895975311662	0.0296546262738196	0.0245010992147515	0.0463501691774399	0.0280398728276397	0.0178223075671208	0.0298450644993807	0.0285493323690651	0	0.0258284687298338	0.0175765133478024	0.00490667723218115	0.0151127492614879	0.0230384707047023	0.0180900149356211	0.0283106599064943	0.0350242982134623	0.0220298679742904	0.0107233360611946	0.0381715335917329	0.0323028371306097	0.0360053699732213	0.0186260831457182	0.0199874186102339	0.0424244244286619	0.0466819953585479	0.0364315538267478	0.0319960473881888	0.0236564542894015	0.0382232333886765	0.054442948373095	0.0604552501212403	0.0706355448620526	0.0111102382143245	0.0118227656753356	0.0148231113304231	0.0163919372881877	0.0109281672810648
OM2_C_4F_1	0.00927674976317374	0.00991643393157754	0.00743121683055926	0.0207165682026258	0.00237731838791596	0.0156226032050844	0.00909135157541951	0.0540133715203551	0.0258284687298338	0	0.00853372033051957	0.0215211040065958	0.0109791139167653	0.00398005379560197	0.00893098954617679	0.00274267274823851	0.00923625974329532	0.00415611926153108	0.0363049234619829	0.0135414151356644	0.00995776738327474	0.0114020956148943	0.0126272476843663	0.00657763480147856	0.0169282345591677	0.0218522461428988	0.0106994699031488	0.00749483963616426	0.00247450317272676	0.0129039113407653	0.0290333704431392	0.0361027020513801	0.0450352446162397	0.0279220092319415	0.0366482011907377	0.0254004173736982	0.0421153149589512	0.0364779176595312
OM2_C_4F_2	0.017469305609517	0.0131703949652538	0.0106674888175239	0.028791042680867	0.0108806645783705	0.00934425212361025	0.0152325011851323	0.0455323955614487	0.0175765133478024	0.00853372033051957	0	0.0136478638586963	0.00437734567783314	0.00547080839010078	0.00193538655644579	0.0112116881332137	0.017743791694458	0.00449621355318186	0.0278792894985007	0.0206934195392667	0.0152190652352951	0.0185102005301135	0.00683620792323334	0.00248154387080802	0.0248561749161023	0.0292186981077028	0.0189139566599447	0.0144648906317907	0.00617954195876841	0.0206551307106156	0.036891067008972	0.0431959417723053	0.0530884960300923	0.0215563669633697	0.0288439341162786	0.0203792205327259	0.0339581846858974	0.0280444438027115
OM2_C_4G_2	0.0307736110420476	0.0264075930273717	0.0196735215015656	0.0421962795984137	0.0236435816994108	0.0161373617107666	0.0250119692457818	0.0333478012183379	0.00490667723218115	0.0215211040065958	0.0136478638586963	0	0.010592949930629	0.019085798825213	0.0145212431096846	0.0238883954109876	0.03062124439414	0.0179450158235529	0.01556351184189	0.0343266950448497	0.0287761360675289	0.0321405341453052	0.0161728362736352	0.0161247917845808	0.0383333913872446	0.0428463050570012	0.0322059931348203	0.028083614305744	0.0194918626671359	0.0341829712319168	0.0504149975331306	0.0568257730229148	0.0665074794730895	0.00990480455995347	0.0152112381530264	0.0119284890090663	0.0206482142867113	0.0157771772760473
