	OM2_B_B_1	OM2_B_B_2	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0246906076591682	0.0236800535203702	0.022979002454189	0.0142781278497226	0.0223584751124612	0.02547093926271	0.0241545831839549	0.00452231449394946	0.0253969434725073	0.00845951823395585	0.0159256567146133	0.0193830974582544	0.0135151647960752	0.0200584490588426	0.0122419327529725	0.0130247842348198	0.0258822637844206	0.0204080530896467	0.0110032726733328	0.0564209992779752	0.0543787689027101	0.0373908776948805	0.0196716386253461	0.03335640639211	0.0223779790083418	0.0331717172245691	0.0287745454720505	0.023512384614945	0.0301050529104583	0.0232275863039756	0.00973642235030377	0.0186376644579043	0.0300904504371688	0.00567293094834973	0.0718980693060021	0.0805680143790507	0.082453358674672	0.0477512445953735	0.0460374041338404	0.0444895945458799	0.023650472266219	0.0222987586751958	0.0172994225001274	0.0311352989210517	0.0278650767100656	0.0176504590950595	0.0263978666833387	0.0195732616044772	0.0104234343407577	0.0163383700116857	0.0102987798817218	0.057091094443571	0.00409602991163539	0.0114316719681769	0.0127491475097384	0.00437489273759185	0.0127037643340438	0.00954443548251401
OM2_B_B_2	0.0246906076591682	0	0.00323668840862367	0.00227281323565891	0.0104197221227689	0.00773369159048356	0.00767394356226173	0.00417637137442471	0.0202113203988592	0.00077678891531942	0.0190301980739541	0.0110967743622748	0.0108668962202552	0.0112765544834338	0.00484516417386589	0.0128496336591799	0.0118844146607666	0.00516821604347102	0.00594264761996888	0.0137055842588405	0.0317504329859164	0.0297570583853258	0.0138545587161333	0.00764749449010117	0.00877924774602791	0.00417643512229644	0.00872910347457811	0.00419057130070984	0.00120799000388992	0.00542105677523546	0.0014986819002024	0.0184903612223423	0.0060583981668617	0.0091291085578096	0.019199579197398	0.0475338196568766	0.0559568800144591	0.0578172540969215	0.0232488836084155	0.0214295623291123	0.0201881009542588	0.00623728653055528	0.00295123797886316	0.0102295267232074	0.00740400237359037	0.00421778635963088	0.00772985345634041	0.00747734911060284	0.0109650668898813	0.0150177825381597	0.0124563810258917	0.0146069227151036	0.0385353393001987	0.022032021992962	0.0132899364268058	0.0125219047519491	0.0265717788617118	0.0361956801013227	0.0221096321384102
OM2_B_C_1	0.0236800535203702	0.00323668840862367	0	0.00165933421153575	0.00961484383233854	0.00451457286620784	0.00472716232432924	0.00112293363057358	0.0191587606667041	0.00383939652317508	0.0172041802764305	0.0119430894283493	0.00788236578466247	0.0101988716395306	0.00551259059837117	0.0114790881180462	0.0115438862676543	0.00283365981255462	0.0035005006978129	0.0129648333509281	0.0330881222689902	0.0308500501290019	0.0138131628564852	0.00927113154108406	0.0108621105804168	0.001387783333882	0.0110072393976198	0.0066237126478083	0.00274649921051924	0.00716753057477877	0.00332910330251138	0.01649937625555	0.00560760614860604	0.00746900424024993	0.0180420624958401	0.0482560562550567	0.057063507707212	0.0591282622473026	0.0250976571067212	0.0231359717031663	0.0208221331914744	0.00302583876966404	0.00481159800311852	0.00773723164790409	0.00745868749005544	0.00422213732161928	0.00605352782124895	0.00480994894517884	0.0079505244223892	0.0135108740492539	0.0098708228492024	0.0133904474921308	0.0370059187739303	0.0214717721009452	0.0123115045371899	0.0110322694772158	0.0260376988081854	0.0345840038310912	0.0199759073067107
OM2_B_C_2	0.022979002454189	0.00227281323565891	0.00165933421153575	0	0.00873965148109094	0.00573864981558889	0.006368664367946	0.00278131612635039	0.0184678991135454	0.00303127413479478	0.0169562057440897	0.010474752519146	0.00863468336092484	0.00947114988484937	0.00398697663258578	0.0109261419213792	0.0104766661413945	0.00441554646362003	0.00366999239296211	0.0120898659029382	0.0335375715139966	0.0314224193602935	0.0148351385145115	0.00763913980946096	0.0108266245324522	0.00202503963292182	0.0108505960610808	0.00631879792214882	0.00131606137319432	0.00727054147882298	0.00177902601686965	0.0163602648715729	0.0044748784386971	0.00896833664330952	0.0174027442812552	0.0490196675075497	0.0576456279650491	0.059605492852929	0.0252507598640091	0.0233691337824211	0.0215919699875697	0.00452896908552524	0.00315999364845531	0.00796622878292028	0.0083629714544579	0.00500780140892598	0.00562992679220568	0.00646766712324404	0.00874313923906285	0.0130505121234952	0.010188578311286	0.0127627088618763	0.0385418725619511	0.020550220698946	0.0115499396664329	0.0105466977330715	0.02511464102221	0.0342273728961797	0.0199435201790685
OM2_B_C_3	0.0142781278497226	0.0104197221227689	0.00961484383233854	0.00873965148109094	0	0.00965729443832984	0.012456709071876	0.0102710173411892	0.0097926036567944	0.0111363376911255	0.00938692110541707	0.00568712756034967	0.00859625887595207	0.00116796645924818	0.00594458848876006	0.00298162192146653	0.00233133652466329	0.0121158081655515	0.00674985955666948	0.00335756643675392	0.0421613859307971	0.0401231567902048	0.0234259788221893	0.00714695999143962	0.0191374187994954	0.00842696150005763	0.0189985417059517	0.0145391020689841	0.00923659931653856	0.0158313310374153	0.00896933360450532	0.00925850634614233	0.00436184935726257	0.0166558698833828	0.00879919086275668	0.0577468430445028	0.0663288726073009	0.0682176015154632	0.033587635456781	0.0318195300710276	0.0303239428139746	0.0103322731268917	0.0081872039430125	0.00592429170700698	0.017028767369413	0.0137016188747641	0.00399306114201616	0.0131850755449204	0.00884007903246571	0.00510219915572606	0.00706391018757451	0.0043167692016127	0.0454933764239707	0.0118588990724905	0.00288030104930748	0.0030318031647973	0.0164263808485034	0.0259555330747433	0.0129624315720799
OM2_C_4A_1	0.0223584751124612	0.00773369159048356	0.00451457286620784	0.00573864981558889	0.00965729443832984	0	0.0031216201984514	0.00382271473231954	0.0179407191708058	0.0083539016829761	0.0148698710056999	0.0138174544997193	0.00390836620177957	0.00972642425884126	0.0082999483014351	0.0103508292672705	0.0119552589088991	0.00449267413325381	0.00341610806743935	0.0126420908111534	0.0358560979631914	0.0333620909647847	0.0155220482060519	0.0122454358879142	0.0147807356664325	0.00373253297447482	0.0150542248039953	0.0109208896816801	0.00704138743721531	0.0110858552134254	0.00750588588500465	0.0139267023874295	0.00722654011120001	0.00781938220941005	0.0167191666708716	0.0501620099243594	0.0594041138899509	0.0617105856356896	0.028504832512971	0.0264266239139742	0.0229985680770126	0.00188925218312055	0.00862674766350505	0.00509136895845576	0.0100256096209596	0.00758409338196296	0.00570428528534841	0.0041015577383771	0.00388660422206566	0.0119412309902203	0.00666020655564846	0.0122994155067683	0.0358522578570857	0.020880104393345	0.0117027276803302	0.00976556932683084	0.0253415028986524	0.0321810214608125	0.0170419159225879
OM2_C_4A_2	0.02547093926271	0.00767394356226173	0.00472716232432924	0.006368664367946	0.012456709071876	0.0031216201984514	0	0.00361431577536093	0.021040720927162	0.00806678138057759	0.0179664372463079	0.0160243009859708	0.00675117214478903	0.0126553842209409	0.00990978757648033	0.0134066308432054	0.014691334178057	0.00276008351638978	0.00577536496324143	0.015578142961163	0.033047800874996	0.0304715026056676	0.0125192496041366	0.0138228375509975	0.0129440450568326	0.00486713614194596	0.013350499094723	0.00975405370855578	0.00744587740245721	0.00942055002551514	0.00804803551397258	0.0169976362633682	0.00936798625299148	0.00472045215588219	0.0198246150371715	0.0471085215655217	0.0564330013693211	0.0588048470611005	0.0260472502419705	0.0239115931614639	0.0200508509615312	0.00220161890972494	0.00952852710492885	0.00821254641945077	0.00749082328034858	0.00582694390882978	0.0084647547742825	0.00105598833405904	0.00666625993648555	0.0150509161476248	0.00968937438436982	0.0153655841564913	0.033112950516087	0.0239131179570977	0.0146871232535203	0.0128339587002357	0.0283995491311312	0.0352301158168418	0.0200192364321876
OM2_C_4A_3	0.0241545831839549	0.00417637137442471	0.00112293363057358	0.00278131612635039	0.0102710173411892	0.00382271473231954	0.00361431577536093	0	0.0196393126008668	0.00468644603656354	0.0174015123224833	0.0129375666565595	0.0074820064634482	0.0107591232350781	0.00656385037012585	0.011916528621079	0.0122987313467046	0.00187860449020929	0.00376019365736029	0.0135923791561376	0.032886707238148	0.0305654639899064	0.0132470927161279	0.0103703019138871	0.0110868845237177	0.00184751264965549	0.0113088975108322	0.00710042732282892	0.00383462207813651	0.00737193937997623	0.00443377860887883	0.0166278315953456	0.00646917780320445	0.00653234256926607	0.0184931691636227	0.0478196189859466	0.0567506595965737	0.058887628901964	0.0251156664904613	0.0231044365911821	0.0204171275917879	0.00210159122237361	0.00593423629317192	0.00772215555473959	0.00706210986306097	0.00406516121311935	0.00651482107359603	0.00369494339745142	0.00751787205854627	0.0138710427502052	0.00975060965348571	0.0138591317815548	0.0359977317551321	0.0220961528348172	0.0128728580279188	0.0114316859832584	0.0266542708719052	0.0348100672399938	0.0200161869102241
OM2_C_4B_1	0.00452231449394946	0.0202113203988592	0.0191587606667041	0.0184678991135454	0.0097926036567944	0.0179407191708058	0.021040720927162	0.0196393126008668	0	0.0209266166233074	0.00528607316488665	0.0120640137170043	0.015146359985325	0.00899896025837982	0.0156382373648831	0.00773261499098367	0.0087144465139172	0.0213769490791985	0.0158970554362945	0.00658354416195637	0.0519419496325001	0.0498763078455538	0.0328800910387467	0.0155756090662583	0.0289128236602602	0.0178582683027713	0.02875045476655	0.0243206883337946	0.0190262408720127	0.0256194431434258	0.0187585666198752	0.00649872857901124	0.0141538022965392	0.0256275653494636	0.00125544598944847	0.0673859370311511	0.0760748212202401	0.0779854872843457	0.0433390810740757	0.0415957740396276	0.0399711456110669	0.0191776489629181	0.0178865970373291	0.0129250011225725	0.026614938453007	0.0233449740839783	0.0131313095336497	0.0219488750402016	0.0153499104641556	0.00601487904650451	0.0121710087322108	0.00578094786383882	0.0530384645732119	0.00385531994932369	0.00692825133127942	0.00825486617281005	0.00762839708976158	0.0165125223062438	0.00797166183111486
OM2_C_4B_2	0.0253969434725073	0.00077678891531942	0.00383939652317508	0.00303127413479478	0.0111363376911255	0.0083539016829761	0.00806678138057759	0.00468644603656354	0.0209266166233074	0	0.0197991292718238	0.0115709484943937	0.0115804062105703	0.0120123574984523	0.00546146210989764	0.0136015797060092	0.0125440073994409	0.00545071251284022	0.00669916310322483	0.0144030850336407	0.0310481088229312	0.0290864529380213	0.0134147374974885	0.00798537052355905	0.00802902506284393	0.00487970126527273	0.00796310270249197	0.0034313012077276	0.00197343216622639	0.00474622167845725	0.00216998684060318	0.0192645304920802	0.00677985479611729	0.00911862685165403	0.0199257047505629	0.0469059617988164	0.0552748247812147	0.0571109703891015	0.0224999939971471	0.0206945885259023	0.0195986631245547	0.00677942037998523	0.00341970580192576	0.0109956836312824	0.00702773812888781	0.0040084083238142	0.00850436871016941	0.00777802340556938	0.0116723030355082	0.0157744806167649	0.0132195911146571	0.0153449345631498	0.0383693788514892	0.0226902274441719	0.0140114693451931	0.0132812098664498	0.0272207027150675	0.03694745549178	0.0228856772648916
