	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.00660278716101935	0.0026472645067767	0.0166138029428069	0.00847455969843667	0.0106386490751044	0.0130645411316584	0.00781759162991448	0.00880867320049915	0.0103105830687137	0.00711989527652129	0.0130824451123825	0.00805709213414248	0.0118118289751558	0.0262657711960941	0.0314310066213595	0.00465752922808372	0.00179135620930621	0.0140590780862593	0.013930698717475	0.0221203656589374	0.02029776692425	0.0376517401168185	0.0184465265842323	0.0260888437473433	0.0188342093300414
OM2_B_B_2	0.00660278716101935	0	0.00870427839852803	0.0209024185718744	0.0103157574728187	0.0163772861927209	0.016417143105091	0.00357746423776667	0.002212417689815	0.0143653884083807	0.00474660298176106	0.0192412306427265	0.0122348839091777	0.017537148560868	0.0321245269023199	0.0376523229891268	0.00795729554677121	0.0068113720549937	0.0199253661771969	0.0205256253914728	0.0285604035555584	0.0267912016879901	0.0436847921195779	0.0248005712347612	0.0317754728240659	0.0244675457229829
OM2_B_B_3	0.0026472645067767	0.00870427839852803	0	0.0140561383513224	0.00709739987085968	0.00801385578478648	0.0107821920191178	0.0103791952396492	0.0109029525984357	0.00790800754997251	0.00784199609439206	0.0105990283170901	0.00572134335030611	0.00918933265612567	0.0236991645066033	0.0290052347584411	0.00348681095297029	0.00193698578211315	0.0114719582078313	0.0120511548928711	0.0198606216785079	0.0189403257596089	0.0351469918781767	0.0161014909830756	0.0234866136170382	0.0162146515105993
OM2_C_4C_1	0.0166138029428069	0.0209024185718744	0.0140561383513224	0	0.0110803883741293	0.00757511831655338	0.00498568883209787	0.023679041171212	0.0227052110162632	0.00655187601358314	0.0171490314054898	0.00882633578237544	0.00877154785988007	0.00693948802887876	0.0137480873546411	0.0205427079004082	0.0130255616479959	0.0151491223853099	0.00702455461681641	0.0141846415393906	0.0151632008714978	0.0212768116926323	0.025119073412647	0.0119332802505867	0.0127550973350176	0.00691963016742484
OM2_C_4C_2	0.00847455969843667	0.0103157574728187	0.00709739987085968	0.0110803883741293	0	0.00933140355397152	0.00625416199483398	0.0135490683615235	0.0118618575632442	0.00504477126633849	0.00611425077530768	0.0127563332027973	0.00393397838702478	0.0101923048171239	0.0238084055527279	0.0300972388498152	0.00382920442733878	0.0066877648776509	0.0125045434344685	0.0164849707804918	0.0222977432578583	0.0241165582805116	0.0354745429192582	0.0183859979535659	0.0231388863985747	0.0160859219020957
OM2_C_4E_2	0.0106386490751044	0.0163772861927209	0.00801385578478648	0.00757511831655338	0.00933140355397152	0	0.00727409681211834	0.018381182007364	0.0184912735702636	0.00507707672211842	0.0139998181723048	0.00342547263177703	0.00540570559937431	0.00117627136753738	0.0157591628951491	0.0214170181597241	0.00878009854887635	0.00968061654936474	0.00355602823431993	0.00790217645771795	0.0130198926002181	0.0156275167268392	0.0273222436006434	0.00909909398771503	0.0154853960135036	0.00820145763243628
OM2_C_4E_3	0.0130645411316584	0.016417143105091	0.0107821920191178	0.00498568883209787	0.00625416199483398	0.00727409681211834	0	0.0194454497073072	0.0180771526801566	0.00299580464687016	0.0123682145668092	0.0101098791515279	0.00506097989561755	0.00742173009488541	0.0184574133466687	0.0250972027786005	0.00885433737402681	0.0113938439413711	0.00896278720746007	0.0151389796834229	0.0185550107490175	0.0228064179385334	0.0299783527893453	0.0148646353897477	0.0175832207917761	0.0110583099153323
OM2_C_4F_1	0.00781759162991448	0.00357746423776667	0.0103791952396492	0.023679041171212	0.0135490683615235	0.018381182007364	0.0194454497073072	0	0.00383768593053872	0.0171383275124965	0.00830146867998423	0.0208979305552483	0.0149104867544887	0.0195572745127076	0.0340692394432089	0.0392135420835191	0.0106709350199575	0.00875448998162188	0.0218493618237503	0.0213134109256654	0.0297949092869444	0.026826354046192	0.0454619818925229	0.0261980623089792	0.033859657623464	0.0265784739835214
OM2_C_4F_2	0.00880867320049915	0.002212417689815	0.0109029525984357	0.0227052110162632	0.0118618575632442	0.0184912735702636	0.0180771526801566	0.00383768593053872	0	0.0162130610983395	0.00586277371653202	0.021408600360252	0.0141538040745069	0.0196431007301801	0.0342168321986245	0.039812303866728	0.00992339848176272	0.00899737750144806	0.0220449387747053	0.0227349593094875	0.0307603951006169	0.0289414649288335	0.0458031423408318	0.0269902247525064	0.033832188230923	0.0265303547186181
OM2_C_4G_1	0.0103105830687137	0.0143653884083807	0.00790800754997251	0.00655187601358314	0.00504477126633849	0.00507707672211842	0.00299580464687016	0.0171383275124965	0.0162130610983395	0	0.0108234012405484	0.00835510451094968	0.00227030389468853	0.00562317891958901	0.0187661740360943	0.0250765591184486	0.00647516803008866	0.0087278831959302	0.00771930339809077	0.0129190428836943	0.0175785390727122	0.0206652588692467	0.0304370467836976	0.0137142924327168	0.0181169976923653	0.0110426645206902
OM2_C_4H_2	0.00711989527652129	0.00474660298176106	0.00784199609439206	0.0171490314054898	0.00611425077530768	0.0139998181723048	0.0123682145668092	0.00830146867998423	0.00586277371653202	0.0108234012405484	0	0.0172442342878632	0.00900815867069612	0.0150701755608162	0.0293830121405738	0.0353687795222023	0.00528510398273532	0.00608967652915003	0.0174983609381133	0.0197172940170771	0.0268706606894311	0.0267766249518164	0.0410537303561603	0.0229766722992274	0.0288448456550191	0.0216256029102133
OM2_C_4H_3	0.0130824451123825	0.0192412306427265	0.0105990283170901	0.00882633578237544	0.0127563332027973	0.00342547263177703	0.0101098791515279	0.0208979305552483	0.021408600360252	0.00835510451094968	0.0172442342878632	0	0.00882826815499804	0.00274749987792531	0.013274242399634	0.0184186516327489	0.0119705566211497	0.0124369251869415	0.00194750922331483	0.00536798563705714	0.00965005043126593	0.012773572353905	0.0245745912850215	0.00573833594340565	0.0132726000327701	0.00642902647347188
OM2_C_5A_1	0.00805709213414248	0.0122348839091777	0.00572134335030611	0.00877154785988007	0.00393397838702478	0.00540570559937431	0.00506097989561755	0.0149104867544887	0.0141538040745069	0.00227030389468853	0.00900815867069612	0.00882826815499804	0	0.00631333231538233	0.0203791242453701	0.0264570519573931	0.00428644340696589	0.0064581781375643	0.00868192488837783	0.0126779845745404	0.0184047316499355	0.0203783892304834	0.0320553640418076	0.0144867769222182	0.0198467381037677	0.0126195728203366
OM2_C_5A_3	0.0118118289751558	0.017537148560868	0.00918933265612567	0.00693948802887876	0.0101923048171239	0.00117627136753738	0.00742173009488541	0.0195572745127076	0.0196431007301801	0.00562317891958901	0.0150701755608162	0.00274749987792531	0.00631333231538233	0	0.0145932276359153	0.020313587396378	0.00988591642897157	0.0108539923639799	0.00243113332322442	0.00777158260934832	0.0121068684862352	0.0153895607645771	0.026172495943298	0.00819678864618441	0.0143097094335595	0.00702576234026752
