	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_C_4A_1	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6G_1	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0191956495839646	0.0219874559148894	0.127659709338672	0.121063389056176	0.0330380377843269	0.0412034010977152	0.0563452743761017	0.0733091604274096	0.0503685096986413	0.0166030968721223	0.0185240291447336	0.0243747228565145	0.0400428665424203	0.0351756890867272	0.0321789721521095	0.0367688397744549	0.037748067521592	0.0559551449084046	0.0223123592983877	0.0425836129423489	0.0213323599009361	0.0374916026676493	0.0798706812163281	0.0778156125812473	0.0864357559628333	0.0200920214714199	0.0186139510062309	0.0354437564108852	0.0518608920121125	0.0629182997332163	0.0577158538042781	0.048820696776629	0.0756341489207589	0.0234957562697981	0.0396863864434112	0.0570186887902884	0.0503606966395256	0.0599540025515213	0.0397229035153177	0.0302609776337486	0.0385219354242132	0.037526736754161	0.0489266676311582	0.0327624136394447
OM2_B_B_2	0.0191956495839646	0	0.00817746276418375	0.11141154342135	0.104777666453053	0.0471579969537286	0.0563211132067071	0.0722767500711465	0.0891352201237172	0.0641425909816079	0.00467297684811358	0.00331681145069897	0.00677185998774419	0.0235934204936778	0.0188760821447476	0.0140877133360027	0.0514270956085458	0.0463983162400895	0.0397586131433119	0.0143068197190395	0.0249706519587343	0.0115191697575979	0.0196937566198686	0.063585328741053	0.0610679545000134	0.0700699395366275	0.0347154630790844	0.0329203321115209	0.0504708703250694	0.066549180006769	0.0782052127993518	0.0733161563205729	0.0634957123226563	0.0883323776905403	0.0280762381100333	0.0547548612500225	0.0725702519075187	0.0665964291206741	0.0757491375483002	0.0549199120958483	0.0446183139633786	0.0536442166741303	0.053024354269964	0.0639511149916604	0.0478481478870367
OM2_B_B_3	0.0219874559148894	0.00817746276418375	0	0.10791366426501	0.101253159120516	0.0498638777456101	0.0598784805989363	0.0735279592408945	0.0925207117771262	0.0650229534426957	0.0113296014801109	0.0108136577728807	0.0102329691009861	0.0237302881609681	0.0205986860049904	0.0154385183323918	0.054786950839235	0.046717972658276	0.0379202884536399	0.0206080186574703	0.0249583450398355	0.0193515238201184	0.0177260162572544	0.0604052147631837	0.0582489520772417	0.0660981481233323	0.0382045245706935	0.0363774933738477	0.0537993089829484	0.0706327677952514	0.0822519026650753	0.0774052867804416	0.0680625615273784	0.0934278522252092	0.0353545206147117	0.0577123116855965	0.0752745560032585	0.0692233963242887	0.0788616035802722	0.0584495548258659	0.0479095009403549	0.0570310835047614	0.0556876497173472	0.067193816464362	0.0499910743203281
OM2_C_4A_1	0.127659709338672	0.11141154342135	0.10791366426501	0	0.0067209304696112	0.157206201425147	0.166991045081782	0.179693742480133	0.199255911753004	0.170716345481062	0.113297368321021	0.112015415028717	0.105515442393816	0.0899943755524612	0.0957613479846699	0.0984357730978818	0.162023871324698	0.15087998552054	0.073125203605093	0.112223424985466	0.0881109345296644	0.114621646902705	0.0918722963290452	0.0482139447280347	0.0508040405333333	0.0422632124083634	0.145523994240672	0.143730043799342	0.161073111906899	0.177238005287927	0.188719386190797	0.183847086183461	0.174143927962592	0.197785225192427	0.135835474985164	0.165017862766983	0.182327103259514	0.176331919971559	0.185870163521977	0.165589996003831	0.155237103967008	0.16424944914253	0.163033410406276	0.174318086037284	0.157326531700603
OM2_C_4A_3	0.121063389056176	0.104777666453053	0.101253159120516	0.0067209304696112	0	0.150595561380499	0.160403806314455	0.173135391040788	0.192711664282613	0.164144867769616	0.106688969120249	0.105403081001293	0.0988989018561637	0.0834403885957224	0.0892177828460658	0.0918302842692299	0.155425542393723	0.144294594148693	0.0665812542525581	0.105726870431528	0.0815404165570984	0.108087051566116	0.0852231712087585	0.041592112341983	0.0442060425972877	0.0355610522866696	0.138912597649721	0.137115506890577	0.154475148495503	0.170674379401565	0.182175024642131	0.177301812811077	0.167596092882035	0.191305138009375	0.12932857982706	0.158420071891103	0.175751218705794	0.169754287254779	0.179303385348593	0.159001214760353	0.148629888499915	0.157656229021231	0.156434145878556	0.167733599542847	0.150718621468041
OM2_C_4B_1	0.0330380377843269	0.0471579969537286	0.0498638777456101	0.157206201425147	0.150595561380499	0	0.0119752938861355	0.0272674144867366	0.04331337495325	0.0208422548256065	0.0462756571257806	0.0474057405183187	0.0536905112610316	0.0704820950754334	0.0653376252554236	0.0610875426253232	0.00668342021679122	0.0194978143288686	0.0866854019590437	0.0521208140508659	0.0719864023363127	0.0484883164794108	0.0664573871938792	0.109985359481537	0.107663372581202	0.115609332255945	0.0136427793721058	0.0150664783693943	0.00647364261961379	0.0230502965531903	0.0342521803134929	0.0302134425706728	0.0232347652858085	0.0481594581071353	0.03361741736073	0.00835208280747195	0.0257194078310805	0.0205684596851837	0.0295373553358255	0.0108447524684267	0.00463827481565162	0.00904882817782193	0.00711077551775846	0.0177293673685029	0.00451434558296334
OM2_C_4B_2	0.0412034010977152	0.0563211132067071	0.0598784805989363	0.166991045081782	0.160403806314455	0.0119752938861355	0	0.0243430947494394	0.0329188588537365	0.0232280329459179	0.054825903396893	0.0560652953189841	0.0625481417995207	0.0790639586338387	0.073654967433203	0.0699702364826738	0.00551583312146454	0.0301819929310023	0.0956403708598635	0.0590560241294938	0.0807988252579896	0.0557671475824041	0.0759259859409144	0.119539841415463	0.11714510633145	0.125659095506248	0.0217962844163174	0.0235916135690916	0.00623217994212037	0.0115542272652714	0.0227364007559152	0.0183660721806421	0.0118654438825785	0.0375828459549175	0.03799649521812	0.00513183935749298	0.0175730633820161	0.0127718297428283	0.0196969820947856	0.00149521024690107	0.0121634977523091	0.00307070552008008	0.00765441136378466	0.00819551922319204	0.0135330583905661
OM2_C_4C_1	0.0563452743761017	0.0722767500711465	0.0735279592408945	0.179693742480133	0.173135391040788	0.0272674144867366	0.0243430947494394	0	0.0286617585433164	0.0130901340229639	0.0713441551949389	0.0726873440527523	0.0787514083962378	0.0953028247495352	0.0904872497461112	0.0863042133893087	0.0261276875771305	0.034779980644148	0.110799537775137	0.0773608029068137	0.0970788983057659	0.0745493710456269	0.0909252274108962	0.133220232464042	0.131318081119336	0.138191196198121	0.0394974134298555	0.0409685856080164	0.0265153755729705	0.0264726966212619	0.028795551138552	0.0277512668520512	0.0311327383228167	0.0468117528123921	0.0601349273857957	0.0218288921801014	0.0136781924513284	0.0134407623758337	0.0183512962301124	0.0248686346031712	0.0308285234248248	0.0247508306265455	0.021747264388036	0.0192695109318875	0.0250366666804617
OM2_C_4C_2	0.0733091604274096	0.0891352201237172	0.0925207117771262	0.199255911753004	0.192711664282613	0.04331337495325	0.0329188588537365	0.0286617585433164	0	0.0376026476333782	0.0875068855731734	0.0888024445901463	0.0952904564805238	0.111639198139563	0.106192847757752	0.10270841389613	0.0380164516749038	0.0563228198950063	0.128190283600398	0.0910590427942377	0.113469609689636	0.0880726105213889	0.10869223382494	0.15205736406404	0.149722813596678	0.158118967296579	0.0545870547555487	0.0563961239285452	0.0388741950057267	0.0237153831632519	0.0131811409244002	0.0177673321730893	0.0282287541850543	0.0251141824700165	0.068956028856194	0.0350945471804177	0.0187683279937426	0.024408575800442	0.0139440245165524	0.0343091300588958	0.0448660202060426	0.035654253936861	0.0372453455795281	0.0256911571310183	0.0435062303025899
OM2_C_4C_3	0.0503685096986413	0.0641425909816079	0.0650229534426957	0.170716345481062	0.164144867769616	0.0208422548256065	0.0232280329459179	0.0130901340229639	0.0376026476333782	0	0.0639174771526632	0.0649952643906488	0.0708158563092475	0.0874765643994951	0.0828235744241086	0.0780582584144472	0.0224325461426006	0.0224683554932128	0.102726254382496	0.0710454995581348	0.0887826709501349	0.0675236775179457	0.0823086924557688	0.124588358221354	0.122568374723333	0.129102690580919	0.0334641582825188	0.0346015039268188	0.0230586014752778	0.0286935360748593	0.0349123001380109	0.0333467163776638	0.0329117889820263	0.0504688291635018	0.0542370688085668	0.0189461073497361	0.0199016613486548	0.0187353124182098	0.0256459497295637	0.0233652870515735	0.0253462595785299	0.0224540348221107	0.0185531066350856	0.0204436190929429	0.0191413854668015
