	OM2_B_B_1	OM2_B_B_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0039973791707357	0.00274216601879763	0.0101797353103278	0.00548126397435529	0.0143767556699382	0.00447475364697102	0.000320925808541459	0.00345951340643589	0.0159388138073638	0.0058500158261948	0.00132250472228522	0.000946287118118081	0.0103565487061619	0.0233835879033224	0.0020050881631929	0.00744924869698317	0.0129398923246922	0.00162591606597464	0.00675964844265597	0.000221858474847654	0.00931968351486654	0.00281881748457745	0.010492693890029	0.00499847715155899	0.00186248385237042	0.00777259584396353	0.014478536447633	0.0100317293851826	0.00239509799550225	0.00747009424690743	0.00718037698652132	0.00341202889749673	0.00335688736909049	0.0122686448554485	0.00220231830045706	0.00511639203739138	0.0105544872609971	0.00710078096842282	0.00151845467592079
OM2_B_B_3	0.0039973791707357	0	0.00125521792817922	0.00618244353534547	0.00947857109805753	0.0103795838190458	0.0084720802423256	0.00367645499902646	0.000537868346490863	0.0119416991233237	0.00185265169898779	0.00267487935668238	0.00305109605835017	0.00635926099385625	0.0193868392911537	0.00199229655041557	0.0114465096394439	0.00894267389446295	0.00562328255425061	0.00276229519182848	0.00377552185804758	0.0133168906217084	0.00117856629613722	0.00649540936524447	0.00899579396543704	0.00585984788444631	0.0117698481724994	0.010481368114437	0.00603443427634488	0.00639245592980268	0.00347275109010633	0.0111776448711988	0.00740937300511276	0.000640494785344324	0.0162657474051423	0.00619967853265556	0.00911370654417276	0.0145516535176911	0.0031034323893533	0.00551582222868338
OM2_C_4A_2	0.00274216601879763	0.00125521792817922	0	0.00743764140662929	0.00822338711799028	0.0116347490455362	0.00721688894564386	0.00242124094958749	0.000717349749870099	0.0131968482638922	0.00310786711700646	0.00141966308328247	0.00179588051785781	0.00761445780062764	0.0206418823645381	0.000737079262216373	0.0101913425113414	0.010197852031483	0.00436807532736306	0.00401750828132855	0.00252030807611435	0.0120617426322067	7.66516706563484e-05	0.00775060533371608	0.00774060636585915	0.0046046417114443	0.0105146841354192	0.0117365323578674	0.00728963301769478	0.00513725230789473	0.00472796185877249	0.0099224752420476	0.00615417493983999	0.000614723314460394	0.0150106357683311	0.00494447395886833	0.00785851980990191	0.0132965198299021	0.00435864441942278	0.00426061453912228
OM2_C_4A_3	0.0101797353103278	0.00618244353534547	0.00743764140662929	0	0.0156606959986481	0.00419723401921768	0.0146542572547431	0.00985882068630611	0.00672030411563806	0.00575940360210042	0.00432980907611519	0.00885727200050256	0.00923347908128844	0.000176819876862995	0.0132049473363161	0.00817470509927131	0.0176285201126998	0.0027602834590283	0.0118055835349176	0.00342016865006785	0.00995788464518326	0.0194987769697198	0.00736099119326063	0.000312970201458481	0.0151779444037358	0.0120421398950534	0.0179518382586633	0.00429902153068128	0.000148011179856095	0.0125747268669631	0.00270971267331302	0.0173596719559647	0.0135916003294584	0.00682292893147732	0.0224474076402292	0.0123819572377598	0.0152958508373347	0.0207334497156745	0.00307903168567934	0.0116981272047589
OM2_C_4B_2	0.00548126397435529	0.00947857109805753	0.00822338711799028	0.0156606959986481	0	0.0198574763264426	0.0010065188873435	0.0058021862430425	0.0089407185683298	0.021419427953044	0.0113311537378008	0.00680375158989344	0.00642753952929284	0.0158375006384902	0.0288635661560744	0.00748632359833211	0.00196801258154995	0.0184207027257057	0.00385535982377145	0.0122407550485928	0.00570312004373733	0.00383848751630714	0.00830003697428395	0.0159736389990499	0.000482791409104582	0.00361879293338784	0.00229136571338829	0.0199592504480172	0.0155126973112588	0.00308618002873003	0.0129511742100638	0.00169913619705958	0.00206924849611121	0.00883809493108842	0.00678753910076686	0.00327895940004041	0.000364875485007093	0.00507332502957286	0.0125818750213863	0.00396282073651408
OM2_C_4B_3	0.0143767556699382	0.0103795838190458	0.0116347490455362	0.00419723401921768	0.0198574763264426	0	0.0188510882060124	0.0140558523916118	0.0109174309729841	0.00156218274999814	0.00852698915107889	0.0130543371868479	0.0134305320337749	0.00402041518211421	0.00900788762939614	0.0123717914297255	0.0218251929550153	0.00143695636195466	0.0160025418081378	0.00761736459849997	0.0141549128801408	0.0236953372287925	0.0115581009572706	0.00388426559522194	0.0193747493811716	0.0162390884939363	0.0221484923647145	0.000101788151682103	0.00434524425850367	0.0167716530890518	0.00690691934024643	0.0215563601467588	0.017788481535982	0.0110200531312762	0.0266437697698558	0.0165788916543899	0.0194926498569	0.0249299300846772	0.00727623296461034	0.0158950898188078
OM2_C_4C_1	0.00447475364697102	0.0084720802423256	0.00721688894564386	0.0146542572547431	0.0010065188873435	0.0188510882060124	0	0.00479567706684312	0.00793422444258094	0.0204130618265216	0.0103246756931921	0.00579724646896957	0.0054210328029443	0.0148310637783185	0.027857328394684	0.00647982164260071	0.00297452942650299	0.0174142958847758	0.00284884476928511	0.0112342841725215	0.00469661050449901	0.00484499991541204	0.00729353921717252	0.0149672036042593	0.000523727566364731	0.00261227734490377	0.00329788196429479	0.0189528637085536	0.0145062570073604	0.00207966338103747	0.0119447093352875	0.00270565348042269	0.00106273037609684	0.00783160020437865	0.00779403953281108	0.00227244311289131	0.000641643484156115	0.00607983315610778	0.0115754069828767	0.00295630593748019
OM2_C_4C_2	0.000320925808541459	0.00367645499902646	0.00242124094958749	0.00985882068630611	0.0058021862430425	0.0140558523916118	0.00479567706684312	0	0.00313858880714353	0.0156179157577158	0.00552909362082052	0.00100157906121743	0.000625361375522393	0.0100356344806936	0.0230627222872251	0.0016841627306562	0.00777016806369067	0.0126189847188189	0.00194684152216081	0.00643872748292779	9.90673356846016e-05	0.00964059932503023	0.00249789246013628	0.0101717799762082	0.00531940000055832	0.00218340920818147	0.00809351465149055	0.014157633493377	0.00971081443293242	0.00271602307985098	0.007149174388468	0.00750129680054915	0.00373295328823817	0.00303596269557603	0.0125895534780895	0.00252324349036533	0.00543731474947326	0.010875400296881	0.00677986052345745	0.00183938017363223
OM2_C_4E_2	0.00345951340643589	0.000537868346490863	0.000717349749870099	0.00672030411563806	0.0089407185683298	0.0109174309729841	0.00793422444258094	0.00313858880714353	0	0.0124795395935106	0.00239051921812764	0.00213701207764464	0.00251322914375894	0.00689712114166957	0.0199246353071803	0.00145442874504294	0.0109086645944373	0.00948052638820529	0.0050854195467066	0.00330016183503568	0.00323765579408881	0.0127790540281407	0.000640698090545855	0.00703326917208786	0.00845793982006143	0.0053219853601954	0.0112320044953011	0.0110192148607482	0.0065722952096256	0.00585459457006315	0.00401061683399169	0.0106397987184678	0.00687151416263543	0.000102626450858928	0.0157279267836425	0.00566181673919356	0.00857585278538411	0.0140138232177925	0.00364129862427833	0.00497795900848246
OM2_C_4E_3	0.0159388138073638	0.0119416991233237	0.0131968482638922	0.00575940360210042	0.021419427953044	0.00156218274999814	0.0204130618265216	0.0156179157577158	0.0124795395935106	0	0.010089125075246	0.0146164161539177	0.0149926052681502	0.00558258570653681	0.00744574150303476	0.0139338804063401	0.0233870984146245	0.00299913676338921	0.0175645717419558	0.00917950928360589	0.0157169746440919	0.0252571949317624	0.0131202012069058	0.00544643682144941	0.0209367116941231	0.0178011140857452	0.0237103898386655	0.00146039467935138	0.00590741302711683	0.0183336686835317	0.0084690702430443	0.0231182721606497	0.0193504771900117	0.0125821604408959	0.028205544505971	0.0181409109028439	0.0210546095830943	0.0264917541898389	0.00883838070365581	0.0174571217049881
