	OM2_B_C_1	OM2_B_C_2	OM2_C_4A_2	OM2_C_4C_2	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_3	OM2_H_2A_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2F_1
OM2_B_C_1	0	0.00738995222437336	0.00751524790712911	0.00802357988907266	0.0120873074076547	0.0170850083903118	0.0320835088747952	0.0120573400282411	0.0217105726684673	0.0149365890931391	0.00893617842620664	0.00608216444767044	0.00802090577632206	0.0153989529120755	0.0397771829660152	0.019659738317229	0.0283543352340119	0.0106441522480801	0.0176917866183498	0.0127934443759014	0.00764845071620703	0.0100080183523997	0.0228663326955184
OM2_B_C_2	0.00738995222437336	0	0.0138781388794756	0.01263154426008	0.0051475724645261	0.00975699922141787	0.032957730784322	0.016376426453967	0.0143979205824344	0.00826560363717556	0.00276180438067555	0.00239484453960115	0.0145723060914735	0.00953934556794083	0.0332230274722248	0.0125219622943984	0.0213567799524661	0.00327516127104583	0.0237490411079858	0.0193693744353046	0.0139526501655736	0.0108124077899156	0.029683252954593
OM2_C_4A_2	0.00751524790712911	0.0138781388794756	0	0.00368835964223215	0.0174723156634686	0.0227806891089347	0.0375689495371057	0.0061014440632885	0.0281324272763352	0.0220025721461	0.0143373495292146	0.0132637441367103	0.0100748645584973	0.0192181299928258	0.0431922919861004	0.0247748394556426	0.0328672224523289	0.0168094325983318	0.0101815749457546	0.00549192778516052	0.000190382104092712	0.0168418706883383	0.0158214875690801
OM2_C_4C_2	0.00802357988907266	0.01263154426008	0.00368835964223215	0	0.0153246565168259	0.0206051494850601	0.0397031112737174	0.00405666118978405	0.0263099569894827	0.0208938104732357	0.0124007106811707	0.012664823525197	0.0129795103203391	0.0163295569347976	0.0399024866983893	0.0222574772195939	0.0299818664182915	0.015145186865352	0.0113297749812795	0.00788218499639387	0.00356841759580879	0.0180128247046338	0.0179793116014068
OM2_C_4E_1	0.0120873074076547	0.0051475724645261	0.0174723156634686	0.0153246565168259	0	0.00531500309590715	0.0367499004131969	0.0184568472264188	0.011076387199138	0.0077787022317511	0.00321107740726739	0.00746719507955711	0.0196426638758023	0.00491985058275934	0.0280785215046419	0.00757707203848748	0.0163055842475753	0.00251258806481711	0.0266439174583415	0.0228433137216593	0.0175034035648946	0.0154150672906473	0.0331598066828045
OM2_C_4E_2	0.0170850083903118	0.00975699922141787	0.0227806891089347	0.0206051494850601	0.00531500309590715	0	0.037850749962952	0.0236046721872712	0.00619330955102841	0.0069912633488676	0.00846378620082267	0.0117171209950534	0.0242385880994426	0.00655933443034329	0.0243248147155651	0.0032719775211537	0.0119788121140003	0.00648501003702402	0.0319054617515504	0.0281567057285567	0.0228138431125932	0.0183585489771427	0.0384694585464828
OM2_C_4F_1	0.0320835088747952	0.032957730784322	0.0375689495371057	0.0397031112737174	0.0367499004131969	0.037850749962952	0	0.0434452133279817	0.0366676921685088	0.030874640736218	0.0356593403646629	0.0308657267618256	0.0278368169646539	0.0416627620919355	0.0607776145833147	0.0410020112706848	0.0484402659746202	0.0342671779300145	0.0456780768445729	0.0405867302808435	0.037757776840408	0.0225752355454506	0.0467766222283445
OM2_C_4F_3	0.0120573400282411	0.016376426453967	0.0061014440632885	0.00405666118978405	0.0184568472264188	0.0236046721872712	0.0434452133279817	0	0.0295297577264978	0.0245876174665147	0.0157775508125056	0.0166155227499855	0.0161671036198001	0.0186063867301829	0.0410791135178808	0.0248825600590387	0.0320143382088836	0.0186265844510953	0.00869426584339912	0.00721312510258209	0.00591380838257411	0.0220152010370739	0.0159750141137929
OM2_C_5A_1	0.0217105726684673	0.0143979205824344	0.0281324272763352	0.0263099569894827	0.011076387199138	0.00619330955102841	0.0366676921685088	0.0295297577264978	0	0.00771519081978688	0.013919625202406	0.0157705027522223	0.0279846871235202	0.0126290406247212	0.0241337856751057	0.00698076908176683	0.0118624811931563	0.0113262930668865	0.0376330976717194	0.033596898756191	0.028188175927244	0.0202985523491945	0.0439362312947979
OM2_C_5A_2	0.0149365890931391	0.00826560363717556	0.0220025721461	0.0208938104732357	0.0077787022317511	0.0069912633488676	0.030874640736218	0.0245876174665147	0.00771519081978688	0	0.00913002340076696	0.00885725646632738	0.0204884569584967	0.0120002252077092	0.0306830070445153	0.0101393126655821	0.0181648654726574	0.00626443149407219	0.0319838170979063	0.0274774482784972	0.0220915447937151	0.0126152688201487	0.0377187203539386
OM2_C_5F_2	0.00893617842620664	0.00276180438067555	0.0143373495292146	0.0124007106811707	0.00321107740726739	0.00846378620082267	0.0356593403646629	0.0157775508125056	0.013919625202406	0.00913002340076696	0	0.00510845871002898	0.0166511820840437	0.00690728366291653	0.0309779505327562	0.0107703757463075	0.0194202937136643	0.00290038837115101	0.0237228328401614	0.0197523579903576	0.0143768434768478	0.0135737403936661	0.0300891453613043
OM2_C_5F_3	0.00608216444767044	0.00239484453960115	0.0132637441367103	0.012664823525197	0.00746719507955711	0.0117171209950534	0.0308657267618256	0.0166155227499855	0.0157705027522223	0.00885725646632738	0.00510845871002898	0	0.0125295796008772	0.011933884170234	0.0355016041799237	0.0146476078331017	0.0235144292542592	0.00532075802300037	0.0233755700108899	0.0187002035868897	0.0133669043139458	0.00851861212215055	0.0288901108448861
OM2_C_5G_1	0.00802090577632206	0.0145723060914735	0.0100748645584973	0.0129795103203391	0.0196426638758023	0.0242385880994426	0.0278368169646539	0.0161671036198001	0.0279846871235202	0.0204884569584967	0.0166511820840437	0.0125295796008772	0	0.0233400994710233	0.0476172722464908	0.0270911925688175	0.0359196606231644	0.0177881674580133	0.0180165740774028	0.0128175904008058	0.0102643198545826	0.0100658521110671	0.0206505452824954
OM2_C_5G_2	0.0153989529120755	0.00953934556794083	0.0192181299928258	0.0163295569347976	0.00491985058275934	0.00655933443034329	0.0416627620919355	0.0186063867301829	0.0126290406247212	0.0120002252077092	0.00690728366291653	0.011933884170234	0.0233400994710233	0	0.0244242552478105	0.00650128732751943	0.0136702926925934	0.00742356540782808	0.0272334807606523	0.0241979978980234	0.0192013882824064	0.0202006391235185	0.0342411776480718
OM2_C_6F_2	0.0397771829660152	0.0332230274722248	0.0431922919861004	0.0399024866983893	0.0280785215046419	0.0243248147155651	0.0607776145833147	0.0410791135178808	0.0241337856751057	0.0306830070445153	0.0309779505327562	0.0355016041799237	0.0476172722464908	0.0244242552478105	0	0.0210962055228657	0.0125222367776285	0.0302241317228236	0.0496241462830141	0.0476693994302933	0.0431449421694036	0.0426752086861561	0.0570115445683803
OM2_C_6F_3	0.019659738317229	0.0125219622943984	0.0247748394556426	0.0222574772195939	0.00757707203848748	0.0032719775211537	0.0410020112706848	0.0248825600590387	0.00698076908176683	0.0101393126655821	0.0107703757463075	0.0146476078331017	0.0270911925688175	0.00650128732751943	0.0210962055228657	0	0.0088717380300173	0.00932960981433574	0.0334078911330588	0.0300113346985893	0.0247873088474991	0.021597194758406	0.0402278483496627
OM2_C_6G_3	0.0283543352340119	0.0213567799524661	0.0328672224523289	0.0299818664182915	0.0163055842475753	0.0119788121140003	0.0484402659746202	0.0320143382088836	0.0118624811931563	0.0181648654726574	0.0194202937136643	0.0235144292542592	0.0359196606231644	0.0136702926925934	0.0125222367776285	0.0088717380300173	0	0.0181950318443477	0.0406980997636387	0.0378552760932029	0.0328553021367869	0.0302832372605655	0.0478224650578416
OM2_H_2A_1	0.0106441522480801	0.00327516127104583	0.0168094325983318	0.015145186865352	0.00251258806481711	0.00648501003702402	0.0342671779300145	0.0186265844510953	0.0113262930668865	0.00626443149407219	0.00290038837115101	0.00532075802300037	0.0177881674580133	0.00742356540782808	0.0302241317228236	0.00932960981433574	0.0181950318443477	0	0.0264308410721078	0.0222804146945794	0.0168667065793657	0.0129433859356232	0.0326218784297799
OM2_H_2B_2	0.0176917866183498	0.0237490411079858	0.0101815749457546	0.0113297749812795	0.0266439174583415	0.0319054617515504	0.0456780768445729	0.00869426584339912	0.0376330976717194	0.0319838170979063	0.0237228328401614	0.0233755700108899	0.0180165740774028	0.0272334807606523	0.0496241462830141	0.0334078911330588	0.0406980997636387	0.0264308410721078	0	0.00526759052722486	0.0100569595837895	0.0265905518437556	0.00744367527484134
OM2_H_2B_3	0.0127934443759014	0.0193693744353046	0.00549192778516052	0.00788218499639387	0.0228433137216593	0.0281567057285567	0.0405867302808435	0.00721312510258209	0.033596898756191	0.0274774482784972	0.0197523579903576	0.0187002035868897	0.0128175904008058	0.0241979978980234	0.0476693994302933	0.0300113346985893	0.0378552760932029	0.0222804146945794	0.00526759052722486	0	0.00542088479648529	0.0213609989238755	0.0103465979971827
