	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_3
OM2_B_B_1	0	0.0272933684653989	0.0257865748493335	0.0299975228460265	0.0372563058272926	0.0571826663832432	0.0226882939560895	0.0158536101081233	0.0268532917480397	0.020981527967791	0.0285975349909315	0.030728340487501	0.0537266896249399	0.014910675245972	0.0392249165776581	0.0137346176416437	0.0245522972000611	0.0184150811748936	0.00705953510723134	0.0291919260228296	0.0223650936629903	0.0191630442059963	0.0222930821152435	0.0349333230939691	0.0783873381431082	0.0731473896566651	0.0635466223270415	0.0141660933864351	0.0191730680762462	0.023807482618404	0.0181761554145161	0.0186293653975738	0.0323162393437768	0.0121860289629307	0.0226740679212457	0.0358757312694629	0.0355803145926255	0.0185478059296744	0.0294756399801236	0.0216229592887431	0.0367187975198723	0.0283940262084731	0.0383199710677518	0.040971477437696	0.019550085934992	0.023161204289342	0.0253734001713682	0.0100585164271551	0.0171169182766447	0.00882501251345553	0.0137726885325781	0.0197385591074668	0.0455529174419591	0.0160276747523961	0.015101569427915	0.0395134606382232	0.0150219839331948	0.0483704197273024
OM2_B_B_2	0.0272933684653989	0	0.00504004408393928	0.00510512975528216	0.0125444290869507	0.0334441214269725	0.0347001382627398	0.014130863325626	0.0021277952179903	0.0102609209570763	0.0111986355041341	0.0054797992070174	0.0334774857172639	0.0146309410923758	0.0154879745050893	0.0381052800262208	0.00811712467568082	0.012078293180851	0.0220326349347706	0.0100835334527721	0.0114520114186013	0.00937324884855013	0.00540477459690721	0.013100251173968	0.0641932249562504	0.0582552201989742	0.0459500784410244	0.0132213626083409	0.008269891445338	0.00797972052034699	0.0122760880587024	0.0104479561028526	0.00609882982673721	0.0202615499845132	0.00562616233947677	0.013704438690288	0.0169535787989525	0.0101517536775657	0.00965432140624562	0.00715771250859082	0.0132598472040789	0.0047959166619874	0.0176924192450543	0.0166112059643484	0.0081933560250883	0.0127548298534963	0.0105714164633606	0.0178534829468645	0.040985320614733	0.0284089301866344	0.0138857162916943	0.00798327770523114	0.0229257736202583	0.0141533472883641	0.0138560945355033	0.0177303156880016	0.0309086904184239	0.0292650640562587
OM2_B_B_3	0.0257865748493335	0.00504004408393928	0	0.00468058541880151	0.0137474332928471	0.033817451696008	0.0307047619597902	0.0151095054914017	0.00671003317080102	0.00628789247013458	0.00695437365835253	0.00776580133081618	0.0316966788900544	0.0154250784734095	0.0148646113802994	0.0369122596638264	0.003896188799623	0.0139061040842311	0.021586779247053	0.00670874650630073	0.0146611973014622	0.00761298015880324	0.00689792383916836	0.0143334571725537	0.0612083526946134	0.0553262535531325	0.0439120362815513	0.0118052229502888	0.0078691090217194	0.0115305737509924	0.0131311679664489	0.0102311597535694	0.0077181175987189	0.0208695141899269	0.00662960059619286	0.0134662815106548	0.0157671997343083	0.0107714606987135	0.0143283846500255	0.00752088729660491	0.0120862866442535	0.00377647862179831	0.0175569484281379	0.0167823134997128	0.0090672364618133	0.0161423683748567	0.0144521010179283	0.0169310649202517	0.038680729944183	0.0281782102777337	0.0135298103966519	0.00711894464555896	0.0232514813912495	0.0108707772400539	0.0130298266837396	0.0180899259094469	0.0271605659921299	0.0268101878195453
OM2_B_C_1	0.0299975228460265	0.00510512975528216	0.00468058541880151	0	0.00929524671822575	0.0294562003823645	0.0350371883660759	0.0179726743030626	0.00670286451091406	0.0109015426875465	0.0074465500842942	0.00437007959308517	0.0284902002870954	0.0188295830295768	0.0107929485129168	0.041349772997333	0.00671461565671628	0.0164775320819862	0.0254112666054778	0.00602973651631082	0.0163626851926079	0.0120511567985687	0.00974804916030913	0.0108344019482992	0.059142921660921	0.0531913037759482	0.041017592746529	0.0159083481036017	0.0117222285442279	0.0126993313078699	0.0166484394245591	0.014193765202023	0.00326806687724191	0.0244852535439555	0.00866323728509527	0.00974603912651443	0.0130825459375684	0.0134632903821649	0.013431113530113	0.011064524025771	0.00830012656229113	0.00186178219959043	0.0140664390337721	0.0124017214460273	0.01208251372813	0.0173749938447853	0.01491618354532	0.021135701504441	0.0433180242542178	0.0322223092819383	0.0174244794626472	0.0105424759351555	0.0190903357728827	0.0151427704600142	0.0172908252165935	0.0142426802203578	0.0314912265510267	0.0241707388954211
OM2_B_C_2	0.0372563058272926	0.0125444290869507	0.0137474332928471	0.00929524671822575	0	0.0211387210912153	0.0434451882929005	0.0239579789415071	0.0129099493050476	0.0197612530679709	0.0133483545470265	0.00732244095678462	0.0233936299348654	0.0258886474002975	0.00612891249327172	0.0493753858206342	0.0143055210430602	0.0225916204755461	0.0322780265541819	0.0111206162401883	0.0218252672831807	0.0208150858012326	0.0174970777358248	0.00508120242107567	0.0554691334047353	0.0495390323294201	0.0356142189216273	0.0235607182229411	0.0198137505120355	0.0179435776097638	0.0245809217444637	0.0226812074048929	0.00677538147402102	0.031631681343162	0.0151931379069704	0.00444866012822344	0.00921439000327084	0.0195862333287269	0.0155479211816471	0.0195411315535211	0.00684127439301653	0.0100252233909451	0.00734191155529209	0.00520733702826496	0.0191573008869221	0.021738506650187	0.0185302791340771	0.0289705020261656	0.0516784172112662	0.0396887715603815	0.0249988167862028	0.0178743826560532	0.0105368011520753	0.0229109199603365	0.0257338299106528	0.00632530013734441	0.0391611325099424	0.0209249273617747
OM2_B_C_3	0.0571826663832432	0.0334441214269725	0.033817451696008	0.0294562003823645	0.0211387210912153	0	0.0603493575346724	0.0447069989598865	0.0339838190516462	0.0392938782520924	0.0306406278786855	0.0284417968304186	0.0144160072715871	0.0469233957574691	0.0191435347565151	0.0697964904104416	0.0337159370085758	0.0435784906207334	0.0527611201303806	0.0291257209571142	0.0426954716009284	0.0413108619664134	0.0385358028436759	0.0232573295671683	0.0432045565551606	0.0377682167237615	0.0222961239053076	0.0440282559490628	0.0406835272179623	0.0388923816379396	0.0456229236005246	0.0435196719809669	0.0273792273175293	0.0526482707887582	0.0361451879031176	0.0214103453754398	0.0220986008539285	0.0403406244175779	0.0354812622150346	0.0403580530918422	0.0221628908471115	0.0304063392979311	0.0191746524259744	0.0170677876330653	0.040181420995207	0.0422788080245702	0.0389586112255075	0.0496415898409683	0.0711530689257243	0.0605088929972144	0.0458420063034249	0.038551519848472	0.0118514146036562	0.0423264041332895	0.0465020661327721	0.0180100867497341	0.0566755921729519	0.0186680877781186
OM2_C_4A_1	0.0226882939560895	0.0347001382627398	0.0307047619597902	0.0350371883660759	0.0434451882929005	0.0603493575346724	0	0.0318839215963413	0.0357043210824076	0.0245799695677775	0.0305261010411657	0.0382470077292667	0.0522284023414033	0.029868984634023	0.0422070266436207	0.025158380362993	0.0294645288570719	0.0331205757494424	0.0270749543477959	0.0325995519871351	0.0363870747826025	0.0261195054383847	0.0315140270470474	0.0432012905562453	0.0711258582081821	0.0663210684355522	0.0612537042567681	0.0255167581113884	0.0285312885845237	0.0363161471212247	0.0291730237739989	0.0273563475987155	0.0382756782400707	0.02953508012542	0.0326876616208786	0.0413992483915452	0.0408867201475226	0.0315454450867438	0.041929844028715	0.029483729073406	0.0393026713551952	0.0341022466586263	0.044451232779235	0.0449678731230596	0.0309472691251529	0.0384006517446737	0.039360939381171	0.0242179919488471	0.0186970748993951	0.0275515443227066	0.0269812626902125	0.029489223144328	0.0505977177288479	0.0227008905923196	0.0249055542427661	0.0458621610658716	0.0103147357366195	0.0458575451874057
OM2_C_4A_2	0.0158536101081233	0.014130863325626	0.0151095054914017	0.0179726743030626	0.0239579789415071	0.0447069989598865	0.0318839215963413	0	0.012863856297076	0.014139137750461	0.020040469467231	0.0171431304823579	0.0444163069972659	0.00422936584030692	0.0275520882339135	0.0270952794003301	0.0151035833020035	0.00332296635548516	0.00925089002252992	0.0194493121822626	0.00751378040350628	0.0106648169007508	0.00955385540830537	0.0216150407979623	0.0732280122336511	0.0675601811315976	0.0555104538942126	0.00708367811916366	0.00823300013866029	0.00846667929033332	0.0084388273949726	0.00950471112148718	0.0192255305096047	0.00862797904031697	0.00936102810216858	0.0238117244974371	0.0249149746081627	0.00473127472075481	0.0137248272879066	0.0106878572279232	0.0254743264470868	0.0164714264598951	0.0264347262167784	0.028554833675188	0.00624903340812485	0.007756064226706	0.00956343322371665	0.00842681955897299	0.0318449935250397	0.0164008098383601	0.00537641775037876	0.00828721581947243	0.0331374349791882	0.0120229026359625	0.00915775557964145	0.0270489673580911	0.0254146774255442	0.0399824712650732
OM2_C_4A_3	0.0268532917480397	0.0021277952179903	0.00671003317080102	0.00670286451091406	0.0129099493050476	0.0339838190516462	0.0357043210824076	0.012863856297076	0	0.0114206682359607	0.0127032014411188	0.00567596845530011	0.0346391328848212	0.0136931080987362	0.0165476631799292	0.0377546966938454	0.00924090320669549	0.0106935492489164	0.0212362020030896	0.0113926059285795	0.00980324592153112	0.00990376703045217	0.00508603513664846	0.0128441264802412	0.0655034415077996	0.0595811495274889	0.046966658254729	0.0129993314974941	0.00818577673867777	0.00612661805599109	0.0118375313149564	0.0105155531792027	0.00704909467079995	0.0193528408735421	0.00486295572407948	0.0142134237273282	0.0173812450907189	0.00907920919271339	0.00767371954221894	0.00744953130666275	0.0145556905855872	0.00615466194400874	0.017920499248682	0.0173887593804283	0.00736954827654009	0.0108379665024486	0.00849371388194873	0.0174804356210323	0.041071641002169	0.0277035979754943	0.0133512675809671	0.00774917763020501	0.0232813645883563	0.0145872202932766	0.0138235126145974	0.017907149346271	0.0314646552289572	0.0306263727265049
OM2_C_4B_1	0.020981527967791	0.0102609209570763	0.00628789247013458	0.0109015426875465	0.0197612530679709	0.0392938782520924	0.0245799695677775	0.014139137750461	0.0114206682359607	0	0.00944009875069362	0.0137925798483256	0.0355715799561918	0.0135169111299466	0.0202253026086015	0.0316910798760707	0.00613039338311335	0.013788287042331	0.0180009770808669	0.0105023251239612	0.0158851495001485	0.00449949571973266	0.00842590140906591	0.0197668788028481	0.0631785402924993	0.0574404583695836	0.047215259379436	0.00831794344108579	0.0067161022321619	0.0139373205154911	0.0114186452438345	0.00798632487114769	0.0139997290065985	0.0180459483885722	0.0091875322118921	0.018767671218089	0.0199778415358365	0.0108186945614872	0.0184815390569198	0.00738937690153096	0.0172978797046258	0.00984233232482554	0.0225268662979432	0.0224600160727191	0.00925346799367833	0.0177649579425633	0.0171979117267475	0.0127954181774664	0.0327206823240809	0.0240650585150707	0.0106243257267969	0.0070165127224794	0.0286753873351467	0.00604748384068518	0.00926091190334272	0.023413021728354	0.0211730795876063	0.0300844336624158
OM2_C_4B_2	0.0285975349909315	0.0111986355041341	0.00695437365835253	0.0074465500842942	0.0133483545470265	0.0306406278786855	0.0305261010411657	0.020040469467231	0.0127032014411188	0.00944009875069362	0	0.0106929690529557	0.0262155952903113	0.0209624901171289	0.0119376262628931	0.0404216294174969	0.00496464641629829	0.0196418489584726	0.0255472822895483	0.00245073105679869	0.0210012219066084	0.012927349422162	0.0135004719142248	0.0140095741789692	0.0545899486549086	0.0487663068559498	0.0378878135256662	0.0158114217799479	0.0136516489595939	0.0176664336980164	0.0193845732413713	0.0162236478223321	0.0101090366557707	0.0261941481094606	0.0118510719718513	0.0111272359946602	0.0118536976042595	0.0154931426356157	0.0197421141801692	0.0141085104991382	0.00914362985515297	0.00690454162173504	0.0146980712648088	0.0145484547483122	0.0147864041000635	0.0220504236100159	0.0201423627444399	0.0212626015870059	0.0408829152782136	0.0326644216570269	0.0184483271928559	0.0118606071437437	0.0203754251131603	0.0126271861919167	0.018211038625666	0.0157849558648351	0.0269339815170607	0.0208787316293662
OM2_C_4B_3	0.030728340487501	0.0054797992070174	0.00776580133081618	0.00437007959308517	0.00732244095678462	0.0284417968304186	0.0382470077292667	0.0171431304823579	0.00567596845530011	0.0137925798483256	0.0106929690529557	0	0.029343878924096	0.0187043679008497	0.0112440525696392	0.0424104053645014	0.00919244782951619	0.0155525795571605	0.0254954916266731	0.00864030655464181	0.0149391054960312	0.0139405879847876	0.0102006106798182	0.00775299301321077	0.0606298431387427	0.0547001484549772	0.0416134667752115	0.016797508018245	0.0126739468099562	0.0110336356118046	0.0172696908244388	0.0154915289055405	0.00275181100930675	0.0244510301719988	0.00818423932155739	0.00869417079032907	0.0123967354363334	0.0128041330647893	0.0102360466983274	0.0123881640668535	0.00970921990353145	0.00439796901138917	0.012482956836517	0.0118640082991353	0.0119796019653633	0.0152810275940596	0.012349962296159	0.0219689451226976	0.0451372206750905	0.0325928330803431	0.0179185159226105	0.0110655192214378	0.0176288175100258	0.0169910170439257	0.0185994000942587	0.0123516136402432	0.0338597855339894	0.0257432602664048
OM2_C_4C_1	0.0537266896249399	0.0334774857172639	0.0316966788900544	0.0284902002870954	0.0233936299348654	0.0144160072715871	0.0522284023414033	0.0444163069972659	0.0346391328848212	0.0355715799561918	0.0262155952903113	0.029343878924096	0	0.0462324926024409	0.0182940808910216	0.0661381108649026	0.0306479478129684	0.0438514915015487	0.0508471065308946	0.0257287010170505	0.0441303620859157	0.0388922489430634	0.0379661931166865	0.0255510719120026	0.0326665320946692	0.0267225331299929	0.0134273827962639	0.0415923920099168	0.0391635102301013	0.0402256585473475	0.0447579152640991	0.0418857551499733	0.0279206101319665	0.0517679102616099	0.0356474781602534	0.0214614937285108	0.0203979793053378	0.0397318272457357	0.0388450444963371	0.0391523831112279	0.0202608488806667	0.0292296781340672	0.0200565471976749	0.0184362402781477	0.0395181550488525	0.0443126070170005	0.0413491814297014	0.0472338279067356	0.065597804989585	0.0585312895449261	0.0441606751355667	0.0369799076107567	0.0162366656607283	0.0383040254018444	0.0442847912542256	0.0202409087833318	0.049583556656334	0.00645346330181944
OM2_C_4C_2	0.014910675245972	0.0146309410923758	0.0154250784734095	0.0188295830295768	0.0258886474002975	0.0469233957574691	0.029868984634023	0.00422936584030692	0.0136931080987362	0.0135169111299466	0.0209624901171289	0.0187043679008497	0.0462324926024409	0	0.0291299305512425	0.0247497512945296	0.0160429648846745	0.0042510278573399	0.00852331476113507	0.020726800990648	0.00763142766502542	0.00939956851795089	0.0093601704524773	0.0242399686351648	0.075008330754872	0.0692975716871404	0.0577084382772574	0.00677102364836027	0.00764080679206852	0.00949846694901657	0.00514273499620119	0.00713235793229923	0.0203784512002773	0.00575580890788098	0.0108772359186671	0.025994995236314	0.0274640932149318	0.0071566827053867	0.0152899362036236	0.00933674271269789	0.0267961416522607	0.0175237776654476	0.0290629282195382	0.030337128836197	0.00686571024794421	0.00916425968595806	0.0113504985812259	0.00604892046012181	0.029585457743345	0.0141139703003582	0.00355259059518475	0.00932024944718412	0.0355762477226948	0.0120903400674053	0.00613823435309013	0.0296121407345597	0.0244266016302306	0.0415129100382119
OM2_C_4C_3	0.0392249165776581	0.0154879745050893	0.0148646113802994	0.0107929485129168	0.00612891249327172	0.0191435347565151	0.0422070266436207	0.0275520882339135	0.0165476631799292	0.0202253026086015	0.0119376262628931	0.0112440525696392	0.0182940808910216	0.0291299305512425	0	0.0512991233516247	0.014924609578042	0.0264085507844045	0.0350538896057375	0.0104056640059596	0.0261464898690794	0.0224414644417967	0.0203810623587099	0.00982451644671501	0.0501830887022736	0.0441936420256022	0.0310462761856912	0.0256565796812183	0.022203003551629	0.0222516652934696	0.0273944545291442	0.0249038217361033	0.00967286933804635	0.0348417711139471	0.0183550419085083	0.00547131675387922	0.00870483002323231	0.0228971073223892	0.0208798254418444	0.0218469757451508	0.00306942711973915	0.0117633896528865	0.00808680696126137	0.00302127299005795	0.0222685885559172	0.0264826036026999	0.0234821397260784	0.0312289723487437	0.0525252342643561	0.0424339936491067	0.027613299894068	0.0203242373955269	0.00980616610782323	0.0237816568642782	0.027796846806	0.00780207493132039	0.0387715819445828	0.0151696814730392
OM2_C_4E_1	0.0137346176416437	0.0381052800262208	0.0369122596638264	0.041349772997333	0.0493753858206342	0.0697964904104416	0.025158380362993	0.0270952794003301	0.0377546966938454	0.0316910798760707	0.0404216294174969	0.0424104053645014	0.0661381108649026	0.0247497512945296	0.0512991233516247	0	0.03645704195669	0.0288217051232718	0.0182984360881461	0.0412768800167684	0.0318155142843434	0.0294733796418125	0.0328032488809459	0.0475744203357897	0.090147082547008	0.0849794281677738	0.0762761011165201	0.0258837281603623	0.029923192058889	0.0342323345550246	0.0267902866413522	0.0280089975318346	0.0437231392744224	0.0198668731404265	0.0343609056016912	0.0484675326340652	0.048656687205263	0.0304266008243331	0.0399354836834904	0.0313930694816574	0.0485891284929564	0.0399885679614469	0.0513054686452558	0.0531397806426817	0.0306554122935235	0.0330183610162191	0.0357981159714791	0.020459295480267	0.00953397544632063	0.0114430502750957	0.0245717421945223	0.0315252352499556	0.0583478962220737	0.0279864184095055	0.0244094896330785	0.0523584971772544	0.02170632716459	0.0604866406404224
