	OM2_B_B_1	OM2_B_B_2	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.0176315601890671	0.0245170787770218	0.0261973342332885	0.0207179210491133	0.0228233467775014	0.0324246683531408	0.0171981943072254	0.0225060492016063	0.0206909777277557	0.0141011564402039	0.0288665376182205	0.0314602375799793	0.0428070347958045	0.0217455268398746	0.0266987492803167	0.0327738830359517	0.0284031179949804	0.0320373878443168	0.0260766331183141	0.0207441726974272	0.0255900418688058	0.0185607740772276	0.0188374034151808	0.0214552736257545	0.0194765441961975	0.0171678693574647	0.0274368001041848	0.0203099950019718	0.0295756682073972	0.0266027157895218	0.019847424754425	0.0199380461431054	0.0287466128303025	0.0188002177793486	0.0203102977915588	0.0304737192575717	0.0172499009500892	0.0209932034866399	0.0371141204162204	0.037120905349329	0.0322165863830527	0.016397100505216	0.0171269862777417	0.0360039101595143	0.0279976445191047	0.0323501837762082	0.0258120411817164	0.0242135792851643	0.0322563878674125	0.0264360939457764	0.0181128389350468	0.0365598376605619	0.00468283114493795	0.0212923915318685	0.0235171727966931	0.0047927606162609	0.00594395578339607
OM2_B_B_2	0.0176315601890671	0	0.0103187222035746	0.00889550564521283	0.00649888783861678	0.0108477245539077	0.017987161589496	0.00231421378809313	0.0110824401466768	0.00707566038981439	0.00922504326724599	0.0130183143578443	0.0146624125829025	0.0255998371920549	0.013554500003141	0.0115988189300799	0.0175462969241251	0.0160333933924666	0.0156741037542822	0.00984334559988543	0.00465405923111874	0.0111844219138839	0.00316466492395219	0.00403377767139519	0.00896459381371415	0.00369120651038885	0.00651125320966969	0.0105008930675977	0.00468482551419718	0.01568490637885	0.00984535631814224	0.00557243687812215	0.00230833842363606	0.0117083166540506	0.00195374579086387	0.0070649611639597	0.0128494515776511	0.00843041243349636	0.00765275837717853	0.019895333500864	0.0219102576687185	0.0159614340070127	0.00674187824310572	0.00531877083653173	0.0188986285811884	0.0115750551622567	0.0149777261592008	0.00880277523425038	0.00720463321423024	0.0151635472832435	0.0100674471966446	0.00216789342612196	0.0411104809146796	0.0209849652800857	0.00931995963912263	0.00600702553599694	0.0177243937285012	0.0222188409919889
OM2_B_C_1	0.0245170787770218	0.0103187222035746	0	0.00679160926411975	0.0153413094893717	0.00305723522050936	0.00808546689005217	0.0125609286860969	0.00371866038607201	0.00391262913262972	0.0195071126983165	0.00483632776739691	0.00831713701311519	0.0194589581851706	0.0074462509403419	0.00237788131956871	0.00826016411981016	0.00583944877202897	0.00814619706216116	0.00376212152572529	0.00571480513222031	0.00107332440781726	0.00737710126839633	0.00663991020452382	0.00325617068348178	0.00665325307852241	0.00735117351608801	0.00596654994140026	0.0133394601076196	0.00546935328316775	0.00514498745907466	0.0051423192801192	0.00944856678379516	0.00695931810968214	0.00837062322730887	0.0042432722134549	0.0120274780295183	0.00764976747486194	0.00353611690729337	0.0141716589601671	0.0126263895883591	0.00819148782147205	0.00813210314571755	0.00751373355869612	0.012889079882669	0.00504835956359862	0.0106452129094434	0.00565917320038722	0.00559922773552677	0.00963433442781292	0.00416459347900376	0.00832996944803642	0.0514087730504611	0.0287333125944757	0.00364486264017517	0.0103040424084128	0.026140289984893	0.0300437680156582
OM2_B_C_2	0.0261973342332885	0.00889550564521283	0.00679160926411975	0	0.0109882505769103	0.00956344438744491	0.0111755214854952	0.0103574795309272	0.0101888965764912	0.00758172356520794	0.0173469296534199	0.00564221499255865	0.0059353903108042	0.0167242319382953	0.0139410292004182	0.00591925193162554	0.010033243662313	0.0117339178873911	0.00725935338883991	0.0032642551076068	0.00569220239251906	0.00675766227126116	0.00773801579147101	0.00769122554735055	0.00869525558312629	0.00686413406697126	0.0106194260524064	0.00201904578002329	0.00932578823410146	0.00994100951086528	0.00204568192698732	0.00735522261629937	0.0067952928822509	0.00292065335802033	0.00742043643403025	0.00800865839070752	0.00553208248812406	0.0119733590842517	0.00779280796146636	0.0110126557881665	0.0140100883476387	0.00762465369906374	0.0113919958833211	0.00996186408712865	0.0100041345369327	0.00373146160717815	0.00615667777972225	0.00113252667369971	0.00212707457154631	0.0062775868404362	0.00303642910942077	0.00808804485041596	0.0479381275675068	0.0297943336236347	0.00927224280154543	0.00499567658775692	0.0266065467071571	0.0310469647000095
OM2_B_C_3	0.0207179210491133	0.00649888783861678	0.0153413094893717	0.0109882505769103	0	0.0166618964347701	0.0219254056052413	0.00475723966729792	0.0170173688036447	0.0129459761639523	0.0078436071336102	0.016444909188599	0.0167200365489453	0.0260516131890257	0.0198641363062547	0.0158599882144924	0.0209709394134269	0.0211693923905966	0.0182033692446311	0.0134380236413458	0.0098856731683687	0.0159538655458598	0.00934199552740731	0.0101790610797096	0.0148781843931521	0.00949615437166903	0.012999260379188	0.0130010624124965	0.00202851420782563	0.0201641455962132	0.0127728211955697	0.0115234278431584	0.00604602320529982	0.013791630649712	0.0078168602510621	0.0130585777181936	0.0121269927369508	0.014924214938198	0.0135107588016211	0.0206575126570836	0.0249947331614943	0.0185851251241098	0.013238150446716	0.0118051470627116	0.0199803958665822	0.0146154986351607	0.0157948838249142	0.0115618156601941	0.010425383284413	0.0166386993157694	0.0134616683175728	0.00846292629319318	0.0369575275562639	0.0229858265648189	0.0153255133485533	0.00601305647874545	0.0192809350131774	0.024048350015582
OM2_C_4A_1	0.0228233467775014	0.0108477245539077	0.00305723522050936	0.00956344438744491	0.0166618964347701	0	0.00969423303530889	0.0131617204539849	0.000661531644333811	0.00378056463854485	0.0196604990479128	0.00771506432207135	0.0112984731130368	0.0222304526646667	0.00442204489298552	0.00526652208131294	0.0103888047640074	0.00577140914314523	0.0109517572567424	0.00675267717517815	0.00679111762727261	0.00379236854163006	0.0076852755647147	0.00682143667484583	0.00189745998814438	0.00725766552023607	0.00601821987565276	0.00896943972206723	0.0146341377136256	0.00680097427882302	0.00810623761699497	0.00527868787212177	0.0106163635106336	0.0100068679704208	0.00904030801713168	0.00379511205300953	0.0149567036131206	0.00557696930210522	0.00320218922861403	0.0170865349326071	0.014520525409812	0.010938404909958	0.00664418549396508	0.00664789191335818	0.0157929367418852	0.00810327162171156	0.0136992625137653	0.00844958241633117	0.00802043427668197	0.0126520989973134	0.00717312305276791	0.00868850430894761	0.0517188550860685	0.027223812930477	0.00169842730160372	0.0123348981525393	0.0249290613758021	0.0285389548881593
OM2_C_4A_2	0.0324246683531408	0.017987161589496	0.00808546689005217	0.0111755214854952	0.0219254056052413	0.00969423303530889	0	0.0200825733455491	0.010120962730203	0.0119949066987482	0.0271967259262264	0.00553637935340922	0.00721138431448657	0.0142844382223833	0.0124462748648453	0.00638928787937253	0.00200137821017423	0.00515022779163574	0.00551336168752027	0.00850404905982929	0.0133533090446185	0.00704555066231103	0.0152939040405655	0.0146293179529124	0.0109770066119923	0.0144797208576486	0.0153171074977171	0.0092096326421606	0.0200792635521495	0.00290293349871609	0.00921469516740249	0.0131943729042257	0.0166312270948202	0.00894426321503409	0.0160494621344241	0.0123077049169236	0.0139762847962556	0.0152379246729945	0.0115875752276941	0.0105914893706398	0.00487720674179447	0.00512301547553074	0.0160565908553384	0.0155831632340797	0.00943177989576169	0.00744523557301317	0.0101875071094402	0.0104101381011907	0.0115205144237675	0.00850052698152245	0.00846490123525495	0.0161833875260384	0.05871520520453	0.036730688003735	0.0111429589754221	0.0160826434840218	0.0342107225376136	0.0380438749826511
OM2_C_4A_3	0.0171981943072254	0.00231421378809313	0.0125609286860969	0.0103574795309272	0.00475723966729792	0.0131617204539849	0.0200825733455491	0	0.0133923799286925	0.00938948263582644	0.00714793142545622	0.01495720519751	0.0162650344523337	0.026853721823005	0.0157807537316283	0.01371114073146	0.0195292281595294	0.0183135194388697	0.0174190346885	0.0117706751380336	0.00685404042430181	0.0133912663628047	0.00547779193694513	0.00634555999758343	0.0112777198284912	0.0059819383049971	0.00860448449531172	0.0121420755093197	0.00339673835180698	0.0178696497328674	0.0115909932592829	0.0078864351361589	0.00360239907252457	0.013259764543798	0.00420530520552915	0.00937741896510086	0.0135500254236526	0.0104819441502281	0.00996672308244154	0.0211935209296193	0.0238428074601199	0.0177344896109624	0.00871898685988952	0.00743280248574745	0.0202797865800442	0.0133920068238851	0.016222610955609	0.0104658539266024	0.00894113446491895	0.0166079499108849	0.0119470655666291	0.00447766847491118	0.0388581571458591	0.0201450412731008	0.011627671169399	0.00648386183473102	0.0166847313756226	0.0213264161356235
OM2_C_4B_1	0.0225060492016063	0.0110824401466768	0.00371866038607201	0.0101888965764912	0.0170173688036447	0.000661531644333811	0.010120962730203	0.0133923799286925	0	0.00407717179624214	0.0197685510335328	0.00835139515909697	0.0119461824128651	0.0228346534932082	0.00377193380212999	0.00591130701803927	0.010899754949223	0.0059543013738001	0.0115713203664194	0.00740864047498378	0.00718588856097185	0.00443639912009161	0.00791935182482215	0.00704902106029459	0.0021431296830137	0.00755801008123368	0.00591387823761033	0.00962541974332319	0.0149925505796173	0.00721872465183208	0.00875791521122609	0.0055461466927507	0.0109759632529087	0.0106676945977725	0.00932332900586594	0.00402216908828406	0.0156000250727761	0.00526807600956222	0.00350766890659571	0.017720021289949	0.0149718495644625	0.0115485741027003	0.00648157796952808	0.00664620442870492	0.0164249658045561	0.00876402187352027	0.0143596589738413	0.00907989655633487	0.00860379332579716	0.0133056116256944	0.00783055272201828	0.00891536327553189	0.0518220942015494	0.026943354548419	0.00177138851269417	0.0128363316210401	0.0247211619392323	0.0282579554250643
OM2_C_4B_2	0.0206909777277557	0.00707566038981439	0.00391262913262972	0.00758172356520794	0.0129459761639523	0.00378056463854485	0.0119949066987482	0.00938948263582644	0.00407717179624214	0	0.0160146631208502	0.00824611844658892	0.0112621523155621	0.022685646764668	0.00718341432727148	0.00600948726753425	0.0121212954295867	0.00912571474768144	0.0115150161901363	0.00586042958187699	0.00319714050086266	0.00497151830979897	0.00392112840806449	0.00306933546437177	0.00193428322479627	0.00348440441773116	0.00360313037397854	0.00780500577205136	0.0109233299797469	0.00931774670124729	0.00685926564677339	0.00150355349310425	0.00691110904886822	0.00908646048154604	0.00526126999232117	0.000448979786037873	0.013097895332487	0.00448225884792673	0.00057842950554242	0.0171613058251894	0.0165140123244395	0.0116440294436567	0.00441985154667696	0.00360823761017925	0.0159325298660169	0.00772144586763284	0.0129776114734666	0.0066433330900201	0.00558410904017455	0.0123559418946552	0.00628786831145293	0.00492610483361138	0.0480563082663969	0.0248521868853528	0.00239366766615892	0.00909182172455111	0.0222291465908054	0.0261606490070934
