	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0129678396585926	0.00977985283859933	0.0142229964451363	0.00756854410426277	0.0189751186846559	0.00648893814897798	0.00906693235257406	0.0075815604467514	0.00606180615306916	0.00566482924527106	0.0173160239706954	0.004128174044708	0.0078037244525955	0.0178443060989539	0.00493132480190899	0.0141502463275365	0.0132341407175051	0.00644255407824685	0.00557497934840939	0.00951551885562111	0.0108607108576206	0.00790404533865621	0.0083914182157091	0.00845838016427754	0.00950261678633379	0.00478151803553388	0.0581104079725147	0.0675854773491955	0.0597513655512905	0.00624100221463609	0.00882657470437956	0.0110451735868759	0.00950844306162629	0.0158198818102664	0.017536058059196	0.0106609627898897	0.0148658704872972	0.0274630704699653	0.00462915981670021	0.0155415553747124	0.019313743363043	0.0116954632191732	0.0199433907469732	0.0103404256528453	0.0129379148151591	0.0105541705321737	0.00828979835885595	0.0160919985741459	0.0112146969997357	0.0111891345760329	0.0166143519914541	0.0089743589614827	0.00621629141131579	0.0115249997466623	0.00390455081991496	0.0103454232061729	0.0125903508019308
OM2_B_B_2	0.0129678396585926	0	0.00801782867400807	0.0123622025442079	0.0142583246331624	0.0064816639987185	0.0140722491960619	0.010460938888413	0.0120090281261036	0.0100875503947404	0.010226078281758	0.00528202601689959	0.0096045194957879	0.00686778989143817	0.00588054344221287	0.00981876128621324	0.00140826479272613	0.0032236175689359	0.0158681882995192	0.0140369374300984	0.0125992220639627	0.0098362573925296	0.0152031524484189	0.00558969459427033	0.019149447834884	0.0208481100161662	0.0108174727905553	0.0701362959846349	0.0796514881934595	0.0713551945055799	0.0177898064719891	0.0116241544346133	0.00470712584656358	0.00743669142666981	0.00375224618489563	0.00537154072010303	0.00279009910875377	0.00424926943367999	0.0145657975403675	0.017045072968886	0.00748511946403438	0.00849483247701944	0.00971602645399588	0.00831903777872365	0.0159706095158692	0.00434470087413354	0.0156916828692198	0.0117010967689195	0.00389372693103734	0.0074352417352368	0.00206462747699243	0.00464626533821374	0.01122266762963	0.00948174782505372	0.0127852002863867	0.016369835744091	0.0182795339124902	0.00549864444356827
OM2_B_B_3	0.00977985283859933	0.00801782867400807	0	0.00673548066661512	0.00711314828076805	0.0122306674231315	0.00972968316986941	0.00429314499244738	0.0047202455104844	0.00423377951548001	0.00516499241932318	0.00963312635505256	0.00803199617274629	0.00410829382156627	0.0125920302271155	0.00558428571151509	0.00884876747027302	0.00787356192905783	0.00958262780614812	0.00802302543145493	0.00522916696957388	0.00220129864417103	0.00803843317372551	0.00414088336977884	0.0129643996103242	0.0145176386902057	0.00694769468282251	0.0633172957436381	0.0728138113709798	0.0643267697592659	0.0121936256983067	0.00501146053563552	0.00342092308306576	0.00307845259127839	0.00968617196970918	0.0122482274496023	0.00571015185891654	0.0107045905485151	0.0212814297731496	0.0122931464125967	0.00844409445635364	0.0108205548109623	0.00332163893574549	0.0133319496226585	0.00820201191230993	0.0050659839832498	0.00813833176130947	0.00459567501251351	0.00889143482066219	0.0053284733163456	0.00654981150943134	0.00942172410976211	0.00335853206854653	0.00365673589498223	0.00544178770367174	0.0128847384042435	0.0111197727639036	0.00961389189215308
OM2_B_C_1	0.0142229964451363	0.0123622025442079	0.00673548066661512	0	0.008911514049356	0.0138277951262288	0.010754446673055	0.00518063425594091	0.00879406700157924	0.00973560608436119	0.0109968955994549	0.0120715578629385	0.0122653793227656	0.0107068217581978	0.0169755496334818	0.0114312577513659	0.0125189624767668	0.013233538692854	0.0113447459778901	0.0123760439116681	0.00552222234806902	0.00495015325184759	0.0110274602546671	0.0104454197882866	0.0140582475132162	0.0167186829661298	0.0128728587529351	0.0628339297331083	0.0724146254183037	0.063194392989411	0.0143708286222333	0.00557600474107874	0.00864687159105068	0.00974722825025835	0.0120097194265322	0.0165371280748392	0.0110962974080453	0.0132151529795447	0.0232681407141515	0.0160910842426513	0.00768269418439584	0.0133850937077404	0.00342120682278124	0.0172729666672767	0.00853954590212616	0.00968292933929834	0.00743672566103626	0.00628949721465294	0.011926112537491	0.0116899969869492	0.0110005658562575	0.0130243718259711	0.00686078316077688	0.00901198807782249	0.00371737509004941	0.0160810431694062	0.0108214673391496	0.015708400205928
OM2_B_C_2	0.00756854410426277	0.0142583246331624	0.00711314828076805	0.008911514049356	0	0.0188810740073478	0.00620243416620401	0.00521212306384812	0.0033398809646297	0.00505118215916315	0.0059370111817853	0.0166413675828818	0.00843613792105484	0.0085771755551961	0.0192828915084582	0.00646752702418582	0.0151944346904802	0.014332371662881	0.00304019974929874	0.0044952175438057	0.00340705772999612	0.00649178234777457	0.00303513090830057	0.00928768538188748	0.0061126742212947	0.00798877050336876	0.0072118567179411	0.0563071839200293	0.0658462130430178	0.0573258872223822	0.00600223270185563	0.00408606834533242	0.010253103696136	0.00857793456745961	0.0160917170245682	0.018941817892084	0.011742957435737	0.0162902855491947	0.0282025517114688	0.00757928816935917	0.0137996134624612	0.0178393738295804	0.00739356608932484	0.0202880061543724	0.00283557831283426	0.0121135429975999	0.00313075261755324	0.00317445293911725	0.0158456371498091	0.0108622222262138	0.012380069974612	0.0164719220095843	0.00412279249618294	0.00510237443874423	0.00533616697584836	0.00884230814418276	0.00431746627214514	0.0151043880606998
OM2_B_C_3	0.0189751186846559	0.0064816639987185	0.0122306674231315	0.0138277951262288	0.0188810740073478	0	0.018615674778806	0.0141994009679114	0.0168721324310376	0.0155220494641521	0.0159526424241652	0.00360338586793076	0.0153109396574153	0.0127058684420848	0.00684259310988742	0.0157328320808085	0.00514568619306933	0.00817625835067678	0.0208347375493008	0.0196234178557598	0.0163646241896975	0.0132679811217793	0.0201976860058007	0.0114664005587023	0.0241124124062051	0.0262584804652241	0.0168994820403721	0.0750432586192156	0.0846152122324612	0.0758919367889818	0.0231365512888418	0.0154710363750223	0.00921326522894542	0.0125281370782205	0.00318962713924389	0.00635169415422287	0.00884461807982667	0.00547060124825802	0.00974415962507005	0.0229727546810873	0.00685975454567456	0.00724927684045992	0.0124734007444087	0.00784156503566438	0.0200278092426466	0.00799170815808268	0.0194531755369482	0.0158723974863857	0.0040067644658927	0.0123574069917295	0.00785056248725808	0.00516758060306192	0.0155114962444769	0.0147909185790014	0.0157871419754315	0.0220912157761015	0.0225055977199099	0.0109367164112828
OM2_C_4A_1	0.00648893814897798	0.0140722491960619	0.00972968316986941	0.010754446673055	0.00620243416620401	0.018615674778806	0	0.00632749628517193	0.00818939596217352	0.00792920660299122	0.00864559520361953	0.0174409674732959	0.00604902023007533	0.0102944074652199	0.0198156255020789	0.00832767118803861	0.0148227549524719	0.015330648230106	0.00499757157539003	0.00837525833592994	0.00693446293856899	0.00973860137917268	0.00868166707448736	0.0103978185665361	0.00679359569420991	0.0104075127488589	0.00925503811151935	0.0572624775745332	0.0669187806534181	0.0582687153450726	0.00621658797434539	0.00585006686779359	0.0116191363936625	0.0113619545784572	0.0155908101706074	0.0193665070399355	0.012169763451678	0.0146775649833322	0.0280357466307288	0.0083369990845128	0.0132716612972995	0.0199167511467956	0.00965903356240592	0.0217303922523605	0.00847715335106787	0.0137015008552874	0.00759973544943367	0.00623253617280393	0.0164648200988859	0.0137485801247168	0.0120108588579379	0.017554267617817	0.0085129082790421	0.00739654531605001	0.0086716522441494	0.00621404588590441	0.00736213368257303	0.0159994471409157
OM2_C_4A_2	0.00906693235257406	0.010460938888413	0.00429314499244738	0.00518063425594091	0.00521212306384812	0.0141994009679114	0.00632749628517193	0	0.00516930915541754	0.00540177840235345	0.00667008107376778	0.0123914202661261	0.00729587622678375	0.00705859250094449	0.0158493117372492	0.00686886984168713	0.0110842697531845	0.0113380487730129	0.00721384885343131	0.00812527459932963	0.00266366749075255	0.00369210729459727	0.00761935624577347	0.00698928758515712	0.0103471650646599	0.0129987089575114	0.00834772885581394	0.0609240913970439	0.0705237165788155	0.0617254582493514	0.0100305719621325	0.00128806085992904	0.00674133148697864	0.00701218411533649	0.0114990371332965	0.0154140121605094	0.00849730411666117	0.0117998302019857	0.0237991785250534	0.0113390808330749	0.00864595875563078	0.0142966378615716	0.00333367156884333	0.0169846950214899	0.00651352468575673	0.00862250303698032	0.00562121437011277	0.00214566365274195	0.0116770547265858	0.00945488073964565	0.00858119874116742	0.0126928329679135	0.00390902692702938	0.00452795281483936	0.00346093953711603	0.0110765330740211	0.00833173776881772	0.0129880871336228
OM2_C_4A_3	0.0075815604467514	0.0120090281261036	0.0047202455104844	0.00879406700157924	0.0033398809646297	0.0168721324310376	0.00818939596217352	0.00516930915541754	0	0.00257698503473213	0.00346207380302464	0.0142792716858032	0.00797892234887378	0.005849184960689	0.0165447913042224	0.00434794351802999	0.0130496031149454	0.0115476297540836	0.00581825457206493	0.00380010229504747	0.00405921613273471	0.00472059890760954	0.00333301063790007	0.00676264576916698	0.00902225108443495	0.00993887272556647	0.00515652185642266	0.0588244101227847	0.0682852739303651	0.0599839557608267	0.00830535238343024	0.0046748273328751	0.00779972509757649	0.00548422145880538	0.0141694844195359	0.0162592762002803	0.0093415862226618	0.0147059680259339	0.0258208747263727	0.00846247504304011	0.0126915817603471	0.0151055580067169	0.0062568257527762	0.0173527213773511	0.00474266414213098	0.00947783156877238	0.00544377510692599	0.00339025898140557	0.0134677249908	0.00762166875926728	0.0103418296673308	0.0138284240488539	0.00203878990122526	0.00297811003065195	0.00551748109966088	0.0101408928334715	0.0075215674865289	0.0122630151304735
OM2_C_4B_1	0.00606180615306916	0.0100875503947404	0.00423377951548001	0.00973560608436119	0.00505118215916315	0.0155220494641521	0.00792920660299122	0.00540177840235345	0.00257698503473213	0	0.00130237397641062	0.0130955905814328	0.00592731680273971	0.00365355443022902	0.0147254748770408	0.00193269643726575	0.0112420578333465	0.00969851217767743	0.00672351595549514	0.00410585906354712	0.00553757891939111	0.00533870455411949	0.00522503147082639	0.00461484692739966	0.0100170497831188	0.0110015907653906	0.00316555996713169	0.0603548124568629	0.0698183286104344	0.0616628323422079	0.00875516525477777	0.00538032542707028	0.00643935906178828	0.00415658388225282	0.0126531552901853	0.0144354722021176	0.00735427894176136	0.0128926562360421	0.0242938687881277	0.00819157594156572	0.0119581200935138	0.0143192551413786	0.00670089025890987	0.0159378804886448	0.00712069063103252	0.00823890654731728	0.00754258045640135	0.00438178447131048	0.0121048073844499	0.00633457039991227	0.00839916411384766	0.0124568657677054	0.00353123158771553	0.00105754632699556	0.00703901745999456	0.00930911896059406	0.00934000289567467	0.0101086996845267
