	OM2_B_B_1	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_6E_1	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.00509531127686929	0.000902390900756376	0.000538106240672564	0.0115523200425457	0.00514666575449556	0.00426260062466856	0.0030779179845992	0.00835314342728439	0.0307342144073237	0.0115724971643958	0.00881798907592941	0.0227181067939864	0.00810812809072385	6.91288022749515e-05	0.0261475013687674	0.0170176030065907	0.013361807426091	0.000696157759624064	0.000471122774777615	0.0189442259497797	0.00780724667678604	0.0260834182007822	0.0109012893485655	0.0812478564793422	0.0842287201373983	0.064966798806027	0.0062716319972386	0.0176033885905008	0.000780866620379537	0.00868576101080647	0.0425456413321133	0.00981309127257183	0.00947504773719523	0.00324839284720357
OM2_B_C_1	0.00509531127686929	0	0.0059976925879424	0.00563341214666294	0.00645714074970273	5.13549455789006e-05	0.00935784119367562	0.00817318467572844	0.00325788031612604	0.0256402954671617	0.00647731851497681	0.00372273589738506	0.0176235032526573	0.00301286005168525	0.00516443944574999	0.0210531629664878	0.0119226505424593	0.00826669155347353	0.00439915894247248	0.00462419236145065	0.024038728138366	0.00271197287659849	0.0209890744636433	0.00580609006741089	0.0761634862172848	0.0791451981606089	0.0598783591721346	0.0011763337809154	0.0125084666956137	0.00431445062456163	0.0137808599752465	0.0476373344396363	0.00471786192482938	0.00437980990136744	0.00184692905441901
OM2_B_C_2	0.000902390900756376	0.0059976925879424	0	0.000364284721533184	0.0124546658292107	0.00604904688603758	0.00336021422442398	0.00217552918752326	0.00925551007740637	0.0316363009509212	0.0124748427991504	0.00972035309230377	0.0236203296239025	0.00901049607462666	0.00083326211740751	0.02704967080341	0.0179198983432864	0.0142641385772157	0.00159854831090472	0.00137351347232923	0.018041942710395	0.00870961624716884	0.0269855887005112	0.0118036398999523	0.0821481582600805	0.0851288662462578	0.0658678511935306	0.00717400878149446	0.0185056774121163	0.00168325710839924	0.00778339136674868	0.0416438113928258	0.0107154491961307	0.0103774078000305	0.00415077951586947
OM2_B_C_3	0.000538106240672564	0.00563341214666294	0.000364284721533184	0	0.0120904001690283	0.00568476652072263	0.00372449735848258	0.00253981320835846	0.00889123577675788	0.0312721412496572	0.0121105772016598	0.00935607988656999	0.0232561143604876	0.00864622121883583	0.000468977445373881	0.0266854773283185	0.0175556534216051	0.0138998789485684	0.00123426383933151	0.0010092289264447	0.0184061852005071	0.00834534073041719	0.0266213947910963	0.0114393722719251	0.0817847224386112	0.0847654934645546	0.06550411127807	0.00680973024786412	0.0181414351604039	0.00131897266826202	0.00814766803822295	0.0420078724937113	0.0103511785178396	0.0100131362350952	0.00378649678579907
OM2_C_4A_2	0.0115523200425457	0.00645714074970273	0.0124546658292107	0.0120904001690283	0	0.00640578654141734	0.0158146499660831	0.0146300572276234	0.00319928378705051	0.0191842556267781	2.0178060025079e-05	0.00273442765972752	0.0111668030718798	0.00344430394958893	0.0116214456194018	0.0145967100922707	0.00546565571717773	0.00180958430952896	0.0108561926144365	0.0110812182204494	0.0304942214359024	0.00374519063147932	0.014532616485642	0.000651059150361645	0.0697182550460207	0.0727009668906035	0.053428383908277	0.00528082088970478	0.00605149544435178	0.0107714871785987	0.0202373747985239	0.0540886604719422	0.00173929720865732	0.0020773512324465	0.00830403542558009
OM2_C_4A_3	0.00514666575449556	5.13549455789006e-05	0.00604904688603758	0.00568476652072263	0.00640578654141734	0	0.00940919456720185	0.00822453842133069	0.00320652555680383	0.0255889522027392	0.00642596431129834	0.00367138119548313	0.0175721538226617	0.00296150526517603	0.00521579391064789	0.0210018158944446	0.011871298118633	0.00821533781824598	0.00445051353870489	0.00467554692123812	0.0240900727230507	0.00266061805968319	0.0209377273436991	0.00575473571741721	0.0761122346162192	0.0790939548434177	0.0598270680183947	0.00112497885893498	0.0124571145261437	0.00436580523406425	0.0138322115155232	0.0476886485569409	0.00466650737170345	0.0043284552937642	0.00189828393749978
OM2_C_4B_2	0.00426260062466856	0.00935784119367562	0.00336021422442398	0.00372449735848258	0.0158146499660831	0.00940919456720185	0	0.00118468805385749	0.0126155878481831	0.0349952243293683	0.015834826269824	0.0130804187386498	0.0269798003168176	0.0123705800333822	0.00419347225348577	0.030408925620314	0.0212796673964628	0.0176240592000467	0.00495875326184335	0.00473372009011631	0.0146820394410151	0.0120697076133852	0.030344847801904	0.0151636450234779	0.085500187945531	0.0884803018827599	0.069222754990773	0.0105341346657087	0.0218654192886229	0.00504346140127867	0.00442321747968568	0.0382854788505106	0.0140754871947535	0.0137374554495571	0.00751095728119913
OM2_C_4B_3	0.0030779179845992	0.00817318467572844	0.00217552918752326	0.00253981320835846	0.0146300572276234	0.00822453842133069	0.00118468805385749	0	0.0114309592277711	0.0338110227486719	0.0146502337843447	0.0118957948099491	0.0257953986055822	0.0111859490114456	0.00300878940609421	0.0292246030873301	0.0200951553886964	0.0164394904771413	0.00377407292956507	0.00354903896817644	0.0158666310397823	0.010885073709865	0.0291605237010534	0.0139790443019303	0.0843184614087623	0.0872987873713973	0.0680400009217854	0.00934948721433253	0.020680917387286	0.00385878137707927	0.00560789528316571	0.0394695377778664	0.0128908739064413	0.0125528384554055	0.00632628882481353
OM2_C_4C_2	0.00835314342728439	0.00325788031612604	0.00925551007740637	0.00889123577675788	0.00319928378705051	0.00320652555680383	0.0126155878481831	0.0114309592277711	0	0.0223830632744796	0.00321946177297482	0.000464857538005349	0.0143659089437281	0.0002450210990546	0.00842227053832192	0.0177957058226948	0.00866488696824404	0.00500885803990762	0.00765700114202391	0.00788203143270448	0.0272958640787334	0.000545909113599162	0.0177316145133394	0.00254822647764459	0.0729118880496117	0.0758941149889969	0.0566243096764623	0.00208154930450453	0.00925071713337796	0.0075722939719478	0.0170384743014386	0.0508924525528401	0.00145998939641792	0.00112193514109234	0.00510479870456321
OM2_C_4E_2	0.0307342144073237	0.0256402954671617	0.0316363009509212	0.0312721412496572	0.0191842556267781	0.0255889522027392	0.0349952243293683	0.0338110227486719	0.0223830632744796	0	0.0191640801398054	0.0219182847832273	0.00801804791539311	0.0226280413591964	0.0308033205081605	0.00458799088114241	0.0137190984671175	0.0173748803643934	0.0300382795637889	0.0302632436222417	0.0496683929466099	0.0229288752766662	0.00465208872594232	0.0198352289140355	0.050557567204837	0.0535427517385896	0.0342563366296246	0.0244642174828994	0.0131332886101638	0.0299535971213125	0.0394163233136728	0.0732464686224365	0.0209233108674727	0.0212613131920806	0.027486773228503
