	OM2_B_C_1	OM2_B_C_2	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5F_1	OM2_C_5F_2	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_C_1	0	0.0393538562464288	0.0556167412547082	0.0626172754768293	0.0689507025269995	0.0717809379225142	0.0683323536052337	0.0689622334202793	0.0168646877441847	0.023030969416274	0.0528082103391144	0.0414592679170115	0.0419347310017694	0.0600779615498234	0.0574418404532231	0.0261725396937905	0.0408446866670469	0.0656936917686171	0.0748330504859503	0.0460886886679362	0.0534649225470969	0.0563918058996793	0.0542041210186713	0.0711902334760468	0.0624553651010223	0.0650815487009124	0.0412815694523632	0.0346766146728372	0.0715640007741672	0.0568496908680734	0.0659309317894872	0.0226071241039755	0.0434275775758628	0.0482648564618653	0.0429982125428221	0.0855789974070861	0.0720066006809868	0.0564400493147518
OM2_B_C_2	0.0393538562464288	0	0.0207207368233205	0.0233562384586859	0.0320189512375268	0.0333331264736515	0.0295957634964143	0.0298575313154814	0.0257827677343381	0.0165777414750396	0.0820299264204024	0.00421329607073965	0.0268563813904086	0.0315160146316271	0.0282263096177984	0.0565754879931632	0.0716236016081642	0.0264730187773281	0.0359383258526797	0.014934864695577	0.0146005568562374	0.0265642844438772	0.0173130226215917	0.0350455447055611	0.0243688516268044	0.0343984244859316	0.0122776991782339	0.00943330891182078	0.0326799911120827	0.0236437403593831	0.0301541641745221	0.0538224058526644	0.082705002843164	0.0875555841480915	0.0124642823364883	0.122924359992683	0.107383840048754	0.0957146815394103
OM2_C_4A_2	0.0556167412547082	0.0207207368233205	0	0.0196052651635427	0.0338868817582514	0.0307789312861517	0.0269666731433034	0.0184448947319019	0.0450596855587349	0.0351607919364813	0.102106476126281	0.0224737819468613	0.0460513755506451	0.0435244558926702	0.0406182269610573	0.0760784505656652	0.0913585979101602	0.0170592086287325	0.0222708896625795	0.00974182519500918	0.010785963992281	0.0389713301695279	0.0254712211662702	0.0376201485410705	0.0098240720827335	0.0143622732783118	0.0308038904124866	0.0300985252342747	0.019394374915791	0.00372586213579923	0.0103324605047861	0.0643482855037766	0.0976948189938116	0.102726624024854	0.0300743888285598	0.140791053389019	0.126214285628134	0.110940741040973
OM2_C_4A_3	0.0626172754768293	0.0233562384586859	0.0196052651635427	0	0.014392605922778	0.0116018150209072	0.00760427900086379	0.00942004898845489	0.048083951323705	0.0396706326562692	0.101530112468411	0.0213554307997815	0.0380591842172209	0.0278574636967086	0.0256966982992237	0.0776912023914666	0.0920668035533172	0.00617448951683995	0.0154357899888121	0.0250045359347965	0.0114058087860833	0.024369838288859	0.0123809821196058	0.0181210039124471	0.0119841211793393	0.0311307889744175	0.0252387853955282	0.0292663486059865	0.0128102186945445	0.0229254476640322	0.0205023803189984	0.0764955476860095	0.105934140039114	0.110747889722614	0.0236349681231473	0.144910441126519	0.128632515333255	0.118870615551367
OM2_C_4C_1	0.0689507025269995	0.0320189512375268	0.0338868817582514	0.014392605922778	0	0.00700324703483515	0.00828169767566857	0.0207975018305929	0.0528587681751696	0.0462786413400899	0.101190970930556	0.0285669882955311	0.0357034263368453	0.0188679321106709	0.0182784839212714	0.0796837370385069	0.0929191545135993	0.0190882123930669	0.0246256477794188	0.0381237932816778	0.0245316934762831	0.017793978498321	0.01498102874327	0.0037362254172007	0.0261757663682877	0.0453402577862747	0.0279408923589297	0.0343126361313262	0.0234807085956351	0.0372836972896988	0.0343475186017056	0.0855707956091996	0.111785115204771	0.116363938071944	0.0261701542950826	0.14727454956062	0.12997404802686	0.124295270183128
OM2_C_4C_2	0.0717809379225142	0.0333331264736515	0.0307789312861517	0.0116018150209072	0.00700324703483515	0	0.00401990529786677	0.0151331430291363	0.0562740179197403	0.0488199155952708	0.106644014068612	0.0304905822850935	0.0413816428924669	0.0257174609080776	0.024838635438727	0.0843248952296129	0.0979851763404844	0.0143413618770199	0.0180540080746718	0.0365986491246417	0.0229569186393273	0.0241481651634015	0.0178785814398874	0.00956784726908836	0.0219496739175575	0.0407446681391727	0.0317424534777637	0.037353380267514	0.0173522869542791	0.0338416724736733	0.029406305783256	0.0870375264248033	0.114947453586304	0.119638617775226	0.0299697208171678	0.15189069609989	0.134933444405011	0.12766408237397
OM2_C_4E_2	0.0683323536052337	0.0295957634964143	0.0269666731433034	0.00760427900086379	0.00828169767566857	0.00401990529786677	0	0.0125184596664516	0.0530704013148311	0.0453350994144487	0.104460968177794	0.0269305748988689	0.0395646277720053	0.0255563388393473	0.0241844236988364	0.0816362254277049	0.0955370686788704	0.0110285838934277	0.0166080118821017	0.0325911152394088	0.0189387954637421	0.0232479883086293	0.0149500909410519	0.0117132106353898	0.0184477857661175	0.0374815115676123	0.0288720229520254	0.0341022651792122	0.0152398044177482	0.030124196025165	0.0262993774623741	0.0832318148996665	0.111575088698306	0.116304366996011	0.0271237982878076	0.149151697334258	0.132397981760908	0.124362257794086
OM2_C_4E_3	0.0689622334202793	0.0298575313154814	0.0184448947319019	0.00942004898845489	0.0207975018305929	0.0151331430291363	0.0125184596664516	0	0.0554585979829568	0.0464223531798166	0.110108516184247	0.0288223117462111	0.0473586278808334	0.0367941338565859	0.0348491079569071	0.0857204645554656	0.100361523556529	0.00360498062502202	0.00630749087687714	0.0267217412422124	0.0155348322213798	0.0336008666863314	0.021749846949231	0.0241833808110565	0.00862214133724004	0.0259371405010278	0.033992804812976	0.0371377833676547	0.00339602491824407	0.0206719937571568	0.0144778736573989	0.080851373863648	0.112083615794721	0.116991646622098	0.0324909192037878	0.15247076407596	0.136616150234349	0.125166737617815
OM2_C_4F_1	0.0168646877441847	0.0257827677343381	0.0450596855587349	0.048083951323705	0.0528587681751696	0.0562740179197403	0.0530704013148311	0.0554585979829568	0	0.00995163656859676	0.057343994479648	0.0267887810025072	0.0255131104315111	0.0432337503274577	0.0406096351552248	0.0310702774968501	0.0463849078685167	0.0519845086296789	0.0616184630742808	0.0365399408306142	0.040376506068793	0.0395852251921127	0.0384416737380993	0.0548729932342713	0.0500862042821135	0.0569358783982551	0.0249431715450337	0.0189839415778585	0.0583799923180295	0.0471718281279651	0.0551539283280929	0.03782068805693	0.0590720087296229	0.0636651136412807	0.0267069981656559	0.0973069953017835	0.081719489350394	0.0716550401559539
OM2_C_4F_2	0.023030969416274	0.0165777414750396	0.0351607919364813	0.0396706326562692	0.0462786413400899	0.0488199155952708	0.0453350994144487	0.0464223531798166	0.00995163656859676	0	0.0672731041244687	0.0184357561232512	0.0258594240173411	0.0398768995681081	0.0368663324562516	0.0409662671687342	0.0563110664766036	0.0430423477230034	0.0524687607343558	0.0265989816450997	0.0310662920969229	0.0355447484490684	0.0313778940296571	0.0487444711276993	0.0405672057894109	0.047028560415575	0.0193358323954369	0.012189333269347	0.0492044816449788	0.0372296674071279	0.0453123266568121	0.0402099978278052	0.0664160853089504	0.0712112243939053	0.020899592499909	0.106570414727934	0.0913703108126652	0.0793446396932366
