	OM2_B_B_1	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4G_1	OM2_C_4G_3	OM2_C_4H_1	OM2_C_5A_1	OM2_C_5A_3	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2F_1
OM2_B_B_1	0	0.0279363911712554	0.00938138997875294	0.0048458951216687	0.0162430888848235	0.00528172184356495	0.0614503248964229	0.00540243052178448	0.00800392238550565	0.00144604388421054	0.0535185065143395	0.0107158240542904	0.0186899019074445	0.0544304624429282	0.00578944714189815	0.00758007958186899	0.0109228784007899	0.00106430821799543	0.00737492482011334	0.00627851386823166	0.00504134857058782	0.00232598580601739	0.017368643996272	0.0149805178411206	0.00429100595193024	0.017206012620612	0.0249622875028592	0.0553979638896686	0.0359708692670302	0.0442305761605728
OM2_B_C_1	0.0279363911712554	0	0.0285444959472623	0.0231659013858852	0.0314817640049288	0.0314661888225904	0.066399935947702	0.0225614197319366	0.0359335205724841	0.0275502632939689	0.0610361779737951	0.0268912916104104	0.0313199637428516	0.0583306273824593	0.0253881392056078	0.0291409836942356	0.0241027804994279	0.0271188009638987	0.0207095422715929	0.0295911641200882	0.0229361010015746	0.0267709153231249	0.0281735075859929	0.0285640942479028	0.0306217145936634	0.0409104633106504	0.045818308828287	0.066231293323961	0.0514507063030718	0.0557717934044402
OM2_B_C_2	0.00938138997875294	0.0285444959472623	0	0.0108009922146836	0.025545855441464	0.0141343234045451	0.0707284369643311	0.0107592497303389	0.0127418859257441	0.0107290642078399	0.0628634360086497	0.0197093708345192	0.027881630884333	0.0636146089142944	0.0144134976474727	0.0169489375239251	0.0192400380128752	0.00866224279671218	0.0102453650691082	0.0156533052031112	0.0107003733725071	0.00736856448473773	0.0262531895751526	0.0240471014651034	0.0132840918830851	0.0256128139346286	0.0182072826379872	0.0647425093813743	0.027540915339527	0.0352390513484082
OM2_B_C_3	0.0048458951216687	0.0231659013858852	0.0108009922146836	0	0.0159156255235482	0.00872518269014004	0.0606672848526938	0.000664664976860927	0.0128258702758042	0.00440656433560937	0.0531010002366209	0.00964643515569299	0.0178576760085989	0.0533392306362324	0.00451654163213455	0.00843977108365779	0.00859465001653171	0.00421213775555536	0.00320492713276414	0.00793284183339766	0.000298083250878806	0.00448014390403023	0.0158204286258331	0.0138965281998034	0.00776555622982828	0.0200288752794231	0.0282687172101318	0.0556870491085545	0.0383230700349735	0.0459483616696124
OM2_C_4B_2	0.0162430888848235	0.0314817640049288	0.025545855441464	0.0159156255235482	0	0.0127678726089618	0.0452306023500949	0.0163511411731051	0.0187574372471624	0.0148415011677895	0.0373767816550713	0.00632238413719693	0.00285445202568445	0.0382351954228677	0.0114747915487281	0.00871489792351798	0.00838259073704357	0.0168867527948792	0.0185804713675952	0.0102048651394068	0.0161611431773931	0.0181864066428709	0.00422660051946366	0.00292238562466464	0.0131735958098709	0.0119637541945451	0.0401409482183216	0.0397921500447154	0.0519006667924406	0.0604010222751865
OM2_C_4C_1	0.00528172184356495	0.0314661888225904	0.0141343234045451	0.00872518269014004	0.0127678726089618	0	0.0575399524031133	0.00938884160123482	0.00649138790892395	0.00460650167930288	0.0493746024962749	0.00879741570772355	0.0155123509450217	0.0507984119531081	0.00633462748524747	0.00458216324940238	0.0103377389541486	0.00632372084335747	0.0118345748687333	0.00304081705812559	0.00900859329574464	0.00759916676175904	0.015006197675617	0.0123656259692808	0.00101473861222135	0.0119249654714534	0.0273799513010564	0.0508001792223752	0.0392610305054555	0.0479973918504045
OM2_C_4E_3	0.0614503248964229	0.066399935947702	0.0707284369643311	0.0606672848526938	0.0452306023500949	0.0575399524031133	0	0.0609832687197478	0.0625663638809182	0.0600538222064449	0.00889935616853707	0.0511489354148951	0.0429181594396664	0.00809678726555425	0.05647328151851	0.0539021120149538	0.0521875859399591	0.0620906516863246	0.0628247856800718	0.0553231920497137	0.0608716656708971	0.0633756601319268	0.0449045990243987	0.0468269896969757	0.0581255076927383	0.0497407348417621	0.0843194545823571	0.0140506848413087	0.0966304086380902	0.105394653384612
OM2_C_4F_1	0.00540243052178448	0.0225614197319366	0.0107592497303389	0.000664664976860927	0.0163511411731051	0.00938884160123482	0.0609832687197478	0	0.0134013447679256	0.00504260836957296	0.053464255951955	0.0100539765757406	0.0182275050116894	0.0536202062556279	0.00503657597001039	0.00903365448256469	0.00884346402768888	0.00469755680321892	0.00256211225545726	0.00857036325103501	0.000384820210911456	0.00481097586771901	0.0161099027221932	0.0142589036758118	0.00842735367333597	0.020676221364588	0.028408795796363	0.0561259617045082	0.0382945632501067	0.0458194627669678
OM2_C_4G_1	0.00800392238550565	0.0359335205724841	0.0127418859257441	0.0128258702758042	0.0187574372471624	0.00649138790892395	0.0625663638809182	0.0134013447679256	0	0.00858130914425854	0.0541594970257949	0.0152879392686832	0.021585137915044	0.056148623042522	0.012196865104546	0.0110623474491139	0.0167240366378529	0.00883449619740847	0.0152976485569784	0.00953184379953819	0.0130351827434832	0.00939230314126884	0.021382692112461	0.018720016337058	0.0066783305038609	0.0140094486562034	0.0218163085363579	0.0548426234875979	0.0342751323515531	0.0434632448906239
OM2_C_4G_3	0.00144604388421054	0.0275502632939689	0.0107290642078399	0.00440656433560937	0.0148415011677895	0.00460650167930288	0.0600538222064449	0.00504260836957296	0.00858130914425854	0	0.0521511153972009	0.00926985862044959	0.0172622775381822	0.0530112752070833	0.0044057223790523	0.00622534263664692	0.00953032911702044	0.00209397979440855	0.00733781105953942	0.00502017337736197	0.00465885226535179	0.00345056259217987	0.0159228129016642	0.0135382882770596	0.00359442071383588	0.016427518625392	0.0263725665750136	0.0541151258696337	0.0374159647220045	0.0456610369577152
OM2_C_4H_1	0.0535185065143395	0.0610361779737951	0.0628634360086497	0.0531010002366209	0.0373767816550713	0.0493746024962749	0.00889935616853707	0.053464255951955	0.0541594970257949	0.0521511153972009	0	0.043485469596262	0.0352587644365778	0.00757464113564242	0.048781547123647	0.0459469166187737	0.0447747943620484	0.0542173327299144	0.0554484320064014	0.0473089431409354	0.0533225739988491	0.0555310553237855	0.0375209165281135	0.0392205370750634	0.0500142717296795	0.0410769248010218	0.0758770717234505	0.00825363956002094	0.0883302647976058	0.0972512409486059
OM2_C_5A_1	0.0107158240542904	0.0268912916104104	0.0197093708345192	0.00964643515569299	0.00632238413719693	0.00879741570772355	0.0511489354148951	0.0100539765757406	0.0152879392686832	0.00926985862044959	0.043485469596262	0	0.00824751386141503	0.0439407323147052	0.00533217247432894	0.00424216835983213	0.00279233814430256	0.0111644897609425	0.0122587826615365	0.00575903352938907	0.00988109930184002	0.0123703665058206	0.006654786132738	0.00434131647363807	0.00876134076653075	0.0141474801694197	0.0354729075817623	0.046094233352252	0.0466781748159655	0.0548513163371258
