	OM2_B_B	OM2_B_C	OM2_C_4A	OM2_C_4B	OM2_C_4C	OM2_C_4E	OM2_C_4F	OM2_C_4G	OM2_C_4H	OM2_C_5A	OM2_C_5F	OM2_C_5G	OM2_C_6E	OM2_C_6F	OM2_C_6G	OM2_C_6H	OM2_H_2A	OM2_H_2B	OM2_H_2C	OM2_H_2F
OM2_B_B	0	0.00938138997875294	NA	0.0162430888848235	0.00528172184356495	0.0614503248964229	0.00540243052178448	0.00144604388421054	0.0535185065143395	0.0186899019074445	NA	0.0544304624429282	0.00578944714189815	0.00737492482011334	0.00232598580601739	0.0149805178411206	0.0249622875028592	0.0359708692670302	NA	0.0442305761605728
OM2_B_C	0.00938138997875294	0	NA	0.025545855441464	0.0141343234045451	0.0707284369643311	0.0107592497303389	0.0107290642078399	0.0628634360086497	0.027881630884333	NA	0.0636146089142944	0.0144134976474727	0.0102453650691082	0.00736856448473773	0.0240471014651034	0.0182072826379872	0.027540915339527	NA	0.0352390513484082
OM2_C_4A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM2_C_4B	0.0162430888848235	0.025545855441464	NA	0	0.0127678726089618	0.0452306023500949	0.0163511411731051	0.0148415011677895	0.0373767816550713	0.00285445202568445	NA	0.0382351954228677	0.0114747915487281	0.0185804713675952	0.0181864066428709	0.00292238562466464	0.0401409482183216	0.0519006667924406	NA	0.0604010222751865
OM2_C_4C	0.00528172184356495	0.0141343234045451	NA	0.0127678726089618	0	0.0575399524031133	0.00938884160123482	0.00460650167930288	0.0493746024962749	0.0155123509450217	NA	0.0507984119531081	0.00633462748524747	0.0118345748687333	0.00759916676175904	0.0123656259692808	0.0273799513010564	0.0392610305054555	NA	0.0479973918504045
OM2_C_4E	0.0614503248964229	0.0707284369643311	NA	0.0452306023500949	0.0575399524031133	0	0.0609832687197478	0.0600538222064449	0.00889935616853707	0.0429181594396664	NA	0.00809678726555425	0.05647328151851	0.0628247856800718	0.0633756601319268	0.0468269896969757	0.0843194545823571	0.0966304086380902	NA	0.105394653384612
OM2_C_4F	0.00540243052178448	0.0107592497303389	NA	0.0163511411731051	0.00938884160123482	0.0609832687197478	0	0.00504260836957296	0.053464255951955	0.0182275050116894	NA	0.0536202062556279	0.00503657597001039	0.00256211225545726	0.00481097586771901	0.0142589036758118	0.028408795796363	0.0382945632501067	NA	0.0458194627669678
OM2_C_4G	0.00144604388421054	0.0107290642078399	NA	0.0148415011677895	0.00460650167930288	0.0600538222064449	0.00504260836957296	0	0.0521511153972009	0.0172622775381822	NA	0.0530112752070833	0.0044057223790523	0.00733781105953942	0.00345056259217987	0.0135382882770596	0.0263725665750136	0.0374159647220045	NA	0.0456610369577152
OM2_C_4H	0.0535185065143395	0.0628634360086497	NA	0.0373767816550713	0.0493746024962749	0.00889935616853707	0.053464255951955	0.0521511153972009	0	0.0352587644365778	NA	0.00757464113564242	0.048781547123647	0.0554484320064014	0.0555310553237855	0.0392205370750634	0.0758770717234505	0.0883302647976058	NA	0.0972512409486059
OM2_C_5A	0.0186899019074445	0.027881630884333	NA	0.00285445202568445	0.0155123509450217	0.0429181594396664	0.0182275050116894	0.0172622775381822	0.0352587644365778	0	NA	0.0357706972763808	0.0135735994492608	0.0202875643894615	0.020517648535897	0.00397173997995271	0.0428724350913442	0.0545107200113269	NA	0.0628959180405159
OM2_C_5F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM2_C_5G	0.0544304624429282	0.0636146089142944	NA	0.0382351954228677	0.0507984119531081	0.00809678726555425	0.0536202062556279	0.0530112752070833	0.00757464113564242	0.0357706972763808	NA	0	0.0492594327655248	0.0553610500236604	0.0562653944646861	0.03960281920283	0.0779046131125245	0.0899776738467303	NA	0.0985329548649093
OM2_C_6E	0.00578944714189815	0.0144134976474727	NA	0.0114747915487281	0.00633462748524747	0.05647328151851	0.00503657597001039	0.0044057223790523	0.048781547123647	0.0135735994492608	NA	0.0492594327655248	0	0.00749976772344799	0.00713012475276047	0.00966905955063506	0.0307477188031765	0.0415865713433154	NA	0.049611514959308
OM2_C_6F	0.00737492482011334	0.0102453650691082	NA	0.0185804713675952	0.0118345748687333	0.0628247856800718	0.00256211225545726	0.00733781105953942	0.0554484320064014	0.0202875643894615	NA	0.0553610500236604	0.00749976772344799	0	0.00607025735582552	0.0163218149304191	0.0283594291514331	0.037561620216975	NA	0.0447033025405904
OM2_C_6G	0.00232598580601739	0.00736856448473773	NA	0.0181864066428709	0.00759916676175904	0.0633756601319268	0.00481097586771901	0.00345056259217987	0.0555310553237855	0.020517648535897	NA	0.0562653944646861	0.00713012475276047	0.00607025735582552	0	0.016700914631607	0.0239639522848968	0.0344833056361098	NA	0.0425016465818858
OM2_C_6H	0.0149805178411206	0.0240471014651034	NA	0.00292238562466464	0.0123656259692808	0.0468269896969757	0.0142589036758118	0.0135382882770596	0.0392205370750634	0.00397173997995271	NA	0.03960281920283	0.00966905955063506	0.0163218149304191	0.016700914631607	0	0.0395278804705646	0.0509179617692498	NA	0.0591616281496938
OM2_H_2A	0.0249622875028592	0.0182072826379872	NA	0.0401409482183216	0.0273799513010564	0.0843194545823571	0.028408795796363	0.0263725665750136	0.0758770717234505	0.0428724350913442	NA	0.0779046131125245	0.0307477188031765	0.0283594291514331	0.0239639522848968	0.0395278804705646	0	0.0130341608720231	NA	0.0228326680542518
OM2_H_2B	0.0359708692670302	0.027540915339527	NA	0.0519006667924406	0.0392610305054555	0.0966304086380902	0.0382945632501067	0.0374159647220045	0.0883302647976058	0.0545107200113269	NA	0.0899776738467303	0.0415865713433154	0.037561620216975	0.0344833056361098	0.0509179617692498	0.0130341608720231	0	NA	0.00990997205202694
OM2_H_2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM2_H_2F	0.0442305761605728	0.0352390513484082	NA	0.0604010222751865	0.0479973918504045	0.105394653384612	0.0458194627669678	0.0456610369577152	0.0972512409486059	0.0628959180405159	NA	0.0985329548649093	0.049611514959308	0.0447033025405904	0.0425016465818858	0.0591616281496938	0.0228326680542518	0.00990997205202694	NA	0
