	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0122014549157998	0.0225766095007629	0.0143090806637284	0.00705773618358213	0.010918481702877	0.00883595284629607	0.00788663915837175	0.0117091497494082	0.00841125775924746	0.0052174772926031	0.0291509711671842	0.00918974269798548	0.0119434501850052	0.0103658067911309	0.00593598080987325	0.0125301759791285	0.00886450974452522	0.011079233237911	0.00867290105711029	0.0160729555663437	0.0111092812655124	0.00735755648505902	0.0170434874776312	0.0116413588000304	0.00357147588072018	0.0155623786333576	0.0151811469267614	0.0123895361283682	0.0139711214347832	0.0126259153100828	0.0113036246117014	0.0124717575840466	0.0156386081003745	0.0110703568448993	0.0160348711912252	0.0069631654001743	0.00895944047958819	0.0182866216817193	0.0204859220679537	0.0143236730488411	0.0180536162135405	0.0148280027076441	0.0134595652215639	0.0187595986971807	0.0162370055570506	0.0240560699647311	0.0143377495245439	0.0148038128407454	0.0116416309069157	0.0105848319599192	0.0171521389610062	0.032806942678321	0.0162985772734133	0.0112391107568332	0.0148541035427534	0.00667188084235598	0.0174409897126781	0.00959120630599957	0.0228172476380026
OM2_B_B_2	0.0122014549157998	0	0.010805066389059	0.0210068818036826	0.00917566216098334	0.00632866283812703	0.0165732896008358	0.0150634938423463	0.0102725943036909	0.0104738661140875	0.0132176486622201	0.0169744470508866	0.00509119794445159	0.0189653746254644	0.00314853393317012	0.0177586928803682	0.023366693761993	0.0145694235050514	0.0160443428099817	0.0054179573137508	0.0125940177130182	0.0202880941303386	0.00631120372476258	0.0102913399985845	0.0196955387098425	0.0152089645840357	0.00919793308437468	0.025879295342571	0.0176478459742399	0.00179076091329921	0.0210736690040702	0.0228305617750042	0.0153001864719762	0.0264171992967208	0.0226244076588311	0.00517313495356307	0.0116778030344654	0.00600912318167838	0.00889244526711583	0.0297581347883252	0.0217575736155813	0.0114516782733126	0.0127236428163503	0.0228960446633391	0.0146384436438161	0.0208349991387898	0.032464018124515	0.0058839326792929	0.022874280109954	0.0234229143594993	0.012850944599597	0.0287546857693873	0.0446369503101698	0.0217150176898191	0.0191068174111147	0.0204675007342888	0.014175970711541	0.0269353706486878	0.0161180342033059	0.0111800040422418
OM2_B_B_3	0.0225766095007629	0.010805066389059	0	0.0275851962984988	0.0175545331004401	0.0129566631277357	0.0245827240759538	0.0231643235001122	0.015631745679193	0.0179575557213216	0.022177257439064	0.00744471808750618	0.0137195510039754	0.0261080076562148	0.0122328526386237	0.0276276426367253	0.0322539325393194	0.0221020279965408	0.0227228504043987	0.0142424874329575	0.0146346570823345	0.028440297733477	0.0170865817126183	0.0104993390675084	0.0272969825472125	0.0251345498271968	0.0109172340508014	0.0345200720099428	0.0240552678428137	0.00932683471757234	0.0287011951159697	0.0322469463644645	0.020934721101099	0.0350888724641308	0.0320710508762046	0.00666681670490878	0.019854112607547	0.01652365866371	0.00672891793819794	0.0371067276254085	0.028673694428153	0.0108638870915251	0.0159330212153627	0.0309133232884821	0.0148594086048448	0.0260826637140233	0.0389746783179023	0.00926366650304049	0.0300363247678778	0.0330321155881456	0.0191641141726136	0.0380303145778698	0.0539080032669132	0.0273400114456738	0.0267005293970909	0.0264603765493905	0.0226630639208442	0.0346452181313383	0.0236247275685775	0.000690676065210407
OM2_B_C_1	0.0143090806637284	0.0210068818036826	0.0275851962984988	0	0.0119263452223101	0.0153195731366126	0.0054842282964793	0.0066754432710594	0.0119797277430085	0.0105406896346756	0.00937369784533754	0.0350261687271304	0.0159208839969345	0.00237711845607764	0.0178850268647432	0.0114810349194261	0.00872910362753152	0.0065463505379625	0.00501994020606449	0.0155962099485753	0.0138539172151068	0.004811510582764	0.0197974079766851	0.0176423401775763	0.00307923774237609	0.0117289801875444	0.0168105462658505	0.00941589860922796	0.00353956828161745	0.0225474157991249	0.00319887965348106	0.0107614181306575	0.00669875692394826	0.00992559833013266	0.0108058112896884	0.0215427729418508	0.00954832522852415	0.0214095828712306	0.0210605603636484	0.00960977287221776	0.00135539132680061	0.0178604310152049	0.0121870452487606	0.00529551953850709	0.015354578844004	0.00359367323187238	0.0115549864961462	0.0185324910318751	0.00281017903871211	0.0120063716819711	0.00852537497098814	0.0140192963867053	0.0282504906626458	0.00260246449157758	0.00323366743637679	0.00179087597360647	0.00790070158700154	0.00758843710545446	0.00513349404598348	0.0274549344113126
OM2_B_C_2	0.00705773618358213	0.00917566216098334	0.0175545331004401	0.0119263452223101	0	0.00466799228878122	0.00744185044455541	0.00593480654764088	0.00466854043908114	0.00184067262368573	0.0046352799641379	0.0247466482247321	0.00420197194540267	0.00980985822803172	0.00614880684867623	0.0104435380115609	0.0147443762010856	0.00541391691331441	0.00710196913175002	0.00378594621567266	0.00902620338418234	0.0112394331797451	0.00857664678706924	0.0102307687061372	0.0105280005686109	0.00816992065904797	0.00878905510485263	0.0171060877655806	0.00873058209066226	0.0108173499469144	0.0119149051311848	0.0147168239341035	0.0070969447356583	0.0176656259444399	0.0145483427132414	0.0109293112526321	0.00251249832383068	0.0100105090894817	0.0121283211776263	0.0206019848307967	0.0126069157776474	0.0111578780087429	0.00786486896254739	0.0138280492023181	0.0117173920751718	0.0122804367971846	0.0233080095773097	0.00843199377218604	0.0137008871779913	0.0155542891581789	0.00462242384225169	0.0204826311874222	0.0363801561177648	0.0129350849661689	0.00993647960526204	0.0115886844015777	0.00519236255036501	0.0178197234308174	0.00694832093730722	0.0176314069018049
OM2_B_C_3	0.010918481702877	0.00632866283812703	0.0129566631277357	0.0153195731366126	0.00466799228878122	0	0.0116843670579411	0.0102358040930649	0.00394687647395992	0.00505457677205721	0.00929771261070534	0.0202444061537412	0.00231255537901308	0.0135250250410366	0.00338947059440355	0.0150545706598361	0.0193015634993676	0.00928946623248462	0.010302013993696	0.00263225965845734	0.00683730047898082	0.0155470355875073	0.00911247475286066	0.00626692267940198	0.0145461800145621	0.0126930240002947	0.00478444685441031	0.0215799269838465	0.0118238201201304	0.00752683648952224	0.015958168599878	0.0193736401861991	0.00915730461929816	0.0221471636875376	0.0192082842427851	0.00642434705387316	0.0068982922350042	0.00995765735172279	0.00751975050801795	0.024553171890267	0.0162406758690174	0.00737379075417107	0.00657683800013696	0.018070273613369	0.00929873919129134	0.0147067969253615	0.026872510271934	0.00376543488741329	0.0175009649790808	0.0202210700004366	0.00684697215405551	0.0251027911974929	0.0409699230928554	0.0156963358826076	0.0139445827096739	0.014543345314925	0.00970845941832856	0.0219271369185285	0.0108504959204923	0.0130017662454184
OM2_C_4A_1	0.00883595284629607	0.0165732896008358	0.0245827240759538	0.0054842282964793	0.00744185044455541	0.0116843670579411	0	0.00151034503870941	0.00936222562865846	0.00663549594468428	0.00395094859806623	0.031918902253475	0.0116425182684892	0.00311045159510503	0.0135888327149276	0.00700154858481536	0.00793309289580924	0.00258812485955836	0.00352553717428415	0.0112242307275931	0.0127289956985459	0.00386346607138527	0.0145344921005177	0.0156991742741049	0.00319003988121825	0.00653413352946222	0.0145259489037036	0.00998009885055269	0.00408669881606304	0.0182464752342296	0.00451813110358536	0.00875397633239629	0.00598132543173185	0.010553937259372	0.00866949811984076	0.0181079108069454	0.00493306297088872	0.0161795140103852	0.0185404292768338	0.0131914003845765	0.0056660485239007	0.0162617520310025	0.0110200195067163	0.0064070694654876	0.0149597444068662	0.00767151077354604	0.0161226475788914	0.0153206739367289	0.00647933262636465	0.00988169722524757	0.00600436885438382	0.0138904446442215	0.0295221566351687	0.00752335793977947	0.00264422434379021	0.0060993112729145	0.00255333509245788	0.010378785546485	0.00151073589820112	0.0245747030538052
OM2_C_4A_2	0.00788663915837175	0.0150634938423463	0.0231643235001122	0.0066754432710594	0.00593480654764088	0.0102358040930649	0.00151034503870941	0	0.00813568602587718	0.00520885190124415	0.0027354603362848	0.0304773941608372	0.0101364207588279	0.00432215454501571	0.0120803073304099	0.00714191105711384	0.00919374151317059	0.00160682910216062	0.00343240501177578	0.00971543046472883	0.0117619177050133	0.00532940075035672	0.0131625970694132	0.014501527319449	0.00466927793892351	0.0061262662605429	0.0132746297986459	0.0113624372942376	0.00453267109093148	0.0167364993402025	0.00602031053977011	0.00973997595844734	0.00554409943468819	0.0119330495758706	0.00962702757902882	0.0166548794197769	0.00342989559154999	0.0147939224173758	0.0172136486393151	0.0146996245490546	0.00702822124595853	0.015128082897112	0.0100908765475364	0.00790011689904077	0.0141201553009045	0.0083566920800339	0.0175869185394324	0.0139065708742162	0.00793543393637517	0.010795662983698	0.00497992431628623	0.0151174037896903	0.0308537105851732	0.0084412512116796	0.00410117199975339	0.00699259697899415	0.00124234187635375	0.0118876412148361	0.00170465952476259	0.0231718865307478
OM2_C_4A_3	0.0117091497494082	0.0102725943036909	0.015631745679193	0.0119797277430085	0.00466854043908114	0.00394687647395992	0.00936222562865846	0.00813568602587718	0	0.00350087189934973	0.00829190082392459	0.0230682869519035	0.00569220388827456	0.0104990230897395	0.00725833889726649	0.014364249593317	0.0172870731601426	0.00677676880069371	0.00709644086314071	0.00571261474840201	0.00436445071531085	0.0131123990105504	0.0121683264825454	0.00636733832725156	0.0117702592055923	0.0123752670784615	0.00516534871299431	0.0193004981577983	0.00844108486098582	0.0114464611790075	0.0131557537237385	0.0178409140661193	0.00545038742998253	0.0198757180270362	0.0177146583728389	0.00962571417631822	0.00553361405216028	0.0132952612941019	0.00926597825492757	0.021480393462873	0.0130454835606778	0.00704725986901038	0.00327188822265162	0.0154564301929861	0.00705212620613716	0.0109298757276587	0.0234664853447055	0.00657881939125897	0.0144094559456682	0.0188480046484005	0.00355097500580011	0.0232335685755629	0.0388609018277341	0.0120188262708047	0.0111850368217304	0.0109778302171894	0.00807439979821249	0.0190581263982883	0.00818476717531707	0.0155329287745203
OM2_C_4B_1	0.00841125775924746	0.0104738661140875	0.0179575557213216	0.0105406896346756	0.00184067262368573	0.00505457677205721	0.00663549594468428	0.00520885190124415	0.00350087189934973	0	0.00483103688993574	0.0252857518049223	0.00538341085681669	0.00857896543218038	0.00734514124528992	0.0108995005205934	0.0143612487029332	0.00425417377050544	0.00557452629945862	0.00508175504893914	0.00779095774970675	0.0104987562534874	0.010403907328362	0.00966545663504985	0.0095124276968502	0.00887468478039221	0.00832058239798764	0.0165707325706771	0.00718811082116149	0.012010645666268	0.0109231375323386	0.0146505949036409	0.00528637702676541	0.0171410536961856	0.0145061333021173	0.0114778768101189	0.00209430922787024	0.0118117156395624	0.0120774546082851	0.0195580478536615	0.0113462661322283	0.0104568670800974	0.0064354256406433	0.0130162068878259	0.0104428293098035	0.0105849436566894	0.0220449845064421	0.00869802218934806	0.0125425615731774	0.0155941019983961	0.00278818175882255	0.0202372952288149	0.0360376136970932	0.011327295492236	0.00891094642100991	0.0100292697561397	0.00483477061048576	0.0168889691232421	0.00582378511732793	0.0179644973282195
