	OM2_B_B_2	OM2_B_B_3	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_5A_1	OM2_C_5A_3	OM2_C_5F_2	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6G_1	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1
OM2_B_B_2	0	0.0128434793797822	0.0404978357607063	0.0413879574840015	0.0178714278839351	0.0586262057149071	0.0373442509831684	0.0316476236806024	0.0365348164231262	0.0327670753827898	0.111610237084574	0.0236712911908459	0.0320961097768695	0.0263718520349458	0.121586187481438	0.0214817046432891	0.0954709001097476	0.0308099822201863	0.015493164487628	0.0180910993265173	0.0114114576269013	0.0233634591964546	0.0253322428557618	0.00802313107228194	0.026467943893472	0.0265717580975888	0.0150589210773166	0.0113180469781805	0.0196102754420039	0.0298563776347263	0.0118817365946113	0.0106065296094059	0.0315129380521733	0.0328646612415127	0.0160623821951205
OM2_B_B_3	0.0128434793797822	0	0.0352241563893357	0.0351059421494952	0.00838252642490891	0.0459486236980864	0.0319063379532709	0.0245261750743897	0.036580095109738	0.0237878883652478	0.105950282480201	0.0156916244617356	0.0283081183863856	0.0203146155226752	0.116737211597513	0.0162260832632816	0.0913158493767385	0.0246462161624575	0.009833039656249	0.00560901041995447	0.0141265322463303	0.0183073778300952	0.0192622045270462	0.012923889236848	0.0217922075310395	0.0213813080341018	0.00236166609753814	0.0180539307163379	0.0152903065754706	0.0267315730279387	0.0055933033148704	0.0114096731879483	0.0280627118568787	0.0259358680250844	0.0171398096246232
OM2_B_C_2	0.0404978357607063	0.0352241563893357	0	0.00336156547980397	0.0269516517272861	0.044535643981776	0.0033196985517981	0.0112705040295838	0.0158052736322544	0.0149447078126318	0.07138073669059	0.0197294345957832	0.0088362018285858	0.0149429944281325	0.0818120103346501	0.0194962069055018	0.0561727719720144	0.0106002987526726	0.0261998977785992	0.0365852644836106	0.0483725961713251	0.0174309109567759	0.0160136730578071	0.0328301626274996	0.0140932528820907	0.0141656106392907	0.0338546960976945	0.0508779907325832	0.0210990041022747	0.0113310672801914	0.0309813242551122	0.029897044393817	0.00964751095924933	0.0098726565115283	0.0252884347260438
OM2_B_C_3	0.0413879574840015	0.0351059421494952	0.00336156547980397	0	0.0267375941180786	0.0413169050777356	0.00454586423497807	0.0106088004527956	0.0190994689546976	0.0132414522419057	0.0710221213515746	0.0194256864247007	0.0108705848818345	0.0151975441101578	0.0817883875277219	0.0200098595547725	0.0565345427336026	0.0106913555846181	0.0265654415910276	0.0359529690663248	0.0486285138974414	0.0180471832876704	0.0162751146016082	0.0339526044470956	0.0149876405853148	0.0148234292093434	0.0335558124991202	0.0514195716625689	0.021796841340033	0.0133396391094204	0.0312543537969702	0.0308347140675699	0.0117680054777798	0.00918484123313885	0.0267453293500962
OM2_C_4A_1	0.0178714278839351	0.00838252642490891	0.0269516517272861	0.0267375941180786	0	0.0419825041335874	0.0236380312629229	0.0161474971793656	0.0299355650345007	0.0156487504142098	0.097606958065389	0.00731409395122256	0.0205001654101152	0.012145968690209	0.108419502257436	0.00868863140511536	0.0830476641591733	0.0163538216418486	0.00461430344385564	0.0102224590903168	0.0222714215993027	0.0106115265626777	0.0111339835666671	0.0136953884147772	0.0139788895797159	0.0134153361893565	0.00691642524749365	0.0257339032264512	0.00847893216440001	0.019220666734472	0.0059904327532578	0.0104572570064553	0.0203750200646977	0.017560291491185	0.0134114247359577
OM2_C_4A_2	0.0586262057149071	0.0459486236980864	0.044535643981776	0.0413169050777356	0.0419825041335874	0	0.043498912183183	0.0390150066655889	0.0588848265071018	0.0339939192824805	0.0894768526189118	0.0400032361317587	0.0473093585485556	0.0423536439851537	0.102318487681022	0.0447233201947911	0.0829358469145612	0.0414569786683401	0.0461333346553104	0.041461534172983	0.0574994085223155	0.044669077307842	0.0425481168156963	0.0556645364956656	0.0450264459079583	0.0440032743800926	0.0436437783930305	0.0623834008107151	0.0463884262465478	0.0485596543161187	0.047479966760196	0.0523685237809164	0.0480537572114929	0.0393048746033281	0.0535617847181599
OM2_C_4A_3	0.0373442509831684	0.0319063379532709	0.0033196985517981	0.00454586423497807	0.0236380312629229	0.043498912183183	0	0.00812319259422811	0.0156709859663098	0.012253756959107	0.074626352810503	0.0164307684651652	0.00632727372382677	0.0116266637909582	0.0851050663682212	0.0162177331062129	0.0594875737354104	0.00728869622684505	0.0229082669914711	0.0333143020704454	0.0450801363031163	0.0141668600497679	0.012699047953203	0.0297567256704923	0.0108876830812138	0.0108986265123136	0.0305442337468068	0.0476352668675068	0.0178629934073186	0.00879430746371195	0.0276821012469139	0.0267485696855903	0.00722954717323324	0.00677608197116761	0.0223691265838228
OM2_C_4B_2	0.0316476236806024	0.0245261750743897	0.0112705040295838	0.0106088004527956	0.0161474971793656	0.0390150066655889	0.00812319259422811	0	0.0205412684504702	0.00519856747372208	0.081527721822124	0.00883639893610184	0.00860906095388525	0.00544517542340011	0.092357364501307	0.0102529437375378	0.0670870838906437	0.00244353581904793	0.0163663970750721	0.0254224377390532	0.0381914738984302	0.00865743229371652	0.00639471598087292	0.0247252422692668	0.00687903127057635	0.00610688000339238	0.0229510433398305	0.041198100439247	0.0122525623890492	0.00955789744154237	0.0209053634503574	0.0213517224220038	0.0092240418193847	0.00143199613122005	0.0185540006715999
OM2_C_4C_1	0.0365348164231262	0.036580095109738	0.0158052736322544	0.0190994689546976	0.0299355650345007	0.0588848265071018	0.0156709859663098	0.0205412684504702	0	0.0257286751530275	0.0782079334819945	0.0247255136464579	0.0119348627831762	0.0196635762327457	0.0870218439909386	0.0213157118780464	0.0604542947576329	0.0182370924082822	0.0268114347823398	0.0400601617846168	0.0468382717466162	0.0196296297479165	0.0202199790287306	0.0286078163346449	0.0168768644667899	0.0178146811194564	0.0361755210369463	0.0478277991239746	0.0215651747424772	0.0116210110634041	0.0311392027511821	0.0270760437884782	0.0113901132659624	0.0198970214591308	0.0207784339002608
OM2_C_4C_2	0.0327670753827898	0.0237878883652478	0.0149447078126318	0.0132414522419057	0.0156487504142098	0.0339939192824805	0.012253756959107	0.00519856747372208	0.0257286751530275	0	0.0828061237378487	0.00911413435919635	0.0138026447452806	0.00876566111104437	0.0940307660104388	0.0125617000088527	0.0693116986156705	0.00759065412172668	0.0173012922803499	0.023526387857692	0.0378593157520568	0.0116654984737556	0.00927743005911667	0.0266459259416281	0.0111659957453595	0.0101872684860294	0.0218661960236947	0.0413665395326785	0.0145879851560393	0.014687571491436	0.0212377002198817	0.0231220441150538	0.014421432497116	0.00593814563689556	0.021627125692228
