	OM2_B_B_1	OM2_B_B_2	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4C_2	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0208293064183482	0.0378846520693047	0.051157674968229	0.0453075850197081	0.06387530954782	0.114701043989065	0.0706673154185925	0.0663642437868223	0.0903593323500203	0.0697351631697902	0.0482277514708336	0.0226463889999168	0.0992515949680227	0.1060356976003	0.0315157506446084	0.0273741144930195	0.0418059148218818	0.0831310474637609	0.00747832415097798	0.0211373260281273	0.0893348493548732	0.0949482439405212	0.103900116528642	0.0430663556888689	0.0975584646155305	0.0926295440832943	0.0334712155340312	0.0738095299507165	0.0654005948528474	0.0553481213594951	0.0225220459240822	0.0426476474347352	0.0831833519353849	0.0584895162441186	0.113526266529754	0.0814566247146674	0.10769224346542	0.0498393975067044	0.00461144972523081	0.0296711261446223	0.086125246571043	0.074043855453176	0.053123692509082	0.10165746935463
OM2_B_B_2	0.0208293064183482	0	0.0372385581839791	0.0491558745091772	0.0328621601196584	0.0618424499050979	0.110260875593945	0.0654318654481933	0.065218197020988	0.0838012992019653	0.0643776477637084	0.0459128283065897	0.0261431180530079	0.0938263808222219	0.100339011365931	0.0235964232496173	0.0262727423635839	0.0370493153722241	0.079752277616858	0.0184152656809733	0.0368176828109151	0.0837169219531071	0.0897242871383558	0.097141298581431	0.0384602352698754	0.0927978885002539	0.0831770222955666	0.0314792459523138	0.0698517415012121	0.0623889463145525	0.055469038834274	0.0118233016623203	0.041836105717635	0.0762517112920714	0.0532526659734603	0.107794539282163	0.0770929072602389	0.102303922715643	0.0394738816772408	0.0219118506067514	0.031755399001792	0.0823269960228237	0.0695716081479322	0.0471103520761082	0.0973025445348241
OM2_B_C_1	0.0378846520693047	0.0372385581839791	0	0.0148925909331063	0.0365620771462936	0.0269601201828188	0.0793907376909501	0.0346377503967745	0.030841008312766	0.0543934519139599	0.0340363967652642	0.0134711683777969	0.0160165154056266	0.063537186172162	0.0702016307951224	0.0189294235802682	0.0115033292011624	0.0146204446502865	0.0465860986419621	0.0306660790322816	0.0551459857582531	0.053424895963635	0.0584491016484565	0.0687378049400852	0.0110463974171422	0.0616219999689618	0.06377284662987	0.0118789396678685	0.0396344011133281	0.0283222457619281	0.0199528060876092	0.0325051455319476	0.00523587004402377	0.0503177442237887	0.0223979263072861	0.0784639861135323	0.0457506412838555	0.071688123131632	0.0272397215308482	0.0353296457991257	0.00908409027193289	0.0498483211048598	0.0391401037679796	0.0194177847862118	0.0663581327358956
OM2_B_C_2	0.051157674968229	0.0491558745091772	0.0148925909331063	0	0.038903176426054	0.01399404737675	0.0646856408774422	0.0206543131869585	0.0164720576893333	0.0404693462385493	0.0199847510274868	0.00416966754030643	0.0286283821422042	0.0490669993638384	0.0557690350590564	0.0287691530752336	0.0247694250434737	0.0146534501163996	0.0321737990882255	0.044184300087038	0.0692817545572425	0.0391816002540708	0.0442029763058222	0.0544628531286463	0.0117792296681127	0.0470779538577069	0.0517406384714025	0.0194026720374854	0.0251454132685617	0.0143798695388052	0.00789489936520245	0.0432479363147125	0.0110538618265607	0.0365228990692693	0.010276725001754	0.0638892708717371	0.0310598656580689	0.0572343025313472	0.0246026434986286	0.0490056314475204	0.0234185675373117	0.0353955353028746	0.024817199981639	0.010763456051689	0.0517789307078076
OM2_B_C_3	0.0453075850197081	0.0328621601196584	0.0365620771462936	0.038903176426054	0	0.0507462062748632	0.087298989377286	0.0469341880156206	0.050597978178957	0.0624171619201496	0.0460359482793457	0.03596303648476	0.0339646365037526	0.0727856105210815	0.0776546223066216	0.0224959710115155	0.0317302411276846	0.0263190475623488	0.0620034922719846	0.0407756699046009	0.0654089735295758	0.0619307024351161	0.0693151677358838	0.0734727341131555	0.0285647197949833	0.0722279834038472	0.0537514487198849	0.0271236693597326	0.0519954242477029	0.04870427132337	0.0459689195621667	0.024487387691681	0.0392914438112611	0.051615862545976	0.0386094074639436	0.083524496375008	0.0574446173696057	0.0801479047936661	0.0194462524610973	0.0452145753440812	0.0385683082449283	0.0642152717555885	0.0485997635172657	0.0344825935610093	0.0741657653682456
OM2_C_4A_2	0.06387530954782	0.0618424499050979	0.0269601201828188	0.01399404737675	0.0507462062748632	0	0.0542874754510888	0.0149475067187421	0.00969882034032475	0.0313925290047602	0.0145872232408834	0.0172533873184477	0.0416881687422541	0.0383990920349927	0.0456367691042873	0.0419632966946441	0.0377083045945815	0.0274042034694938	0.0208412039424096	0.0568670700035176	0.0810148941086842	0.0304049854763924	0.0334640305131748	0.045353293978978	0.0250111464017991	0.0361547939869283	0.0500576300950334	0.0331538002175199	0.0175231465703473	0.00519182198813046	0.0105657210472454	0.0567828941081315	0.0219655331124321	0.031972252277263	0.0133911415764452	0.0543687894603915	0.0217707300647464	0.0466092502760499	0.03406387781293	0.0616716163261331	0.0350919527657305	0.0238931061602391	0.0200815388576977	0.0177226608576038	0.0425882315568431
OM2_C_4A_3	0.114701043989065	0.110260875593945	0.0793907376909501	0.0646856408774422	0.087298989377286	0.0542874754510888	0	0.0459609242981565	0.0497592377128478	0.0290128899642615	0.0466806979478843	0.0671349262629129	0.0925161991910362	0.0186068940829254	0.0125128175348686	0.0894648093587324	0.0889123925126898	0.0741695391930252	0.0335755729648684	0.108076407569227	0.133324742594669	0.0279811715751738	0.0230837501505671	0.0174768276408581	0.0733087445614726	0.0191078603702286	0.0431741952914234	0.0817951543449867	0.0422361490815201	0.0516262606577654	0.0614650834241439	0.103457315072221	0.075059611420711	0.0361291940958217	0.0586636365062683	0.0081489650913206	0.0339605059520779	0.0108096993149608	0.0727292899664522	0.11291106030709	0.087963646779046	0.0306789829898398	0.0418113509199233	0.0642399018541653	0.0148756222390794
OM2_C_4B_1	0.0706673154185925	0.0654318654481933	0.0346377503967745	0.0206543131869585	0.0469341880156206	0.0149475067187421	0.0459609242981565	0	0.0137263740801074	0.0199924171389901	0.00242384358353024	0.0230556562039622	0.0483352252753377	0.0299034754942653	0.0359224185563587	0.0442266581699902	0.0438649824380335	0.0300185707577084	0.0156827172031131	0.0636544350122804	0.0893438186345122	0.0189908325469093	0.0247235538576895	0.0341880538291989	0.0280031568249155	0.0283085152595837	0.0357628715473845	0.0375645546715948	0.0127795314316604	0.0100958132462574	0.0210621548992061	0.059094765919388	0.0307268793302244	0.0184229790086455	0.012808659375518	0.044204096284109	0.0127382877788446	0.0376814522613239	0.0308433276043666	0.0686882969598711	0.0435154896511824	0.0183822904572964	0.00796009753252447	0.0194045050718134	0.0329959401801729
OM2_C_4B_2	0.0663642437868223	0.065218197020988	0.030841008312766	0.0164720576893333	0.050597978178957	0.00969882034032475	0.0497592377128478	0.0137263740801074	0	0.029467976485885	0.0137185167049012	0.0194242685533966	0.043974360853291	0.0356604391831151	0.0421842961717947	0.0444782557720617	0.0409205966750414	0.0289989490375859	0.0178479881745541	0.0597067091940717	0.0842032886410841	0.0269926942367522	0.0310062917106548	0.0420974003386859	0.0273539328322734	0.0330602174913514	0.0457208293893639	0.0346873359500283	0.0144596324597588	0.0083333222591856	0.0118998992127785	0.0587450509191817	0.026519922433955	0.0277610978284773	0.0163445169707311	0.0500372119691113	0.0179408423495014	0.0433029745983556	0.0352625272446984	0.0642477298495859	0.0389866133674043	0.0213424626485414	0.0146695652599432	0.0215249362748309	0.0373268324599303
OM2_C_4C_2	0.0903593323500203	0.0838012992019653	0.0543934519139599	0.0404693462385493	0.0624171619201496	0.0313925290047602	0.0290128899642615	0.0199924171389901	0.029467976485885	0	0.0207883421026121	0.0428259059779908	0.0682013823530119	0.0129079443275249	0.0172582804731229	0.0630752770815658	0.0635742857666848	0.0491662281843964	0.0149030775906084	0.0833430006688621	0.109095826672665	0.0054509805029708	0.00828696984999413	0.01509193699421	0.047603165203522	0.0128321986837513	0.0298468880996823	0.0572183061809954	0.0215116308318629	0.0277048306381425	0.0396004405187097	0.077673720955646	0.0502900773199109	0.0152348247890701	0.0323051818198883	0.0260219105359102	0.0125554396707869	0.0192898660496566	0.0468318728520783	0.088489523315959	0.0632441112967573	0.0133968181728341	0.018976357038021	0.038000252570969	0.0183861879733375
