	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6G_2	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4A_2	0	0.00611595699912255	0.00859998375985891	0.0160680960563546	0.037628791088169	0.0501564222475698	0.0606924530543819	0.044180889916097	0.030229146913629	0.0292991264416169	0.0585620613256256	0.00305390741651785	0.00657247493758763	0.0165493056068299	0.0186505876770904	0.0235327095386913	0.0218631875421116	0.0491614744699505	0.039511072945469	0.0384930124453755	0.0477789213827067	0.0968583067713727	0.0518370451398005	0.0552306819933146	0.0389043918173317	0.0356985903965379	0.0586313208220001	0.0428829540788426	0.0556993139521514	0.062661193236409	0.0600446459151864	0.0467758953619522	0.0454962269172469	0.042109438165512	0.0504960550244963
OM2_C_4A_3	0.00611595699912255	0	0.00935976627843651	0.0129770819316711	0.0325376408937701	0.0462003748376274	0.0567811914460561	0.0396032140334558	0.0254047550998408	0.0247095031566357	0.0546980329258491	0.00860086415785157	0.00258913222850408	0.011557345837591	0.0216566576342285	0.0273999471012447	0.0256279720123138	0.0451659725398343	0.0346485735437478	0.0345188509033576	0.0433102409265089	0.100765813619806	0.0481102566237986	0.0588694036080625	0.0348796780740921	0.0324712206026493	0.0534788214879107	0.0385849723472656	0.051991206246	0.058660429879005	0.0560008960538128	0.0423965222052606	0.0412973634459	0.038151092675751	0.0468782275254232
OM2_C_4B_2	0.00859998375985891	0.00935976627843651	0	0.0101356806680594	0.0390537906256451	0.050868886186543	0.0607317332866115	0.0433743465784348	0.0295684801196567	0.0294973369393904	0.0577699677139324	0.00971133612489361	0.0111965190200479	0.0142327307840129	0.0178229254836389	0.0227769767786096	0.0201205214859771	0.0493546255610128	0.0391229333564971	0.0377063794333823	0.0466311208181641	0.0980214279586352	0.0516500914249863	0.0576046543669931	0.0375568505112172	0.0358375220086326	0.0584181425750412	0.0422856347862787	0.0558994523643664	0.0610715034362093	0.0584705732142447	0.0470911188100773	0.0443256829457654	0.0409417624335642	0.0504479744612284
OM2_C_4B_3	0.0160680960563546	0.0129770819316711	0.0101356806680594	0	0.0325476533654732	0.0435547792457164	0.05281646237454	0.0348659995898732	0.0216369350001756	0.0223885030450164	0.0494134264783309	0.0183551635755709	0.0141959712084331	0.00735314609045041	0.0268367410402937	0.0321167611228442	0.0292778001561708	0.0416763697093501	0.0309643776764147	0.029654840334987	0.0378811772994148	0.107220148428443	0.0438338294927467	0.0669607696279741	0.0290996830178069	0.0290473221293646	0.0499881535281249	0.0340617016897995	0.0482781443331361	0.0521742986142716	0.0495728058233759	0.0393768043181091	0.0357312405468433	0.0325595746392753	0.0428158902697215
OM2_C_4C_1	0.037628791088169	0.0325376408937701	0.0390537906256451	0.0325476533654732	0	0.0191888211394811	0.0295000342848362	0.0151039053526305	0.0128408385174008	0.0119817790862183	0.0297139886889182	0.0404483520613313	0.0312045582347766	0.0256175129466527	0.0536054448855195	0.0597119101049943	0.0578519814656227	0.019256421419259	0.00998572754778882	0.0166195787826978	0.019003101264254	0.131363039041792	0.0238819033011961	0.0888270851188719	0.0180841069990665	0.0185372847880474	0.0224334895591678	0.0155108360539748	0.0262163181035388	0.0343196466813594	0.0318515277890612	0.014608481204443	0.0192773153006521	0.0190688908114221	0.0233245820475224
OM2_C_4E_2	0.0501564222475698	0.0462003748376274	0.050868886186543	0.0435547792457164	0.0191888211394811	0	0.0113064281984328	0.0117464163543111	0.0227680350131936	0.0220669609903754	0.0127217302579663	0.053142293316808	0.0446023094099742	0.0381642053178327	0.0675254419346089	0.0730095099310283	0.0707374271925398	0.00330407380704964	0.015039525224561	0.0146934412622212	0.0115931640544167	0.146308061985267	0.006755301674585	0.104143312942852	0.0162743107783526	0.0164147346847785	0.0174239032879314	0.0108361354168663	0.0072650973297805	0.0190595277430144	0.0171681123864644	0.0058148551706948	0.0118807505086271	0.0136182626600842	0.00654002926621401
OM2_C_4E_3	0.0606924530543819	0.0567811914460561	0.0607317332866115	0.05281646237454	0.0295000342848362	0.0113064281984328	0	0.0191303593604777	0.0325246392711832	0.0323910062224841	0.00654183485914387	0.063704725605483	0.0552991117009281	0.0480256597205036	0.0777877551835706	0.0831886238116644	0.0807489056872971	0.0116446259498751	0.0241553864761377	0.0232023131687568	0.0164533128726132	0.15695631863769	0.0094129735745051	0.115038815868403	0.023916380142681	0.0256558132955539	0.0180595193008255	0.0190227777581352	0.00546794860438534	0.0117796808405341	0.0114264591830474	0.0153001792125497	0.0176663159297972	0.0205391686259213	0.0108013592364716
OM2_C_4F_1	0.044180889916097	0.0396032140334558	0.0433743465784348	0.0348659995898732	0.0151039053526305	0.0117464163543111	0.0191303593604777	0	0.0142858844250754	0.0151544933965625	0.0167236021145124	0.0472216067956349	0.0385230100478076	0.0298825239376861	0.0601329882271684	0.0658345783194725	0.0633636429621595	0.00927582760062819	0.00597548378314118	0.00773578685620687	0.0041717556411071	0.139924448079605	0.0121659765967688	0.098159379156918	0.00795425968377673	0.0135503486018755	0.0172812326301836	0.00303816296655007	0.0159095502089375	0.0203526628498796	0.0177047110878284	0.00678474652976897	0.00463698482669518	0.00662684982059977	0.0121420047445812
OM2_C_4G_1	0.030229146913629	0.0254047550998408	0.0295684801196567	0.0216369350001756	0.0128408385174008	0.0227680350131936	0.0325246392711832	0.0142858844250754	0	0.00322502165429808	0.0302197349397173	0.0332471323022462	0.0244678117405852	0.0158460903360067	0.0459701994003694	0.0517669927755615	0.0494052387688006	0.0211481314665747	0.0095623845107146	0.0108063728147381	0.0180519705778486	0.125778113441699	0.0242893663416426	0.0839810483475164	0.0111377840067778	0.0126621317214386	0.0290953762172909	0.0137066397749356	0.0283141829208479	0.0339361274694455	0.0312426076206828	0.0180663860103415	0.0165024255308593	0.0141575321081258	0.0234493893917434
OM2_C_4G_2	0.0292991264416169	0.0247095031566357	0.0294973369393904	0.0223885030450164	0.0119817790862183	0.0220669609903754	0.0323910062224841	0.0151544933965625	0.00322502165429808	0	0.0305444252163385	0.0323212054851282	0.0234748532241677	0.0162677233100986	0.0458024168416171	0.0515270226775345	0.0492737023528033	0.0207989628012933	0.0103713828475592	0.0110835799535493	0.019056123328506	0.125271150786773	0.0241057255763842	0.0832662882019607	0.0120562748808169	0.0114133728295848	0.0298133195680957	0.0141312673494848	0.0279312796352732	0.0347982571355228	0.0321325891222224	0.0178134382791146	0.0173377092540759	0.0148110418894181	0.0230955290034762
