	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0200656169681799	0.0109604252615711	0.0122073752257032	0.0197615999412628	0.0486134695120093	0.025297391814768	0.0229161590305118	0.0277951109171472	0.0498148245442006	0.0785221242827346	0.088269811927387	0.0764538285391051	0.0159799432980087	0.0652836526985207	0.0696544581410726	0.0523763044715431	0.0682970946068963	0.0576811490640106	0.0479543347481584	0.0481140120152932	0.007526632833148	0.0134379109161308	0.0419608507512161	0.023804223051256	0.0362138779618342	0.0743538369452136	0.0644953271056093	0.0301719737581335	0.0155184701035334	0.0258127714331278	0.0279481684725682	0.0174194057892717	0.0446277343078522	0.0207848160301461	0.0289926610879114	0.0865865793686932	0.0414138599644689	0.0291608129404851	0.0818510926508512	0.02503907970286	0.0497245549532777	0.0600924238172745	0.0350275448528243	0.0538554092350398	0.0702941198524482	0.0745514044373852	0.0928677929524346	0.0835565639531336	0.103440011765518	0.0897387970419447	0.0632080368797432	0.0257356490825065	0.013135838465753	0.0442584169453421	0.0225867944925586	0.0325208545091278	0.0174987840738445
OM2_B_B_2	0.0200656169681799	0	0.0166036806534319	0.0230327375832078	0.00762622676216743	0.0685534683166419	0.0449327482524891	0.00735351778054554	0.0449433470173632	0.0685857149704089	0.0980773689760725	0.107207431482529	0.0956077484215346	0.0219052860022982	0.0839705616963682	0.0887224131052499	0.0685278029429483	0.0861956175120725	0.0760852888814662	0.0669989429108464	0.0657375208103916	0.0182041102763555	0.0311084793818773	0.0597656135086952	0.0427478753752553	0.0238847013331662	0.0937985141812308	0.0839219857739187	0.0112824066644091	0.00610636181527537	0.0407493159412256	0.0138566873533348	0.00415990915903115	0.0624497605463491	0.0367123494943097	0.047060696164851	0.106126125872939	0.0266775669004233	0.048358481923123	0.101297620183874	0.0384753317077099	0.0314163743661871	0.0794662044989799	0.0167547450003473	0.0341767020110059	0.0902431041455613	0.0939348491108567	0.0964601824422858	0.101288903252687	0.121343301953701	0.107358327718895	0.0809699650701695	0.0438760399579246	0.0193713203585575	0.0616561479535409	0.0115355078046218	0.0501131867114821	0.0238849826625797
OM2_B_B_3	0.0109604252615711	0.0166036806534319	0	0.0069409796174696	0.0124285485038507	0.0557640893386338	0.0313383578918446	0.0179266496715424	0.028813260758542	0.0529361719914982	0.0836466279111134	0.0914862442614577	0.0800830751187505	0.00846400184443865	0.0681005266698317	0.0731261893874923	0.0520937392405849	0.0699398053492445	0.0601045244575159	0.0514966898453946	0.0495533011246082	0.00617774201195169	0.0159693150242157	0.0437037904681704	0.0278833635598247	0.0261124890027031	0.078649525620904	0.0687628819108424	0.0244631429092708	0.0135165789216761	0.0244019738972241	0.0288484907698587	0.0132886222160187	0.0463267359837528	0.020392018199559	0.0312554702691488	0.0912878278398918	0.0320803420064557	0.0334437737924548	0.0863472046086554	0.0222299748282505	0.0418555567940083	0.0643643152554622	0.028257014035024	0.050040842926895	0.0772181506740988	0.0786943062635326	0.0848235066167275	0.0850191974155755	0.105266860882696	0.0910938568858391	0.0647009165003935	0.0283136524612843	0.00559061155146996	0.045321400417596	0.0169398850692098	0.0340417933799012	0.00975474505429418
OM2_B_C_1	0.0122073752257032	0.0230327375832078	0.0069409796174696	0	0.0186192102475191	0.0510638238661156	0.0272875069446695	0.0232393638223416	0.0226254654637333	0.0467185943898227	0.0785342799206328	0.08543246384726	0.0741300955146004	0.00592137429124701	0.0620546608780506	0.0671623008966571	0.0458284413708524	0.0637966935540119	0.0538766452477346	0.0455737886048387	0.0430983538695218	0.00848653044469073	0.0107937373535875	0.0372685828126221	0.0221054584881365	0.0298477639360707	0.0728856367260189	0.0629436815585294	0.030180391761704	0.0199759413924483	0.0188860493823326	0.0347208495586521	0.0199896004767105	0.0399443331470141	0.014135376353877	0.0251666995363167	0.0858748445045664	0.0360486935479792	0.0283651962644733	0.0809538872923052	0.0156846396680546	0.0468579127646069	0.0589050990109967	0.0335794432672668	0.0562547313281078	0.0723677803826298	0.0730025260838554	0.0818734301405751	0.0789859124541267	0.0995550834503065	0.0852149706861205	0.0587090829606116	0.0230585523776437	0.00610367541652873	0.0391504866524984	0.0219287347148285	0.0276761353165737	0.00613102937779911
OM2_B_C_2	0.0197615999412628	0.00762622676216743	0.0124285485038507	0.0186192102475191	0	0.0675357346799656	0.0431638963747311	0.00812448510028602	0.0408175481089722	0.0651693287655392	0.0958860024823857	0.103729837836905	0.0923795586833127	0.0168407221760016	0.0803605987409042	0.0853490947116018	0.0634611945788112	0.0819885436572539	0.0722301215586876	0.0637434634780888	0.0615356828571724	0.0154147907125268	0.0282409406407411	0.0557663436580823	0.0400341264855242	0.0181911058515353	0.090980099978182	0.0810917353397371	0.0125351701402188	0.00886240413876104	0.0358759046635116	0.0211901162837007	0.00595274499315093	0.0584009651309856	0.0324162556377151	0.0433969803225153	0.103471704880427	0.0224467920213105	0.045630551769656	0.0985946330943534	0.0332204087932708	0.0302220144123688	0.0766743442122637	0.0163420376631373	0.0381976611857595	0.0890573370102475	0.090965026760083	0.089000032968615	0.0968601799305055	0.117121884399119	0.102922979383281	0.0767089302686446	0.0407169343629496	0.0142999917247759	0.057363268134399	0.0084180510709481	0.0461699135740832	0.0181772025554152
OM2_B_C_3	0.0486134695120093	0.0685534683166419	0.0557640893386338	0.0510638238661156	0.0675357346799656	0	0.0258593974435594	0.070745239923117	0.0345802949216261	0.0227405277569093	0.0334856681459293	0.0475047420191213	0.0357374613078365	0.0555431829614081	0.030605863702871	0.0315183606584025	0.0394252762008012	0.0379237259348296	0.0288196506566601	0.0207469340829383	0.0302052753847934	0.0527874891847843	0.0403893565075393	0.0285317367156104	0.0298147651336491	0.0807100667865652	0.0314142110604988	0.0236336600578162	0.0783690135115585	0.0638789794495181	0.0415015696243163	0.0740842806938005	0.0658538269137893	0.0285465036741582	0.0404067610422074	0.0307246229669294	0.0424293110884602	0.0869637978211514	0.0254656142751361	0.0383428686412166	0.044843219659739	0.097190973087294	0.0213224790587367	0.0828944408830424	0.101624600969525	0.0221838436354337	0.0327324528611155	0.103694280123664	0.0509049554819857	0.067102539102211	0.0563944664771318	0.0357147131078997	0.0311033246422984	0.0556562624086057	0.0307705619289156	0.0697005925875517	0.0309808926064023	0.0554454427417626
OM2_C_4A_1	0.025297391814768	0.0449327482524891	0.0313383578918446	0.0272875069446695	0.0431638963747311	0.0258593974435594	0	0.0476009062653889	0.0158410678717219	0.0280994410647732	0.0535691134761705	0.0644734001991819	0.0524906987328846	0.0326513503604916	0.0421060223111633	0.0458141610495404	0.0349438518033593	0.0461751570343814	0.0356310811005562	0.0249913514731502	0.0289430145441455	0.0282896457120613	0.0172129355081973	0.0235031301045294	0.0112667239158592	0.056388230768358	0.0500511118157023	0.0405110846321708	0.0548142053269486	0.0398658540785986	0.019581130882631	0.0523634903784273	0.0417063965117987	0.0253753644996724	0.0181079225357599	0.0136987068075489	0.0615671130182832	0.0628043642160607	0.00695731528595422	0.0568357612466689	0.0242058610779059	0.0730234502902586	0.0353785135811344	0.0591724764384863	0.0788036630473213	0.046465655445809	0.0499616319571259	0.0895241973113187	0.060968692657535	0.0798313528727561	0.0669009958268134	0.0411487454814203	0.0107424401068178	0.0314136251385836	0.0251345218765503	0.0455225056833201	0.0172700740941258	0.0322805869828359
OM2_C_4A_2	0.0229161590305118	0.00735351778054554	0.0179266496715424	0.0232393638223416	0.00812448510028602	0.070745239923117	0.0476009062653889	0	0.0455799770110316	0.0692798243722994	0.100377582135524	0.108181638612859	0.0967602373635719	0.0204368866980089	0.0849508657983204	0.0898423710333668	0.0685547752136688	0.0868824084113711	0.0767389834894651	0.0681410757233905	0.0659518865475054	0.0201390807642117	0.0323697844022709	0.0600781419335948	0.0437328643974789	0.0204236386412815	0.0952252548949837	0.0852406954600992	0.00799583538261439	0.0119221771717827	0.0415955250768727	0.017266296737417	0.00969299382046417	0.0628390059539799	0.0372683927165713	0.0478872415234231	0.108069178990909	0.0223718348979126	0.0502952725221866	0.103276800386497	0.0379367810388298	0.0279596455221037	0.0812951730241912	0.0126970005299883	0.0337314114274121	0.0925303954692601	0.095481582377199	0.0949092833695274	0.102038900942942	0.122618689020677	0.108318250116368	0.0818608300830333	0.0455743783369073	0.019269871637427	0.0622958116421267	0.0100464021777197	0.0505826423876453	0.0223958917700618
OM2_C_4A_3	0.0277951109171472	0.0449433470173632	0.028813260758542	0.0226254654637333	0.0408175481089722	0.0345802949216261	0.0158410678717219	0.0455799770110316	0	0.0249689200532519	0.0579984521594703	0.0633038112282943	0.0521382936243609	0.026647154506093	0.0399447051781889	0.0448935598191643	0.024641515858414	0.0416925716059842	0.0315081979819916	0.0236309683019718	0.0211699559700371	0.0272720359232911	0.0153334357129245	0.0154049625408039	0.00945920213327512	0.0497778436834402	0.0513330366498269	0.0415078569029256	0.0526292655864821	0.0407362612043869	0.00815833618645137	0.0551665725329175	0.0415954620393068	0.0179090753751053	0.00858196275120506	0.00391612974881808	0.0642238585656273	0.0563764283945541	0.0109946739860039	0.0594271637675727	0.0110425018668978	0.068316899286642	0.0376149779594136	0.0558160009584776	0.0786659810541664	0.0536084788648468	0.0511014703267816	0.0763178983663061	0.0567488617607444	0.0774753765075929	0.0631889047352178	0.0365712666888595	0.00910560335143894	0.026947539934899	0.0171778273224167	0.042725227859644	0.00626202060354474	0.0250263874455816
OM2_C_4B_1	0.0498148245442006	0.0685857149704089	0.0529361719914982	0.0467185943898227	0.0651693287655392	0.0227405277569093	0.0280994410647732	0.0692798243722994	0.0249689200532519	0	0.0361336878373816	0.039156913161663	0.0278509046230665	0.0503051564296275	0.0164364489864652	0.0211895498107342	0.0179677402887146	0.0205423167499187	0.00912443750055264	0.005211461978862	0.00848431477677685	0.0511646116100786	0.0376122420422252	0.0106956716397363	0.0261801049922528	0.0740203687648617	0.0272121922715679	0.0174625317766841	0.0766670903439588	0.0643254596494334	0.0319633924333557	0.0775051172529488	0.065457414670542	0.00887574186854812	0.0330788669846034	0.0220555394903451	0.0414749719426344	0.0806214975351259	0.0223284300627437	0.0367637097066899	0.0344657384744498	0.092707787574989	0.0164183207254842	0.0800318982426112	0.102355558095381	0.0342063380180797	0.0276839947092955	0.0836193180081941	0.0361281785997444	0.056550569569793	0.0428200974623225	0.0175566689026083	0.0260780176385257	0.0514737513368377	0.0120907207180335	0.0671550100557999	0.0193282940833811	0.0491309412539198
