	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.00933819538654793	0.0151113637492603	0.0128616864776805	0.007819116547503	0.0140065875291852	0.0233203422222171	0.0291744602508719	0.0141185385539345	0.0144176923624382	0.0228927093108415	0.00898160873355555	0.0306582484575278	0.0493880413211834	0.0255354462717279	0.0180453180584318	0.0162360393562872	0.032627779570169	0.0465379017374188	0.00581882438616756	0.00836744744258743	0.0224093333580834	0.010958485158604	0.00831111978047847	0.016071443097246	0.0137839454057495	0.0109188054120422	0.0313197860518222	0.0132611427443264	0.0156965856962279	0.0225411160413944	0.0437468077243501	0.026242502962643	0.0251435833304408	0.0193070443419896	0.0153340840316352	0.0101401240405661	0.0164044669398713	0.0291302476435668	0.0380948275101246	0.0218337193727364	0.0385990607078761	0.0398642529379819	0.0340821601765142	0.0280855099642611	0.0218286127868826	0.0173476014624575	0.0258965116704471	0.022169604959408	0.0207349618268922	0.0106399917572023	0.025658346448741	0.0342010486397097	0.0472297462198338
OM2_B_B_2	0.00933819538654793	0	0.0113185308074109	0.00545278602566144	0.00613434168430863	0.019883639188193	0.0189254183187282	0.0217671088993716	0.00654855632351298	0.00595572096339747	0.0156203032357933	0.00264439136827573	0.0348450893997666	0.0535568031350601	0.0311859060522996	0.0191729066627543	0.0071917466169388	0.0368439573508248	0.0516561173008077	0.00852124977721973	0.00237135357411085	0.0256027643814681	0.0120155297246919	0.00905915914383861	0.0208243171225442	0.0155961816354715	0.00638941477921241	0.0356034913213966	0.0153963829113088	0.0161641201809653	0.0251241378087918	0.0490478601665049	0.0317128472461834	0.0296033828607873	0.0241536503219242	0.00656160422565819	0.0137110964299486	0.0191638022934628	0.0256625029398621	0.043186640754205	0.0160668065195023	0.0328174737497045	0.0451431929541385	0.039031668051543	0.0313301014023115	0.0260601362475815	0.0222696033069233	0.0315262104249046	0.0151368851650781	0.0160133182743391	0.00250740727777489	0.0309199613800217	0.0389855420251912	0.0523785070274536
OM2_B_B_3	0.0151113637492603	0.0113185308074109	0	0.0142733369575475	0.0105369690323391	0.0269140754187828	0.00895282359280716	0.016823688228191	0.00663683800712542	0.00861859404390065	0.0116597483572459	0.00896692668509829	0.0439514968304009	0.0623777921234294	0.0377755346585777	0.0286731376148172	0.0130820432369472	0.0450175007971859	0.0595263984024906	0.0176714897097332	0.0134669858483232	0.0337435364489209	0.019869806356869	0.0072849012503545	0.0286050341608467	0.0241422794618576	0.0153038732222903	0.0447742884356585	0.0246085514064443	0.0264736230548717	0.0349541028429414	0.0571934598142341	0.039180915963337	0.0367119875016947	0.0317440810027038	0.0101420642724262	0.0196058118976465	0.0270318753579066	0.0278267638744309	0.0508869876340393	0.00710826982660851	0.0241701583586096	0.0535573729589881	0.0469091669726257	0.0400571312364541	0.0334526421058801	0.0297629568448551	0.0386427068102972	0.00927519848286857	0.00563407127214789	0.0110679055011008	0.0382425119286585	0.0462736660701308	0.0597165209414328
OM2_B_C_1	0.0128616864776805	0.00545278602566144	0.0142733369575475	0	0.00770515212987982	0.0196429690715997	0.0217915268123259	0.0233695831852163	0.00862701197739266	0.00695039258908195	0.017823895485904	0.00678091981150467	0.0333046489440033	0.0515391173267055	0.0300779480925551	0.0166485060424247	0.00488531750830359	0.0348877981557669	0.0500036277666313	0.0097718258904801	0.00573387270078884	0.0233964067037106	0.0102542990839582	0.0129503298082379	0.019866539410419	0.0135862180752337	0.00344993878359968	0.0341582040243814	0.013847479652732	0.0141372802295621	0.0232829411196496	0.0476636067795551	0.030602090562866	0.0278217292746472	0.0229727512315156	0.00612797422076594	0.013076355581504	0.0171315865169037	0.0211385223439027	0.0415830521271931	0.0179174517342846	0.0347211014770768	0.0439115683047745	0.0374508386607254	0.0290789746588075	0.0243350965655901	0.0212501805935983	0.030465653748273	0.0152457363206725	0.018213379340983	0.00368303055391321	0.0296538433772193	0.0371618933057879	0.0506075181508951
OM2_B_C_2	0.007819116547503	0.00613434168430863	0.0105369690323391	0.00770515212987982	0	0.0168586644683522	0.0194103878839681	0.0248077440401166	0.0086494363932177	0.00868219608121588	0.0188766031887572	0.00461065770292957	0.0334959506529641	0.0518924996450472	0.0278047900040744	0.0183047787033922	0.0105692869468406	0.0345751492838497	0.0492348520555163	0.00809109575651925	0.00676136869388541	0.0232650201769427	0.00938955280416942	0.006385099994233	0.0182372388046126	0.0136342638422257	0.00636963221986315	0.0343459976436978	0.0141580398223802	0.0164450826548606	0.024564879052586	0.0468981638123816	0.0289767252050196	0.026477312918717	0.021409265704564	0.00931015509595758	0.00946910552546733	0.0165565981341418	0.0226681778728448	0.0406074567990821	0.0165669415803701	0.0342080277854348	0.0432520873598219	0.0365745123037978	0.0295351278816132	0.0231145285508817	0.0194488826431645	0.0285333258888233	0.0155616260126686	0.0157270809409082	0.00540760736580885	0.0280283711955191	0.0360508565697653	0.0495458682933881
OM2_B_C_3	0.0140065875291852	0.019883639188193	0.0269140754187828	0.0196429690715997	0.0168586644683522	0	0.0357908395937447	0.0413037249687566	0.0251329756523608	0.0246489711356949	0.0351851040780025	0.0201756132558807	0.0181312439181353	0.0361414834984133	0.0116341314320179	0.0104572847050909	0.0244683611860889	0.0189859270407968	0.0328554349716371	0.0117617128719536	0.0182051552193802	0.00983770579729042	0.00983113760904047	0.0204868988419194	0.00315690921833642	0.00788879885084103	0.0162504014245065	0.0189369099861235	0.00784344170673783	0.01162885201653	0.0125438198432078	0.0303704982477792	0.0124132255871288	0.0113226831725552	0.0055765902559145	0.0247388802322209	0.00821416269361823	0.00659645939678224	0.027055684169552	0.0242884397425887	0.0333657175200906	0.0509557636788396	0.0267819005896974	0.0203228349031773	0.0152726912274769	0.00828479761330139	0.00373428199037223	0.0119943309797036	0.0320839858712057	0.0322880264697464	0.0199369846259911	0.0116983048973555	0.0202154176384297	0.0333385643828255
OM2_C_4A_1	0.0233203422222171	0.0189254183187282	0.00895282359280716	0.0217915268123259	0.0194103878839681	0.0357908395937447	0	0.0116999860249601	0.0132032601229771	0.0150144190659722	0.00955063233311559	0.0170642817673821	0.0527508639161337	0.0712511063445302	0.0466791787418418	0.0372777266299166	0.0190695622871116	0.0539413644588082	0.0684501205854177	0.0261510875472729	0.0211734593127591	0.042631292277931	0.0286830022622894	0.0156087919195996	0.0375142955890814	0.0329329619001792	0.0235438244004567	0.0535518287060448	0.0333193828582961	0.0348312284817874	0.0435648029186995	0.0660835503121444	0.0480954331223832	0.045651477162689	0.040674805115829	0.0162990155636229	0.0285547998982569	0.0359158935093118	0.0341863290814051	0.0598184739257289	0.00513152735436461	0.0156141194112533	0.0624097423831883	0.0558395079023467	0.0489077696906576	0.042395452424276	0.0386903796062603	0.0475547798258947	0.0106474670791029	0.00472198260005112	0.0188777407741219	0.0471736173414292	0.0552099173530875	0.0686388431796267
OM2_C_4A_2	0.0291744602508719	0.0217671088993716	0.016823688228191	0.0233695831852163	0.0248077440401166	0.0413037249687566	0.0116999860249601	0	0.0162579608231103	0.0169628359988092	0.00632486632771656	0.0211674180890759	0.0563069746889901	0.0747707211372662	0.0523978853896927	0.0399439153981389	0.0189710131844547	0.0581151777190681	0.0731156461642118	0.0302431113745738	0.0238886618103115	0.046613047787488	0.0328144081230018	0.0231944579818885	0.0423382680188714	0.0366627062324633	0.0263087095376259	0.0570825988079113	0.0367979872936755	0.0369827953488162	0.0462385302631416	0.0706506775820547	0.0532423287006209	0.0506428114027894	0.0455939869038422	0.0174379024476067	0.0341244789002584	0.0401157407926928	0.0366238358473921	0.0646238564278601	0.0110504756848709	0.0134315518316082	0.0667915346472148	0.0604961499392485	0.0523994980932364	0.0471896898272035	0.0437052376838117	0.0529656688769295	0.0126882890557489	0.0133779585467183	0.0216665346433411	0.0523375688397465	0.0601561882740512	0.0736614463361651
OM2_C_4A_3	0.0141185385539345	0.00654855632351298	0.00663683800712542	0.00862701197739266	0.0086494363932177	0.0251329756523608	0.0132032601229771	0.0162579608231103	0	0.00207555355961246	0.0104091213141758	0.00531955109132945	0.0407434055665197	0.0592382334699753	0.0361616300057387	0.024622118583726	0.00661760364337799	0.0422306497963666	0.0571390431540807	0.0145836674347233	0.00891502394187059	0.0307389787156079	0.0167461490334413	0.00927037311729295	0.0262116646917187	0.0207741046747032	0.0107059041478356	0.0415642171539587	0.0210525596823584	0.0220315488204987	0.0310541904649993	0.0547378425359084	0.0370990214077751	0.0345161007471433	0.0294470062622133	0.00376795796265702	0.01788432044638	0.0241148476130132	0.0253646612875735	0.0485767844415758	0.00968715614711028	0.0266671220278093	0.0509735311191105	0.0444765690728326	0.0367571011684969	0.0310744717674512	0.0275363344724618	0.0367714963218486	0.00879549538748122	0.00999897678683785	0.0059187920348863	0.0361701256937016	0.0440684033975455	0.0575913994022442
OM2_C_4B_1	0.0144176923624382	0.00595572096339747	0.00861859404390065	0.00695039258908195	0.00868219608121588	0.0246489711356949	0.0150144190659722	0.0169628359988092	0.00207555355961246	0	0.0112755870938167	0.00544197134817949	0.0397081901560139	0.0581216934622256	0.0355540145610636	0.023343717754796	0.00454503612602045	0.041232801148588	0.0562380971796236	0.0140414757784433	0.00819630466055819	0.0297050562987114	0.0158575235032388	0.010583902309226	0.0254927831469709	0.0197493446668583	0.00944375661603202	0.0405388369644371	0.0200295022126049	0.0207331387135037	0.0298566710320308	0.0538609370426183	0.0363816579354106	0.0337004878664829	0.0287049080471596	0.00175922172430358	0.0174423610496991	0.0231649401654787	0.0242420138124621	0.0477146531488655	0.011189217717491	0.027898771178856	0.0500949768859543	0.0435994522133903	0.0356242708743496	0.0302401718877361	0.0268406650790111	0.0361091938196872	0.00938363759880633	0.0117393496867878	0.00488720793183677	0.0354388724180025	0.0432127647128237	0.0567323587600898
