	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_3	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.00692795926620337	0.00800823175138716	0.00772488998545843	0.00388010073865317	0.00784970641327031	0.0117759540231243	0.00593865845967628	0.00243132069423878	0.0147321057894835	0.013676436446318	0.0105525848111991	0.0241371992913122	0.0181490146935448	0.00748446797732222	0.0107626318105147	0.0201241676660163	0.00546196397724903	0.00454393901086211	0.00306106715550608	0.00639367795974891	0.00142683549672633	0.0070896317518912	0.00589581283991957	0.00619676496511425	0.00383239049012574	0.0114622612209297	0.00601825205269896	0.004512420733112	0.00128309092083806	0.00677258382237549	0.00938857193029724	0.00794329026063427	0.00415449860421875	0.0128584205093571	0.00224418032982397	0.0128572714830788	0.00765219918423135	0.0117356056555152	0.0106503210592948	0.0198181852156628	0.00896546824832587	0.00807565768908088	0.00988303258839097	0.00805677761609554
OM2_B_B_2	0.00692795926620337	0	0.0105022276570563	0.00110762726022358	0.00789339570399733	0.00685228328708651	0.0158726176831088	0.00372440209532593	0.00804378114960243	0.0205751155967094	0.0194597636018525	0.0156823409614412	0.0308373126117685	0.0235099260623963	0.00293872561194949	0.00405486302479341	0.0137296041392617	0.00799036346502851	0.00238550933616232	0.00549309255171546	0.0131770759000222	0.00602869308553797	0.00553744921496179	0.00197074131501618	0.0105781084245252	0.00950505928254644	0.00554481345453571	0.0116890868731355	0.00969093342768078	0.00688353192820284	0.00943745378885048	0.0125544765964906	0.0026637351937596	0.00907908667957147	0.0176277576945601	0.00708251408347048	0.019779904803676	0.0132698774202934	0.0172559032871874	0.0161639639728336	0.0260744287503841	0.015324055970835	0.0125888251484436	0.0130275889591547	0.0114411151973227
OM2_B_B_3	0.00800823175138716	0.0105022276570563	0	0.0104300213376351	0.00412822566892875	0.0150761505246671	0.00558741225270738	0.0122139570966165	0.00577637340885928	0.0116311244197822	0.010540065821333	0.00640083866157525	0.0232854406443198	0.0137324687373004	0.0084424634358055	0.0142608705465882	0.0237917085143658	0.0134034836095627	0.00908274468646375	0.0105167252966013	0.00876707764270286	0.00907711599517648	0.0139813000247719	0.00853241959756735	0.0140629365953249	0.0051922455740291	0.0160417388063313	0.0051378641427218	0.00436238403505297	0.00673457152787083	0.00126177583306833	0.00209731088487886	0.0129182382796306	0.0120505234644152	0.00767603295369463	0.0102419174386215	0.0149480295399781	0.00561326406304571	0.00823463654334815	0.00734092923577074	0.0174801176821057	0.00851767309887953	0.00345565896143548	0.00254082531515732	0.00143176788494745
OM2_B_C_3	0.00772488998545843	0.00110762726022358	0.0104300213376351	0	0.00822240213074475	0.00788782945232787	0.0159127802053718	0.00481366813692349	0.00859177609695992	0.0209084749163757	0.0197871347856426	0.0159137029602497	0.0314051764142382	0.0237146776712756	0.002272222916085	0.00383793098498295	0.0134803196167861	0.00909443873925387	0.00322565897794282	0.00653467855441439	0.0138392455206022	0.00694281196295315	0.00658231826855723	0.00211749244210613	0.0116596834730656	0.00998639627461799	0.00572640217645566	0.0121006637735718	0.0100842874171525	0.0075332386560354	0.00944711855266895	0.0125143470195181	0.00341604589104605	0.010119739732854	0.0177638875615784	0.00807166755449905	0.0205266063983119	0.0136369605105382	0.0175455710467367	0.0164651466302107	0.0264914090869419	0.0158302815070709	0.0127711959045197	0.0129703712046851	0.0114732806782442
OM2_C_4A_2	0.00388010073865317	0.00789339570399733	0.00412822566892875	0.00822240213074475	0	0.0112235477782156	0.00839622509011596	0.00863404592584004	0.00178309038927285	0.0126955777586875	0.011576642302881	0.00781723216552895	0.0233785644172749	0.0156490967483555	0.00689429929101677	0.0119352002337336	0.021619471002339	0.0092967636582997	0.00588972985344612	0.00651474459291146	0.00649396328657076	0.00499735736447748	0.0102326263185251	0.00610654722848812	0.0099781959134378	0.00213870749945793	0.0132896581968775	0.00391984212033423	0.00191323165049332	0.00260934292727012	0.00289882498594588	0.00561411980695517	0.00987514944649495	0.00795083813029302	0.00988020315674284	0.00611621874259464	0.0133116927603525	0.00541580811027366	0.00936312900662434	0.00827148023369242	0.0182796696624247	0.00777257800732294	0.00482894407817417	0.00611747168785655	0.00429053132515397
OM2_C_4A_3	0.00784970641327031	0.00685228328708651	0.0150761505246671	0.00788782945232787	0.0112235477782156	0	0.0195282097338047	0.00326107536116659	0.0102042899303293	0.0223887174491277	0.0213735209438572	0.0184004520940406	0.0306901961773089	0.0259282681195186	0.00964785344968016	0.00776062184530299	0.0145671793655107	0.00366619280928791	0.00648378694776504	0.00480554387583112	0.0134784103419739	0.00644266261089885	0.00132085423378017	0.00803705303888786	0.00638235280961942	0.011676273948416	0.00664496439856887	0.0138601671120665	0.012308618938604	0.00883853387935761	0.0138252531359158	0.0168101811013148	0.00484358545561027	0.00626140808366202	0.0207037537591388	0.00600882223700216	0.0187238258326771	0.0154814166673337	0.0195338608873451	0.0184613134635077	0.0271166172079602	0.0164546390469561	0.0158472184968031	0.0173151910324037	0.0155013775493743
OM2_C_4B_1	0.0117759540231243	0.0158726176831088	0.00558741225270738	0.0159127802053718	0.00839622509011596	0.0195282097338047	0	0.0170293661848752	0.00935597927734979	0.00687980992113563	0.00595921018822397	0.00275807129611471	0.0188213768144575	0.00824926925425168	0.014004498306721	0.0197497631263988	0.0293407258226233	0.017142233444024	0.0141657617995555	0.0147388211426803	0.0090438390521058	0.0131239155367668	0.0185986143225361	0.013925876275173	0.0169536073380138	0.00799634221061887	0.0214068024104208	0.00618230596940304	0.00726411352991564	0.0106952336048359	0.00646634487684142	0.00351346697752747	0.0181271778665343	0.0151601253279196	0.00231957413599624	0.0139243728512353	0.0130500531614124	0.00502558750021392	0.00407854625541585	0.00386462861651535	0.0125954411811278	0.00685043390780431	0.00370083556664004	0.0031598436410249	0.00444075326029313
OM2_C_4B_2	0.00593865845967628	0.00372440209532593	0.0122139570966165	0.00481366813692349	0.00863404592584004	0.00326107536116659	0.0170293661848752	0	0.00798013275824691	0.0206415345317906	0.0195719683132544	0.0162320531381735	0.0298916524407906	0.0239664809465737	0.0064103257992349	0.0058397334268484	0.0144360070052477	0.0045528974719577	0.00329207913742745	0.00316001022621845	0.0122180491749435	0.00456478793524849	0.00195705998094969	0.00477607033141772	0.00737112597387564	0.00953053756526925	0.00578159820769436	0.011800516206379	0.0100194166290927	0.00658814234232737	0.0109925612326619	0.014072440839565	0.00256644797777168	0.0062954155579194	0.0184315505647121	0.00489544500695233	0.0182467786258793	0.0134520517084453	0.0175572779305791	0.0164596286829066	0.0257487497331052	0.014902533785266	0.0134291024060914	0.0145746492268052	0.0128036660472983
OM2_C_4B_3	0.00243132069423878	0.00804378114960243	0.00577637340885928	0.00859177609695992	0.00178309038927285	0.0102042899303293	0.00935597927734979	0.00798013275824691	0	0.0127403909408933	0.0116500972618095	0.00826838981774925	0.0228183248048006	0.0159898959477301	0.00768890300044126	0.0120773114193828	0.0216787852270686	0.00787665674151854	0.00577292129609228	0.005399998157903	0.00535702453221063	0.00377211115918229	0.00935251676572259	0.00651686254950079	0.00828841854761482	0.0015554675026958	0.0131380361238597	0.00383108042965966	0.00210470589067099	0.00139625161820704	0.00460038975509652	0.00699929034524871	0.00962697435676001	0.00628525088888389	0.0105218413109505	0.00464364273945353	0.0121865200431326	0.00548093700400312	0.0095846976443201	0.00848491423638971	0.0180816169438423	0.00728277088683269	0.0056585759793431	0.00748775549371388	0.00567221197783865
OM2_C_4C_1	0.0147321057894835	0.0205751155967094	0.0116311244197822	0.0209084749163757	0.0126955777586875	0.0223887174491277	0.00687980992113563	0.0206415345317906	0.0127403909408933	0	0.0011247538708424	0.00523851410517777	0.0119428222324651	0.00390785151180467	0.0193832233697744	0.024624270311477	0.0342995322190255	0.0192280963934681	0.0184457920147104	0.0177461781986953	0.00914030906629494	0.0161489106375982	0.0217807236827765	0.0187969390019199	0.0179826668941932	0.0111922999970592	0.0258569030816097	0.00893078113244869	0.0108934100816052	0.0140976877666591	0.0120432449694546	0.00987718834816896	0.022360010092066	0.0167239111786956	0.0046347400037416	0.016381439930957	0.00882684667390701	0.00731257710425617	0.00343291913766188	0.00446473362675646	0.0058520112256368	0.00599204726921183	0.00838142179712303	0.00970082799211232	0.0102177863782239
