	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_3
OM2_B_B_1	0	0.0158740010339208	0.0159968151145394	0.0138535144355514	0.0258413695386774	0.0551309608433251	0.0358453584732293	0.0311654011020302	0.060743176322994	0.0424510523103757	0.0594281188534692	0.0485819000323524	0.0880092018197747	0.0848713480151761	0.0498560928116026	0.0666989408926846	0.066597303537777	0.0621069353547984	0.0652915245897423	0.0722339711909588	0.0197599449917419	0.0232739902388228	0.0465655629129709	0.0572434210732055	0.0643138352175771	0.0203425412587202	0.0269376330739453	0.0434602677754389	0.0435933184011175	0.0520570569109875	0.0727489143035176	0.0539715873848046	0.0534012869815131	0.0728573854432597	0.0944448036129796	0.118708322052464	0.0856767168696069	0.0348142659071538	0.0490909772592774	0.0493812176896846	0.0622330040504478	0.144496639478876	0.0689445485004415	0.0433034668865964	0.0505798161378113	0.0444657268493109	0.0556931628250898	0.0254413851125246	0.0467305571205583	0.0417203593332403	0.0418627925040301	0.0774701059677539	0.0437333401613703	0.0340093207022774	0.0504484715086323	0.0382749448163209	0.0924493553612134
OM2_B_B_2	0.0158740010339208	0	0.005709701198301	0.0108245761926299	0.0192703197953285	0.0503593174013257	0.0410032256027301	0.0329599904625947	0.0559016085461417	0.0423039868895424	0.0578614861303036	0.0438031656189367	0.0866356600102827	0.0826708929964589	0.0510119571549327	0.0658680991889461	0.062405994812728	0.0605092506401223	0.0638916134267229	0.0695303561223826	0.0185792361829494	0.0119559591549678	0.0452090258090964	0.05595039792536	0.0581513723765421	0.00778006396440439	0.0230851727546576	0.0365960953648651	0.0412127661467012	0.0496273554913421	0.0690007381397842	0.0531845949782728	0.0514664666128836	0.0692009011315612	0.0963093494536814	0.120826987810011	0.0876927896462996	0.0280188080225795	0.0434086492904657	0.0416525628985729	0.0595236209246553	0.144373706080336	0.0663599127620136	0.0415696831017828	0.0453242003496105	0.0381873122656976	0.055384130669193	0.0320964596135751	0.0408965168778895	0.0390375907485261	0.0381659667140584	0.0740534209073568	0.0429823043490719	0.0291256935364917	0.0413260191054866	0.0399406794421448	0.0882221306194362
OM2_B_B_3	0.0159968151145394	0.005709701198301	0	0.00708769916332715	0.0144726007776489	0.0462303216729863	0.03683602528368	0.0289956546424801	0.0515491799928013	0.0378703032224853	0.0533690998531471	0.0398664518078319	0.0821367656922659	0.0782159445241582	0.0465760234688141	0.0616016305391644	0.0583610678775123	0.0560038434234007	0.059398915088266	0.0650363570077618	0.0220891786960234	0.0119644985348982	0.0404918047389495	0.0514056793448452	0.0540600558612905	0.00589990782279217	0.0186327844221366	0.0323734576185238	0.0370542693504113	0.0451386684724111	0.064863714311793	0.0487809569239781	0.0468077405517678	0.0651431344808754	0.100558224034739	0.124819729911709	0.0916784516097728	0.0240496778010085	0.0393950326483211	0.0381084935852881	0.0554372330245665	0.140197563145249	0.0620167760673492	0.0454562443472713	0.0495462969611231	0.0420202953335361	0.0507611292566247	0.0289160233989048	0.0365552470678371	0.035117981119598	0.0335151741985484	0.0700171757688656	0.0386915705046804	0.0246352449421259	0.038083633343593	0.0355772436609639	0.0842158725355652
OM2_B_C_1	0.0138535144355514	0.0108245761926299	0.00708769916332715	0	0.0123403880843902	0.0435709430661995	0.0307626675619755	0.0230925199359489	0.0487478641137983	0.0328958367707307	0.0490456356960146	0.0367098549456129	0.0780474426626339	0.0744715465858422	0.0412470244765694	0.0569524131794267	0.0551826501323844	0.0518800114452844	0.0550819489345923	0.0614329309296309	0.0256352065405041	0.0185725836526915	0.0359167850728612	0.0469847018104922	0.0520570371887042	0.0105391530344128	0.0149980798580593	0.0305824716038168	0.0328948335588812	0.0410266092848691	0.0615276673446687	0.0440929832741219	0.0427120630199126	0.0618394842209772	0.104058246710024	0.128452512398877	0.0952062662055712	0.0220730126902703	0.0369690178375243	0.0362641100129913	0.051708472593743	0.135711993965276	0.0583627497145477	0.0502613046562333	0.0551058552291845	0.047776622708915	0.0460565965769954	0.02214781793261	0.0343761035495965	0.0309897641847673	0.0301180110743112	0.0665551599460003	0.0335809881529762	0.0215334259223677	0.0376476266077618	0.030223520235942	0.0812687755937188
OM2_B_C_2	0.0258413695386774	0.0192703197953285	0.0144726007776489	0.0123403880843902	0	0.0328614773412931	0.0282284219774686	0.0191812635378775	0.0374834235187858	0.0251330069181045	0.0394710450082203	0.0263299861845509	0.0682189316615676	0.0642598817139304	0.0339749673437404	0.0479851669440445	0.0445828585018581	0.0422381737768052	0.0454989532724342	0.0510098855441052	0.0360913399226015	0.0231557090053722	0.0266759859888558	0.0375928061390652	0.040556287536394	0.0139274569525741	0.00711493137238444	0.0187805398716092	0.0239407929798165	0.0310862516587462	0.0509499843772288	0.0353050047656259	0.0328516937845726	0.0514744266308919	0.114741932336367	0.138938912627805	0.10578535317979	0.011355691345495	0.0259785561183794	0.0249914343945604	0.0419855832174237	0.126674079563484	0.0482840872923436	0.0596844007945802	0.0632092299231443	0.0553059354509713	0.0372659131130965	0.0239937128927556	0.0229301323056659	0.0223285788496878	0.019484793737382	0.0562625855304286	0.0260919493338888	0.0107362305156526	0.0266758888849524	0.0244286692721588	0.0705111576937703
OM2_B_C_3	0.0551309608433251	0.0503593174013257	0.0462303216729863	0.0435709430661995	0.0328614773412931	0	0.0335340305231613	0.0284693867897665	0.00864157803911218	0.0193517271974428	0.0166103153066228	0.00906025476793431	0.0389465775331229	0.034022890711823	0.0220740776685327	0.0232068745404477	0.0131311337762161	0.0174607823625186	0.0203225675599803	0.0212164990811829	0.0680660550842461	0.05358806380367	0.0182833690589045	0.0177161498466798	0.0106579055219824	0.0435831143762634	0.0287997671263533	0.0154697741939885	0.0139161473112693	0.0126212903426489	0.0198697690979551	0.0162465669666552	0.0132402762631394	0.0195084202213813	0.145986481501333	0.170002455930349	0.137192743522989	0.0225019808365076	0.0078352081838867	0.0151868934655324	0.0122995482318951	0.0970121733611607	0.0176878285789897	0.090265039910344	0.0931920813188586	0.0852537805499804	0.0182766689336639	0.0395360592726839	0.0106754334006121	0.0156914027220462	0.0153268641885734	0.0246949780841021	0.0250345959894954	0.0224490929420081	0.0169558722772532	0.0244159572190935	0.0383066824791828
OM2_C_4A_1	0.0358453584732293	0.0410032256027301	0.03683602528368	0.0307626675619755	0.0282284219774686	0.0335340305231613	0	0.0113950285223534	0.0373586676308764	0.0149566858614819	0.0293885314538704	0.0294121590039672	0.055515309267384	0.0535561139337888	0.017506735660126	0.0348646817130229	0.0407730324441425	0.0314394007181807	0.0341764704077372	0.0427287951128969	0.0541720017807305	0.0474057044229387	0.0209090266655938	0.0268881319100997	0.0432935101761418	0.0383442329236025	0.0228143440960885	0.0307268042532104	0.0218698800821924	0.025799298188942	0.0448521194104467	0.0241027853418033	0.0256547765906885	0.0456226344726331	0.129444091183072	0.153366275917918	0.120722103077992	0.0280731902845358	0.0308607415300327	0.0363522704837099	0.0345845595210218	0.110239291289497	0.0404506880080944	0.0782095907662056	0.0845732742703554	0.0776033479435162	0.0247074316452271	0.0123988295228027	0.0304230313827035	0.02103836558959	0.0228407878138892	0.0490079907643239	0.0234023823869169	0.0239504814298665	0.0408532260354154	0.00927958289392295	0.0640136666551785
OM2_C_4A_2	0.0311654011020302	0.0329599904625947	0.0289956546424801	0.0230925199359489	0.0191812635378775	0.0284693867897665	0.0113950285223534	0	0.033303747353595	0.0119683612858108	0.0289852989014207	0.0222415661951203	0.0573563979742523	0.054495768982538	0.019136394231296	0.0356562632248461	0.0376305125837695	0.031771553400612	0.0346745054176782	0.0423354230281348	0.0481183563229888	0.0399333474961364	0.0179333083308576	0.0269348025822308	0.0384473283187387	0.0293918197172866	0.0132925959595528	0.0226239416175245	0.0152306912433725	0.022637821366271	0.0430814937019411	0.0232395623816992	0.023890477165198	0.0434577895339391	0.125168998266086	0.149512953008378	0.116497815635026	0.0181844760191376	0.0241077706360085	0.0276860103248232	0.0324246316663921	0.113796785874744	0.039222075036109	0.0725259158909097	0.0778221656474313	0.0705788611509154	0.0252644718542011	0.0111521688764343	0.0234041850333993	0.0135956449451318	0.0163977117284001	0.0475537412063644	0.0182973902374668	0.0145835144714058	0.0320531719368298	0.00840001495906778	0.0629462956289712
OM2_C_4A_3	0.060743176322994	0.0559016085461417	0.0515491799928013	0.0487478641137983	0.0374834235187858	0.00864157803911218	0.0373586676308764	0.033303747353595	0	0.0228157681078088	0.0140385708703563	0.0137459910510624	0.033830382304616	0.0288915977053463	0.0233252575929214	0.0202120860558794	0.00940529743710957	0.015058242031681	0.016473770659478	0.0159004191251817	0.0732886240525465	0.0585242566564385	0.0188051899036571	0.0158338243798768	0.00751986932955749	0.0492186706948107	0.0342842065640072	0.0198097315273699	0.0188717822730839	0.012425497045805	0.0151201473105665	0.0164251860297411	0.0126586085033848	0.0157769581747004	0.151560488041324	0.175520784709075	0.142607177683179	0.0280783434898288	0.013735442389768	0.0176888007753766	0.0121486047112942	0.0924519327909772	0.0140005644280951	0.0959555240272413	0.098623540944717	0.0904461736971456	0.0173705944347939	0.0441766136311964	0.0154016157720737	0.0212395254652305	0.0192846742174661	0.0205049676514788	0.0255710659408185	0.0272806276917111	0.0215317350925939	0.028729203421512	0.0337681054311239
OM2_C_4B_1	0.0424510523103757	0.0423039868895424	0.0378703032224853	0.0328958367707307	0.0251330069181045	0.0193517271974428	0.0149566858614819	0.0119683612858108	0.0228157681078088	0	0.0171542654759289	0.015060162808954	0.0457724662992979	0.0427776130561312	0.00913905736628942	0.0244685587010061	0.0268108193617516	0.0199469454271627	0.0229122225450692	0.0305410114508466	0.05840732370246	0.0476724361683471	0.00823750755991783	0.0151620970441165	0.0288055966276478	0.0374438552179985	0.0196811365828072	0.0188109140703745	0.00832318666484618	0.0114165855483022	0.0317395244441451	0.0117227242400027	0.0121418469327626	0.0324794951370332	0.136195180606789	0.160392228182924	0.127387136373918	0.0197918910191185	0.0170594413213611	0.0228579845823341	0.0215745381525466	0.103138814388256	0.0279108929529307	0.0825704159817419	0.087240832991564	0.0796274305200013	0.0136890580095571	0.0219462836759961	0.0172962538025011	0.00864266320901906	0.0105658402452572	0.0363956203168037	0.0147112426816462	0.0160674056903369	0.0282549445204699	0.00643732063490844	0.0516768231209922
