	OM2_B_B_1	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0116196026871352	0.0168266650062348	0.0105945603411779	0.00833649427913641	0.0528459096431238	0.0046226533414909	0.0262721123222684	0.00387632649993644	0.00826434765677054	0.00578434735875815	0.00219033984066413	0.00434885125726212	0.00453912161664701	0.00481519747635553	0.0273535120863493	0.00903801290850065	0.0129733466196361	0.00941945578171204	0.0137607829977716	0.0124943322997856	0.0138962602518641	0.007221357813847	0.0124258426784588	0.0205304529007354	0.0130457704547417	0.016301804432903	0.0071669787901382	0.0143879796624419	0.00537172822776723	0.00946526318372684	0.0146344925242887	0.0110306917204664	0.00608188257993919	0.0112783782003193	0.0156508361674399	0.0102045818960505
OM2_B_B_3	0.0116196026871352	0	0.0062055644143293	0.00306983040270527	0.0033540923910321	0.0413808968367022	0.01074511634845	0.0147323052634484	0.0149604424312442	0.00413669928425775	0.00648243278740444	0.0128572779053242	0.0159596684205073	0.0099230057480023	0.0164308118739974	0.0386113913830737	0.00475740740820679	0.00149174878138908	0.0204482565441189	0.0246538939426884	0.00136351264739862	0.00445709107893819	0.0132213987748467	0.00222336920345867	0.0101328253237218	0.00630872312850024	0.00549704257952896	0.00554898222575196	0.00369378095233704	0.0159220737421717	0.0210665091436698	0.0259135312790688	0.0226126975535293	0.00553955441543813	0.00145702756489681	0.00415181117855437	0.0209762154413348
OM2_B_C_1	0.0168266650062348	0.0062055644143293	0	0.00623810179441656	0.00873183266841789	0.0361637755650986	0.0167757429638453	0.00999500709410453	0.0204891036765864	0.0102946491410873	0.0110904449710348	0.017564025468435	0.0210041110481527	0.0159420559955019	0.0215692572514765	0.0441552373480236	0.00800681894546557	0.00578415153281722	0.0260770655220837	0.0303683175635467	0.00488077110470921	0.00307430146066519	0.016119664227448	0.0045138582162198	0.00393571120409511	0.00541647513769136	0.000750242909784275	0.00975394241073412	0.00709229812077775	0.0201959405333405	0.0262121681223573	0.0314313125402491	0.0277999015705352	0.0109843758903599	0.0074764335875453	0.00297182714042505	0.0267081871886993
OM2_B_C_2	0.0105945603411779	0.00306983040270527	0.00623810179441656	0	0.00288796068613217	0.0423610141193964	0.0109992108016434	0.0159481451555715	0.0142980053197859	0.00525691687448928	0.00485562820240445	0.0113628193437422	0.014771133286531	0.0101691457009263	0.0153325599316936	0.0379382257232635	0.00201532255512123	0.00435649107457724	0.0198970486396985	0.0242098279321352	0.00276402157811718	0.00333946444289127	0.0106795487304565	0.0020960659020834	0.00996640608038519	0.0037584167232615	0.00574837116700185	0.00354387069700434	0.00669825693177174	0.0141271610997604	0.0199780038179998	0.0252152943758403	0.0215647676747048	0.00492197985935188	0.00424187309791792	0.0056045154736697	0.0205666814452376
OM2_B_C_3	0.00833649427913641	0.0033540923910321	0.00873183266841789	0.00288796068613217	0	0.0445419057215565	0.00815699422315272	0.0179390937605988	0.0118282558283605	0.00262297212534803	0.00318966500560815	0.00950488460543872	0.0126560481244849	0.00732290475166641	0.0131505994201022	0.0355230290418786	0.00287633134548135	0.00480380486360717	0.0173891204557363	0.0216591566117871	0.00416170851718157	0.00609716221848013	0.0102196289142947	0.00422156278868892	0.0126031464313409	0.00651278604322705	0.0081307864063011	0.00255654774175463	0.00668059893410624	0.0125766930249296	0.0178008254814719	0.0227986350625449	0.0193618741187306	0.0022866448521307	0.00348782720028237	0.00731489659932478	0.0179912729498374
OM2_C_4A_3	0.0528459096431238	0.0413808968367022	0.0361637755650986	0.0423610141193964	0.0445419057215565	0	0.0518882028454093	0.0266619715985541	0.0563211305601766	0.0453064225524371	0.047206385942534	0.0537071837903384	0.0570989843460933	0.0511068654055213	0.0576355027946509	0.0799249515203246	0.0441637286557456	0.0401928360074112	0.0617969166488445	0.0659506557731291	0.0403857179583266	0.0392132586472966	0.0518054233021121	0.0404410804628629	0.0328361351725157	0.0409389813076857	0.0366166815980903	0.045896517461924	0.0395124141664801	0.0563035582122696	0.062284067463692	0.0672617388853841	0.0638569720905996	0.0468224361053825	0.042067579400431	0.0372563356240552	0.0622839461630707
OM2_C_4B_2	0.0046226533414909	0.01074511634845	0.0167757429638453	0.0109992108016434	0.00815699422315272	0.0518882028454093	0	0.025275034685206	0.00534476463244194	0.00664370624241609	0.00724114199434797	0.00679965888313312	0.00763350102838565	0.000835573740744563	0.00772049047637768	0.028169641398169	0.0101581226204235	0.0117637230040064	0.0101276309864419	0.0141170542966329	0.0119539602099735	0.0142534731382705	0.0115413657371227	0.0122842013568814	0.0206928474938645	0.014325921617729	0.0161228673162811	0.00842691439786898	0.0124683122159351	0.00978586256536561	0.0117299401247397	0.0156399591613015	0.0130759192178685	0.00614651549477288	0.0098612470778873	0.0148719744527727	0.0104690057381305
OM2_C_4C_1	0.0262721123222684	0.0147323052634484	0.00999500709410453	0.0159481451555715	0.0179390937605988	0.0266619715985541	0.025275034685206	0	0.0296896812106259	0.0186641251196162	0.0207359374564451	0.027273232575645	0.0305719804182107	0.0244833971531343	0.031082220034832	0.0533146241891002	0.01786377403629	0.0135408403755948	0.0351611189639273	0.0393275433483413	0.013779777195675	0.013045798579227	0.026111550839194	0.0139352363954454	0.00778665789109096	0.0152959775283344	0.0102915337964757	0.0194821041161186	0.0130340182730441	0.0300659836005825	0.0357333643439828	0.0406356601058565	0.0372952312520798	0.0202112510885185	0.015425231424991	0.0106264796285113	0.0356542686843145
OM2_C_4E_2	0.00387632649993644	0.0149604424312442	0.0204891036765864	0.0142980053197859	0.0118282558283605	0.0563211305601766	0.00534476463244194	0.0296896812106259	0	0.0111890020359564	0.00957922697862006	0.00461388998325031	0.00279455424856681	0.00585459014616538	0.00258558197775572	0.0236996797540595	0.0128493960267572	0.0162064987783422	0.0056017021787159	0.00993030329799881	0.0159681098675632	0.01762860103585	0.0101281366719479	0.0160199795830106	0.0242621543728221	0.0169046986366686	0.0199270121062175	0.0109670469455563	0.0173120353762206	0.00600090445282277	0.00642532931187999	0.0109724993734092	0.00784612709559275	0.009542756690371	0.0143907117362046	0.0190836001892211	0.00633646298386111
OM2_C_4E_3	0.00826434765677054	0.00413669928425775	0.0102946491410873	0.00525691687448928	0.00262297212534803	0.0453064225524371	0.00664370624241609	0.0186641251196162	0.0111890020359564	0	0.0047440727155667	0.00991745564157808	0.0125696808438113	0.00583459823225696	0.012948609090308	0.034688145044127	0.00549186636725191	0.00512865046895471	0.0165395179148507	0.0206725714182756	0.00541579663673292	0.0081006740611484	0.011878139102083	0.00593166358311772	0.0142300381984347	0.00900072710475533	0.00960585590796043	0.0047677697933378	0.00615664087057794	0.0131949973221207	0.017490672866814	0.0220432436786586	0.0189875955967825	0.00287018786828632	0.00324187639145268	0.00823335822604169	0.0169996640511127
OM2_C_4F_1	0.00578434735875815	0.00648243278740444	0.0110904449710348	0.00485562820240445	0.00318966500560815	0.047206385942534	0.00724114199434797	0.0207359374564451	0.00957922697862006	0.0047440727155667	0	0.00653894976431448	0.00991588338671181	0.00650146726502446	0.010481277513097	0.0331292792712469	0.00327097566611419	0.00796013628552724	0.015172523197534	0.0195073889702445	0.0070609339384762	0.0081215401658769	0.00718054010774161	0.0068021022230267	0.0147512100320265	0.00739063528941178	0.0106009545566907	0.00138794216408014	0.00986536081804905	0.00946717347101668	0.0151238494752853	0.0204169535326393	0.0167119208224596	0.00197055408596015	0.00665787085719089	0.0101998026732769	0.0159039329809772
OM2_C_4F_2	0.00219033984066413	0.0128572779053242	0.017564025468435	0.0113628193437422	0.00950488460543872	0.0537071837903384	0.00679965888313312	0.027273232575645	0.00461388998325031	0.00991745564157808	0.00653894976431448	0	0.00360397372899313	0.00672773947418269	0.0042739115665322	0.0269414760992443	0.00957617653763202	0.0142843933567157	0.00956926119910726	0.0138388295835911	0.0135687444221113	0.0145363348255679	0.00555044866161977	0.0133404089827682	0.0210984760585799	0.0132719342414791	0.017107730678576	0.00782043740266125	0.0159086895847105	0.00331888861431622	0.00875275323980681	0.0143585416569635	0.010351440171115	0.00739990708910505	0.0127215854280471	0.0167222197048856	0.0105127104564033
OM2_C_4G_1	0.00434885125726212	0.0159596684205073	0.0210041110481527	0.014771133286531	0.0126560481244849	0.0570989843460933	0.00763350102838565	0.0305719804182107	0.00279455424856681	0.0125696808438113	0.00991588338671181	0.00360397372899313	0	0.00795429133135878	0.000716674806467991	0.0233513398803955	0.0130704904227916	0.0173209956897731	0.00614912106518303	0.0103191214451065	0.016801594650023	0.0180120658698432	0.00843194833742903	0.0166772681270394	0.0246121329362052	0.0168569271869299	0.0205133503933068	0.0112573729894295	0.0187137586513851	0.00345401165180824	0.00521160331811276	0.010755862601991	0.00680518835495632	0.0104205271333998	0.0156228667871617	0.0199625499567889	0.00717632524996509
OM2_C_4G_2	0.00453912161664701	0.0099230057480023	0.0159420559955019	0.0101691457009263	0.00732290475166641	0.0511068654055213	0.000835573740744563	0.0244833971531343	0.00585459014616538	0.00583459823225696	0.00650146726502446	0.00672773947418269	0.00795429133135878	0	0.00810931663497266	0.0289241912627553	0.00935884690744793	0.0109605835634066	0.010837853271252	0.014879647144069	0.0111245545364079	0.0134190991028141	0.0111841832999532	0.0114491646440796	0.0198582668972241	0.0135178464539928	0.015290653151606	0.00765184324886403	0.0117237853079911	0.00984654848375369	0.0122763205837329	0.016355098074689	0.0136625134690577	0.00533215271175984	0.00906245052430006	0.0140555747915996	0.0112197804937712
OM2_C_4H_2	0.00481519747635553	0.0164308118739974	0.0215692572514765	0.0153325599316936	0.0131505994201022	0.0576355027946509	0.00772049047637768	0.031082220034832	0.00258558197775572	0.012948609090308	0.010481277513097	0.0042739115665322	0.000716674806467991	0.00810931663497266	0	0.0227206643708794	0.0136649372530351	0.017771566310629	0.005432473626303	0.00961066051091241	0.017306165779142	0.0185932928051539	0.00914495432429021	0.0172127322619098	0.0252053575583115	0.0174933831476213	0.0210665317092106	0.0118358532202662	0.0191029306739002	0.00407202035849848	0.00465637773957891	0.0100909541856065	0.00623501366822199	0.0108957506124065	0.0160446347133269	0.0204639507752973	0.00646200967311516
OM2_C_4H_3	0.0273535120863493	0.0386113913830737	0.0441552373480236	0.0379382257232635	0.0355230290418786	0.0799249515203246	0.028169641398169	0.0533146241891002	0.0236996797540595	0.034688145044127	0.0331292792712469	0.0269414760992443	0.0233513398803955	0.0289241912627553	0.0227206643708794	0	0.0363554632683646	0.0397927055218246	0.0181704808438234	0.014059111985908	0.0396542639543224	0.041241932812962	0.0307076404264811	0.0397080317525948	0.047869118047807	0.0402003430939069	0.0436079618462663	0.034503670619384	0.0406313128095867	0.0251963523654239	0.0182187543249278	0.0127336614912186	0.0166297159282527	0.033238825223869	0.0379272160490256	0.0427500888710588	0.0177070639109029
OM2_C_5A_2	0.00903801290850065	0.00475740740820679	0.00800681894546557	0.00201532255512123	0.00287633134548135	0.0441637286557456	0.0101581226204235	0.01786377403629	0.0128493960267572	0.00549186636725191	0.00327097566611419	0.00957617653763202	0.0130704904227916	0.00935884690744793	0.0136649372530351	0.0363554632683646	0	0.00617843459862349	0.0184400565066187	0.0227760550534269	0.00473419618663983	0.00496149368103861	0.00866991683660524	0.00410878060598171	0.0115436255065667	0.00418832995429307	0.00759487854937941	0.00188421551858203	0.00845102504545805	0.012211781462393	0.0182795885322648	0.0236577623999014	0.0198745979420318	0.00405350291905734	0.00562046977990442	0.00761547964650867	0.0191743079005375
OM2_C_5A_3	0.0129733466196361	0.00149174878138908	0.00578415153281722	0.00435649107457724	0.00480380486360717	0.0401928360074112	0.0117637230040064	0.0135408403755948	0.0162064987783422	0.00512865046895471	0.00796013628552724	0.0142843933567157	0.0173209956897731	0.0109605835634066	0.017771566310629	0.0397927055218246	0.00617843459862349	0	0.0216346229202464	0.0257931544345195	0.00181804259317895	0.00481397519885185	0.0147039504069629	0.00288650381918038	0.00959818649000813	0.00713453406864981	0.00503634932058424	0.00704048658555859	0.00235996430515921	0.0173799636287524	0.0223893379976695	0.0271241292745683	0.0239220805880475	0.00691747999146925	0.00190999910277072	0.00321229672715041	0.0221183658901189
OM2_C_5G_2	0.00941945578171204	0.0204482565441189	0.0260770655220837	0.0198970486396985	0.0173891204557363	0.0617969166488445	0.0101276309864419	0.0351611189639273	0.0056017021787159	0.0165395179148507	0.015172523197534	0.00956926119910726	0.00614912106518303	0.010837853271252	0.005432473626303	0.0181704808438234	0.0184400565066187	0.0216346229202464	0	0.00434180409564118	0.0215044754042643	0.0232286556047128	0.0145632554040448	0.0215958917565672	0.0298604817463438	0.0224618075795091	0.0255057767577388	0.0165601310751286	0.0225541122285766	0.00924016706264928	0.0037130247472054	0.00551794355131163	0.00402651156247071	0.0151098973846604	0.019776588410534	0.0245912260676343	0.00112946558662595
OM2_C_5G_3	0.0137607829977716	0.0246538939426884	0.0303683175635467	0.0242098279321352	0.0216591566117871	0.0659506557731291	0.0141170542966329	0.0393275433483413	0.00993030329799881	0.0206725714182756	0.0195073889702445	0.0138388295835911	0.0103191214451065	0.014879647144069	0.00961066051091241	0.014059111985908	0.0227760550534269	0.0257931544345195	0.00434180409564118	0	0.0257464087179778	0.0275448017027098	0.0186043655016111	0.0258750407187705	0.0341712152675703	0.0268022175851744	0.0297853026622694	0.0208950415776049	0.0265815168108682	0.0131019715564238	0.00624044151960825	0.00239268896820025	0.00526549581169962	0.0193895417479025	0.0239133722706744	0.0288036228537442	0.0036785997357939
OM2_C_6E_1	0.0124943322997856	0.00136351264739862	0.00488077110470921	0.00276402157811718	0.00416170851718157	0.0403857179583266	0.0119539602099735	0.013779777195675	0.0159681098675632	0.00541579663673292	0.0070609339384762	0.0135687444221113	0.016801594650023	0.0111245545364079	0.017306165779142	0.0396542639543224	0.00473419618663983	0.00181804259317895	0.0215044754042643	0.0257464087179778	0	0.00316617612885049	0.0133944926668569	0.00107120746565665	0.00881574184218749	0.00532198417197259	0.00419109823972213	0.00593806441496093	0.00414920344312314	0.0165193769332193	0.0219583728850761	0.0269376850773089	0.0235215249267412	0.00644217549520996	0.00277639536196598	0.00316220959792024	0.0220713450792426
OM2_C_6E_2	0.0138962602518641	0.00445709107893819	0.00307430146066519	0.00333946444289127	0.00609716221848013	0.0392132586472966	0.0142534731382705	0.013045798579227	0.01762860103585	0.0081006740611484	0.0081215401658769	0.0145363348255679	0.0180120658698432	0.0134190991028141	0.0185932928051539	0.041241932812962	0.00496149368103861	0.00481397519885185	0.0232286556047128	0.0275448017027098	0.00316617612885049	0	0.0130952648419205	0.0022535249478982	0.00663759599465558	0.00284239259022498	0.00278385621090027	0.00675813166228465	0.00690562592538818	0.0171267161095144	0.0232226303326462	0.0285263679171502	0.0248150305157732	0.00824382821183073	0.00591057061168436	0.00380076262890375	0.0239043973988515
