	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_2	OM2_C_4H_2	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.0079873071596775	0.0102577083911029	0.00999023242763351	0.00636161640941982	0.012479717103318	0.00440933129649069	0.0115312832298818	0.0136399273881271	0.00915900050873527	0.0241197861191033	0.0293163932583876	0.00404044967926685	0.0178257367734176	0.0312402980011401	0.0148085506704034	0.011106618087366	0.0136596666370257	0.0090109236984884	0.0120405227167984	0.0148749283262175	0.0114269243776439	0.0204289874504852	0.0159331755565031	0.0172480997477401	0.00710909986097471	0.0200732024414885	0.00794914012792849	0.0163297177119118	0.00785603664487117	0.00670781882912046	0.027346299272559	0.0235096498887512	0.0161078643824614	0.0102502630690175	0.0126660434924672
OM2_B_B_2	0.0079873071596775	0	0.0051431248075442	0.012986358077076	0.0093983646050647	0.018816864233738	0.00368643680220079	0.00719778343822941	0.0190334701025679	0.0105717201877886	0.0312104276602897	0.0350453763230595	0.0066216823359204	0.0238670279320989	0.0385300260094254	0.0214057459815231	0.00318151563307574	0.0065000989854751	0.00528747580350787	0.00428720482922882	0.0201418395820427	0.0153571694024804	0.0243902789107335	0.0220345987116847	0.00926322227766909	0.00897853922593098	0.0245355456445301	0.011957119730683	0.0202457559714427	0.0081403165061365	0.00636914718187852	0.0332097674489453	0.029757073442486	0.0219671619339704	0.00314341393079546	0.0167659103840256
OM2_B_B_3	0.0102577083911029	0.0051431248075442	0	0.0104725614000571	0.00802115690105495	0.0178370027457582	0.00633966947558945	0.00206368842904257	0.0172840304487392	0.00769239796020406	0.0304430762419002	0.0328716012053916	0.00687126676707491	0.0223117045954988	0.0378857439662257	0.0204821330472039	0.00618277943456575	0.00421429094472686	0.00160932435766852	0.00739989230083401	0.0182121284984888	0.0130227149668984	0.0213551761818477	0.0206287765713971	0.00988320967259234	0.00703020091566178	0.0218005953349978	0.0103207267756957	0.0174167862062989	0.00554019287196874	0.00465516310822047	0.0311854207504426	0.0281540619357436	0.0203657760643094	0.00279903190789819	0.0143619050043875
OM2_B_C_1	0.00999023242763351	0.012986358077076	0.0104725614000571	0	0.00392860231700101	0.00814422497375006	0.0104341624153574	0.00981918232269796	0.00693451507098682	0.00279323562652054	0.0204251858914747	0.0224303262132191	0.00712929886280008	0.0119538717962397	0.0278569288860315	0.0106484407884504	0.0156484971770569	0.0145840720107365	0.00899259355172919	0.0169248291420457	0.00777084187711573	0.0025509685125796	0.0114148340927053	0.0103869021795134	0.0203386495882045	0.00401376008488962	0.0115747268700903	0.0022083362216253	0.00726036672367847	0.00505606484723454	0.00664858009544518	0.0207202089816302	0.0177308660259973	0.0100188337628011	0.0127342843036173	0.00390369166806741
OM2_B_C_2	0.00636161640941982	0.0093983646050647	0.00802115690105495	0.00392860231700101	0	0.00986467141586325	0.0065536870971973	0.00811957523953923	0.00968297917888485	0.00288155854831225	0.0224748985393641	0.0256638318628837	0.00320477390733098	0.0146147103084965	0.029908090775087	0.012512742575354	0.0122871916530581	0.0122274929229339	0.00641315201583194	0.0135332912292304	0.0107604214213611	0.00603290626976357	0.015213711366367	0.0128390316922945	0.0175215102254294	0.00122271091152463	0.0152200498061937	0.00256206872598695	0.0110281662517207	0.00278640424304886	0.00345648912134439	0.023848645507688	0.0205119120504428	0.0126849288804917	0.00973910148194131	0.00743420899750492
OM2_B_C_3	0.012479717103318	0.018816864233738	0.0178370027457582	0.00814422497375006	0.00986467141586325	0	0.0153792263658411	0.0176217867497161	0.00283535930293549	0.0106768232337488	0.0126138319341666	0.0168504329299516	0.0121974501109918	0.00535425411579761	0.0200551416204662	0.00264846764228042	0.0218934413139205	0.0220505218023425	0.0162400048562457	0.0230854462021146	0.00370966414126552	0.00613451011838722	0.0100237128209367	0.00346591050567095	0.0273627222295643	0.010808496505416	0.00899088862307667	0.00753918425471183	0.00722218071529206	0.0123449727871201	0.0133201076433146	0.0148704054535226	0.0110760062829753	0.00377375257374837	0.0195769981017912	0.00568547531304605
OM2_C_4A_2	0.00440933129649069	0.00368643680220079	0.00633966947558945	0.0104341624153574	0.0065536870971973	0.0153792263658411	0	0.00799554594120098	0.0158588864484728	0.00848798776863653	0.0276407463060526	0.031876878224799	0.00340160232559055	0.0205495187320802	0.0349237079548276	0.0179233203293932	0.0068653818065966	0.00932865028677581	0.00546391565304096	0.00792075511041598	0.0170209402736884	0.0125707941704376	0.0217649279114718	0.01868692021702	0.012919964432631	0.0065304876757885	0.0217323436198696	0.00899940561683325	0.0175789006518915	0.00630163140444148	0.00451585360923556	0.0299916788945945	0.0264089433137164	0.0186878999889713	0.0058736941424941	0.0139619168085668
OM2_C_4A_3	0.0115312832298818	0.00719778343822941	0.00206368842904257	0.00981918232269796	0.00811957523953923	0.0176217867497161	0.00799554594120098	0	0.0167483032896614	0.0070499028693254	0.0301476202512276	0.0319763169461675	0.00777995501008976	0.0217717847399695	0.0375934362993689	0.0202380843527402	0.00810487079772621	0.00497169788131599	0.00255926566489816	0.00927226707355822	0.0175768840038893	0.0123414966127002	0.0201771745952314	0.0201780512180481	0.0110175427551407	0.00697119102037342	0.0207520598766015	0.0101047674175282	0.0163878640525328	0.00536888359562318	0.00518162611679594	0.0303628694972802	0.0275308599615163	0.0198353213545501	0.00474366799248998	0.0136031800966731
OM2_C_4B_2	0.0136399273881271	0.0190334701025679	0.0172840304487392	0.00693451507098682	0.00968297917888485	0.00283535930293549	0.0158588864484728	0.0167483032896614	0	0.00970223051199757	0.0135661125622498	0.0160317536491726	0.0125003313205517	0.00503321167100357	0.0209682046614636	0.00428914981582307	0.0219682484886409	0.0214516006779128	0.0157417859423044	0.0232103323755166	0.00124276963245005	0.00447731933936709	0.00746497817553883	0.00348344136745275	0.027067592506649	0.0103773202564804	0.00667150746712792	0.00713336119347967	0.00438719405833456	0.0117542982361564	0.0130503286898583	0.0141805186227774	0.0108824208200823	0.00308970309483909	0.0193359284382265	0.00351036938963598
OM2_C_4C_2	0.00915900050873527	0.0105717201877886	0.00769239796020406	0.00279323562652054	0.00288155854831225	0.0106768232337488	0.00848798776863653	0.0070499028693254	0.00970223051199757	0	0.0231223895729532	0.0251866638716617	0.0055368772911577	0.0147308287684939	0.0305651859456427	0.0132566432793572	0.013057147336966	0.0117911510622658	0.00624340324691858	0.0143395380313683	0.0105627480833849	0.0053420067551443	0.0139029669529755	0.0131294259508607	0.0175696396798302	0.00209480434216385	0.0142048915747959	0.00339789462813782	0.00983525565968396	0.00243886468254225	0.00422209384467018	0.0234957545672516	0.020522010612002	0.012791067521581	0.0100313745070603	0.00666990755531464
