	OM2_B_C_2	OM2_B_C_3	OM2_C_4B_2	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_3	OM2_C_5F_2	OM2_C_5G_2	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2F_3
OM2_B_C_2	0	0.00992312061962662	0.00773175878438017	0.00313115846499781	0.018588173348219	0.0329011062986929	0.0281271735710142	0.0293213056184803	0.00630097525213439	0.010491671399717	0.00976027273291313	0.0431530179281629	0.00558427670878559	0.00840091020664192	0.00869033005434955	0.0114955335566142	0.0157358258093123	0.0336339091962261	0.0993433153359633	0.0156193654169877	0.0163789168827192
OM2_B_C_3	0.00992312061962662	0	0.0042212633350524	0.00775451926513071	0.00945472801506491	0.0235677037973683	0.0184841713239129	0.0197377411440371	0.0105424717286412	0.00187928885625946	0.00208036277540457	0.0340909123195163	0.00777444935644894	0.0164337746493397	0.00772677471859067	0.0107014289580576	0.00912947686275513	0.0242918117460034	0.0899692992249317	0.0109812700983166	0.00916997814720379
OM2_C_4B_2	0.00773175878438017	0.0042212633350524	0	0.00642353114863264	0.0109820345085237	0.0253947162931115	0.0207017292806166	0.021839893309706	0.00822497968378248	0.00521036997214795	0.0056551496645089	0.0356425064997547	0.00754390152452676	0.0139294732472325	0.00515034587553749	0.00875238974882052	0.00822006228675402	0.0260214048532974	0.0917457067500361	0.00974211843068532	0.0101901935534863
OM2_C_4F_1	0.00313115846499781	0.00775451926513071	0.00642353114863264	0	0.0166487516173218	0.030652261340893	0.025903382264425	0.0271280117670956	0.00516475057396341	0.00864499763870739	0.00725699280566852	0.0409132950880597	0.00262071630078785	0.0114152609256207	0.00701140703856213	0.00972378486852936	0.0143269446273112	0.0317938998181806	0.0971810866361272	0.0137849168374186	0.0138201166660293
OM2_C_4F_2	0.018588173348219	0.00945472801506491	0.0109820345085237	0.0166487516173218	0	0.0146223719936683	0.00983420818655681	0.0109121287213912	0.0176506523116528	0.00966895629458416	0.0109038549182268	0.0250687880499284	0.0165659935266937	0.0242740578119518	0.012917912533751	0.0144527277034185	0.00575007954778483	0.0152241178847446	0.0808898415616911	0.0100716620398038	0.00788577900923908
OM2_C_4G_3	0.0329011062986929	0.0235677037973683	0.0253947162931115	0.030652261340893	0.0146223719936683	0	0.00579149427701829	0.00460892404738255	0.0308270242956329	0.0238004471798202	0.0245272368570167	0.0106960134866292	0.0300255651442364	0.0388737274490426	0.0260596802172796	0.0261421108179006	0.018594015743287	0.00704842383338788	0.0666347060921707	0.0205335593177091	0.0180908372645652
OM2_C_5F_2	0.0281271735710142	0.0184841713239129	0.0207017292806166	0.025903382264425	0.00983420818655681	0.00579149427701829	0	0.0013625650004697	0.0267513340217148	0.018502320840516	0.019407249220615	0.0163932957076383	0.0253490223815561	0.0339276211892677	0.0220916405271027	0.0227808807954262	0.0147672510893532	0.00746155781562728	0.07156893149141	0.0176291526369686	0.0145496517297035
OM2_C_5G_2	0.0293213056184803	0.0197377411440371	0.021839893309706	0.0271280117670956	0.0109121287213912	0.00460892404738255	0.0013625650004697	0	0.0278736101762388	0.0197650536742171	0.0207023930381106	0.0151311964595628	0.0266006890681253	0.0350572591828253	0.0231565314760675	0.0237677231496583	0.0156265248698854	0.00641835694120573	0.0703000572626526	0.0184587752820689	0.0155910037523401
OM2_C_6E_1	0.00630097525213439	0.0105424717286412	0.00822497968378248	0.00516475057396341	0.0176506523116528	0.0308270242956329	0.0267513340217148	0.0278736101762388	0	0.0120087005769098	0.0104247881515321	0.0405432647989833	0.00541927618148451	0.0139580604796502	0.00508952023669505	0.00609503702168492	0.0142597757329848	0.0327642111346832	0.0971166534905565	0.0116562625124753	0.0130589476934786
OM2_C_6E_2	0.010491671399717	0.00187928885625946	0.00521036997214795	0.00864499763870739	0.00966895629458416	0.0238004471798202	0.018502320840516	0.0197650536742171	0.0120087005769098	0	0.00290530823778069	0.0344156237486842	0.00889225151288884	0.0162615028329514	0.00939932980883746	0.0125131659541993	0.0098886413328107	0.0240306362614407	0.0899585973714997	0.0125542328639066	0.0106498077987469
OM2_C_6E_3	0.00976027273291313	0.00208036277540457	0.0056551496645089	0.00725699280566852	0.0109038549182268	0.0245272368570167	0.019407249220615	0.0207023930381106	0.0104247881515321	0.00290530823778069	0	0.035056690982212	0.00674107031941021	0.016650303078928	0.00842873633071814	0.0111447187960851	0.0109970909240145	0.0255027181182345	0.0908799156369052	0.0121269967977398	0.00978168077379232
OM2_C_6F_1	0.0431530179281629	0.0340909123195163	0.0356425064997547	0.0409132950880597	0.0250687880499284	0.0106960134866292	0.0163932957076383	0.0151311964595628	0.0405432647989833	0.0344156237486842	0.035056690982212	0	0.0402295692463999	0.0491328783929948	0.0357742610202191	0.0353245324418955	0.0283243340068781	0.0138584149759934	0.0567063386535894	0.029538500625302	0.0277432581828349
OM2_C_6F_2	0.00558427670878559	0.00777444935644894	0.00754390152452676	0.00262071630078785	0.0165659935266937	0.0300255651442364	0.0253490223815561	0.0266006890681253	0.00541927618148451	0.00889225151288884	0.00674107031941021	0.0402295692463999	0	0.0138221273703395	0.0073004481611116	0.00935659089517847	0.0148029009068684	0.0316293058788047	0.0965147957429082	0.013586779226295	0.0128792372582065
OM2_C_6F_3	0.00840091020664192	0.0164337746493397	0.0139294732472325	0.0114152609256207	0.0242740578119518	0.0388737274490426	0.0339276211892677	0.0350572591828253	0.0139580604796502	0.0162615028329514	0.016650303078928	0.0491328783929948	0.0138221273703395	0	0.0160009813062084	0.0189288750047585	0.0211210369376815	0.0383881899591081	0.104606576984866	0.022400379459893	0.0238460797063598
OM2_C_6G_2	0.00869033005434955	0.00772677471859067	0.00515034587553749	0.00701140703856213	0.012917912533751	0.0260596802172796	0.0220916405271027	0.0231565314760675	0.00508952023669505	0.00939932980883746	0.00842873633071814	0.0357742610202191	0.0073004481611116	0.0160009813062084	0	0.00368890235465188	0.00923953653490636	0.0278809696121336	0.0923163012630787	0.00703541996370956	0.00885031497113331
OM2_C_6G_3	0.0114955335566142	0.0107014289580576	0.00875238974882052	0.00972378486852936	0.0144527277034185	0.0261421108179006	0.0227808807954262	0.0237677231496583	0.00609503702168492	0.0125131659541993	0.0111447187960851	0.0353245324418955	0.00935659089517847	0.0189288750047585	0.00368890235465188	0	0.0108041444491249	0.0288015189329439	0.0919122209655411	0.00617357888213073	0.00862216137720698
OM2_C_6H_1	0.0157358258093123	0.00912947686275513	0.00822006228675402	0.0143269446273112	0.00575007954778483	0.018594015743287	0.0147672510893532	0.0156265248698854	0.0142597757329848	0.0098886413328107	0.0109970909240145	0.0283243340068781	0.0148029009068684	0.0211210369376815	0.00923953653490636	0.0108041444491249	0	0.0193603587127997	0.0843673231666607	0.00642194720832673	0.0077564440539518
OM2_C_6H_3	0.0336339091962261	0.0242918117460034	0.0260214048532974	0.0317938998181806	0.0152241178847446	0.00704842383338788	0.00746155781562728	0.00641835694120573	0.0327642111346832	0.0240306362614407	0.0255027181182345	0.0138584149759934	0.0316293058788047	0.0383881899591081	0.0278809696121336	0.0288015189329439	0.0193603587127997	0	0.0664906739776636	0.0232054485184396	0.0211753376317174
