	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.0196754050837459	0.0246946518062353	0.0291615933531108	0.0340270455982706	0.0163986183824173	0.0447961036775238	0.00798984630606848	0.0182555141445872	0.00731009504428565	0.0151652066233975	0.00812435626470192	0.0110593783246217	0.0172484144215161	0.00830301584193717	0.0133741943999475	0.0252097820714186	0.0127216792892981	0.00788907541364647	0.012808446217126	0.00776613324463891	0.0106252164914612	0.00121911522643998	0.000395452765223992	0.00683266627797181	0.00649430615289206	0.00878554433926419	0.0265174621014292	0.0115230102804046	0.015439379202888	0.00721414282633474	0.0320240397452878	0.0136912618456739	0.0322301521857891	0.00991931673474621	0.0104106364811277	0.00355208174470586	0.00409682441669541	0.00944711075412097	0.00527885401483347	0.0240738027578202
OM2_B_B_2	0.0196754050837459	0	0.0109412011501553	0.0136177147605611	0.0532550776464807	0.00379581930464945	0.0640464167638077	0.0130027030172542	0.0105624615321452	0.0140384545383099	0.0328916263204246	0.0238757809005431	0.00996056428303797	0.0353421418657957	0.0139033265901505	0.006704123734974	0.0440078651765564	0.00833901750844302	0.0149298913513927	0.00952256459140781	0.0267465654570628	0.0212459278936063	0.0207973773274697	0.0197639830824091	0.0184340939718431	0.0257949235120497	0.0272235485293568	0.0221319215972203	0.0095163956599036	0.0350226781792707	0.0256874488679876	0.0507144037107742	0.00616101173846843	0.0501290344198185	0.0265895233793324	0.0146398488930464	0.0227783968657704	0.0207872653824212	0.0291185921332299	0.0146204216226266	0.00978064577219747
OM2_B_B_3	0.0246946518062353	0.0109412011501553	0	0.00456070793699985	0.0584627949474906	0.0137426269373689	0.0691272144727084	0.0167074519085266	0.00688607288485422	0.017456478494738	0.03959943437011	0.0254497867364925	0.0137455110420595	0.0418311148161866	0.0166205619095378	0.0125857699371323	0.0498759074485085	0.0122766350995078	0.0173454721714708	0.0118969870987453	0.03244860863862	0.021057967796363	0.0255082931820808	0.0249392722982508	0.0261914671695554	0.0311795616673695	0.0333512827877211	0.0131103490397447	0.0133209645942458	0.0396916918671335	0.0317522400468704	0.0566840649846315	0.0127831986756337	0.0568420261031798	0.03365350921891	0.0154529959603016	0.0267945237034845	0.0239349622244236	0.033521696844458	0.0195429692764598	0.00116787211715619
OM2_C_4A_3	0.0291615933531108	0.0136177147605611	0.00456070793699985	0	0.0629882625386255	0.0169738052697744	0.0736604123523403	0.0211866612582459	0.0114356236460442	0.0219639290376959	0.0439642785201424	0.0299874688640385	0.0181489097871638	0.046229694330776	0.0211530570550465	0.0166584785318939	0.0543517014085486	0.016600997569134	0.0218935958180627	0.0163566533211167	0.0368989356701595	0.0255250975583778	0.0300026848655984	0.0293952280226335	0.0303047471315196	0.0356518816046334	0.0377629196289176	0.0152520870379442	0.0177072117655409	0.0442269881356696	0.0361635161552334	0.0611584462145185	0.0167435286912408	0.0612395260852108	0.0379435986742687	0.0200117499847342	0.0313307823033037	0.0284886946545389	0.0380585814940969	0.0239669815417858	0.00509238308194912
OM2_C_4B_1	0.0340270455982706	0.0532550776464807	0.0584627949474906	0.0629882625386255	0	0.049659548828802	0.0108091116917854	0.0418879078351286	0.051746654075625	0.0410655982429938	0.0210539245889195	0.0340906698399115	0.045053480572591	0.0185221672353907	0.0418623458256773	0.0473197137138543	0.00965194982774802	0.046735300326448	0.0411502438736066	0.0467134378231827	0.0265463227802039	0.0392205747640013	0.0330855425629046	0.0338466562690859	0.0353292096006308	0.0276023337602772	0.0260710023172799	0.0569648010924611	0.0455237898887053	0.0187987355091898	0.0275887835512046	0.00493905374861963	0.0475603600841619	0.00929066323843462	0.0272371695124916	0.043233891622352	0.0316922411823561	0.0346239265842815	0.0249688582573442	0.0393021984710294	0.0579382891428119
OM2_C_4B_3	0.0163986183824173	0.00379581930464945	0.0137426269373689	0.0169738052697744	0.049659548828802	0	0.0604490296456654	0.0105588525401698	0.0114660037678086	0.0115825952657754	0.0291704268363187	0.0214062383128131	0.00800933213093571	0.0316361908531385	0.0117184703143154	0.00474782384467992	0.040348863782024	0.00679865560205149	0.0127403422382542	0.00833768210319561	0.02320073918504	0.0194515181087822	0.0175645343180689	0.0164465235001766	0.0146749678351366	0.0223178599466112	0.0236042454293664	0.0234562172612049	0.00766956049007386	0.0315891260471921	0.0220911814208334	0.0470302424183722	0.00398867600415048	0.0463783245919401	0.0228553679465967	0.0130655226144244	0.0196656387227234	0.0179766043730155	0.02579660620938	0.0116006570953777	0.0126373786676405
OM2_C_4C_1	0.0447961036775238	0.0640464167638077	0.0691272144727084	0.0736604123523403	0.0108091116917854	0.0604490296456654	0	0.052617825954763	0.0623749152119097	0.0517787853479613	0.0317091310247852	0.044452868187577	0.0557992523158491	0.0291738984563348	0.052548861171955	0.058101779172185	0.0202781814804763	0.0574897771948138	0.0518113970802596	0.0574333722599136	0.0373489071091056	0.0495235704225788	0.0438363685083192	0.0446229204027228	0.0460844372626566	0.0383927900730898	0.0368702383114552	0.0670649300848088	0.0562716985170492	0.0294834118970553	0.0383913552622762	0.0141137863922556	0.0583486134185243	0.0168809513600595	0.0379549548719506	0.053831395563248	0.0423778233596675	0.0452490695137822	0.035650786676418	0.0500691827338321	0.0686286048849997
OM2_C_4C_2	0.00798984630606848	0.0130027030172542	0.0167074519085266	0.0211866612582459	0.0418879078351286	0.0105588525401698	0.052617825954763	0	0.0103382824472991	0.00103839607489475	0.0230288841393148	0.0109059882205143	0.00326482684159539	0.0251911772658997	0.00147889024857411	0.00629942304915183	0.0331849544378821	0.00502136532711662	0.00233187999524451	0.00483587330156893	0.0157520079288164	0.00918542002543728	0.00882357813364087	0.00824269190256427	0.0110267023785985	0.0144758694075191	0.0167047469160176	0.0198745698499917	0.0037508640607709	0.0231639902350105	0.0151109362527868	0.039998094843216	0.00687613133064727	0.0401945818782108	0.0173397975142799	0.00403354389587668	0.0103294513201039	0.00789669216961937	0.0170189425432084	0.00302890090471242	0.0161031442981574
OM2_C_4C_3	0.0182555141445872	0.0105624615321452	0.00688607288485422	0.0114356236460442	0.051746654075625	0.0114660037678086	0.0623749152119097	0.0103382824472991	0	0.0109460881346593	0.03335916147628	0.0185664981560948	0.00783941341261088	0.0354953642815437	0.00999798038281861	0.00812184238648456	0.0433161957083371	0.00686798680594358	0.0106235417909235	0.00585793102845837	0.0260106632051689	0.0142626808801516	0.0189684584439069	0.0185345268935068	0.020738288663027	0.0246814247744962	0.0270190626013171	0.0120004053118003	0.00752467165680243	0.0329629607558274	0.0254307440855032	0.0501180133694911	0.00866807753152842	0.0504697457036729	0.0276412451441501	0.00859183706193538	0.0200890217267198	0.0171484347839327	0.0267970816853977	0.0133247492569963	0.00666773574630589
OM2_C_4E_2	0.00731009504428565	0.0140384545383099	0.017456478494738	0.0219639290376959	0.0410655982429938	0.0115825952657754	0.0517787853479613	0.00103839607489475	0.0109460881346593	0	0.0224410737072289	0.00986815679091773	0.00424200200710597	0.0245553219095553	0.00115176543070359	0.00733479491682004	0.0324404737000181	0.00600038289526595	0.00156494185892118	0.00566940810486578	0.0150689680562965	0.00830092289598223	0.00805785900937619	0.00759275655888263	0.0109721087195088	0.0137548287301992	0.016082289436012	0.0199754824161033	0.00472685319569981	0.0223133865707171	0.0144984292467482	0.0392523053846781	0.00791448834798308	0.0395345001937378	0.0168838552097524	0.00380184663561469	0.00943775206675553	0.00690649707743561	0.0161534544700774	0.0027984394667613	0.0168941339734077
