	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.0100353641035294	0.0264910000541049	0.0228981796076523	0.061840188378055	0.0326895022595784	0.00544695497982293	0.0222988777827044	0.0446785745210981	0.0233608047450417	0.0042926747665155	0.00329503720884357	0.0375139327324327	0.0328996798395947	0.0249941744220106	0.0453472792900276	0.0367699987068494	0.0400677580426672	0.00726497932246259	0.00554994367286072	0.0288620276925123	0.0141010722342556	0.0175076993112285	0.0460194087866109	0.0139123563811671	0.0265779250799771	0.0278071946375448	0.0509468275469359
OM2_B_B_2	0.0100353641035294	0	0.0171575031324748	0.0136249414888354	0.0518840475019551	0.0226930391686764	0.00459566067724369	0.0127262496613402	0.0546883007917176	0.0324317274815223	0.0125703024365979	0.00698371098602371	0.0290911292834846	0.0229410217381815	0.0151538428497994	0.0353202750123623	0.0267807135272076	0.0303897468138754	0.0172350688513041	0.00755355027895526	0.0189315969951079	0.00561645102272822	0.0112463817798487	0.0360380047718775	0.00888012700407369	0.0168374585884647	0.0186370881075479	0.0409231407374629
OM2_B_B_3	0.0264910000541049	0.0171575031324748	0	0.0148986355674781	0.0362367126882741	0.0124448649987825	0.0212815546397122	0.0133174218411721	0.0706575339850988	0.0456848564098762	0.0275419612434908	0.0238819966838978	0.0126685108971816	0.0133555551329307	0.00404332860403678	0.0212787279759558	0.0155597819564925	0.0137631724418927	0.0337097634056681	0.0246797534841408	0.00558050870503961	0.0171789703057429	0.021541899285025	0.0209057189699321	0.022132632627536	0.00283476136926564	0.0170172445109299	0.0270966171627922
OM2_C_4C_2	0.0228981796076523	0.0136249414888354	0.0148986355674781	0	0.041753150115668	0.0115914723249244	0.0178378831338956	0.00168539510208804	0.0665866069085273	0.0459466201939438	0.0260560057458143	0.0196047337772383	0.0269686135584576	0.0113592829730842	0.0108729579734228	0.0245755447985359	0.015262685770538	0.0233377252536817	0.0295504581552399	0.0183670978345086	0.0121105249943734	0.0088147928958203	0.00878158053180172	0.0262168034214643	0.011366935154091	0.0124978780231424	0.0050127702903679	0.0296117684693407
OM2_C_4C_3	0.061840188378055	0.0518840475019551	0.0362367126882741	0.041753150115668	0	0.0302087748902774	0.0564161678508351	0.0414203057596848	0.106360880038582	0.081837090187236	0.0634923891261825	0.058856315106852	0.030751259824977	0.030402903158769	0.0369206038880785	0.0171950206844679	0.0265492559038714	0.0226840162855844	0.0690747889564085	0.0587562739932468	0.0330083020904957	0.0493998653464965	0.0504643822764048	0.0158734711276994	0.0530331793535623	0.0354664003122878	0.0385921051488952	0.0129302284530522
OM2_C_4E_2	0.0326895022595784	0.0226930391686764	0.0124448649987825	0.0115914723249244	0.0302087748902774	0	0.027280534561545	0.0112269772834379	0.0771585835355717	0.054625948353046	0.0350832489017098	0.0295085856118785	0.0201710272545457	0.00103058951385832	0.00998008351584286	0.0130705629547619	0.00409121014059309	0.0131154895856544	0.0397717427223681	0.0289591428439097	0.00686619545261615	0.0193892937591352	0.0203632107413407	0.014634709102026	0.0228415689324064	0.00983071499782518	0.00939574082984564	0.0183869651139203
OM2_C_4F_1	0.00544695497982293	0.00459566067724369	0.0212815546397122	0.0178378831338956	0.0564161678508351	0.027280534561545	0	0.0170972870636425	0.0501184774032372	0.0281230582471524	0.00823051990030831	0.00261792134853794	0.0327311017616443	0.0275147236097072	0.019596678999806	0.0399060801793204	0.0313661620238833	0.0347444914573843	0.0126809212739508	0.00465192532769813	0.0234387371132805	0.00921107270600223	0.0137067829830799	0.0405849076770288	0.0104746886443445	0.0212165686764371	0.0228198296157641	0.0455144374831667
OM2_C_4F_3	0.0222988777827044	0.0127262496613402	0.0133174218411721	0.00168539510208804	0.0414203057596848	0.0112269772834379	0.0170972870636425	0	0.0663366484166659	0.0451432131854507	0.0252651929082044	0.0190206699830983	0.025524635667771	0.0111440206227647	0.009316371195765	0.0242944616866286	0.0150966645763262	0.0223637934238076	0.0291198871087666	0.0180378260495005	0.0108697912919802	0.0083870375845191	0.00949132685718592	0.025743016269121	0.01163827206683	0.0109995164501505	0.00614884485537853	0.0295033827489394
OM2_C_4G_1	0.0446785745210981	0.0546883007917176	0.0706575339850988	0.0665866069085273	0.106360880038582	0.0771585835355717	0.0501184774032372	0.0663366484166659	0	0.0283151917654289	0.0431536241335744	0.0477528084961486	0.0801930109372566	0.0772833516618997	0.0695683585220604	0.0899201237512433	0.0811984253632408	0.0843699682628088	0.0374772461579928	0.0483278223638592	0.0734701541338922	0.0579670073241675	0.0590957216986834	0.0906065792949356	0.0556644391033124	0.0710727822000583	0.0711033990324069	0.0954532770982449
OM2_C_4G_2	0.0233608047450417	0.0324317274815223	0.0456848564098762	0.0459466201939438	0.081837090187236	0.054625948353046	0.0281230582471524	0.0451432131854507	0.0283151917654289	0	0.0199022551599679	0.0265935079529607	0.0535275333485459	0.0550153298990033	0.0455946946146012	0.0664548440420532	0.0586836813610827	0.0592498595572863	0.0184149144247026	0.0286900392351316	0.0495781481379254	0.0372832946365638	0.0407890407841991	0.0664903668491251	0.037150053630244	0.0467628138972402	0.0509277152213639	0.0722366983100793
OM2_C_4G_3	0.0042926747665155	0.0125703024365979	0.0275419612434908	0.0260560057458143	0.0634923891261825	0.0350832489017098	0.00823051990030831	0.0252651929082044	0.0431536241335744	0.0199022551599679	0	0.00702322056115868	0.0376366600602373	0.0353967607636612	0.0266406639361647	0.0473870582566281	0.0391695302821535	0.0412887100918555	0.00729369271600923	0.00975839058510043	0.0306096435831269	0.0174272046676294	0.0214424335685409	0.0477877388592727	0.017926815024445	0.0280544728797843	0.0310441257500357	0.053091508688911
OM2_C_5A_2	0.00329503720884357	0.00698371098602371	0.0238819966838978	0.0196047337772383	0.058856315106852	0.0295085856118785	0.00261792134853794	0.0190206699830983	0.0477528084961486	0.0265935079529607	0.00702322056115868	0	0.0353388371839402	0.0296927269172338	0.0221103054958506	0.0422493510892955	0.0335814289816938	0.0372995946413327	0.0102848462913744	0.00314835939153912	0.0259117260314923	0.0108064047021748	0.01442533408811	0.0430122561366473	0.010906712362876	0.0237591055429818	0.024513783515327	0.0478117633617921
OM2_C_5A_3	0.0375139327324327	0.0290911292834846	0.0126685108971816	0.0269686135584576	0.030751259824977	0.0201710272545457	0.0327311017616443	0.025524635667771	0.0801930109372566	0.0535275333485459	0.0376366600602373	0.0353388371839402	0	0.0211920250471656	0.0163359356160228	0.0212276801199396	0.0210559693516822	0.0106014592368179	0.0444607995712224	0.0366199807904031	0.0151734009180637	0.0297914302458576	0.0341691838980555	0.0189884858402972	0.0347771274620143	0.0145498460044677	0.0279013570155474	0.0260529845898838
OM2_C_5F_3	0.0328996798395947	0.0229410217381815	0.0133555551329307	0.0113592829730842	0.030402903158769	0.00103058951385832	0.0275147236097072	0.0111440206227647	0.0772833516618997	0.0550153298990033	0.0353967607636612	0.0296927269172338	0.0211920250471656	0	0.0107272315045808	0.0132179883641011	0.00395511945997236	0.0139613237346569	0.0399342313128949	0.0290355027232416	0.00778998829103891	0.0194209208449266	0.0200863327532965	0.0149890606336724	0.0226885295466263	0.0106942963721437	0.00876225822068262	0.0183648158578612
OM2_C_6E_1	0.0249941744220106	0.0151538428497994	0.00404332860403678	0.0108729579734228	0.0369206038880785	0.00998008351584286	0.019596678999806	0.009316371195765	0.0695683585220604	0.0455946946146012	0.0266406639361647	0.0221103054958506	0.0163359356160228	0.0107272315045808	0	0.0208919704269025	0.0136859412398307	0.0152810944868444	0.0322550675110714	0.0224409636188333	0.00399365540123198	0.0140798787753482	0.0178898934563451	0.0211593712155595	0.0188477037548649	0.00187975984247387	0.0130870957440646	0.0266814262793841
OM2_C_6E_2	0.0453472792900276	0.0353202750123623	0.0212787279759558	0.0245755447985359	0.0171950206844679	0.0130705629547619	0.0399060801793204	0.0242944616866286	0.0899201237512433	0.0664548440420532	0.0473870582566281	0.0422493510892955	0.0212276801199396	0.0132179883641011	0.0208919704269025	0	0.00936023618068144	0.0106303405185719	0.0525228907003979	0.0419058500162575	0.0169020536615191	0.0324099565529379	0.0332832681659698	0.00333694344323639	0.0358886641529252	0.0197682745004642	0.0214846614303592	0.00582833564667955
OM2_C_6G_1	0.0367699987068494	0.0267807135272076	0.0155597819564925	0.015262685770538	0.0265492559038714	0.00409121014059309	0.0313661620238833	0.0150966645763262	0.0811984253632408	0.0586836813610827	0.0391695302821535	0.0335814289816938	0.0210559693516822	0.00395511945997236	0.0136859412398307	0.00936023618068144	0	0.0122395382658337	0.0438361449300404	0.0329755211369457	0.0101085091410175	0.0233705950339719	0.0239364329430284	0.0114257496161782	0.0266138251491709	0.0132113585850112	0.0121987024908674	0.0144104536861643
OM2_C_6G_2	0.0400677580426672	0.0303897468138754	0.0137631724418927	0.0233377252536817	0.0226840162855844	0.0131154895856544	0.0347444914573843	0.0223637934238076	0.0843699682628088	0.0592498595572863	0.0412887100918555	0.0372995946413327	0.0106014592368179	0.0139613237346569	0.0152810944868444	0.0106303405185719	0.0122395382658337	0	0.0473171647321797	0.0377160058522278	0.0118717932660686	0.0290819914085807	0.0318360681255371	0.00862089647927495	0.0335248517842995	0.0135555205743642	0.0223594110104587	0.0156694582706974
OM2_C_6H_1	0.00726497932246259	0.0172350688513041	0.0337097634056681	0.0295504581552399	0.0690747889564085	0.0397717427223681	0.0126809212739508	0.0291198871087666	0.0374772461579928	0.0184149144247026	0.00729369271600923	0.0102848462913744	0.0444607995712224	0.0399342313128949	0.0322550675110714	0.0525228907003979	0.0438361449300404	0.0473171647321797	0	0.0112334669875098	0.0361132944667533	0.0207640052903499	0.0230802176996168	0.0532509807004187	0.0194272672258248	0.0338392016905264	0.0343212369413015	0.0580818418732749
OM2_C_6H_2	0.00554994367286072	0.00755355027895526	0.0246797534841408	0.0183670978345086	0.0587562739932468	0.0289591428439097	0.00465192532769813	0.0180378260495005	0.0483278223638592	0.0286900392351316	0.00975839058510043	0.00314835939153912	0.0366199807904031	0.0290355027232416	0.0224409636188333	0.0419058500162575	0.0329755211369457	0.0377160058522278	0.0112334669875098	0	0.0260509953295005	0.00965213834391203	0.0121089928020479	0.0429062691383719	0.00846440063153483	0.0241963345665244	0.0230967028674828	0.0473346125436679
OM2_C_6H_3	0.0288620276925123	0.0189315969951079	0.00558050870503961	0.0121105249943734	0.0330083020904957	0.00686619545261615	0.0234387371132805	0.0108697912919802	0.0734701541338922	0.0495781481379254	0.0306096435831269	0.0259117260314923	0.0151734009180637	0.00778998829103891	0.00399365540123198	0.0169020536615191	0.0101085091410175	0.0118717932660686	0.0361132944667533	0.0260509953295005	0	0.0172182616156124	0.0201897860448256	0.0172033644977556	0.0216841486650701	0.00310830232645369	0.0127629762826825	0.0226982929676081
