Sample	JSDistance_OM3_B_B	S1038_OM3_0.01_selected	S1038_OM3_0.01_JSD	S1050_OM3_0.01_selected	S1050_OM3_0.01_JSD	S1062_OM3_0.01_selected	S1062_OM3_0.01_JSD	S1070_OM3_0.01_selected	S1070_OM3_0.01_JSD	S1074_OM3_0.01_selected	S1074_OM3_0.01_JSD	S1149_OM3_0.01_selected	S1149_OM3_0.01_JSD	S1163_OM3_0.01_selected	S1163_OM3_0.01_JSD	S1181_OM3_0.01_selected	S1181_OM3_0.01_JSD	S1230_OM3_0.01_selected	S1230_OM3_0.01_JSD	S1292_OM3_0.01_selected	S1292_OM3_0.01_JSD	S1322_OM3_0.01_selected	S1322_OM3_0.01_JSD	S1330_OM3_0.01_selected	S1330_OM3_0.01_JSD	S1334_OM3_0.01_selected	S1334_OM3_0.01_JSD	S1377_OM3_0.01_selected	S1377_OM3_0.01_JSD	S1411_OM3_0.01_selected	S1411_OM3_0.01_JSD	S293_OM3_0.01_selected	S293_OM3_0.01_JSD	S321_OM3_0.01_selected	S321_OM3_0.01_JSD	S438_OM3_0.01_selected	S438_OM3_0.01_JSD	S498_OM3_0.01_selected	S498_OM3_0.01_JSD	S506_OM3_0.01_selected	S506_OM3_0.01_JSD	S538_OM3_0.01_selected	S538_OM3_0.01_JSD	S542_OM3_0.01_selected	S542_OM3_0.01_JSD	S574_OM3_0.01_selected	S574_OM3_0.01_JSD	S598_OM3_0.01_selected	S598_OM3_0.01_JSD	S600_OM3_0.01_selected	S600_OM3_0.01_JSD	S644_OM3_0.01_selected	S644_OM3_0.01_JSD	S686_OM3_0.01_selected	S686_OM3_0.01_JSD	S771_OM3_0.01_selected	S771_OM3_0.01_JSD
OM3_B_B	0	OM3_B_B_2	0	OM3_B_B_3	0	OM3_B_B_2	0	OM3_B_B_3	0	OM3_B_B_3	0	OM3_B_B_1	0	OM3_B_B_3	0	OM3_B_B_1	0	OM3_B_B_1	0	OM3_B_B_1	0	OM3_B_B_2	0	OM3_B_B_2	0	OM3_B_B_2	0	OM3_B_B_1	0	OM3_B_B_2	0	OM3_B_B_3	0	OM3_B_B_3	0	OM3_B_B_2	0	OM3_B_B_2	0	OM3_B_B_3	0	OM3_B_B_2	0	OM3_B_B_3	0	OM3_B_B_3	0	OM3_B_B_3	0	OM3_B_B_2	0	OM3_B_B_3	0	OM3_B_B_2	0	OM3_B_B_3	0
OM3_C_7A	0.548323543367533	OM3_C_7A_3	0.0168861511697073	OM3_C_7A_1	0.011987393749307	OM3_C_7A_2	0.0316655271456964	OM3_C_7A_3	0.0193402532452125	OM3_C_7A_3	0.0365981303642221	OM3_C_7A_2	0.00390107260920777	OM3_C_7A_3	0.0123855952335023	OM3_C_7A_1	0.014889762139418	OM3_C_7A_2	0.00413649877108551	OM3_C_7A_2	0.0018627966516045	OM3_C_7A_2	0.00374387809375359	OM3_C_7A_3	0.0696853958902318	OM3_C_7A_2	0.0120075835062624	OM3_C_7A_2	0.00457655666153591	OM3_C_7A_1	0.0284505793718436	OM3_C_7A_2	0.0117910657319823	OM3_C_7A_1	0.0573649835064289	OM3_C_7A_2	0.0199050555567472	OM3_C_7A_3	0.0414975476827158	OM3_C_7A_3	0.0370901480340055	OM3_C_7A_3	0.016004448150795	OM3_C_7A_3	0.0166629655421218	OM3_C_7A_2	0.0073380413310614	OM3_C_7A_3	0.00942912876282144	OM3_C_7A_3	0.0105579244705753	OM3_C_7A_2	0.0325302662449676	NA	NA	OM3_C_7A_3	0.0160347937507199
OM3_C_7B	0.717219139157805	OM3_C_7B_2	0.0247541626469799	OM3_C_7B_1	0.017120145228953	OM3_C_7B_3	0.0525356581944994	OM3_C_7B_2	0.0188594729049752	OM3_C_7B_2	0.0430394346621417	OM3_C_7B_2	0.0021784589395708	OM3_C_7B_3	0.0577416239154613	OM3_C_7B_2	0.0961964696813047	OM3_C_7B_2	0.0225225698431315	OM3_C_7B_1	0.00606382811768159	OM3_C_7B_2	0.00500217669953241	OM3_C_7B_2	0.0647987207772141	OM3_C_7B_2	0.0198130572408222	OM3_C_7B_2	0.034896109333555	OM3_C_7B_1	0.0122074130783047	OM3_C_7B_1	0.0204900669588962	NA	NA	OM3_C_7B_2	0.0197167905052443	OM3_C_7B_2	0.0231404016605428	OM3_C_7B_2	0.00878075910782097	OM3_C_7B_2	0.0235585433857004	OM3_C_7B_1	0.0210770080118299	OM3_C_7B_3	0.0113309672933049	OM3_C_7B_3	0.00232061105407446	OM3_C_7B_2	0.0216794960852245	OM3_C_7B_3	0.0487174391456176	NA	NA	OM3_C_7B_2	0.0386777546854219
OM3_C_7C	0.585315785425651	OM3_C_7C_2	0.0092483349899116	OM3_C_7C_2	0.00407944591130239	OM3_C_7C_2	0.0288858182115397	OM3_C_7C_2	0.0470570559972912	OM3_C_7C_2	0.0754030334812531	OM3_C_7C_2	0.00598963335013219	OM3_C_7C_2	0.0264895014624475	OM3_C_7C_2	0.0190790446119212	OM3_C_7C_2	0.0120307868253918	OM3_C_7C_3	0.00438624629428923	OM3_C_7C_2	0.00162054245041602	OM3_C_7C_3	0.0561673419663281	OM3_C_7C_2	0.0195605555951447	OM3_C_7C_1	0.0707970093772934	OM3_C_7C_2	0.0175682359207198	OM3_C_7C_3	0.0205627181544319	NA	NA	OM3_C_7C_1	0.025896986281295	OM3_C_7C_1	0.0163243564398232	OM3_C_7C_2	0.0246371176135824	OM3_C_7C_3	0.0187499152430164	OM3_C_7C_2	0.00932344768301232	OM3_C_7C_3	0.00286259912103147	OM3_C_7C_2	0.0090927344650472	OM3_C_7C_3	0.021578122458424	NA	NA	OM3_C_7C_1	0.0217484549828051	OM3_C_7C_2	0.0161767465378001
OM3_C_7G	0.806783479573114	OM3_C_7G_2	0.00870348619549528	OM3_C_7G_1	0.00755635323972083	OM3_C_7G_2	0.0410673493871988	OM3_C_7G_3	0.0650234102300634	OM3_C_7G_2	0.0736305332916131	OM3_C_7G_2	0.014403974780539	OM3_C_7G_3	0.0113426265448228	OM3_C_7G_2	0.00284002720209262	OM3_C_7G_3	0.020977110384954	OM3_C_7G_1	0.000662807680307853	OM3_C_7G_1	0.00444021390614732	OM3_C_7G_2	0.0730469883868526	OM3_C_7G_2	0.105055900601165	OM3_C_7G_2	0.0378709530123617	OM3_C_7G_1	0.00955199511259485	NA	NA	OM3_C_7G_3	0.0884797778046266	OM3_C_7G_3	0.00735883191515547	OM3_C_7G_3	0.0568505945971963	OM3_C_7G_3	0.0401981491954549	OM3_C_7G_2	0.0246442903940704	OM3_C_7G_3	0.0282041679906342	OM3_C_7G_1	0.0020841753899721	OM3_C_7G_3	0.0138822538002288	OM3_C_7G_1	0.014381625558358	OM3_C_7G_2	0.0310929646476268	OM3_C_7G_1	0.0123241698486728	OM3_C_7G_2	0.0111087484751888
OM3_C_7H	0.626228078984664	OM3_C_7H_1	0.000196396611434557	OM3_C_7H_1	0.0072288234161531	OM3_C_7H_2	0.0149371758467613	NA	NA	OM3_C_7H_1	0.0851515424655484	OM3_C_7H_2	0.0123408025470203	OM3_C_7H_2	0.0260157199812026	OM3_C_7H_2	0.0137911227153694	OM3_C_7H_3	0.0146161715568262	OM3_C_7H_3	0.00589235627940682	OM3_C_7H_1	0.000727507070035919	OM3_C_7H_1	0.0583900703684596	OM3_C_7H_1	0.0150258888325457	OM3_C_7H_1	0.0314715876879468	OM3_C_7H_1	0.0187053982834487	OM3_C_7H_1	0.0346213454891791	OM3_C_7H_1	0.0452368584499265	OM3_C_7H_1	0.0329633050969634	OM3_C_7H_2	0.0318674706728649	OM3_C_7H_3	0.0281565076673756	OM3_C_7H_3	0.0299810266506224	OM3_C_7H_1	0.0671872008417718	OM3_C_7H_3	0.00943104536202406	OM3_C_7H_2	0.00141840740604844	OM3_C_7H_2	0.00590442151237539	OM3_C_7H_1	0.0158304590144611	NA	NA	OM3_C_7H_2	0.0191394671588917
OM3_C_8A	0.597207442623974	OM3_C_8A_3	0.0473164191536045	OM3_C_8A_2	0.00475545272209769	OM3_C_8A_2	0.0265392763142636	OM3_C_8A_3	0.0657910215323859	OM3_C_8A_3	0.0398662605844062	OM3_C_8A_2	0.00703505888551704	OM3_C_8A_1	0.0119628086982571	OM3_C_8A_1	0.0102783874549091	OM3_C_8A_1	0.0142830711042553	OM3_C_8A_1	0.00272120857977744	OM3_C_8A_2	0.0265478120099997	NA	NA	OM3_C_8A_2	0.0117441960320965	OM3_C_8A_2	0.00557562218159758	OM3_C_8A_3	0.00551738702864827	OM3_C_8A_2	0.0105887575616548	OM3_C_8A_3	0.0521644489590756	OM3_C_8A_2	0.0104573497138343	OM3_C_8A_1	0.0186421551566915	OM3_C_8A_3	0.0403155832485752	OM3_C_8A_3	0.0284924671318319	OM3_C_8A_2	0.008064429400741	OM3_C_8A_1	0.0102406775318047	OM3_C_8A_1	0.0121770950919456	OM3_C_8A_3	0.0245994362216746	OM3_C_8A_3	0.0567953472973721	OM3_C_8A_1	0.0229835055592059	OM3_C_8A_3	0.021752207467751
OM3_C_8B	0.640719225791629	OM3_C_8B_3	0.0335008443288012	OM3_C_8B_1	0.0123405358206312	NA	NA	OM3_C_8B_1	0.0404963523017233	OM3_C_8B_3	0.0980778044785237	OM3_C_8B_1	0.002343205045146	OM3_C_8B_1	0.0269499725741176	OM3_C_8B_1	0.0109128565968328	OM3_C_8B_1	0.00949947446674768	OM3_C_8B_1	0.0175730340046429	OM3_C_8B_1	0.00874854221833184	OM3_C_8B_1	0.0693517068102254	OM3_C_8B_1	0.0106438054672352	OM3_C_8B_2	0.00059268600719531	OM3_C_8B_1	0.0241642623139122	OM3_C_8B_1	0.0417653934793186	OM3_C_8B_3	0.0506574857630988	OM3_C_8B_1	0.0257156684520481	OM3_C_8B_2	0.0283064631596473	OM3_C_8B_1	0.0170982240149273	OM3_C_8B_3	0.0212432869904066	OM3_C_8B_1	0.00606158185838407	OM3_C_8B_1	0.00773007725382826	OM3_C_8B_1	0.00821162880122745	OM3_C_8B_3	0.010407153015488	OM3_C_8B_2	0.0104922796844406	OM3_C_8B_2	0.0097876339165836	OM3_C_8B_2	0.0380472669681642
OM3_C_8C	0.591059787317654	OM3_C_8C_2	0.00320145556673054	OM3_C_8C_2	0.0224890462683791	OM3_C_8C_1	0.00619445812642084	OM3_C_8C_1	0.0093058571594937	OM3_C_8C_2	0.0510245520728086	OM3_C_8C_2	0.00122672458502592	OM3_C_8C_3	0.00714027663198903	OM3_C_8C_1	0.00952413935670294	OM3_C_8C_1	0.00757139164951905	OM3_C_8C_1	0.0101987547269947	OM3_C_8C_3	0.00256602483910221	OM3_C_8C_1	0.0714203657247715	OM3_C_8C_3	0.0136328492788343	OM3_C_8C_1	0.0299886287193985	OM3_C_8C_1	0.0389981351882047	OM3_C_8C_2	0.00349256194635601	OM3_C_8C_3	0.0828164433641924	OM3_C_8C_1	0.0219499566072749	OM3_C_8C_3	0.01972914943218	OM3_C_8C_3	0.00870853948774197	OM3_C_8C_3	0.0327022306601898	OM3_C_8C_3	0.019035202450995	OM3_C_8C_1	0.0247055140275503	OM3_C_8C_3	0.0140771524644287	OM3_C_8C_3	0.0115220446529617	OM3_C_8C_2	0.00962556391523945	OM3_C_8C_3	0.0504568824518323	OM3_C_8C_2	0.00775588596233542
OM3_C_8E	0.544779349357682	OM3_C_8E_3	0.0142763895451601	OM3_C_8E_2	0.0097232515082924	OM3_C_8E_2	0.00665086839971792	OM3_C_8E_1	0.0500505258410253	OM3_C_8E_3	0.0583745258612917	OM3_C_8E_1	0.0112220523423603	OM3_C_8E_3	0.00811778598551439	OM3_C_8E_1	0.00694175551533576	OM3_C_8E_1	0.0457604677159035	OM3_C_8E_1	0.00388785619070426	OM3_C_8E_2	0.00210236731666385	OM3_C_8E_3	0.0671606441230774	OM3_C_8E_2	0.0107996984594472	OM3_C_8E_1	0.0275485796760861	OM3_C_8E_2	0.0179864271748239	OM3_C_8E_2	0.022172039060906	NA	NA	OM3_C_8E_2	0.0148619559084855	OM3_C_8E_1	0.00416378781243063	OM3_C_8E_2	0.0277074553373931	OM3_C_8E_3	0.0331975239707086	OM3_C_8E_3	0.0264361688786348	OM3_C_8E_1	0.00275055629437584	OM3_C_8E_1	0.0111510479102301	OM3_C_8E_3	0.0116740033524109	OM3_C_8E_1	0.00919594469970038	OM3_C_8E_3	0.0225175762177117	OM3_C_8E_1	0.0183480942592904
