	OM3_B_B_2	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_2	0	0.0203696145904323	0.0609737705454051	0.0168861511697073	0.0247541626469799	0.0092483349899116	0.0394934655196618	0.011128100955725	0.00870348619549528	0.0158458053892689	0.000196396611434557	0.0151228116366054	0.0418044752216395	0.0473164191536045	0.0276470690856427	0.0335008443288012	0.000181840986089221	0.00320145556673054	0.0248699979181801	0.0110125172991572	0.0340492166461688	0.0142763895451601	0.0329086445122434	0.0238116479825239	0.0099299084002658	0.0663165284151467	0.0149819419157238	0.0193664849034291	0.0531145817032063	0.0357289034696949	0.00811673631485287	0.0278406263741859	0.0119368665021464	0.0138734777358715	0.0325076924866522	0.0256158572171654	0.012870511133076	0.0032935190405365	0.0450816475944023	0.0875593878323038	0.0292420947901394	0.0188163865006094	0.0180853888595875	0.0539672685634662	0.0322301258811203	0.0190008303324434	0.0260187714426688	0.0452507979541295	0.0235169084379473	0.0342585617043058	0.0466224359842107	0.0177398741321931	0.0246365132378323	0.0115265826971815	0.0513417437465698	0.0214155766040034
OM3_C_7A_1	0.0203696145904323	0	0.0407709930526592	0.00400305742489778	0.00464241953057271	0.0114475778640263	0.0191306995701619	0.0306914241841903	0.0288557524130926	0.0077181849573244	0.020300255271647	0.00528093744614788	0.0215887014974501	0.0269628992379523	0.0112157459106167	0.0137226094123131	0.0202192536422066	0.0205362768583755	0.00598777471877414	0.00962247170605555	0.0137598336556089	0.00654813652750197	0.0532580697122211	0.0420163976576992	0.012423269128492	0.0460157389185877	0.00551384316734857	0.0396976492242316	0.0729396132083119	0.0559806922357409	0.0241945178324973	0.0481942018738381	0.0102629966633057	0.00672565234853932	0.0132351633363672	0.00539603924567712	0.0332280182193339	0.0203732095527286	0.0654244150189991	0.107260754099406	0.00958841840127947	0.0015599738526347	0.00250932929833407	0.0336299173491925	0.0118688046503408	0.00150284915324599	0.00571562921657987	0.0248919476333348	0.00314837935301551	0.0141437205906922	0.0264534952910845	0.00307966581783496	0.0047981999909427	0.00894564295259099	0.0314949510381037	0.00140988006330901
OM3_C_7A_2	0.0609737705454051	0.0407709930526592	0	0.0441098378158726	0.0362629461825198	0.0517943150676022	0.0220126433693248	0.0705754883167932	0.0695515748537359	0.0471997207863778	0.0608865742402751	0.0459106628593181	0.0212944749079464	0.0143543096632358	0.0382156306079002	0.0297056008349256	0.0608143237398541	0.0612818628191365	0.0362588070301073	0.0503812459777808	0.0270194851773962	0.047236098360995	0.0937439668350586	0.0823266923779111	0.0529272901827923	0.0109506142721983	0.0460203290382213	0.0800689007981052	0.113525788448114	0.0965979786478314	0.0632771414418771	0.0886024237178019	0.0506622237846953	0.0474764230111602	0.0314849527821938	0.0354226201339035	0.0737100810668517	0.0611180262137806	0.105816172091062	0.147659121581068	0.0318334365283198	0.0422891080751992	0.0432017680053349	0.0101707072358864	0.0290090549320416	0.0422222080495691	0.0350615093234326	0.016460286886109	0.037670044041337	0.0282177688610168	0.0143736085700696	0.043663049450326	0.036362856130972	0.049704173333005	0.0179661171172184	0.0396264297530545
OM3_C_7A_3	0.0168861511697073	0.00400305742489778	0.0441098378158726	0	0.00790880054095478	0.00772325953075523	0.0227762125216332	0.0268917858807813	0.0255148784630795	0.00747030698003836	0.0167977985822074	0.00211033944237891	0.0254423474763977	0.030548294973906	0.0147031818043856	0.0177140810412948	0.0167257844498963	0.0174365985767342	0.00811071501638399	0.00682885079680799	0.0172119214991912	0.00463055914250132	0.0497466532591492	0.0393477697280955	0.0101996213876904	0.0497418682634373	0.00200482747152314	0.0360912735555015	0.069814494301129	0.0525988899427018	0.0202393753885453	0.0446253963331057	0.00841049498806206	0.00439953801717093	0.0172323976704861	0.00879631717732351	0.0296692770852409	0.0172898013448693	0.0618842400992047	0.104195732435302	0.0123948424932805	0.00261609456263389	0.0030466069448727	0.0373277746265968	0.0155006035378595	0.00324980065558302	0.00924806862279012	0.0285105700858194	0.0069763338919002	0.0180716756365479	0.0297473645041018	0.00340353145915521	0.00775374881484956	0.00600369525484712	0.0354407410810912	0.00467669235424039
OM3_C_7B_2	0.0247541626469799	0.00464241953057271	0.0362629461825198	0.00790880054095478	0	0.0156313891885827	0.0148919250699869	0.0347617385220438	0.0333282517676195	0.0121168105019613	0.0246723605831613	0.00965545636807331	0.0177590016707797	0.0226439356247206	0.0115154954932353	0.0107958171547179	0.0245971758663798	0.0250916240156618	0.00267652966856933	0.0142031498975112	0.00930626181501011	0.0111856238093971	0.0576296346198213	0.0466525015823854	0.0170651084148175	0.0418805326769407	0.00977387987617502	0.0439930397970636	0.0775001564559425	0.0604358825603317	0.0279212595402383	0.0525210257344179	0.0148965133336858	0.0113349205935751	0.0109418084275998	0.000919994528446758	0.0375647058568927	0.024932957712499	0.069770009632292	0.111825788843098	0.00499047475483567	0.0060811594968504	0.0071509502859068	0.0294539322164188	0.00763599119079608	0.00614433927160743	0.00148236464630269	0.0206123308438391	0.00209700052890281	0.0106928865172953	0.0219117770092751	0.00770474929682042	0.000752316452432403	0.0134874267593783	0.0279642951129657	0.00337959563533864
OM3_C_7C_2	0.0092483349899116	0.0114475778640263	0.0517943150676022	0.00772325953075523	0.0156313891885827	0	0.0304815961168556	0.0192471478310516	0.0179407447592874	0.0092945172890686	0.00914497321125265	0.00618589520172966	0.0330326718596388	0.0382646497862123	0.0204081976191195	0.0250179735810904	0.00908089346663234	0.0102900622688062	0.015626960279997	0.00390994985572607	0.0249335609032464	0.00634499547926579	0.042045232659878	0.0324401608249901	0.00638949234222307	0.0574194486904775	0.00593680608007752	0.0283720167417899	0.0623319399083655	0.0449504584692525	0.0130383014203281	0.036911217459369	0.00653769709066293	0.00574028954427585	0.02427475760008	0.0165157395143393	0.0219582379054001	0.0101758286474664	0.0541782431337952	0.0967527927248737	0.0200124705237722	0.00989232435233016	0.00941580804826182	0.045019382721166	0.0232040113402976	0.0102138451887552	0.0169553854588658	0.0362224994318892	0.0145709125803833	0.0255663030283171	0.0374338463170954	0.00922403906998758	0.0154633466530158	0.00371827686706778	0.0428677083213572	0.0123557927666756
OM3_C_7C_3	0.0394934655196618	0.0191306995701619	0.0220126433693248	0.0227762125216332	0.0148919250699869	0.0304815961168556	0	0.0496419892242016	0.047940613900911	0.0252154621086554	0.0394235286115959	0.0243901109829564	0.00422829191429313	0.00785517150203063	0.0168095353568987	0.00818823817360986	0.0393429386631977	0.0395425576984312	0.0156151563041441	0.0286593589939464	0.00579102464385153	0.0254467166571109	0.0723547633225443	0.0603780767491848	0.0310255749999662	0.0269983214582233	0.0245700331247299	0.0587976899106275	0.0917444728602008	0.0750337275817103	0.0427493637540477	0.0672954429914268	0.0287468906688773	0.0257429458130617	0.0101642956853943	0.0139889449857452	0.0523415601293209	0.0393717248364722	0.0845083217500011	0.125905129086949	0.0114155125487381	0.0206845433868769	0.0214657470708209	0.0145650725858444	0.007279997431892	0.0205190328907578	0.0135305196625839	0.00576488493229018	0.015983506395595	0.00643406821822644	0.00835434879697328	0.0218776274358624	0.0151659914861455	0.0280368196391404	0.0142540337038133	0.0181299372938437
OM3_C_7G_1	0.011128100955725	0.0306914241841903	0.0705754883167932	0.0268917858807813	0.0347617385220438	0.0192471478310516	0.0496419892242016	0	0.00751765705094248	0.026921595699206	0.0111085686858436	0.0254275503697276	0.0522656323883343	0.057363825821322	0.0387201591020556	0.0441917011366574	0.0112167880928289	0.0129712880636189	0.0343929412550984	0.0218492315065369	0.0440105378002173	0.0250562897768826	0.0237541931000646	0.0212600950269073	0.021056989098983	0.07658825990895	0.0251803056176082	0.0100464978205691	0.0455029135361305	0.0272636636380427	0.00778762949653575	0.0184525940380512	0.0230367923731969	0.0245775505487969	0.0433306549744517	0.0356637867927545	0.00537485761183491	0.0131615232162468	0.035586105778642	0.0797202787017819	0.03882249419736	0.0291371150315582	0.0286065360795124	0.0641855271993571	0.0423790526466567	0.0294429192588347	0.0361320854227485	0.0553516550863394	0.0338068943815216	0.0447968812095443	0.0562689632389453	0.0283484793903966	0.0345197181669415	0.0222327129048713	0.0620480929558533	0.0315608830682521
OM3_C_7G_2	0.00870348619549528	0.0288557524130926	0.0695515748537359	0.0255148784630795	0.0333282517676195	0.0179407447592874	0.047940613900911	0.00751765705094248	0	0.0234937399779086	0.00882083675385953	0.0236763320079204	0.0500569309446136	0.0557805417518964	0.0350639581522539	0.0415998570163537	0.00887578603798016	0.00853080074246214	0.0335438263616314	0.0192969387872587	0.0425928510140406	0.0225337509840565	0.0245437917151313	0.0159805170788067	0.0173646173083744	0.0746113554983348	0.0235752199627486	0.0115609132303227	0.0444204959918802	0.0271446215950485	0.0115634055374428	0.0196673707383977	0.0196080752132859	0.0222121662276271	0.0404520978332439	0.0341717360783105	0.00530666411136382	0.0087173032970399	0.0367462362564462	0.0788828272246355	0.0378951483243171	0.0273192501999741	0.0264871577522364	0.0623282785222106	0.0407103094487032	0.0274390377202829	0.0345487703256381	0.0536983260450449	0.0319895139722904	0.042493745970725	0.0552177457377957	0.0260848536494317	0.0332460842961068	0.0199198867686751	0.0593194274601243	0.0299661574464072
OM3_C_7G_3	0.0158458053892689	0.0077181849573244	0.0471997207863778	0.00747030698003836	0.0121168105019613	0.0092945172890686	0.0252154621086554	0.026921595699206	0.0234937399779086	0	0.0158439381384014	0.00594644535094944	0.0268341372655608	0.0330173360426393	0.011805904983839	0.0182343632613976	0.0157398902076003	0.0149690905943116	0.0137039348152106	0.0055070947924109	0.0204609249536287	0.00351123653878065	0.047990511561024	0.0351937655468615	0.00613039854838919	0.0513913458192906	0.00643371945179735	0.0348905294793012	0.0666777235853397	0.0503393285315277	0.0218407959621607	0.0431504699434726	0.00392744541085684	0.00414294184742931	0.0169853920650472	0.0126933017550357	0.0283863608949517	0.0147804268957393	0.060172854655833	0.100853649699425	0.0170992438766385	0.0068149423981117	0.00546815781308999	0.0392456723615529	0.018306500753595	0.00634094755094024	0.0128283549355172	0.0308992382236204	0.0101688861275069	0.0193073916323348	0.0331112206304937	0.00482613999910538	0.0124203286297433	0.00557914895758775	0.0358561828420495	0.00912769879417683
