	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_2	0	0.00662244153365279	0.00704655186595409	0.0021776438619273	0.0107725359299345	0.0113634261249733	0.0102507040710821	0.00486448119331579	0.00867959288256353	0.00935285085041591	0.00250317118597801	0.00112696552512695	0.00525045381190604	0.0135333632338294	0.00724221156709785	0.0107983917391288	0.0127361872266897	0.0362197499988072	0.00717362822201987	0.0094681993336552	0.00914378423904858	0.0137268183228399	0.00806970885003725	0.0464603463584942	0.0176584385097858	0.0124636682922198	0.0111312712151645	0.00347888680836681	0.00247765773603627	0.0129890072876205	0.0127588562984234	0.0123402078269213	0.00742265932356116	0.00364952020021126	0.0118824453290384	0.00862652240371033	0.00671174917764003	0.00593610911611863	0.00423933334304539	0.0183544850368032	0.0067953028181323	0.00479749034543853	0.00971896555146007	0.0172587781208171	0.00917281001546482	0.0134576712860081	0.00298105852002159	0.00946535840541611	0.0111195179521801	0.00887931148789293	0.0375997304964803	0.00333840466806202	0.00831934304876436	0.00991118940603702	0.00577870566728395	0.0126915965863038	0.00246691389625329	0.0151692263751728	0.0105719568635112	0.0044962697194379	0.0113079704153813	0.0107243529654357	0.0110643391785834	0.00821178892537282	0.00588786275218073	0.0196881545315222	0.00704874170837113	0.00683062440993645
OM3_B_B_3	0.00662244153365279	0	0.011987393749307	0.00873666506957974	0.00973085191382137	0.017120145228953	0.0124004693547789	0.00520255257648515	0.0148722638840769	0.00407944591130239	0.00454825244756366	0.00755635323972083	0.00138322526877444	0.00905628240486585	0.0072288234161531	0.015143813004133	0.00612642738026294	0.0328067366647119	0.00475545272209769	0.00350613524933994	0.0123405358206312	0.015037494217824	0.00346880566655872	0.0503163013692953	0.0224890462683791	0.0152813168285747	0.0137859137407902	0.0097232515082924	0.00704450284298034	0.00711169178791036	0.0082712602329016	0.00663379746558164	0.00588013482945342	0.00991715019360908	0.00842719900771383	0.00529132393081287	0.0107567497207025	0.00531796161019438	0.00834656597333897	0.0220244508491354	0.00273244897178923	0.00190375098862527	0.00322076943526463	0.0114200583116893	0.0108303346465149	0.0137310065405876	0.00380534672631491	0.0079891280712136	0.00887825579501576	0.00544421529931755	0.0322712443317214	0.00980877261324274	0.00383759256782447	0.00830285173847202	0.00934887333108183	0.00611857944329201	0.00877889533943529	0.00901124032152898	0.00550192356161469	0.00690793829583068	0.00930680272502997	0.00966044448626352	0.0115189246436608	0.0063690123491928	0.0073757329335754	0.0154292897546663	0.00436598247896214	0.000732938747675195
OM3_C_7A_1	0.00704655186595409	0.011987393749307	0	0.00560491533835882	0.0094431503805866	0.00535775295141022	0.00549931523427986	0.0118931323558891	0.00436554490609002	0.0126789602022583	0.00768628261394609	0.00721596927771209	0.0109019847487895	0.0202553897439508	0.00713230806165718	0.0037949323131819	0.0173741428306686	0.034230819857005	0.00937232538985388	0.015410998978599	0.00356649520724018	0.00886547746267635	0.011396007890794	0.039419563152156	0.0107096513020998	0.00636424951168932	0.00548314308399615	0.00413317776221951	0.0092433803628001	0.0190522917196818	0.0194605884672382	0.018508429091895	0.00865622979294983	0.00408636963506718	0.0187983518500865	0.0154448683697595	0.001824184429871	0.0129531214259388	0.0106308736456944	0.0113961412279794	0.0105326871728774	0.0106926999635082	0.0143033504534638	0.0233791166566167	0.00559923245635255	0.00975086323853742	0.00944318552549861	0.00924976387925029	0.0108881871853196	0.0156921020736801	0.0441167854458356	0.00718244321400504	0.0114256328188897	0.0169561163083997	0.00303048948627309	0.0178683138911306	0.00752020480189282	0.0209960129522828	0.0133103786258806	0.00527813498025532	0.0183509856205045	0.00944050585017121	0.00795803438614383	0.0152207446355811	0.0128313939488224	0.0265473367324817	0.0138725681397982	0.0118036108664027
OM3_C_7A_2	0.0021776438619273	0.00873666506957974	0.00560491533835882	0	0.0113989310499417	0.00936452371036932	0.00979916792555008	0.00676220033660927	0.00656019355990768	0.0111465260777474	0.00435150696166424	0.00174152098745342	0.00738056191416666	0.0155966279603721	0.00796342078828942	0.00939361786147909	0.0148183711084224	0.0370096125875172	0.00858247965550986	0.0116453971961889	0.00835385331166628	0.0133674048743971	0.00982052693252851	0.0448577466424662	0.0159026657090899	0.011603325682859	0.0104127468836229	0.00153926029723521	0.00373684479270291	0.0151625114475333	0.0148329053917066	0.0145091709553852	0.00857171595192722	0.00165960241984101	0.0138487259001417	0.0106784397618266	0.0058011438717235	0.00784009145477831	0.00502610579118716	0.0169938734102922	0.00858973802073016	0.00695023895702057	0.0117628839025852	0.0194237614968054	0.00901807608493748	0.0134756720948289	0.00515815051596127	0.0103403264928484	0.0120744152223841	0.0109317752379499	0.0396823722036727	0.00207497033518049	0.0100275077659857	0.0116598204516967	0.00529796061562838	0.0148341206631256	0.00197415159787743	0.0173465249759334	0.0122677226846225	0.00499526561964848	0.013063576064977	0.0113615301137195	0.0111752757856893	0.01009967557355	0.0073306299218007	0.0216635740902282	0.00911380419300976	0.00888776189941258
OM3_C_7A_3	0.0107725359299345	0.00973085191382137	0.0094431503805866	0.0113989310499417	0	0.0142585551665099	0.00533058501188617	0.013497489357593	0.0138023211448547	0.00710769562456869	0.00885201761379318	0.01179471546066	0.00974335755784035	0.0185430973465634	0.00353050003338495	0.0101249984848196	0.0119409621942052	0.0256164694327512	0.0049952046406348	0.012731894990766	0.00682747128107731	0.00608321642863119	0.00663127735112092	0.042050966735426	0.0167328798016494	0.00795561769647107	0.00675821537312498	0.0109724564723585	0.0130147565081239	0.0157509014779577	0.0177954689569477	0.0155451256307395	0.00397210789351917	0.011106221047776	0.0181485661034584	0.0149888235866332	0.00764166353011702	0.0141528509897629	0.0148418825223068	0.0145898180780426	0.00700051910986771	0.0100432995383445	0.00973921300418272	0.0195677893739568	0.00413984928286031	0.00419889207612785	0.0105157546957307	0.00174208065632061	0.00190603753374937	0.0151568511652344	0.040191207092605	0.0134539272678391	0.00634267868495896	0.0178207125949363	0.00687252807261848	0.0131567684227911	0.0129864734251788	0.0168748064783724	0.00665851527905339	0.00642319245756011	0.018945140504857	7.1569236558406e-05	0.002667094790538	0.0158250965473724	0.0154940452815874	0.0247551138019966	0.0138490306195407	0.00906363840074814
OM3_C_7B_1	0.0113634261249733	0.017120145228953	0.00535775295141022	0.00936452371036932	0.0142585551665099	0	0.00934459728985837	0.0161250525296473	0.00315483590896904	0.0180352476726869	0.0126467137018715	0.0111002302921012	0.0159382465121996	0.0248939781237969	0.0124027167490232	0.00467195546921658	0.0226870170529948	0.0376917573920938	0.0147283632250134	0.0204447805202915	0.00749706104081166	0.0117537188957089	0.016747668224666	0.0360493025934877	0.00706832576651304	0.00839924964772024	0.0084766176266109	0.00789631987034771	0.0130264500806435	0.0240727183202733	0.0241172284393617	0.0234831250396228	0.0139850871227935	0.0077383631593723	0.0232067455852104	0.0199885927388048	0.00706053078356588	0.0172034019425504	0.0139222681043877	0.00980451966091098	0.0158538937566256	0.0156545890012479	0.0195988722611839	0.0283966492248413	0.0101402767326636	0.0134072878694051	0.0141592376499215	0.0143631847686918	0.0158953879486282	0.0202414538851891	0.0489341145931073	0.010019350952913	0.0167819054124263	0.0209803100907359	0.00837864465358354	0.0231128045387651	0.0108112558259639	0.0261090003930595	0.0186560955765899	0.0106090241422057	0.0223807020180206	0.0142702703450775	0.012251501782055	0.0194629200426852	0.0165369762949368	0.0310200797508625	0.0184114734350929	0.0170071368260023
OM3_C_7B_2	0.0102507040710821	0.0124004693547789	0.00549931523427986	0.00979916792555008	0.00533058501188617	0.00934459728985837	0	0.0144408154042024	0.00963142489865105	0.011245582913775	0.00945361759400274	0.0109304729746929	0.0118188469253669	0.0214291830415151	0.00530555110090097	0.00489780016129385	0.0162940667830168	0.0287994774580149	0.00811950606887612	0.0158477580000204	0.00198820946190838	0.00357270585179095	0.0102920134356463	0.0379765725122703	0.0114537274881985	0.00295760572845621	0.0015207773936887	0.00872285720877957	0.0127276304321023	0.0192947050425448	0.0206355360712974	0.0189248974668281	0.00698481000621802	0.00877258636528016	0.0205016554622401	0.0171113432087894	0.00418730512400466	0.0153595987490211	0.0144435184070028	0.00982733555353752	0.0100197354707581	0.0118752598758834	0.0135883163398505	0.0234391567826828	0.00161315471097749	0.00427657346083646	0.0114518317575265	0.00610227752441267	0.00719162446809949	0.0173284145463388	0.0443166534612444	0.0117782290095057	0.0101403537254628	0.0193889635526722	0.00453441608646789	0.0172428570933444	0.011740307093345	0.0208181136722649	0.0112798474375828	0.00613331560314077	0.0206941204848928	0.00536398957726067	0.00294873687915333	0.0174417255212558	0.0159931134718707	0.0278171295841338	0.0156824639600191	0.0119203629444824
OM3_C_7B_3	0.00486448119331579	0.00520255257648515	0.0118931323558891	0.00676220033660927	0.013497489357593	0.0161250525296473	0.0144408154042024	0	0.0132795755407292	0.00921994753316921	0.00500743248491753	0.00503567533899167	0.00424112321619223	0.00892737132860235	0.010223024053064	0.0156104532003551	0.0105943802093947	0.0378078237333586	0.00875011249239311	0.00624671823701445	0.0136559327537507	0.017695226521571	0.00835482663001881	0.0512915000581277	0.022521434132493	0.016945189301236	0.0155293428136459	0.00824375161590712	0.00329711764814566	0.0091956408196164	0.00819319992869586	0.00846316176097365	0.00956803043826714	0.0083932253156852	0.00708898624511332	0.00405034803375559	0.0113810218638094	0.0010793087476537	0.00366914441751703	0.0231120892960656	0.00722770812395535	0.00374434115410623	0.00819918121468784	0.0132001598885032	0.0131169003653997	0.0169622252297003	0.00305506420856369	0.0118637293161189	0.0131769147129924	0.00429833822416302	0.0330054128298345	0.00668245924363806	0.0087141226392308	0.00508343937931216	0.0102522166129264	0.00996918377834295	0.00564338521975536	0.0115105302059486	0.0106437725345301	0.00831111362797749	0.00646722975571879	0.0134345233750385	0.0145648929834341	0.00335242270723726	0.00219258285032446	0.0149034691416293	0.00261060845149227	0.00584980971969448
OM3_C_7C_1	0.00867959288256353	0.0148722638840769	0.00436554490609002	0.00656019355990768	0.0138023211448547	0.00315483590896904	0.00963142489865105	0.0132795755407292	0	0.0163668139033749	0.0103252565040623	0.00825054421988704	0.0136008577354022	0.0221528994378625	0.0112916940163693	0.0060057687516605	0.0207163666640045	0.0384245998624336	0.0132046239218701	0.0180376021789184	0.00764329492161387	0.0126915173248645	0.0150325269925422	0.0392020911083513	0.0102066565803079	0.00965160521421094	0.00923139485022491	0.00522912853600504	0.0100865253200995	0.021619277121767	0.0213912659679553	0.0209905414139246	0.0126639920548686	0.00504641647555821	0.0203632843330884	0.0172350821016998	0.00616248648981393	0.0143499157731551	0.0108534694605226	0.0125755466841631	0.013995257507373	0.0132508951723569	0.0176062574720078	0.0259140276808517	0.00993795252078606	0.01390410596958	0.0116019130985974	0.0135228403189122	0.0151991435363497	0.0174883376721191	0.0462356254542527	0.00694532974649489	0.0151278698713759	0.0180138126268697	0.00714607107386495	0.0209696331022323	0.00780269342181575	0.0237439193299099	0.0171795861856505	0.0089417835814916	0.0194072706550208	0.013798142261973	0.0122714157478182	0.0165814530613455	0.0135230284493536	0.0281688762305111	0.0156730957710277	0.0148630759150507
OM3_C_7C_2	0.00935285085041591	0.00407944591130239	0.0126789602022583	0.0111465260777474	0.00710769562456869	0.0180352476726869	0.011245582913775	0.00921994753316921	0.0163668139033749	0	0.00686374854204227	0.0104478269580436	0.00502595428520462	0.0117166826229071	0.00607033979133162	0.0150744817825562	0.00504896475901041	0.0287387878218739	0.00335033149477008	0.00598297945539052	0.0118439135140359	0.0130719136444743	0.00134685753164921	0.0489852280593713	0.0223566679241559	0.0141955960201783	0.0127571498352409	0.0116868977834985	0.010518699463781	0.00867612008569664	0.0110178483631046	0.0085276832346785	0.00432878162452035	0.0118793450595371	0.0117239775793342	0.00901275386739367	0.011060442875291	0.00939638321807305	0.0120568352467103	0.0210620506324373	0.00256352840975775	0.0055720741856471	0.00265872320930784	0.0124724286078818	0.00964538941705275	0.0113063272280679	0.0071785474444433	0.00551247984188122	0.00569296406378636	0.00911123288581656	0.0332077811997809	0.0126907371491372	0.00125359833026005	0.0121749782769123	0.00967749569546325	0.00609143689982046	0.0117792252856283	0.00978551564456984	0.0014256403044712	0.0074663825199085	0.0130318264183847	0.00703754545478494	0.009478512925433	0.0103212996739391	0.0114096417101821	0.0177626094882843	0.00835567272015078	0.00338297534510378
OM3_C_7C_3	0.00250317118597801	0.00454825244756366	0.00768628261394609	0.00435150696166424	0.00885201761379318	0.0126467137018715	0.00945361759400274	0.00500743248491753	0.0103252565040623	0.00686374854204227	0	0.00361995269331965	0.00329639342909112	0.0126130137333544	0.00539569089156687	0.0111439961901256	0.0105201420018966	0.0340087348849767	0.00476336308624485	0.00779929683410458	0.00880861057530631	0.0126896719974214	0.00557001384020847	0.0467450794930102	0.0183649530532417	0.0120435582470339	0.0105975447579231	0.00519004955764857	0.00424113745626393	0.0114319027249832	0.0118140132926928	0.010857472314589	0.00518026052226718	0.00538516470857208	0.0113161339339153	0.00790995781333446	0.00675045509774298	0.00590634649537432	0.00604462397264442	0.0184388653466336	0.00430151906297695	0.00301947947341019	0.00743779840572255	0.0157601180592171	0.00810980483666537	0.0120336344100285	0.00200149648341117	0.00737308660388086	0.00892754724441219	0.00814765519785803	0.0364397235030573	0.00583331229217634	0.0058164068056802	0.00994513375943856	0.00546561839920849	0.0106583033838769	0.00496212690683254	0.0134734536929625	0.00806930859640769	0.00332193629726797	0.0112697351310964	0.00879581720884207	0.00962321592254593	0.008020891271222	0.00676276788483859	0.0189577021476533	0.00638325230226271	0.00459194120269529
OM3_C_7G_1	0.00112696552512695	0.00755635323972083	0.00721596927771209	0.00174152098745342	0.01179471546066	0.0111002302921012	0.0109304729746929	0.00503567533899167	0.00825054421988704	0.0104478269580436	0.00361995269331965	0	0.00617365463093668	0.0139104368656329	0.00826993643201204	0.0110096273379956	0.0136824683502817	0.0372944421991021	0.00829884832012412	0.0102074234110837	0.00967144388572858	0.0144568495730936	0.00917582914445507	0.0465576888957999	0.0176302953574329	0.0129744908551529	0.0117022625446869	0.00326591270808549	0.0020308459881649	0.0136458076557665	0.0131546708044663	0.0129707934972426	0.00852666107436037	0.00339736349548798	0.0121244357737922	0.00899389756263328	0.00716051210348884	0.00611106622667654	0.00353856634453284	0.0186071212196909	0.00789659390431208	0.00568316823911992	0.01070664378165	0.0178637816735549	0.00995840793342797	0.0143206711332029	0.00379329941906146	0.0105338103989881	0.0122051929636102	0.00924689289422747	0.0380005857947061	0.00227192899156251	0.0094316047900493	0.00992005413035747	0.00640216301512883	0.013556012773824	0.00134241938418439	0.0158722168749942	0.0116827314732709	0.00543491804201412	0.0113239210473493	0.0117487952568047	0.0119486592639576	0.00836413306909523	0.00562957987546221	0.0199378524293411	0.00744305492616597	0.00782096647112389
OM3_C_7G_2	0.00525045381190604	0.00138322526877444	0.0109019847487895	0.00738056191416666	0.00974335755784035	0.0159382465121996	0.0118188469253669	0.00424112321619223	0.0136008577354022	0.00502595428520462	0.00329639342909112	0.00617365463093668	0	0.00966061000285888	0.00686452451454161	0.0142026772366308	0.00750926844112237	0.0335738430192826	0.00478102660350012	0.0045164368895009	0.0115606975642968	0.0146768232980109	0.00411403011464704	0.0495922183696864	0.0215073026363464	0.0146261415732357	0.01313701299278	0.00841670811574624	0.00571288413870084	0.00815705357481538	0.00886086255370841	0.00760774964032718	0.00577946574614464	0.00860897644454631	0.00870806083723874	0.0053654786254758	0.00979077422504425	0.0045954928563376	0.00710181163149656	0.021267970752429	0.00302622174574442	0.000562244824759985	0.00457938258246836	0.012486878598333	0.0102998878519732	0.0135622343926589	0.00242926584732123	0.00802803286631396	0.00914963440681158	0.00556446161071618	0.0332426032249988	0.00842568704751889	0.00447444437530973	0.00807794893073065	0.00841417332688676	0.00745475310400266	0.00739729450407013	0.010177383935038	0.0064397513196129	0.00601474400598237	0.00922378150471341	0.00967548955281331	0.0112578158439045	0.00608275476371654	0.00643160867089541	0.016055638906556	0.00411079065634551	0.00177294653965714
OM3_C_7G_3	0.0135333632338294	0.00905628240486585	0.0202553897439508	0.0155966279603721	0.0185430973465634	0.0248939781237969	0.0214291830415151	0.00892737132860235	0.0221528994378625	0.0117166826229071	0.0126130137333544	0.0139104368656329	0.00966061000285888	0	0.0162834554440107	0.0237518993615385	0.00868116791642568	0.038744372113628	0.0137084608919861	0.00581296246358611	0.0212174444363627	0.0240760410752854	0.0119201846185244	0.0592382299487755	0.0309581847475097	0.0242728395263819	0.0227806082813785	0.017008382602758	0.012216988571272	0.00380733069523203	0.000801338850840044	0.00348757809080823	0.0148693262618777	0.0171739085095017	0.00234938487017338	0.00491876565687597	0.0193473753613608	0.00789378460244975	0.0121358172553215	0.0309218999369917	0.0116568293199455	0.00971012801249173	0.00911925476638838	0.00519303171158439	0.0198741069731646	0.0226635494742294	0.0108206688210674	0.0168196791630393	0.017362799376687	0.00466545678232747	0.0240966342836179	0.0155937835991038	0.0122277055432559	0.00543135308453966	0.0180127025366081	0.00709247587586035	0.0145669376422657	0.00515329981947817	0.0127541182744958	0.0156566079567068	0.00471813219819315	0.0184715594903522	0.0205279203493807	0.00586500369599321	0.00942583549828418	0.00639641358331257	0.00648749279999944	0.00961335983251645
OM3_C_7H_1	0.00724221156709785	0.0072288234161531	0.00713230806165718	0.00796342078828942	0.00353050003338495	0.0124027167490232	0.00530555110090097	0.010223024053064	0.0112916940163693	0.00607033979133162	0.00539569089156687	0.00826993643201204	0.00686452451454161	0.0162834554440107	0	0.00904893799655921	0.0110933423492053	0.0290750957658548	0.00282384034980726	0.0106049410218843	0.00577707202458766	0.00782757331352003	0.00501614421530876	0.0432676712817245	0.0162921631820693	0.00825660813442943	0.00678054827498042	0.00771107918732799	0.0095015130489847	0.0140021493347195	0.0154996234599288	0.0136515939710399	0.00174161616434396	0.00786455360177026	0.0155479011550969	0.0122295692239027	0.00534979019707894	0.0109749543163307	0.0113299212019852	0.0151149703948183	0.00472862902365562	0.00704485688519587	0.00829885301172614	0.0181346354570997	0.00369475419485589	0.00676512788243236	0.00718223112199276	0.00240758192715096	0.00416285837825767	0.0124261489515059	0.0390182142382334	0.00999266479983128	0.0048977264654267	0.0148265307934682	0.00415276192810375	0.0119658466168944	0.00947891543614895	0.0155164546364449	0.00637545870859484	0.00297068496247262	0.0160401699089048	0.00348231824071334	0.00440786180618781	0.0128307924852727	0.0121260466925999	0.0226448857310724	0.0109276328717024	0.00668949471455245
