	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_2	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_3	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1
OM3_B_B_2	0	0.0131203813555317	0.0316655271456964	0.0186578041133585	0.00511071296903914	0.0525356581944994	0.00706897764160491	0.0288858182115397	0.0410673493871988	0.0440344212395819	0.0149371758467613	0.0265392763142636	0.0414903437033551	0.00619445812642084	0.00863626405090942	0.00381715951853798	0.0343446279108606	0.00665086839971792	0.0200225967687029	0.0427765278774996	0.0374798178868734	0.0602340832777283	0.0306723858781522	0.0262178052781875	0.0387747407357408	0.0307459109553909	0.0334382014562162	0.0440102429062766	0.0301310883539602
OM3_B_B_3	0.0131203813555317	0	0.019443576962278	0.00561022234498587	0.0108802606999871	0.0402474555988569	0.0125534824344775	0.0172444262529688	0.0292237213912966	0.0340968548065635	0.0036019273532734	0.0134842701467744	0.0284969267912396	0.00709520125803958	0.0064445640817334	0.0101189122750402	0.0229077074652288	0.0195432216613378	0.00693138918261375	0.0297142325641274	0.0246277536643722	0.0472069696985451	0.020445509025099	0.0131276326822179	0.0267221349153966	0.0197833741194376	0.0228019379726787	0.0317787086748792	0.017069388687426
OM3_C_7A_2	0.0316655271456964	0.019443576962278	0	0.0154494498420574	0.0277559515888105	0.0209056231225054	0.0319705541634952	0.00355941902038147	0.00986289048554755	0.0171687370539839	0.0200044020502256	0.00810871656160748	0.0116935286892224	0.0255251596090641	0.0231673566547529	0.0280220193240376	0.00481381666294566	0.0383093264303358	0.0142238128244221	0.0136098046742607	0.0072359791178549	0.0297829336150532	0.00757307139693484	0.00880612348911445	0.00728707150778896	0.00518621751657859	0.00710523668959796	0.012383625519415	0.00688518241153968
OM3_C_7A_3	0.0186578041133585	0.00561022234498587	0.0154494498420574	0	0.0164197381094739	0.0357613370173688	0.0170968015577169	0.0140508350722289	0.0252951395274366	0.0315267107640796	0.00463034914727344	0.00837625819296565	0.0233207444173964	0.0127023520883042	0.0117995414165094	0.0157284498494656	0.0195631655389748	0.0249574609361463	0.00141196539553523	0.0244075724660748	0.019698139631838	0.041911930655334	0.018311891669324	0.00790197435476114	0.0226573035375108	0.0170640690506352	0.02016672375204	0.0274418826149985	0.011862262893443
OM3_C_7B_2	0.00511071296903914	0.0108802606999871	0.0277559515888105	0.0164197381094739	0	0.0484835209706036	0.0107484868781546	0.0247456229096991	0.0368510440291513	0.0392305150943625	0.0136971852051349	0.0235385179254727	0.0381915996091646	0.00432105725467338	0.00479575988458701	0.00205200099642991	0.0300317677158653	0.0112258063661897	0.017651365571195	0.0396314361231588	0.0340018998696664	0.0569424923876937	0.0260528336126843	0.0233254988347286	0.0346811517265008	0.0263256416684936	0.0288830011501214	0.0399718335272765	0.0270906076771401
OM3_C_7B_3	0.0525356581944994	0.0402474555988569	0.0209056231225054	0.0357613370173688	0.0484835209706036	0	0.0526836051964942	0.0237508567966436	0.0118134751859272	0.0166180531454982	0.0403883905532837	0.0274962479671043	0.0143731299877766	0.0464150045535891	0.0439946627046193	0.0488620872869526	0.0186869882516809	0.0591763328414178	0.0344099359573321	0.0148261546493109	0.0164199739714766	0.014240858052208	0.0235781830016026	0.0280716299031006	0.0138129809359095	0.02253548118641	0.0206961792634398	0.00853470541479071	0.0243573264756863
OM3_C_7C_1	0.00706897764160491	0.0125534824344775	0.0319705541634952	0.0170968015577169	0.0107484868781546	0.0526836051964942	0	0.0297735891596004	0.0417669129479744	0.0463017438498265	0.0125591340710396	0.0254694654165963	0.0403754580133064	0.00850256343349958	0.011605261388157	0.00872031419857002	0.035429006500738	0.00986844537770124	0.0184991185809869	0.0413709280779265	0.0367822273642226	0.0588196150474316	0.0326412308125385	0.0249933416555199	0.0392519453421823	0.0321975607080847	0.0351518560371274	0.0442594619931276	0.0289429465920129
OM3_C_7C_2	0.0288858182115397	0.0172444262529688	0.00355941902038147	0.0140508350722289	0.0247456229096991	0.0237508567966436	0.0297735891596004	0	0.0121920238151855	0.0175122024484763	0.0183644518713686	0.00835372651305277	0.0152516511481033	0.0228340890611075	0.0202891786328457	0.025165971508744	0.00566545669650933	0.0355292302148553	0.0130215599788989	0.0171570804703723	0.0107904283370387	0.0332466788394036	0.0053051871722881	0.00901345715570011	0.00993942588632242	0.00327063363759372	0.00626142260875528	0.0152381695042857	0.00865078433249741
OM3_C_7G_2	0.0410673493871988	0.0292237213912966	0.00986289048554755	0.0252951395274366	0.0368510440291513	0.0118134751859272	0.0417669129479744	0.0121920238151855	0	0.010518227858942	0.0298624530285925	0.0175541672937834	0.0105912593700641	0.0350195840496119	0.0324626736048763	0.0373374590863471	0.00688598244157265	0.0477053957379542	0.0240441006748857	0.0124730595402701	0.00887151734589794	0.0234899541355359	0.0118358196289932	0.0182193865904293	0.00272865852931335	0.0107265892148996	0.00901863126850426	0.00386096429802424	0.0151716710262518
OM3_C_7G_3	0.0440344212395819	0.0340968548065635	0.0171687370539839	0.0315267107640796	0.0392305150943625	0.0166180531454982	0.0463017438498265	0.0175122024484763	0.010518227858942	0	0.0356987105948266	0.0252086104072748	0.0210930752594369	0.0385133627373264	0.0355571204846513	0.0402235499935189	0.012391000791178	0.0504432648893302	0.0305289421441722	0.0229227855636003	0.0190910550664717	0.0306739746077002	0.0136786347306501	0.0259078005029331	0.0124854930894286	0.0144846432920458	0.0113865851476619	0.0130076708336306	0.0238325708458427
