	OM3_B_B_1	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_H_3C_2	OM3_H_3D_1	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.00997195808723876	0.00390107260920777	0.0267293303737043	0.0021784589395708	0.014160477352804	0.00686993130754172	0.00598963335013219	0.014403974780539	0.0180920541432927	0.00790236119746481	0.0123408025470203	0.00785585958770207	0.00703505888551704	0.0169346760306553	0.002343205045146	0.0167182958211016	0.00441305232933285	0.00258118349093151	0.00122672458502592	0.00121096173654907	0.0112220523423603	0.016131245997896	0.00940803063464204	0.012397681793418	0.00082144353920398	0.00400019866716974	0.00863826903387785	0.00101803466337895	0.0181472556974995	0.0157539328424581	0.00876494495003084	0.000815645927115524	0.0149658241153608	0.0022242134627537	0.00389672572205699	0.000783506658176853	0.00672309665409839	0.00983854963274711	0.00528804249957114	0.00987042989252877	0.00895807716712869	0.00976365656766635	0.00693012120691609	0.00195822784575068	0.00882501948401648	0.00862153409014758	0.0087176270681416	0.00312372977863646	0.00604546279665906	0.0123414343340597
OM3_B_B_3	0.00997195808723876	0	0.013872843288393	0.0167589300145531	0.00779355797839088	0.00418872511417878	0.0168414888515556	0.0159612604440941	0.0243747181615063	0.00812060622969333	0.0178738303501064	0.0223118078501023	0.0178273328799433	0.00293697083893998	0.00696312734220857	0.0123150631890898	0.026688710434721	0.00555899078687341	0.00739084070394529	0.0111986350873245	0.0111828729163499	0.0211931873852784	0.0061596328445811	0.000563945853645645	0.0223686802694771	0.0107933709142517	0.0139719632131942	0.00133372900688199	0.0109899539959447	0.0281174488593289	0.00578229096685944	0.018736334606813	0.0107875735353182	0.00499412544536405	0.00774780433849409	0.0060753144142786	0.0107554355544204	0.0166946661711809	0.0198098331674479	0.0152597211896564	0.019841710154287	0.018929448320667	0.000208308573331341	0.0169016737999214	0.0119301050175252	0.0187964034129002	0.0185929373198918	0.018689021218975	0.0130955461986453	0.00392657758334472	0.0223124395614268
OM3_C_7A_2	0.00390107260920777	0.013872843288393	0	0.0306292916553633	0.00607951361969781	0.0180612033392943	0.00296888629239542	0.00208857766647618	0.0105031067752044	0.0219925872513125	0.00400133136485379	0.00843987081140263	0.00395482900926806	0.0109360272995348	0.0208352702908669	0.00155787250416333	0.0128175129955215	0.00831407525958805	0.00648223344863529	0.00267435246433576	0.00269011528157236	0.00732109086032942	0.0200318805627226	0.0133089336304524	0.00849675166054479	0.00307963249390643	9.91265943303553e-05	0.0125391949255028	0.00288304191808494	0.0142465326944876	0.0196545857287831	0.00486393001233999	0.00308543008817987	0.0188665140201457	0.00612526762849184	0.00779775719075163	0.00311756925708861	0.00282204971383067	0.00593755604406033	0.00138697981411465	0.005969436985425	0.00505706584006882	0.0136645484423385	0.00302907699777063	0.0019428499123182	0.00492400565862108	0.0047205165366288	0.00481661126121147	0.000777346116504731	0.00994645397684706	0.00844050261619716
OM3_C_7A_3	0.0267293303737043	0.0167589300145531	0.0306292916553633	0	0.0245513693250336	0.0125705134551965	0.0335971158252615	0.0327171416220278	0.0411278026161957	0.00863873521915017	0.0346291477517774	0.0390656538555157	0.0345826644904931	0.0196955623622003	0.00979620263087099	0.0290719016944469	0.04344088207898	0.0223171951944731	0.0241487271784199	0.027955735874843	0.0279399773032942	0.0379474257561578	0.0105996799291564	0.017322818676109	0.039122505939617	0.0275505633310903	0.0307283858035318	0.0180925177740459	0.027747102203924	0.0448690259900161	0.0109770111198741	0.035491383900566	0.0275447672490878	0.0117651489410242	0.0245056243155261	0.0228334331602346	0.0275126364507575	0.0334503361702272	0.0365645367322938	0.0320157985371345	0.0365964032489022	0.0356844364049066	0.0169672178950816	0.0336572830646786	0.0286870355951057	0.0355514337134573	0.0353480317855794	0.0354440854433599	0.0298521927548446	0.0206850324066926	0.0390662853411717
OM3_C_7B_2	0.0021784589395708	0.00779355797839088	0.00607951361969781	0.0245513693250336	0	0.0119821469174839	0.00904834326543177	0.00816805531080146	0.0165822532821407	0.0159138133702627	0.0100807599330094	0.01451912611239	0.010034258953404	0.00485662580127292	0.0147564064198866	0.00452165597404372	0.0188965161305802	0.00223460085028208	0.000402725337557196	0.0034051803659889	0.00338941757253311	0.0134003976576667	0.0139529575675367	0.00722962317935832	0.0145760042025239	0.00299990061536005	0.0061786389224903	0.00645985232928455	0.00319649114237447	0.0203254360416558	0.013575635912847	0.0109433314045467	0.00299410302001599	0.0127875101315597	4.57545992455779e-05	0.00171827184775634	0.00296196384282439	0.00890151036176277	0.0120169192328904	0.00746647159435508	0.0120487989655975	0.0111364607180218	0.0075852536890271	0.00910853243812688	0.00413668066051995	0.011003405041387	0.010799922664329	0.0108960142254745	0.00530217619659668	0.0038670215463094	0.0145197578866052
OM3_C_7B_3	0.014160477352804	0.00418872511417878	0.0180612033392943	0.0125705134551965	0.0119821469174839	0	0.0210296981402968	0.0201495171015157	0.0285624301957093	0.00393192780105348	0.0220619812213926	0.026499672402108	0.0220154864488519	0.00712566541251406	0.00277443046854651	0.0165034921204993	0.030876236722009	0.00974763685703452	0.0115794410123491	0.0153871090495939	0.0153713474884657	0.0253811294858917	0.00197092547456531	0.00475266705485755	0.0265565407819517	0.0149818603271791	0.0181603186429452	0.00552244336964604	0.015178435973741	0.0323048527186	0.00159357931983462	0.0229244343020112	0.0149760631658051	0.000805406208964608	0.0119363945930405	0.0102639485742795	0.0149439263892114	0.0208828835171993	0.0239978661550917	0.0194480139903798	0.0240297411100221	0.0231175362621129	0.00439703235062848	0.0210898797677885	0.0161185498850097	0.0229844994636315	0.0227810456729401	0.0228771237773895	0.0172839414999344	0.00811525620311858	0.0265003040686161
OM3_C_7C_1	0.00686993130754172	0.0168414888515556	0.00296888629239542	0.0335971158252615	0.00904834326543177	0.0210296981402968	0	0.000880310518403398	0.007534301914345	0.0249609075047316	0.0010324493244592	0.00547103203704751	0.000985946730099967	0.0139047569509984	0.0238036452532216	0.00452675153648722	0.00984875659989171	0.0112828649393936	0.00945105665218995	0.00564322321873125	0.00565898590072358	0.00435223735897428	0.0230002918708119	0.0162775967217304	0.00552791370371384	0.00604849960819138	0.00286975999072903	0.0155078808822879	0.00585191084038238	0.0112778117270948	0.0226230136444333	0.00189505320651106	0.00605429714798078	0.0218349756736686	0.00909409655915846	0.0107665570198759	0.00608643601331749	0.000146837005129892	0.00296868789251321	0.00158190873678826	0.00300056912710759	0.00208819041610844	0.0166332005564933	6.01908930284513e-05	0.0049117263803145	0.00195512927442818	0.00175163875437125	0.0018477341285457	0.00374622941105332	0.012915207950869	0.00547166385087185
OM3_C_7C_2	0.00598963335013219	0.0159612604440941	0.00208857766647618	0.0327171416220278	0.00816805531080146	0.0201495171015157	0.000880310518403398	0	0.0084145930893697	0.0240807807218492	0.00191275924022264	0.00635133195298344	0.00186625668706568	0.0130245017400642	0.0229235015126136	0.0036464460562935	0.010729034879057	0.0104025902590068	0.00857077086437584	0.00476292090468757	0.00477868363682659	0.0052325409286017	0.0221201368423252	0.0153973627579081	0.00640821341350653	0.00516819863179141	0.00198945121476873	0.0146276396483981	0.00497160920260347	0.0121580804117148	0.0217428534516275	0.00277536211999982	0.00517399619143916	0.020954804975868	0.00821380884571428	0.00988627900111869	0.00520613516726015	0.000733473546136757	0.00384899492424511	0.000701598557037369	0.00388087609222627	0.00296849904296211	0.015752970073955	0.00094050139420783	0.00403142190586402	0.0028354381011971	0.0026319478659684	0.00272804310879411	0.00286592216952514	0.0120349448976479	0.00635196376453291
OM3_C_7G_2	0.014403974780539	0.0243747181615063	0.0105031067752044	0.0411278026161957	0.0165822532821407	0.0285624301957093	0.007534301914345	0.0084145930893697	0	0.0324930890710568	0.00650187011901654	0.00206329935344499	0.00654837204348949	0.0214382801029114	0.0313359973017958	0.0120609108688891	0.00231451420910201	0.0188166122793195	0.0169849392798963	0.0131773309256787	0.0131930928321761	0.00318210071855509	0.0305327581280951	0.0238108859576096	0.00200641717212973	0.013582586963719	0.0104039839353842	0.0230412492285472	0.0133860081750451	0.00374362006089096	0.030155532367791	0.00563927661348124	0.0135883842061306	0.0293676015744644	0.0166280035068392	0.0183003442680514	0.0136205214198669	0.00768113597423445	0.00456564941428144	0.00911617299260794	0.00453376830993307	0.00544614119477798	0.0241664521956895	0.00747411219606564	0.0124458686473636	0.00557920112352939	0.0057826896097768	0.00568659522297494	0.0112804209660818	0.0204488199423185	0.00206266753397074
OM3_C_7G_3	0.0180920541432927	0.00812060622969333	0.0219925872513125	0.00863873521915017	0.0159138133702627	0.00393192780105348	0.0249609075047316	0.0240807807218492	0.0324930890710568	0	0.0259931242686498	0.0304304973559663	0.0259466325454177	0.0110574851300419	0.0011575017461335	0.0204349580283246	0.0348066955533397	0.0136793818302792	0.0155111226230483	0.019318629656065	0.01930286884288	0.0293120396626506	0.00196100763756107	0.00868453821236184	0.0304873613121289	0.0189133999491309	0.022091697114059	0.00945429952912892	0.0191099664276762	0.0362351807774347	0.00233835360145508	0.02685551972021	0.01890760305653	0.00312652505154114	0.015868062790226	0.0141956766154634	0.018875467768226	0.0248141020780198	0.0279288770213302	0.0233793193429438	0.0279607497145874	0.0270486085001052	0.00832890988932848	0.0250210853455332	0.020050035037177	0.0269155807929359	0.0267121408125543	0.0268082124093111	0.0212153671520488	0.0120470499180474	0.0304311289733851
