	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9E_1	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.035754227189191	0.00812564404238097	0.00520596919587663	0.0121304328794014	0.0330294530723513	0.0680848528657252	0.0575898248816455	0.0261174082095414	0.0144544669247516	0.0398510815021699	0.0142197817148505	0.0153423379872545	0.0288850676107637	0.0545240277403745	0.0070409658634951	0.00885299924762228	0.003751720395771	0.0241657879814255	0.0120556110081286	0.0192089716404163	0.00610257607107554	0.00512530816212925	0.00808227073054974	0.0202122167840886	0.00897208804985493	0.016157823724866	0.0208440093716281	0.0154282629275048	0.0139298242432871	0.0168381024807201	0.0155556125762386	0.0106549690353049	0.0153859110140029	0.0239060707409082	0.0134085365039019	0.011290453451562	0.0139847717359874	0.0125031995508275	0.0109184039762571	0.0118366558843909	0.0131402214703474	0.0131003939958085	0.0164991115968085	0.0158547057659996	0.0145437626773261	0.0348523778897246	0.0116780845833562	0.0151677121668821	0.0145276267636391	0.0146667569188864	0.017030003990219	0.00851133220824622	0.014961650776284	0.0110110683044863	0.0111775800774215	0.0161136861445902	0.0295609065521727	0.0112921513186721	0.0134517982924407	0.0138079266890491	0.0104097452060349
OM3_B_B_2	0.035754227189191	0	0.0332956828874223	0.037508555347735	0.04553263313174	0.0238028301354034	0.0411164135688755	0.0356765936849817	0.0588018669300251	0.0457748563004367	0.0180680677518875	0.0414451640513733	0.04821839243438	0.010429386184046	0.0209550467890048	0.0396014513180176	0.0413419802952983	0.0331575628560703	0.0593503713967934	0.0249040201087067	0.0173954982603184	0.0414402689970981	0.037092678753364	0.0371601319739128	0.0523199218893477	0.0412327520088102	0.0496764352582931	0.0533482628834927	0.0499385548810845	0.0436512237987281	0.0506204210076113	0.0415246052520075	0.0448239909550005	0.0281857941176376	0.0545886500126608	0.0476457639112584	0.038895361261615	0.0467819741977984	0.04784483687317	0.0397568186548092	0.0466570375314316	0.0238212442048579	0.0470025059903459	0.0483613437198182	0.0465008721442014	0.044593251271645	0.00841735484384426	0.0360572664910145	0.0499565791800771	0.0444954410897872	0.042548266811594	0.0497449407743657	0.039032980199908	0.048886983597568	0.0248715698530623	0.0423828493319723	0.0290707697240665	0.0621925085008766	0.0469164943063063	0.0392820771254605	0.0277722561788701	0.0357585354488283
OM3_B_B_3	0.00812564404238097	0.0332956828874223	0	0.0126464521035857	0.0123855952335023	0.0317509032190625	0.0673962694453448	0.0577416239154613	0.0264895014624475	0.01519410151366	0.0390992476285501	0.0113426265448228	0.0169059524947586	0.0260157199812026	0.0530540327229001	0.0119628086982571	0.0120589764347056	0.00588140625684311	0.0269499725741176	0.0132485530482587	0.0161786502303493	0.0110149143950448	0.00714027663198903	0.0126584441349494	0.0193260180606916	0.00811778598551439	0.0170320845152145	0.0203633340688267	0.0170945794903179	0.0167108077655923	0.0189406071300116	0.0128948212785183	0.0142595092391574	0.0168403438914306	0.0227833544181953	0.0188688844347829	0.0128892851573225	0.0165222236427404	0.0181479213495371	0.0130416958782198	0.0141592171111334	0.00953686536806125	0.013942178994867	0.0151782911505528	0.0180147093583868	0.0128620143174061	0.0343114094334978	0.00749686226196315	0.017175058303161	0.0130204776579395	0.0115216558114653	0.0171388093113452	0.0105393267299007	0.0165105008524135	0.0110450658476554	0.0143670929948794	0.0105835486459527	0.0297548465872051	0.0166764551529741	0.0149696713291086	0.0180797421766	0.0101818863547944
OM3_C_7A_1	0.00520596919587663	0.037508555347735	0.0126464521035857	0	0.0145195579408746	0.0323272904924385	0.0672275942219929	0.0561744656145347	0.0262016919231591	0.0142616037261429	0.039426130905843	0.0157986039853108	0.014982057767955	0.0303291090455772	0.0551093572454409	0.00500521878009022	0.00794301942418731	0.00719109210139143	0.023671416647357	0.0143782114041785	0.0214947720862744	0.00842178985143945	0.01000097222524	0.00524669508104245	0.0217530998402672	0.0125497040031592	0.016858918404439	0.0221096957956476	0.0163706603219845	0.0116378767223239	0.0163307950627356	0.0166059815698361	0.0098181199910931	0.0140250498711651	0.0246464107781943	0.010662426383048	0.0100153251048701	0.0128495947192694	0.0107372113459643	0.00946508305311784	0.0135500636413717	0.0164367334340899	0.0151832356142949	0.0187722193884086	0.0141169005933823	0.0160142203411099	0.0355918697528157	0.0139093282455885	0.0162378060136648	0.0158043189968908	0.0166159061715794	0.0179157410431553	0.00816966082990507	0.0153562917486199	0.0129526768501247	0.00927318487454101	0.0184745137432089	0.0297224248092252	0.0103212141269288	0.0116788491806124	0.0123416690463902	0.0105467832405606
OM3_C_7A_3	0.0121304328794014	0.04553263313174	0.0123855952335023	0.0145195579408746	0	0.0414064069287146	0.0781100698359679	0.0677127698877378	0.0157574015668531	0.00964429128183054	0.0499735134695183	0.0106839129581993	0.00884907734259783	0.0380478153964345	0.0649846969820511	0.0118969791189035	0.0100957642415188	0.0134257856696051	0.0150098547315836	0.0231921265326335	0.0283533962976412	0.00785072552780075	0.0101625806727528	0.0151907980695833	0.00859529735330414	0.004392707364275	0.00626374769839291	0.00932783563560171	0.00509911702760503	0.0144487967312217	0.00928421150622801	0.0127817105560294	0.00823805945924984	0.0248670109042793	0.0137792097162279	0.01260134358564	0.0143955761687947	0.0101003187535456	0.0108044101435669	0.0136117880873397	0.00351920942902008	0.0217302704001928	0.00168153641996627	0.00480881348019699	0.0135020742686811	0.00778217758641945	0.0458895731050357	0.0128715304102744	0.00511534160842514	0.00824514595742979	0.00944555069393018	0.00697204680244223	0.0113510133796355	0.00614771781225205	0.0217723750608144	0.0122384433846909	0.0205037195950489	0.018807221026432	0.00919618379217813	0.0165474110977112	0.0257087960115841	0.0147397273626058
OM3_C_7B_1	0.0330294530723513	0.0238028301354034	0.0317509032190625	0.0323272904924385	0.0414064069287146	0	0.0378490371860005	0.0279050467957965	0.0496241801891857	0.036595059627007	0.0129378051826167	0.0335020864681477	0.0394912110061766	0.0155461344673058	0.0321834420820029	0.0323488829824215	0.0335184124200235	0.0299309527415154	0.0518978358431632	0.0285076590420317	0.0207770989027808	0.0387206929690977	0.0365956083523662	0.0290329521074227	0.0459678176746818	0.0382613445865864	0.0426583357208103	0.0466453066065891	0.0442569239574139	0.0326108560149975	0.0421498718420312	0.032278104183418	0.0373915503460191	0.0183230681383673	0.0455978175271428	0.0394197823909657	0.0289048207519409	0.0376105904749207	0.0414187208878332	0.0300329083413312	0.0427329129265746	0.0256193482957895	0.0428506408959076	0.0433988525950619	0.0354549248416486	0.0371542879629518	0.0228076158926014	0.0294210109327359	0.0449133059439278	0.0367172292085958	0.0353531086167333	0.0424503048038327	0.0311081830871263	0.0417892602170132	0.0246190678463872	0.0329661922301857	0.0233378414731739	0.05298474115666	0.0413142276413775	0.0277863785969119	0.0247672269720109	0.0270217364298202
OM3_C_7B_2	0.0680848528657252	0.0411164135688755	0.0673962694453448	0.0672275942219929	0.0781100698359679	0.0378490371860005	0	0.0128038821779288	0.0872613303392876	0.074066602950226	0.028426845904865	0.071088955501184	0.0768153122457489	0.0430254727154815	0.0242957055862379	0.0685618908274738	0.0702828172680819	0.0654206730510179	0.0888022169127835	0.0598713979878289	0.052567048658695	0.0741245611752984	0.0714856501841784	0.0650898529907852	0.0834617291730826	0.0745695618115331	0.079956457441686	0.0841651538369878	0.0811897401836986	0.0695761975518822	0.0793541949863974	0.0700038001369545	0.0740883817263982	0.0539723177657585	0.0833668198613519	0.0753767517299157	0.0660567395544146	0.0747157274813879	0.0772000670707454	0.0670878289429658	0.0790703781025328	0.0591206403715891	0.0795243784072975	0.0805841516063552	0.0726487224001151	0.0746911138207158	0.0389395764131228	0.0666312523629427	0.0816423812844872	0.0742844535134878	0.0728715980635436	0.0799064330862079	0.0680203378428215	0.0789596251153433	0.0581124958795277	0.0698263139993805	0.0598605695053657	0.0906498864861315	0.0771503295006795	0.0649975080885889	0.0563519304373967	0.0642294529511026
OM3_C_7B_3	0.0575898248816455	0.0356765936849817	0.0577416239154613	0.0561744656145347	0.0677127698877378	0.0279050467957965	0.0128038821779288	0	0.0763671941117715	0.0631979959964684	0.0195870667473203	0.0608760134420423	0.0658255047031464	0.0354734778866539	0.0244320850037468	0.0574970363557915	0.0592972930120635	0.0551238792165539	0.0775264429709188	0.0503283518437653	0.0439703048437101	0.0635300064172812	0.0614181913974382	0.0539528285345584	0.0730360537580594	0.06441182944663	0.0691881200822657	0.0736343531074872	0.0704158643773996	0.0582676665710078	0.0682634379371285	0.0597316377435059	0.0630164077239898	0.0430530590938059	0.0728453175393391	0.0638711631237477	0.0550806626872599	0.0635678835485556	0.0658696672110117	0.0560563466333525	0.0684415970828205	0.050036621406428	0.069040090523715	0.0703294643995825	0.0614011682093062	0.0643108779860589	0.0319802575712877	0.056627969509461	0.0708795146866901	0.0638576460725092	0.062741604367882	0.0692383088227603	0.0571863335707083	0.0680957232018347	0.048302139907707	0.0586468218567484	0.0505844263922873	0.0797850506499244	0.065984227355127	0.0539013381255718	0.0455392055461593	0.0536187074970121
OM3_C_7C_2	0.0261174082095414	0.0588018669300251	0.0264895014624475	0.0262016919231591	0.0157574015668531	0.0496241801891857	0.0872613303392876	0.0763671941117715	0	0.0137113707867428	0.0602817111607849	0.0177535401669513	0.0115722774736934	0.0500516295205665	0.077190364919879	0.0220069046829673	0.0192204693777619	0.0270062082785998	0.00934056783863443	0.037795560301121	0.041461190142801	0.0220995573783556	0.0256524128110414	0.0249269276123178	0.00844247878022123	0.019722016949796	0.0100533699178858	0.00723142579442619	0.0118672172831993	0.0188258940620908	0.0099408286161705	0.0182655320560555	0.0163947964845974	0.0348296972541969	0.00577366887847961	0.0178525794442723	0.0219326519172623	0.0140500849635147	0.0180489857659354	0.0211280052424956	0.0164450545167835	0.0355618378027659	0.0150355960863474	0.0126455701638495	0.0154635321001214	0.0143045900002797	0.0590904230419771	0.0229390683657847	0.0130514948249987	0.0143847879545393	0.0166878319458449	0.00942821213450291	0.0209386699935947	0.0111978272802823	0.0353495897081011	0.019018330067966	0.0307944315524314	0.00361483244211826	0.0181486309068816	0.0227090318920563	0.0379517072818073	0.0240009207246253
OM3_C_7C_3	0.0144544669247516	0.0457748563004367	0.01519410151366	0.0142616037261429	0.00964429128183054	0.036595059627007	0.074066602950226	0.0631979959964684	0.0137113707867428	0	0.046758445662486	0.00670555937414009	0.00316730183202222	0.0368964628845682	0.063720641314253	0.00939842904572604	0.00636121413495667	0.0144649876392838	0.0158785056055218	0.0254434141887883	0.0285348321759415	0.0130737748146484	0.0157524441953863	0.0117600696072668	0.01074395352842	0.011011547782467	0.0066516774470875	0.0109256697330731	0.00931046852530095	0.00657268472731273	0.00599236722640075	0.00708339205213351	0.00585009553769365	0.0211551455462242	0.0110359448913793	0.00997522038472154	0.00831534357759689	0.00345133425474061	0.0113304351446767	0.00756806408065331	0.0109857465784225	0.023115670452528	0.0102575076983961	0.00999710232873227	0.00457497897619923	0.00488322096814347	0.0456411563061932	0.0106765032267625	0.010615981170483	0.00435056463226194	0.00700543897783722	0.00646575518463068	0.00745127451903635	0.00602823231605351	0.0223231315073622	0.0061375935423246	0.0185733505163547	0.01729880307505	0.0111735266273958	0.00946905176321517	0.0248823116268879	0.010376878584101
