	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.00963212538990659	0.00114016553553646	0.014889762139418	0.0177224022170882	0.0212728941613081	0.0829904337059383	0.0961964696813047	0.0974608944362461	0.0157755712070008	0.0190790446119212	0.0154141234294097	0.011654374289594	0.00284002720209262	0.012042886053368	0.01969660377343	0.0137911227153694	0.0115899590844512	0.0102783874549091	0.00333617773994232	0.0117992035674555	0.0109128565968328	0.011978308564472	0.00634698129574603	0.00952413935670294	0.0138702544864298	0.010395594285876	0.00694175551533576	0.0120160361053235	0.0155607656887483	0.00714095276402673	0.0121724531650371	0.00606973057501146	0.0180856903029399	0.0156992753586371	0.0137864293110473	0.0159549277627022	0.0123870358368312	0.0067486533347995	0.0198840633806772	0.0235334146318457	0.0111982350820436	0.0182073531529606	0.0177043394269341	0.00745480254095899	0.00385751100960914	0.010681338838151	0.00534740655702881	0.00910448470852178	0.00965864938287318	0.0150496180925679	0.0190288316985102	0.00522577464899231	0.0101627344331905	0.00646704121155043	0.0155405380093339	0.0110226321679492	0.0153433514060764	0.0158306922455238	0.0124202165862856	0.00938434603395788	0.0142841305503018	0.0137347049708918	0.0128328598580212	0.000873759469225026	0.00747237135586638	0.00831213357222596	0.0127743136837571	0.00339924713393988	0.00545548152457423
OM3_B_B_2	0.00963212538990659	0	0.0107341931897688	0.0142926803040403	0.0116347635542917	0.0234013993940898	0.0816358023401853	0.0959845952644593	0.0974657506863412	0.0139763940604138	0.0197158485008973	0.00590136557199304	0.0043746639720028	0.00765546250381364	0.00792753881991413	0.0188464903716041	0.00976926453456328	0.00929215842503419	0.00517005602521094	0.00806927809853403	0.00226083276194597	0.0103676455157915	0.013716678115412	0.0110878736488587	0.0142938271984893	0.0127953044959042	0.00338751533485284	0.0113374162063491	0.0139562418441926	0.00993844494194958	0.00846313287722609	0.00897660140281688	0.0066327469313803	0.0151056722951936	0.0144344296943474	0.00491083498220879	0.0156353283295191	0.00956406816186488	0.00385198054628289	0.0184378771531352	0.0199424157277586	0.00471862802978993	0.0178960563835086	0.0157391969291308	0.00292041067804513	0.00851817515766816	0.00759400929591148	0.00841400427525628	0.00329412724415587	0.0100743627229292	0.0137648161440397	0.0229101851717658	0.00452658794406651	0.0087466925521673	0.0115238472369693	0.00743457683260102	0.00441311229563662	0.0116931657828755	0.00871503611247225	0.00965149155859155	0.00586805434349378	0.00751082018886102	0.00967016274690276	0.0196779468513086	0.00904281142833489	0.00931327803934899	0.00894391087778418	0.0136973456636609	0.0125159670387678	0.00712506556552197
OM3_B_B_3	0.00114016553553646	0.0107341931897688	0	0.0156216883467815	0.0187867915539021	0.0209869241411783	0.0835141015527208	0.0965870727806949	0.0978265263584647	0.0165940985461071	0.0196117936847012	0.0165375750277704	0.0125859825023403	0.00391053866464145	0.0130822258015399	0.0203719862210993	0.0147948454138317	0.0125385048326855	0.0113871550456274	0.00430015044683013	0.0128816344488682	0.0117526736124118	0.0125492814148845	0.00623190019601087	0.00977084579184643	0.0146676219187998	0.0113517748300214	0.00742736951019585	0.0125617539030844	0.0166209199135249	0.00801647078745694	0.0131612439396741	0.00710269037161798	0.0189616451447567	0.016474432972242	0.0149253770700076	0.0166388137022911	0.0133486269211083	0.00772105724147381	0.0206122283737193	0.0244049965881572	0.0123254183862866	0.0188514731314913	0.0185058774940831	0.0084710766754129	0.00471983973285631	0.011701636766488	0.00572587261092864	0.0102417432704685	0.0104657354004189	0.0153062854799019	0.0185444713365291	0.00628405846317879	0.0110980602628564	0.00687857563438234	0.0166755716599636	0.0119286041553721	0.0163015995790239	0.0169432993112035	0.0133776420878831	0.0104615714726056	0.015114388280939	0.0147416367210773	0.0125668753392174	0.00194675793424319	0.00826726401107684	0.00867850967258279	0.013410310726477	0.00285534064779432	0.00606498255766554
OM3_C_7A_1	0.014889762139418	0.0142926803040403	0.0156216883467815	0	0.00889503284600357	0.0354983663362905	0.0684828133319695	0.0822586732550764	0.0836543354707086	0.00187607632562627	0.00545974252411577	0.0155818701559162	0.0186666726857638	0.0124524135332678	0.00673743959568289	0.00490600315700597	0.00565188056367072	0.00500861370441024	0.00919908784106911	0.0116907392594179	0.0156766818955344	0.0042853082037756	0.00381050950891182	0.0207328242635642	0.00803906248494001	0.00150954598630083	0.0176145234012636	0.00851397334780143	0.00401697220359643	0.00775017092963791	0.00791777416061674	0.00551933199385406	0.00969829253126842	0.00444236620825028	0.00114824438653143	0.013135346442937	0.00134283561837905	0.00489799572790016	0.0158727706368092	0.00499532663735854	0.00932454496675835	0.0100928993946193	0.00365586224226365	0.00316400510128368	0.015524176595936	0.0110573388762269	0.00670446823964753	0.018663536803041	0.0110054138112381	0.00531343024650575	0.0272211363104019	0.0337433440864907	0.0145186109594821	0.00572024014596086	0.00920209785208762	0.0119426621688589	0.0186576685289224	0.00469384469960979	0.0102132914723008	0.00480552195482061	0.00845393758569951	0.0217718420341533	0.00573585719659874	0.0127738237803394	0.0140821446779961	0.00743654838079266	0.0209413330560874	0.00262657047023141	0.0144266426586789	0.0178436763456777
OM3_C_7A_2	0.0177224022170882	0.0116347635542917	0.0187867915539021	0.00889503284600357	0	0.0350258768910442	0.0706729762715203	0.0855374762901001	0.0871364902473244	0.00719260401334957	0.0132506431827404	0.00933874246464168	0.0152828448673718	0.0148851169452821	0.00575897777955	0.0109043302360166	0.00446705937930927	0.00700886281428055	0.00764831711080984	0.014536238382371	0.011689302519637	0.00876852794923814	0.0116370687314924	0.0218048265760334	0.0152291966406224	0.00795438425410695	0.0147560117789267	0.0139844938089938	0.0119415513204807	0.00217144307258063	0.0113519105879977	0.0060631849478925	0.0116972536527159	0.00601223281489434	0.00805533131465428	0.00766164034933159	0.00974808769557173	0.00620240868675795	0.0149771192977955	0.00992885333294598	0.00900115489630076	0.00721758491743522	0.0109417073197493	0.00766320217822117	0.0141995989782788	0.0143021463511882	0.00719732734634539	0.0192034284674199	0.00942992748204452	0.00993744270495093	0.0252933518063418	0.0343466624370513	0.0145611651162492	0.00833657214556685	0.0146396929026865	0.00512696283199302	0.0156468098562253	0.00426053507658874	0.00314441800491441	0.00622929472394078	0.00834474877066864	0.0177680213647669	0.00447100831750735	0.020830892099647	0.016858432915507	0.0115934034027854	0.0204171335462396	0.0106561586545025	0.0189276456315583	0.0180127845175774
OM3_C_7A_3	0.0212728941613081	0.0234013993940898	0.0209869241411783	0.0354983663362905	0.0350258768910442	0	0.103861636663887	0.117320743577113	0.118604883948596	0.0359323054601358	0.0401804826326118	0.0275160329644338	0.0203109252808554	0.0231929928692108	0.0305949368821136	0.0404008993014986	0.0325644929670477	0.0311640089836308	0.0278936140071693	0.0240268081745974	0.0237543525149088	0.0312372053446585	0.0330875473358676	0.0149623089035758	0.0307471783183131	0.0342312792861574	0.020472449350353	0.0281927655804714	0.0331628911538101	0.0332438218146318	0.0276228505991788	0.0313106203848296	0.0258119114840736	0.0377368615872317	0.0360886063040238	0.0278954011084982	0.0367100097133671	0.0317628239661102	0.0202446037686756	0.0403636778016805	0.0429587109284518	0.0279237613767715	0.0390460501873013	0.0378739170263226	0.0209168614478064	0.0247482729457034	0.0296867698179931	0.016840455016868	0.0258822943224957	0.0302118203696374	0.0103996408684499	0.00436804023308742	0.0211831561370584	0.0299926176164875	0.02773797052304	0.0306106893099648	0.019744821144606	0.0344578611200344	0.0320926682857819	0.0318298085873587	0.0278666529563368	0.0190766457603085	0.0324757618657411	0.0328633794218917	0.0219093517636475	0.0282150255413441	0.014791112949749	0.0337402314495848	0.0234599556988183	0.0177111386648881
OM3_C_7B_1	0.0829904337059383	0.0816358023401853	0.0835141015527208	0.0684828133319695	0.0706729762715203	0.103861636663887	0	0.0174476196058998	0.0198348010299071	0.068135819564848	0.06396089144853	0.0798725415965134	0.0857139371315665	0.0808141622318874	0.0738323278092567	0.0635867358087563	0.0719222658330964	0.0729530189840806	0.0766169809435473	0.080007393875985	0.0821940936138591	0.0727432040164747	0.0710461804298631	0.0890829969982904	0.0740127044477566	0.0697682527529803	0.0849798622374398	0.0761117747255404	0.0710092950754966	0.0719136746554684	0.0763494089362643	0.0729474685062022	0.078154370426909	0.0666036754003822	0.0679223917255173	0.078305790944946	0.0672754223434902	0.0724369090351587	0.0840552198422456	0.0636628990772914	0.0618275846337812	0.0769330467753958	0.0649494796261017	0.0662248280274673	0.0835524118084655	0.0793164315840992	0.0745248516966089	0.0870938343583844	0.0786433979116189	0.0737611772942346	0.095254704038027	0.101941566162753	0.0828784323473126	0.0740358967001233	0.0766615612246391	0.0757589075864406	0.0859575417241352	0.069995504451932	0.07380832057809	0.0723617400159705	0.0763751385429194	0.0883675577067345	0.0720191345307539	0.0741601257408809	0.0822610403925554	0.0757846880003053	0.0893043584083052	0.0703020212819584	0.0815855285911842	0.0862631585521751
OM3_C_7B_2	0.0961964696813047	0.0959845952644593	0.0965870727806949	0.0822586732550764	0.0855374762901001	0.117320743577113	0.0174476196058998	0	0.00258605558042484	0.0821720198917559	0.0773365960704225	0.0948316151735211	0.100200340369117	0.0942689001592261	0.0880946426074125	0.0774237700761671	0.0862595929059893	0.0869855795670156	0.0908688155567618	0.0934279100865035	0.0967761853294938	0.0865238695941533	0.0843921750441414	0.102443847365816	0.0868897816833559	0.0836398758048356	0.0993560741875399	0.0892837614478885	0.0843109291476483	0.0865592535136073	0.0899479220712236	0.0871107782972924	0.0918645603884906	0.0809529538232269	0.0818450207251026	0.0930710743787782	0.0809815283317289	0.0865600756965859	0.0980508894252891	0.0776769489404888	0.0765739725636384	0.0913342201037861	0.0786336947976038	0.0803355321981931	0.0976417013823338	0.0927018679916606	0.0886234501949603	0.100677571699208	0.092860465414256	0.0874142195972578	0.109341139005001	0.115012627053771	0.0967216599479312	0.0879335828279476	0.0897665006172016	0.0906466050432163	0.100364787184118	0.0843532830091665	0.088637194231555	0.0864787345533614	0.0904663940993191	0.103013884019394	0.0863591668494534	0.0861512845284699	0.0955340022196499	0.0893046146869489	0.103093885480389	0.0837890608921044	0.0944031420814709	0.0999667938391878
OM3_C_7B_3	0.0974608944362461	0.0974657506863412	0.0978265263584647	0.0836543354707086	0.0871364902473244	0.118604883948596	0.0198348010299071	0.00258605558042484	0	0.0836163351765088	0.0786711485409136	0.0964371675880308	0.101703384327193	0.0955823643157827	0.0895709368092768	0.0788416985883402	0.0877535002300188	0.0884199246439595	0.0923385646970818	0.0947364754093756	0.098302598479142	0.0879117712198533	0.0857045870780754	0.103727288287452	0.0881125325850848	0.0850504203969796	0.100838233740877	0.0905545152130858	0.0856154874990539	0.0881129238070603	0.0912955742003337	0.0885697691652437	0.0932296437533874	0.0824590348931385	0.0832687855823622	0.0946391940035106	0.0823671456629635	0.0880123919479305	0.0994605669020415	0.0791269463370991	0.0781656532937279	0.0928323231966159	0.0800207501363159	0.0817976698414405	0.09906999893858	0.094005229736293	0.0900674550666925	0.10200522806968	0.0943204091514126	0.0887767079470151	0.110754678107078	0.116226275929122	0.0981041121971167	0.0893407558208674	0.091024170905532	0.0922428575797039	0.101851858212744	0.0858545244040692	0.0902243384927938	0.0879300229780555	0.0919058992059559	0.10454598150321	0.0878534239688856	0.0872208344548408	0.0968118159500887	0.0906389206348588	0.104457278646788	0.0851284213748352	0.0956002466480216	0.101318079151816
OM3_C_7C_1	0.0157755712070008	0.0139763940604138	0.0165940985461071	0.00187607632562627	0.00719260401334957	0.0359323054601358	0.068135819564848	0.0821720198917559	0.0836163351765088	0	0.00638161202046578	0.0145674820349457	0.0183172731029097	0.0131802785734167	0.00610296760553898	0.00488117390619885	0.00458824937352119	0.00483949759231941	0.00880679268302083	0.0124845444594373	0.0151290678624354	0.00486844975624494	0.00551804882638351	0.0213553978937979	0.00971240685170882	0.00195813436041261	0.0173530677912499	0.00980453278200858	0.00575875161209545	0.00630422548257327	0.00865129596126087	0.00500006417430132	0.0101930928905999	0.002679192320258	0.000863967197453684	0.0122007802464829	0.00255781915736652	0.00441973747014135	0.015981836094851	0.00451015784622685	0.00790704862116697	0.00949522157660486	0.00418383672317629	0.00195487622509853	0.0155315699301185	0.0119187253580134	0.00647341993178839	0.0191414198897814	0.0107570829130646	0.00612894241116903	0.0272955336441207	0.0343855403479895	0.0147883928084514	0.00594428408672279	0.0105099418838206	0.0107049873833458	0.0183866897069855	0.00317286555902321	0.00884402144213962	0.00433479953037383	0.00832249006052724	0.0213427250112657	0.00468525146442114	0.0146232421020154	0.0149358917207508	0.00832752428224652	0.0212347031994316	0.00433602272877613	0.0156570967057586	0.0182272232176525
