	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.00527107663555535	0.013447600969961	0.00413649877108551	0.014798648341964	0.0196200125777331	0.0225225698431315	0.0262848908108889	0.00336951670039122	0.0120307868253918	0.0211974061765848	0.00773021623792136	0.0255248016587195	0.020977110384954	0.00605976494210808	0.0143411308206854	0.0146161715568262	0.0142830711042553	0.0190911088078586	0.0294444800497141	0.00949947446674768	0.00801181191853324	0.00757139164951905	0.0204567030497575	0.0457604677159035	0.0419416090985171	0.0222891469817149	0.0197305626360845	0.0245763981690433	0.0118166502074541	0.0216345252832612	0.014033111307604	0.0220903975893366	0.021425515041927	0.0294897568983642	0.00870527911731826	0.0173129266939077	0.0213073850519886	0.00797196274097796	0.00807951227728846	0.0289546449395334	0.00263079485342675	0.0127955226862287	0.0291348357287551	0.0163488181150224	0.00953305194782996	0.0113242681011918	0.0151273265070379	0.012154281054718	0.0189107441272214	0.0359460792810501	0.010951403203852	0.0212770347179872	0.0145616291169304	0.0230121242545327	0.0421148076810379	0.0131085053519134	0.0163188462361006	0.0251357791088297	0.0221439902536025	0.0355470891827545	0.0123002541445652	0.0161564871307474	0.0185226890661528
OM3_B_B_2	0.00527107663555535	0	0.0105603466967042	0.00284626232808065	0.012378241997517	0.0166866103425195	0.0196006326919537	0.0225460352910936	0.00651400070893724	0.00913266298137201	0.0174107780358794	0.00512746482731313	0.0227649176281504	0.0177078534250962	0.0106663003378714	0.0118987640579849	0.0125295738848205	0.0116237888321236	0.0160103789159766	0.0248457402833595	0.0124161815114729	0.00648500064356241	0.00661738709279416	0.0170989204947471	0.0501107196310628	0.0459951136509106	0.0261580036571606	0.0176703750334272	0.0207147447737158	0.0107255065647052	0.0178580848729928	0.0117474888393007	0.0195120220719249	0.0177018345609099	0.0248894288883068	0.0119558361645093	0.0135212720354842	0.0179055105506184	0.00865629645004165	0.00681190183867175	0.0241870264681332	0.00681401342998871	0.0113640505464722	0.0335843324025447	0.0204992149046309	0.00834572611403361	0.0117985048778454	0.0120657024274805	0.00892792656900854	0.0173326371690368	0.0320860140212387	0.00906006780403759	0.0171374431728342	0.0118947120141549	0.0183543491167664	0.0383858031307209	0.0100996690796215	0.0122631990630133	0.0212710640511127	0.0179407645314505	0.0312975238316329	0.0110765336804914	0.0121271243682539	0.0149535061013847
OM3_B_B_3	0.013447600969961	0.0105603466967042	0	0.00984406355857411	0.00207161119678761	0.00635641206524005	0.0107713904628638	0.0155578154257579	0.0118373745746356	0.00341485754732195	0.0101452160657804	0.00647770560015564	0.0123119542319904	0.00825505771808144	0.0186408107119337	0.00195252510122093	0.00376226665494364	0.00358178178427563	0.00568316061782393	0.0180285492016755	0.013772713634581	0.00968548563207427	0.00645801058778202	0.00758415958861218	0.0587761522246773	0.0548151666244843	0.0351023023364935	0.0073491301776521	0.0121032779083512	0.00442415696723845	0.00893224866643757	0.001881661742074	0.00903566440001358	0.00863444702935141	0.0177188862174077	0.0141120103329338	0.00524246282586769	0.00804101201771399	0.00791562594408884	0.00584889286454395	0.0175492434925247	0.0148555045138864	0.00494739230191342	0.0411601837073287	0.02927764827303	0.00610916500450538	0.00896872903527549	0.00720740170258145	0.00612695490818834	0.0114583585388953	0.0237733813758066	0.0052709393904249	0.00876244343865721	0.00204723244682345	0.0121683421271145	0.0298359326980435	0.00208130700626259	0.00469675091019734	0.0133472565813052	0.0105712815058633	0.0233058524304906	0.00755827009235396	0.00981295025498668	0.00543975867974699
OM3_C_7A_2	0.00413649877108551	0.00284626232808065	0.00984406355857411	0	0.0113933085485338	0.0159278467289223	0.019570948558738	0.0233219172452258	0.00397281774361154	0.00890679626349251	0.0180235298071678	0.00373326873569001	0.0221246038761652	0.0176249530495048	0.00934770165468573	0.0110465825427974	0.0111089268958009	0.0112533422057346	0.0155129425334947	0.0258281256113426	0.00958910218468268	0.00701789128271544	0.00514184283411294	0.017014939726539	0.0494394434081062	0.045366934213431	0.025546884191108	0.0166252578881739	0.02107522839621	0.00893719005852071	0.0180535756331486	0.0106396342837195	0.0185632573940655	0.01784170012627	0.0257362267271929	0.00916987144239995	0.0137464718969884	0.0177077383743592	0.00630124796430377	0.00486853225409645	0.0250853306347531	0.00629587799549173	0.00952231473512285	0.0323524651033102	0.0197566871807018	0.00742768691931009	0.00921150976673438	0.0125529245851496	0.00947130572363609	0.0171699167866817	0.0326478976825498	0.00733523164835889	0.0173320366405605	0.010896043109007	0.0193519190193049	0.0388739335005227	0.00925483506458452	0.0125712181300271	0.0218355297032753	0.0186317978107113	0.0320003984383745	0.00905353446479101	0.0135359890581203	0.0146381543395822
OM3_C_7A_3	0.014798648341964	0.012378241997517	0.00207161119678761	0.0113933085485338	0	0.00515270677904693	0.0099521737740064	0.0154386703462684	0.0128879142140838	0.00472725047287128	0.0102582171916357	0.00806360178014752	0.0107981164233393	0.00753872205888659	0.0197943070382868	0.00119212087107326	0.00304678737810076	0.00382024699969918	0.00464767662073974	0.0181918389385241	0.0139877675642167	0.0110229145016961	0.00751723551016549	0.00695487370208016	0.0597715368546425	0.0559005036749062	0.0363052949990407	0.00541472694731933	0.0117478450565198	0.00417624580212903	0.00864944398215275	0.000883876248269454	0.00743122500419472	0.00830078940732297	0.0178135721319351	0.0144464818773341	0.00573981626800744	0.00726573232745044	0.00836366719878744	0.00694332865072484	0.0178357218540554	0.0161423153859697	0.00477070220795777	0.0419996411742386	0.0304528632492752	0.00688428116907268	0.00885185824703704	0.00791590054219852	0.00746638667815318	0.0109692999126327	0.0231889694026676	0.00610840408620008	0.00887818904301117	0.00186097491398137	0.0127732147126	0.029086646412203	0.0034247569434878	0.00574550275324097	0.0131246688859489	0.0108168515792965	0.0229442179175581	0.00789991860216101	0.0110755542227602	0.0052684928139072
OM3_C_7B_1	0.0196200125777331	0.0166866103425195	0.00635641206524005	0.0159278467289223	0.00515270677904693	0	0.00917619277600339	0.014307063934722	0.017652170249594	0.00916068581334039	0.00988859270283734	0.0123071271518935	0.00691393018921086	0.00605099952551052	0.0244337838131026	0.0059761279635624	0.00572681028454691	0.00769066360290272	0.00248593928147934	0.0154099270777079	0.0181094367142388	0.0157948536745089	0.0125907543219268	0.00539705447116159	0.0644047298175046	0.0603357382636106	0.0407182732464859	0.00457845625556269	0.00918980876427587	0.00883950726035064	0.00648931107104	0.00583392145946849	0.00308747368312925	0.00611692828929992	0.0146020221559323	0.0187150733409753	0.00634023541373394	0.00429112978245513	0.0132674801805209	0.0116725696892335	0.0146091561059788	0.021127933130412	0.00817962451868059	0.0462946371906414	0.0349965214871006	0.0119617784361954	0.0124790200895072	0.0109447755007979	0.011406198074103	0.0134300066594551	0.0200823316799288	0.00968522575469711	0.00592897982617394	0.00508452410701628	0.011129876149277	0.0257771335872704	0.00674282629241203	0.0066828366642016	0.0112506374781773	0.00938372645052587	0.0194773514613543	0.0105883238622058	0.0133795659864579	0.00302225500232063
OM3_C_7B_2	0.0225225698431315	0.0196006326919537	0.0107713904628638	0.019570948558738	0.0099521737740064	0.00917619277600339	0	0.00694049786514108	0.0214073446983946	0.0106682274080515	0.00489981746411558	0.0168429609756238	0.00744280387419928	0.00352180093939853	0.0281883888443542	0.00950891556817378	0.0126684323672326	0.00838123939261244	0.00699398712198915	0.0127444531361294	0.0231510780937588	0.0158326149508505	0.0152717396069197	0.00441204858769027	0.0677246744053387	0.0642679217598992	0.044753680225823	0.00758688636836261	0.00565338980287016	0.0134714725514817	0.00544451662579688	0.0107679961079792	0.0094028204761535	0.00540464919194214	0.0131067454983901	0.0235309508333308	0.00731758309802141	0.00572384419151256	0.0168917513147484	0.0159395959183772	0.0147066055410786	0.0230655582850211	0.0146680592094207	0.050789028949406	0.0387729409709029	0.0132542199848379	0.0184275309112569	0.0083114652803159	0.0110388452938693	0.00759564004300351	0.0144482066401286	0.0159275095412029	0.00964409584615502	0.0112978268607608	0.0102909775977464	0.0201176140268482	0.0125427986327363	0.00921054207019906	0.00564826027359691	0.00693701037018395	0.0154821853026217	0.0178132069503394	0.0107818406021559	0.0094223612028029
OM3_C_7B_3	0.0262848908108889	0.0225460352910936	0.0155578154257579	0.0233219172452258	0.0154386703462684	0.014307063934722	0.00694049786514108	0	0.0258811823567106	0.0148859858405732	0.00550233109633946	0.0209089231974384	0.0123333936486006	0.008495599547646	0.0322630101823084	0.0149051972004602	0.0181344976231638	0.0132763610427602	0.0121888752260458	0.0085196634317359	0.0287276118027692	0.0189691268008289	0.0198485493459952	0.00905824819925685	0.0715666190858941	0.0680332759149886	0.0484266126025695	0.0141668842986711	0.00592287031286373	0.0191154394860602	0.00809079835556622	0.0162083239929056	0.014928322859949	0.00839721796006043	0.00986059323994222	0.0289730981899442	0.0106477037075708	0.0100675382120328	0.0221483493494248	0.020664810237715	0.0120935400015077	0.0266488321012889	0.0201559622767558	0.0552886730500386	0.0425646469750078	0.0179007301555263	0.0241701721645935	0.0113121254622796	0.0141359538245735	0.0118995692320938	0.0103749524277317	0.0207693160917686	0.0116934845940703	0.0163956299404618	0.0086602506646461	0.0163906163579347	0.0170912745098968	0.0121715221642064	0.00349277709945765	0.00658557415370955	0.0112143825627779	0.0229205595456191	0.0110940728551217	0.013429169032578
OM3_C_7C_1	0.00336951670039122	0.00651400070893724	0.0118373745746356	0.00397281774361154	0.0128879142140838	0.017652170249594	0.0214073446983946	0.0258811823567106	0	0.0110825650915092	0.0206325088999261	0.00637575119768254	0.0236104059900953	0.0197091812346985	0.0069521610641729	0.0126116797776643	0.012273744991762	0.0130850288454667	0.017416297944932	0.028975371222751	0.00634458910308676	0.00877657510480398	0.0061587737455136	0.0191722288192243	0.0469632417067453	0.0431159562241636	0.0235624349120695	0.0176296207463212	0.0236099373684707	0.0093913442329248	0.0205404212222683	0.0120531334306508	0.0199095522317336	0.02028339952208	0.0288477849788078	0.00569079831069039	0.016363358097338	0.0198474868493263	0.00535795023592406	0.00602685567268527	0.02833530483918	0.00535365045805724	0.0101899283220454	0.0295718766451171	0.0176236145699744	0.00843947493087427	0.0080934290637632	0.0148192856856713	0.0119832301320547	0.0181888484390104	0.0351346257130601	0.00864676813568383	0.0200886841142027	0.0126016574454415	0.0226049027252753	0.0412182632226941	0.011367135728551	0.0154241256171986	0.0244221460061025	0.0215177094878206	0.0347892925196739	0.00960520952809977	0.0165844372704941	0.016961600394634
OM3_C_7C_2	0.0120307868253918	0.00913266298137201	0.00341485754732195	0.00890679626349251	0.00472725047287128	0.00916068581334039	0.0106682274080515	0.0148859858405732	0.0110825650915092	0	0.00959242632398903	0.00651070525183792	0.0141255877006778	0.00897455607383212	0.0177336817355495	0.00371475603287457	0.00690377134234396	0.00249732388025783	0.00774241255468811	0.0184769704934381	0.0142054837668387	0.00666205898389439	0.00508712381327177	0.008504150098317	0.0576507185202947	0.0539091772325354	0.0342346538451496	0.00917089275151564	0.0127151411937246	0.00573828777579827	0.0098248213075614	0.00458550881749511	0.0116651304231967	0.009606587518076	0.0185400326027013	0.0143279353350534	0.00569737128399163	0.00959229600520763	0.00760067832398988	0.00587914999891869	0.0186062375598939	0.0129470227079682	0.007401668427659	0.0406379212756352	0.02831433799524	0.00387612987978382	0.0104277003580819	0.00459555556182123	0.0028803255429962	0.00953848004604712	0.024086420482391	0.00719093332881761	0.0105859763674857	0.00543474470913833	0.0125069931482437	0.0302019330833915	0.00496652137709178	0.00546783556973894	0.0133660762160003	0.0107461693954784	0.0239079578032776	0.00984547803379255	0.00744643625286796	0.00798249673358849
