	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_3
OM3_B_B_1	0	0.0111998288999206	0.0185822091801887	0.00556823031921174	0.00745605939008165	0.00568458865299178	0.0162016900373609	0.0128214365568489	0.00957934684821762	0.0121993713100602	0.0156397724291557	0.0178211305631769	0.0120092034931964	0.0119273022005222	0.00418152827771176	0.0149918913556341	0.0377859814905038	0.0377437266105926	0.0399375358122557	0.00245137006308841	0.000425461784182401	0.0124573493567615	0.0113589096810852	0.00799489288811772	0.00863389025048595	0.00593944512744242	0.00909753599500084	0.0125124048763747	0.0138093830504772	0.0191693102297795	0.00828837159920731	0.0105349378219461	0.0121244201489466	0.0242334000492395	0.00784662524619129	0.0174834382439187	0.0124085059057553	0.00253038483946048	0.0193274988694892	0.00865196362450002	0.0116894721744767	0.00607050962926491	0.00859791569856872	0.00640382577136962	0.00964951478917872	0.00116826893056176	0.00604612947560831	0.0147055765009854	0.0127745726432163	0.0262484920541357	0.0412413213916826	0.0186166125329518	0.0340582166502472	0.0138796777306264	0.0118343391831131	0.000887342004965624	0.0064870082893151	0.0132863805562266	0.00774410263927183	0.0196422286842248
OM3_B_B_2	0.0111998288999206	0	0.00738291462601232	0.00563172053878299	0.00374387809375359	0.0168840446307158	0.00500217669953241	0.00162168858384153	0.00162054245041602	0.000999589868939836	0.00444021390614732	0.00662176124542495	0.000809412422886804	0.000727507070035919	0.00701841474394616	0.00379228379481655	0.0265900775403399	0.0265478120099997	0.0287421928572217	0.00874854221833184	0.0116252714584772	0.00125758142908052	0.022557743357471	0.00320503569089862	0.00256602483910221	0.0171388785120605	0.00210236731666385	0.00131263989988792	0.00260969443299094	0.00797007644301321	0.00291155117907713	0.000664918334911472	0.000924634878978041	0.013034802418934	0.0190458735641102	0.0286813200495896	0.0236071971062402	0.0137300787177745	0.0305250370995998	0.00254795103727611	0.000489665550120476	0.00512944037754654	0.00260200023485762	0.00479612258728937	0.00155037231786135	0.0100316055299367	0.005153820617827	0.00350594831308573	0.00157482204375993	0.0150502034697267	0.0300463362414526	0.00741732146531591	0.0228614274319456	0.00267999362655538	0.000634539507382084	0.0103125224679629	0.00471293952326849	0.00208665956855259	0.0189433616232851	0.00844304580685646
OM3_B_B_3	0.0185822091801887	0.00738291462601232	0	0.0130144468389722	0.0111266856541723	0.0242659080575578	0.00238076857727744	0.0057612500750617	0.00900341956453011	0.00638334116855337	0.00294273434616706	0.000761166356574502	0.00657351588771071	0.00665542000894243	0.0144010697179702	0.00359066587027385	0.0192084830542918	0.0191662125126434	0.0213608658900331	0.0161310943893848	0.0190076187742097	0.00612535301051712	0.0299389262634262	0.0105878630924407	0.00994887383943252	0.024520714899669	0.00948523067708896	0.00607029522154382	0.00477325224068397	0.000587173867907155	0.0102943887606601	0.00804781920113304	0.00645829510593524	0.00565207768404547	0.0264274970797474	0.0360615840909226	0.0309882361259043	0.021112249327303	0.0379049870062844	0.0099308006180912	0.00689325775693044	0.0125121900818779	0.00998484807490802	0.0121788871089585	0.00893325133557263	0.017414071564767	0.012536569216015	0.00387700128791829	0.00580811611026457	0.00766758639462402	0.0226651831839759	3.44074976677445e-05	0.0154794267329688	0.00470295342607733	0.00674838613179517	0.017694968519563	0.0120957076539432	0.00529628348751305	0.0263249970544216	0.00106015423207087
OM3_C_7A_1	0.00556823031921174	0.00563172053878299	0.0130144468389722	0	0.00188785627808348	0.0112526954490384	0.0106337930166871	0.00725338608583891	0.00401119081374375	0.00663129742700696	0.0100718468275809	0.0122533227698031	0.00644112275232011	0.00635921854928768	0.00138671324637269	0.00942393432168579	0.0322201134565974	0.0321778528236794	0.0343719699974373	0.00311687501844327	0.0059936871774251	0.00688928500095662	0.0169267688215762	0.00242670007101791	0.00306571109826909	0.0115075434645113	0.00352936774717884	0.00694434258718516	0.00824137284484826	0.0136015844885361	0.00272018486190597	0.00496680866984275	0.00655634354629034	0.0186660456663759	0.0134146523272986	0.0230508907125453	0.0179763056251313	0.00809857557916525	0.0248948005503842	0.00308378488177157	0.0061213802193376	0.000502285203123749	0.0030297357350687	0.000835605794190155	0.00408136060838882	0.00439997131929324	0.00047790474086919	0.00913760609517882	0.00720652035618842	0.0206813132244011	0.0356759475835473	0.0130488522994943	0.0284918680668666	0.00831167053419245	0.00626625225996166	0.00468089633829682	0.00091878948947329	0.00771834856338501	0.0133121339077284	0.0140745333990844
OM3_C_7A_2	0.00745605939008165	0.00374387809375359	0.0111266856541723	0.00188785627808348	0	0.0131404548716958	0.00874599779336262	0.00536555534620247	0.00212334012248016	0.00474346178847805	0.00818404465828231	0.0103655498906076	0.00455328571768676	0.00447138092803493	0.00327456654755412	0.0075361246596282	0.0303329009371275	0.0302906385591272	0.0324848494865907	0.00500472107176948	0.00788151249951469	0.00500145133231571	0.0188144165754525	0.000538844650499062	0.00117785718857068	0.0133952987745806	0.00164151526916381	0.0050565093502715	0.00635355093103669	0.0117138328465233	0.00083233006870161	0.00307896242414507	0.0046685073518282	0.0167783952185494	0.0153023741655108	0.0249383707131247	0.019863928110762	0.00998637886887926	0.0267822204394932	0.00119593102265643	0.00423354094455136	0.0013855715314542	0.00114188172606571	0.00105225106039529	0.00219351020273656	0.00628780946512612	0.00140995197917907	0.00724979329788003	0.00531868922975828	0.018793712469118	0.033788885838366	0.0111610916613656	0.0266045107538255	0.00642384929727985	0.00437841398350803	0.00656873246511025	0.000969067372436793	0.00583052181746288	0.0151998576662146	0.0121867897744006
OM3_C_7A_3	0.00568458865299178	0.0168840446307158	0.0242659080575578	0.0112526954490384	0.0131404548716958	0	0.0218855791449897	0.0185055572372369	0.0152636471802327	0.0178835296819391	0.0213237031661523	0.023504892700705	0.0176933730821386	0.0176114765763679	0.00986603560660648	0.020675868539145	0.0434673220869012	0.0434250740113717	0.0456185204798113	0.00813591940464545	0.00525913127862447	0.0181414922832282	0.00567444801950303	0.0136792659092261	0.0143182351498145	0.000254859457466284	0.0147818594800292	0.0181965444725369	0.0194934407249419	0.0248529587393422	0.0139727319047844	0.0162191895204019	0.0178085829589011	0.0299165573428272	0.00216207002003114	0.0117992560136637	0.0067240816371778	0.00315421954213799	0.0136434297319152	0.0143363077049803	0.0173736603005139	0.0117549576019365	0.0142822622239415	0.0120882618087486	0.0153338116728278	0.00685284180413291	0.011730578304064	0.020389573681045	0.0184586962164236	0.0319314255548207	0.0469220813391519	0.0243003084965153	0.0397401300382064	0.0195637307749452	0.0175185189602568	0.00657191916443042	0.0121714412797412	0.0189704720658937	0.00205954541204232	0.025325835628135
OM3_C_7B_2	0.0162016900373609	0.00500217669953241	0.00238076857727744	0.0106337930166871	0.00874599779336262	0.0218855791449897	0	0.00338049766641572	0.00662270046153996	0.00400259380018917	0.000561967142546693	0.00161960324507289	0.00419277018819385	0.00427467504662121	0.0120204446501233	0.00120990090101298	0.0215889056001116	0.0215466364993814	0.0237412110817449	0.0137505096500959	0.01662711202564	0.00374460347405687	0.0275588402887843	0.00820716659705321	0.00756816772680205	0.0221403957621306	0.007104518009237	0.00368954523664819	0.0023924931457591	0.00296794099671106	0.00791368776439068	0.00566708847198686	0.00407754838815884	0.00803280848838258	0.0240472544852994	0.0336818197377012	0.0286082008917763	0.0187318082874888	0.0355253315651184	0.00755009424327621	0.00451251499834641	0.0101315266281273	0.00760414248576629	0.00979821749382857	0.00655253132746353	0.0150335199238191	0.0101559062201407	0.00149623752805993	0.00342736405898382	0.0100482908457819	0.0250454776938534	0.00241517600465628	0.0178599648193689	0.00232219391707989	0.00436764201972274	0.0153144244876976	0.00971503652980467	0.00291552773057074	0.0239447501930907	0.00344091977712694
OM3_C_7B_3	0.0128214365568489	0.00162168858384153	0.0057612500750617	0.00725338608583891	0.00536555534620247	0.0185055572372369	0.00338049766641572	0	0.00324222806962264	0.000622099065903547	0.00281853239011375	0.00500009136666686	0.000812276532021927	0.00089418188102922	0.00864006913616659	0.00217059985925829	0.0249687654222521	0.0249264986539324	0.0271209464864992	0.010370179658403	0.0132468732582098	0.000364107413003876	0.024179124909908	0.00482671554779367	0.00418770736040822	0.018760386007318	0.00372405148310561	0.000309048913276271	0.000988007304897938	0.00634841645027852	0.00453323231684817	0.00228660606077725	0.000697054068603914	0.0114131979722015	0.0206673404961758	0.0303025196278673	0.0252285504589841	0.0153516485471795	0.0321461736492686	0.00416963362728215	0.00113202334674286	0.00675110943088939	0.00422368261841885	0.00641779381061423	0.0031720581267938	0.0116532282235926	0.00677548950754639	0.00188426345951681	4.68665821639389e-05	0.0134286292278773	0.0284251323021824	0.00579565717070416	0.0212400139765888	0.00105830664410081	0.000987149430013344	0.0119341416859419	0.00633461126860503	0.000464971532499665	0.02056483083968	0.00682138976983684
OM3_C_7C_2	0.00957934684821762	0.00162054245041602	0.00900341956453011	0.00401119081374375	0.00212334012248016	0.0152636471802327	0.00662270046153996	0.00324222806962264	0	0.0026201308427825	0.00606074117656717	0.008242272899164	0.00242995376448831	0.00234804855739957	0.00539789363124453	0.00541281466747401	0.0282101952338973	0.0281679310176746	0.0303622409296229	0.00712803488376833	0.0100047944825109	0.00287812183883188	0.0209374665148163	0.00158449610212148	0.000945483755812166	0.0155184857039716	0.000481825436934483	0.00293318017940511	0.00423023065778387	0.00959057575343548	0.00129101084679117	0.000955624473709235	0.00254517600266605	0.0146552369683666	0.0174255178095531	0.0270612138917255	0.0219869465295159	0.0121096298445074	0.0289049905688345	0.000927409918494984	0.00211020741789987	0.00350890806683695	0.000981459223613076	0.00317558871744999	7.01701938905212e-05	0.00841111058670255	0.0035332884260703	0.00512648062654613	0.0031953616568434	0.016670604154547	0.0316663395378883	0.00903782608480622	0.0244816531881256	0.00430052957735372	0.00225508115106664	0.0086920304846442	0.00309240528380695	0.00370719765694807	0.017323003773107	0.0100635402999591
OM3_C_7C_3	0.0121993713100602	0.000999589868939836	0.00638334116855337	0.00663129742700696	0.00474346178847805	0.0178835296819391	0.00400259380018917	0.000622099065903547	0.0026201308427825	0	0.00344062935474348	0.00562218433923957	0.000190177499695128	0.000272082867807405	0.00801798505653355	0.00279269761182907	0.0255907254700595	0.0255484591675225	0.0277428817770965	0.00974810245615161	0.0126248103503179	0.000257991673041669	0.0235571488541182	0.00420462087437204	0.00356561152655023	0.0181383604678317	0.00310195491778864	0.000313050173836772	0.00161010602615177	0.00697050592225483	0.00391113708853782	0.00166450781895255	7.49550143246565e-05	0.0120352672318399	0.020045330929282	0.0296806147006088	0.0246065854474732	0.0147295983586752	0.0315242932978773	0.00354753776319686	0.000509924405679034	0.00612901931832779	0.00360158684523826	0.00579570279346843	0.00254996081199187	0.0110311569558205	0.00615339946302838	0.00250636150227782	0.000575232490057917	0.014050687336443	0.0290470515967769	0.00641774817331267	0.0218620120936647	0.00168040532467982	0.000365050442130773	0.0113120718122572	0.00571252003320832	0.0010870704888606	0.0199428203743434	0.00744347782671214
