	OM3_B_B_1	OM3_B_B_2	OM3_C_7A_1	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_3
OM3_B_B_1	0	0.032761931671329	0.00672926352487037	0.0378704755998984	0.035151176293128	0.0172952823122843	0.0146487658789246	0.0278451752080136	0.0194600316157432	0.0405150806971514	0.042593495445738	0.0301041048658462	0.00811902220828672	0.0367125473437553	0.0424595466979852	0.0455857928719742	0.0301568353714267	0.027587670809576	0.0424086258566009	0.0389186312085201	0.0352413024008618	0.042684700589132	0.0386351349949382	0.0391239652303116	0.031859774255179	0.0404082863450727	0.030824777205283	0.0160400219443826	0.0332759924666225	0.0343597974766764	0.0457133551007189	0.0428922076780709	0.0278016964733723	0.0404226626381901	0.0343259265695875	0.0433489729038102	0.0361752531191911	0.0309868253550691	0.0141176454627471	0.0187830917750681	0.0146655690236444	0.0217687971431597	0.0247103051187707	0.0129713249893256	0.0235488954399078	0.0388438276376843	0.0385005144478681	0.0314561205875099	0.0239200710824259	0.00737810766554331	0.0246293894738313	0.0340455523237276	0.0377919657849318
OM3_B_B_2	0.032761931671329	0	0.0316737295034048	0.0696853958902318	0.0647987207772141	0.0320846102701495	0.0232835495983458	0.0561673419663281	0.0520246645876218	0.0730469883868526	0.0741105408021699	0.0583900703684596	0.0339428513554074	0.0693517068102254	0.0750720110799507	0.0714203657247715	0.0456909765272417	0.0592463496007248	0.0731256483559356	0.0712564701980607	0.0671606441230774	0.0723695573649333	0.0712279780180791	0.0669795530222937	0.0606570537665172	0.0726094455107909	0.00362858088355171	0.0345820763151839	0.0660039408325178	0.0661548117358182	0.0775945648163876	0.0752998736389695	0.0603642121201422	0.0731452719785504	0.0662347885941551	0.0734398873338269	0.0678841636982328	0.0627737223969362	0.0458395067945695	0.0491944262976859	0.0236923166113405	0.048575589800724	0.0502530493434745	0.0452953700554191	0.0561783160006186	0.0676021271235194	0.0711816517306255	0.0641471034104271	0.0525785843533418	0.0295384487424952	0.0572932418935208	0.0642021678678566	0.0702288647715655
OM3_C_7A_1	0.00672926352487037	0.0316737295034048	0	0.038074159467585	0.0335064973305913	0.0232389693777073	0.0100005614975327	0.0338065716865379	0.0231340826130669	0.0436362998560699	0.0468497954245109	0.027561810739696	0.0147416732515259	0.0396263639850573	0.0440053462162564	0.0422006958729964	0.0238613423767655	0.0276273061238667	0.0415810628630423	0.0398587574900705	0.0355771351357046	0.0411339357300333	0.0401372993137445	0.036514300632887	0.0296426770740347	0.0411203553916139	0.0304296135985144	0.00941845178714454	0.0354577176507737	0.0345443713405708	0.04961649922517	0.0439471368859228	0.0311490623534376	0.042777215631526	0.034650681824654	0.0420696134498185	0.036257633138976	0.0311692104072381	0.0192450039804177	0.0175488194980792	0.00983541252989612	0.0281965993016621	0.0312264713103622	0.0143704639024125	0.0253430059313567	0.0444384013086223	0.0412160305076758	0.0342914835310647	0.0299130616373368	0.00214737014246271	0.0265302205029262	0.0327425960048759	0.0389243562897029
OM3_C_7A_3	0.0378704755998984	0.0696853958902318	0.038074159467585	0	0.0106300367677279	0.0500455320813702	0.047367784212159	0.0352419140577234	0.0227491480832677	0.0183926634114386	0.0273580050030609	0.0165137786134439	0.0409991953798456	0.0157893102022355	0.00971768952907648	0.0232480826180419	0.0387571932260681	0.0104553219111151	0.00734200987019301	0.00448241782345703	0.00267431697325609	0.0111837129878871	0.00766111061745234	0.016123410672582	0.0144028654487416	0.00409278848350589	0.0682299640053361	0.0381557318708021	0.0113887825668346	0.00353883760260358	0.0265405464875547	0.00752171947083556	0.0183481948854793	0.0134568532286057	0.00356109935141608	0.0101009513253316	0.00188668590703032	0.00693159940820962	0.0295803846626486	0.0207517174974233	0.0470623167328939	0.0380264457591252	0.0403454724773659	0.0249071269014172	0.015437378245575	0.0366050039139055	0.0150175684683197	0.0150980037049366	0.0343514855931599	0.0402187397372588	0.0147916257605437	0.00923136487686319	0.00531082477129335
OM3_C_7B_2	0.035151176293128	0.0647987207772141	0.0335064973305913	0.0106300367677279	0	0.049958139755696	0.041694915898938	0.0404145719482367	0.0253286689119024	0.0282126510818687	0.0367291414713029	0.00707306084636908	0.0401838460101277	0.0249574899357635	0.0203461869133509	0.0144875973845185	0.029079020856962	0.0102976816927103	0.00901558849640766	0.0150371079465595	0.0103728264646194	0.00763248505745085	0.0179399668385257	0.00648073133360163	0.00461032712579925	0.0146443204918623	0.0638327839338825	0.0312178006932353	0.0195571342823933	0.00941011820227145	0.0364970442448311	0.0179994094097306	0.0243210414463612	0.0236609286688535	0.0101259776626174	0.00868104022955497	0.00931124419765115	0.00950604781774516	0.0308834530070975	0.0163836801004761	0.0413249713762218	0.0413166418835801	0.044118440613527	0.0230884624790759	0.017841596908461	0.0442004241811978	0.0246983053303419	0.0225206814336615	0.0385790107337486	0.0355574618792366	0.0179324294265134	0.00199773437432213	0.0155312933334524
OM3_C_7C_1	0.0172952823122843	0.0320846102701495	0.0232389693777073	0.0500455320813702	0.049958139755696	0	0.0264284548771238	0.0253676144840964	0.0276990425244851	0.0465345109295904	0.045097883721156	0.0459962316152011	0.00997622117892305	0.0436458137774031	0.0519148496903222	0.0618312684077257	0.047087441103544	0.0408152463004118	0.0558748873766372	0.0497811198710961	0.0473903638241188	0.0570905652027511	0.0484683695043708	0.0547981213226672	0.0473935813149809	0.0515711543673796	0.0288112576290933	0.0325445025843179	0.042253466523657	0.0468083181449993	0.049052637673879	0.0532724753311715	0.0349102036571845	0.0483098104586929	0.0465613122815665	0.0573870385626225	0.0486510166406683	0.0437068239067214	0.0206081259880234	0.0342784449806616	0.0267218897852506	0.0177040172029487	0.0186753021026502	0.0269290274413688	0.034621550251921	0.0364590026325173	0.0457265872979572	0.0392217661438274	0.0223360533008285	0.022788249203118	0.0353353503079113	0.0485128253613033	0.0483918094290907
OM3_C_7C_2	0.0146487658789246	0.0232835495983458	0.0100005614975327	0.047367784212159	0.041694915898938	0.0264284548771238	0	0.0424465810571931	0.0330371893300056	0.0536263829165422	0.0566717099319814	0.0351628943126092	0.0208480610650862	0.0496177407832781	0.0537743266151865	0.04832913610358	0.024608354840915	0.0370017577786774	0.0502188489786673	0.0494530233317923	0.0449629875392568	0.0492278031657454	0.0499129597286818	0.0437219963671403	0.0374630457081904	0.050614429322048	0.0228273586970964	0.0114796363637062	0.045396205065586	0.04387332468806	0.0595285667571398	0.0535557087433902	0.0411219711114651	0.0527208741335354	0.0440430234995371	0.0503661989312542	0.0455138025830456	0.0405462347758737	0.0285867461867938	0.0266288631137337	0.00046551737066889	0.0360622390827324	0.038815041261626	0.0243433625590629	0.0352693666031197	0.0534779921722496	0.0511979980881178	0.0442847681401474	0.038522885227748	0.00804900838071672	0.036465239804341	0.041213878424571	0.0485937036403533
OM3_C_7C_3	0.0278451752080136	0.0561673419663281	0.0338065716865379	0.0352419140577234	0.0404145719482367	0.0253676144840964	0.0424465810571931	0	0.0160604348530202	0.0242401474858153	0.0203554762119527	0.0401458430324466	0.0227678569856515	0.0227837934438986	0.0327430537894903	0.0547559370875527	0.0527934940910203	0.0301953545562266	0.0424581502878748	0.0329229134590052	0.0330764182394258	0.0454623024090954	0.0303575124411625	0.0467310736899281	0.0402167402640821	0.0348626553097067	0.0532313108282232	0.0416104527459659	0.0243135509882356	0.0331440345035547	0.02452484297141	0.0351551469600225	0.016900451286468	0.0277471763276816	0.0325801419541923	0.0449177790422048	0.0346405872024233	0.0312946752580641	0.0150514693912271	0.0308337680789811	0.0424860350301565	0.0077042623908413	0.00730073870446806	0.0245095772911911	0.0227204726274715	0.0114807996651157	0.0248212090738015	0.0204979935056977	0.00392702689072887	0.0350478325812177	0.0225007493722136	0.0384677630861608	0.0313975890957172
OM3_C_7G_1	0.0194600316157432	0.0520246645876218	0.0231340826130669	0.0227491480832677	0.0253286689119024	0.0276990425244851	0.0330371893300056	0.0160604348530202	0	0.0210765676987919	0.0237588106665189	0.0242188089123772	0.0195538365687732	0.0173631440578207	0.0243945552243914	0.039312532299822	0.0377943360123609	0.0150742777117694	0.029236046949369	0.0221109699195334	0.0201660531202163	0.0313695836719432	0.0208313119299806	0.0313754148288291	0.0244969592539973	0.0239289830722018	0.0498379760597785	0.0286637358092237	0.0147460627152516	0.0197911497217504	0.0265142179143652	0.0255990353158801	0.00835638757426764	0.021430017223231	0.0194200247708918	0.031228745983829	0.0215697666539208	0.0170997995057268	0.00712030281705425	0.0149625498401453	0.0329162089899153	0.0160041763442768	0.0188152668778468	0.00994566832514149	0.00767015611095876	0.0236495809557041	0.0192478509542935	0.0122438874222464	0.0135130413277209	0.024992322208982	0.00802318967666814	0.0234932141182291	0.0207073150098023
OM3_C_7G_2	0.0405150806971514	0.0730469883868526	0.0436362998560699	0.0183926634114386	0.0282126510818687	0.0465345109295904	0.0536263829165422	0.0242401474858153	0.0210765676987919	0	0.0091652767941027	0.0322325822216921	0.0399499197296244	0.00415750281430482	0.0107244113713378	0.0416266398810664	0.0526644567646459	0.0216870472550856	0.0250852338231154	0.0141283291234158	0.0178700968169766	0.0294025155660482	0.0107896299470154	0.0342888025771387	0.030802476445639	0.0155566591608626	0.0707929107669245	0.0474308187552558	0.00966216107480923	0.0188079218964907	0.00829531734310213	0.0138978679624934	0.0127221369234383	0.00524382021319993	0.0180955716216614	0.0280429543651397	0.019119147158437	0.0197133956088119	0.0274359863250882	0.0301191779708083	0.0534576667950439	0.0301567432830062	0.0311812270639313	0.0293927958025854	0.0189830680954904	0.0206830357864709	0.00353188806063705	0.00940536717173922	0.0254105610878409	0.0456246013327928	0.0177789132252676	0.0263957401630666	0.0130827068064215
