	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.00509504076255164	0.00969603994317977	0.0138756366863209	0.0130999000613684	0.0123804277901807	0.0602262744482105	0.0200133019917879	0.00822933920090538	0.0195595298036849	0.0210537210189416	0.0921314729341885	0.104747771181585	0.104580546885238	0.0146373692482987	0.00670110031426968	0.00947086603620274	0.0492251461015525	0.0131624744317635	0.00974402916876523	0.013880031477532	0.0101497384169603	0.0157887046815103	0.00292574696264069	0.0174240969314604	0.0141870914617954	0.00718179704786686	0.0110251432418002	0.0253848641748102	0.0233437238162523	0.00771425182775989	0.00722671598216948	0.0160931004323202	0.00819639024162492	0.00747972720422975	0.0119705048574992	0.0111756932262201	0.0117929056982555	0.0128959870958431	0.00498241696596626	0.0095849085145416	0.0101032350789393	0.0108636103993195	0.00899361797699945	0.0166214032422758	0.0139304998553569	0.0275029699149115	0.0139376123407888	0.0112428186132661	0.0487847787802206	0.0250359093696293	0.0630684276036042	0.00991895108098982	0.0145330139076352	0.0356155516263868	0.0107878855196329	0.0293895721206412	0.0172676200940248	0.0153963745462109	0.043624175552716	0.0117087732935359	0.00533095779883906	0.00853239981249783	0.00591592714443315	0.0335197785134595	0.0164665043494162
OM3_B_B_2	0.00509504076255164	0	0.00918380553393493	0.0140277217384361	0.0120075835062624	0.00926443541234879	0.0589532460324282	0.0198130572408222	0.00915690190957874	0.0195605555951447	0.0210669921786454	0.0923677316423902	0.105055900601165	0.104969080898211	0.0150258888325457	0.00634776926085431	0.00840499556961348	0.0481251520258826	0.0117441960320965	0.00748306895140565	0.0106438054672352	0.00770689635581639	0.0141836290500722	0.00546076977340961	0.016136383631235	0.0136328492788343	0.00397626017485824	0.0107996984594472	0.0240035402911483	0.0224084505860249	0.00536144672782346	0.00707338416201833	0.0141754190833502	0.00772169781820171	0.0060306601020608	0.01182568295172	0.00871856981513519	0.0111733830498664	0.0106382729718088	0.00373281791159948	0.00812266264779369	0.00665121631100349	0.00941869103141266	0.00824253126609991	0.0152855630918647	0.0135575137939672	0.0269172953428307	0.0154753404029806	0.010811292873828	0.0479073534261569	0.0236603114725766	0.0622927446199963	0.00987501671955689	0.0137782140894027	0.0348341051727018	0.0107926605651704	0.0287751195495618	0.0155999278352754	0.0135327868413559	0.0429424273134426	0.00909245309870365	0.00209080345311085	0.00870186573123116	0.0074654483817879	0.0314330192977744	0.0146854223614341
OM3_B_B_3	0.00969603994317977	0.00918380553393493	0	0.0209542359397609	0.0038646132237355	0.0081706972268631	0.0526474468305969	0.011219242392136	0.0104543636743867	0.0112668755745612	0.0134884848195903	0.0845741135886117	0.0973815722602016	0.097182949606643	0.00861949755413022	0.00914675097437602	0.00214238118163953	0.0417321046917999	0.00708421928882343	0.00332408873818939	0.00689654581577407	0.00728893762097518	0.008538706277944	0.00814201463479449	0.0101984268406671	0.00471412612884562	0.00665087007276901	0.0160145889774008	0.0185681162241193	0.0157490563989827	0.00457966106307304	0.00337145050422993	0.00936557652736479	0.00334290388539338	0.0050568866767163	0.00274554147101578	0.00462557324567502	0.00215338597058302	0.00613411169768546	0.00963125569917809	0.00477494221919646	0.00628412857661466	0.00559341828488709	0.000987845890026032	0.00984631769626729	0.00644160273433763	0.0352824231746466	0.00720580625233879	0.00742115201050988	0.0417300206112528	0.0181837470492019	0.0560885075879842	0.00927852053223224	0.00644242330373622	0.0419945292845907	0.0195480731872059	0.0350967567985117	0.00803912027894711	0.00776926482402035	0.0368250953917303	0.00559719959194199	0.0094741704873386	0.00282232286897657	0.00526112895884934	0.0247057144446113	0.00846431230885448
OM3_C_7A_1	0.0138756366863209	0.0140277217384361	0.0209542359397609	0	0.0245335926000047	0.0230771860853904	0.0727866182630521	0.0321389074224311	0.0120718588827492	0.0321062331832346	0.0340668791868784	0.105262788904285	0.117976420413513	0.117762182539131	0.0280189481872181	0.0120324056910956	0.0212200207780343	0.0619501412119032	0.0255453147078157	0.0199507022309144	0.0222360112112683	0.0160502446141147	0.0278786573161545	0.0137009823481445	0.0298502819344682	0.0244906500411745	0.0178983515873113	0.00589530579515157	0.0379394186893342	0.0360288200803444	0.0172499443712744	0.0176624375824707	0.0280090970822464	0.0179453766782776	0.0162042014201865	0.0228304367083708	0.0196882452324506	0.0230020341045033	0.0242304337088078	0.0115517733892041	0.0217906600025681	0.0200895125746972	0.0231782571552405	0.0203125569140391	0.0290889313490843	0.0266688539093011	0.0153165862012384	0.0257071379635892	0.0244196180969364	0.0617845902979365	0.0375872519938958	0.0761647588565431	0.0142512846991017	0.0227406294731152	0.0218636103462094	0.0105832918926712	0.0156507124822409	0.0282134575862343	0.0270838833576992	0.056791375610048	0.0226036094988095	0.0125011765330329	0.0211660177857683	0.0166688209779579	0.0444607821052151	0.0281399745151578
OM3_C_7A_2	0.0130999000613684	0.0120075835062624	0.0038646132237355	0.0245335926000047	0	0.00742287110201274	0.0489010809465468	0.00806823232574899	0.0141752686744171	0.00823398929478012	0.0104179829555485	0.0812804058245982	0.094111987632537	0.093952681466448	0.00683539934181343	0.0127779475246582	0.00374199432607007	0.0380319872142741	0.00510756962264286	0.00500577731375513	0.00641544700130232	0.00993803298054384	0.00538600508169295	0.011880808512499	0.00689242923595494	0.00395023075118097	0.00861171912979777	0.0195784693972766	0.0150797512896277	0.0121806895124846	0.00745755271349595	0.00718058789820583	0.00642626733658224	0.00699130522781444	0.00844557281266295	0.00371132695128146	0.00615978063109271	0.00218184978474277	0.00428512374179298	0.0130922536148291	0.0051918627373216	0.00702215848446813	0.00501336323430301	0.00434562662773899	0.0068024673795488	0.00395619012343895	0.0385454641261439	0.00754756862258215	0.00688223569051724	0.0381319326758065	0.0146927514919635	0.0525029764954327	0.0126799990992245	0.00723224364636793	0.0452844376834128	0.0225331069189682	0.0384488468359306	0.00429834585718877	0.00454722665186874	0.033324540614018	0.0048370029876577	0.0126173201768931	0.00493380767317369	0.00910283563131983	0.0208644885581009	0.00491777207231522
OM3_C_7A_3	0.0123804277901807	0.00926443541234879	0.0081706972268631	0.0230771860853904	0.00742287110201274	0	0.050029113592122	0.013944310578867	0.0158982961343556	0.0136670212285696	0.0145395730339005	0.0846568960878519	0.09735365546716	0.0973755067129486	0.0100604502908176	0.0133694460708333	0.00617644535593287	0.0393471372394973	0.0047082126822648	0.00599190985827478	0.00684113245066431	0.0108911144196205	0.00625438594989281	0.0123876818403744	0.00821717856323825	0.0109594149000355	0.00548432866537585	0.0192155118138743	0.0153222859441078	0.0143478535571706	0.00761384940025608	0.00964939420584298	0.00567022089593045	0.00988694773133035	0.00966687981106026	0.0101617744489923	0.00803662039842777	0.008517031165044	0.00331626923944661	0.0121405169308923	0.00430568620977075	0.00344145994954546	0.00402016256340147	0.00754321961599383	0.00735389398601279	0.00809298632507523	0.0352504558250184	0.0141081204274191	0.00619129898452937	0.0392809649004254	0.0149945590334675	0.0536745401565246	0.0150896790900479	0.0129892946814516	0.0430329303513213	0.0188111288757335	0.0370366215657309	0.00899102506224831	0.00567773460736875	0.0345187836880972	0.00281592452261165	0.010716523578427	0.0076735544559132	0.0115803952032436	0.0227592006268486	0.0068305301395755
OM3_C_7B_1	0.0602262744482105	0.0589532460324282	0.0526474468305969	0.0727866182630521	0.0489010809465468	0.050029113592122	0	0.0426077523670696	0.0630326881174501	0.0424522481976349	0.040211673983455	0.0407347545031506	0.0524188988994131	0.0531553686567997	0.0460647941342857	0.0615738198288331	0.0518790390960659	0.0111032486809885	0.047372871306857	0.0531156355148719	0.0517264957787415	0.0581062107340807	0.0449657372114664	0.060074093080356	0.0430533861610269	0.0504242232766157	0.0550007921816111	0.0682451851871435	0.0350298364208666	0.0370728544612208	0.0557760941757272	0.0559861737353183	0.0448292872780018	0.0558811297649294	0.0571942958316173	0.0516484532088372	0.0540633582499243	0.0508171000984384	0.048611028022419	0.0613306505106486	0.0511314681738769	0.0528576759151802	0.0497516510050372	0.0530447641869973	0.0438190710763693	0.0467445332718899	0.0850017425305414	0.0508697142330597	0.0490634691088747	0.0123189156288239	0.0353656510654442	0.00792002156481142	0.0613559589364953	0.0535164867875862	0.0926451130083787	0.0677155205272164	0.0864229744211425	0.045413190072048	0.0457806200754919	0.0177168868023269	0.0502619732590128	0.0603175831195396	0.052334356140986	0.0575694705431458	0.0303575040463187	0.0447815584904581
OM3_C_7B_2	0.0200133019917879	0.0198130572408222	0.011219242392136	0.0321389074224311	0.00806823232574899	0.013944310578867	0.0426077523670696	0	0.0210397251682938	0.00169633869359427	0.00450242289220616	0.0734853713192186	0.0863486288116112	0.0861320165241821	0.00747754567135536	0.0202396305548288	0.0114248900090722	0.0317269451364226	0.00992855392585673	0.0130721723691113	0.0134418515982822	0.0175449389922648	0.00825029385053346	0.0189339056841213	0.00738582885457831	0.00845397750467202	0.0163310590760637	0.0270691957385578	0.0117615215482978	0.00759372513656351	0.015439646536966	0.0144816756317876	0.00946497130857659	0.0142838509730996	0.0161453022860194	0.0095038925803824	0.0138414822949699	0.00921498081558995	0.0107588855839028	0.0208256149959222	0.0122125100424841	0.014753137383009	0.0113966342215387	0.0119496614498894	0.00826517631820044	0.00686916563924065	0.0464330810272509	0.00866886143227104	0.0115428933509064	0.0318739507558237	0.0114215614083815	0.0459915610258745	0.0194353759738764	0.0119769256698638	0.0530682401654528	0.0299349063972646	0.0460267183318463	0.00644036431374688	0.00849886205581536	0.0271461706887298	0.0121170708334153	0.0205046278359062	0.0115616368622274	0.0157837974569757	0.0161790121068055	0.00762218248279437
OM3_C_7B_3	0.00822933920090538	0.00915690190957874	0.0104543636743867	0.0120718588827492	0.0141752686744171	0.0158982961343556	0.0630326881174501	0.0210397251682938	0	0.0212194730300121	0.0236122421166245	0.0941468567790354	0.106952144269177	0.106646643865709	0.0183248186853424	0.00298315962545682	0.0115977964431567	0.052142671986199	0.0168201781160805	0.0106783636910921	0.0134316280460404	0.00694659640968835	0.0187227946696703	0.00560136230795651	0.0205336982537	0.0131133838003988	0.0110974638201296	0.00669909584621988	0.028930919967137	0.0261970187910023	0.00836008748967059	0.00721952267775551	0.0192979641975014	0.00719791798743605	0.00641991775050163	0.0115745090298846	0.0100319677689057	0.0122374451631394	0.015504615843017	0.00566347754814409	0.013299771605226	0.0126089408057618	0.0146635312622388	0.0101865363437448	0.0200477161763209	0.0167251145321223	0.0273100890803336	0.0142848443832716	0.0161775663442334	0.0521512204474165	0.0285501414645629	0.0664783371885962	0.00290547629399917	0.0112172514987475	0.0328429461844809	0.0154350658780471	0.0255650880393128	0.0179201877341727	0.0178552442825577	0.0472181237540987	0.0141635859781127	0.00740219005244278	0.0114662580477347	0.00615401047621274	0.0345167280230985	0.0186699720851656
OM3_C_7C_2	0.0195595298036849	0.0195605555951447	0.0112668755745612	0.0321062331832346	0.00823398929478012	0.0136670212285696	0.0424522481976349	0.00169633869359427	0.0212194730300121	0	0.00311937453371967	0.0733479199526275	0.0861624571658445	0.0859661745383279	0.00622325807469856	0.0203483472141839	0.0112803782243554	0.0314833161337137	0.00934729959214887	0.0131841940044059	0.0139655285785467	0.0179551320250208	0.00783821875076616	0.0187036598961975	0.00674233797056753	0.00914511580616487	0.0160556591648323	0.0272130892851123	0.0110798689967005	0.00693580643277181	0.0155033462007712	0.0145165620964131	0.0090391831167315	0.0144453856697123	0.0162930470385915	0.00981876519408182	0.0142643801969149	0.0094156534921525	0.0106049723370053	0.0207469427962178	0.0117990219128674	0.0146744454690537	0.0109046635932875	0.0119334085563943	0.00756048729152585	0.00621338511706133	0.0462895551624422	0.00857261718436007	0.0106465013464776	0.0314551665210828	0.0107404550214802	0.0456036650634689	0.0198155009816998	0.012855380745749	0.0532446101408136	0.0294184147293701	0.0462956797670259	0.00711974700949204	0.0083338109942136	0.0265860824456089	0.0120255540390746	0.0203835490177072	0.0111885844211273	0.0156904493650537	0.0167747106714523	0.00755111967235188
