	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_1	OM3_C_8F_2	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.00158829085756186	0.00322070419259205	0.0246774015471091	0.00457655666153591	0.000387789105672767	0.030096161127909	0.034896109333555	0.00546804200543408	0.0707970093772934	0.0227929991354542	0.0148867269523084	0.0378709530123617	0.0405794770832227	0.0314715876879468	0.0130187215368468	0.00913036918687295	0.00557562218159758	0.0208664704180122	0.00059268600719531	0.00154246964355116	0.0299886287193985	0.00391742517121143	0.0275485796760861	0.0137889436888026	0.0295256587905739	0.0185267474183851	0.0242537989855747	0.0377630226630439	0.033344121859494	0.0138730531481339	0.0227064516251777	0.0560664441436669	0.0025489905423272	0.0475446103196598	0.0139823678564101	0.000796247065467379	0.0196956535468953	0.0117863937959583	0.0180374578782128	0.0375518148426832	0.0525475433066162	0.020591402873305	0.0313499628928687	0.0268533196735838	0.0472645002156987	0.0456222070739614	0.0369631168723444	0.035343344208245	0.036773849173089	0.0180543094941065	0.0332328651867003	0.0164670401075262	0.0297969143715537	0.0162130773076873
OM3_B_B_2	0.00158829085756186	0	0.0016324164788596	0.0262653112001194	0.00616483072936851	0.00120050202988978	0.0316838928475797	0.0364836556099137	0.00705630991430006	0.0723823560471725	0.0243809628106588	0.0164748727543866	0.039458371316557	0.0421667702339203	0.0330592689324818	0.0146068998004248	0.0107186019656859	0.00716388928376307	0.0224544851127945	0.0021809760936941	0.00313075762198727	0.0315763642948823	0.00232913977197368	0.02913639921455	0.0153771090596242	0.0279378697727455	0.0201148183325769	0.0258417211366914	0.0393504457840472	0.0349317309441672	0.0154612170692267	0.0242944176838048	0.057652864975607	0.00413727511635666	0.049131544029828	0.0155705298810229	0.00238453679046905	0.0212836971629858	0.0133745912493725	0.0196255397508092	0.0391392473518289	0.0541341856258518	0.0221794245045881	0.0329376486871504	0.0284411618962309	0.0488514494219984	0.0472092453832351	0.038550575284624	0.0369308718812313	0.0383613158305809	0.0196423909938835	0.0348204786694855	0.0180551552820839	0.0313846567888326	0.0178011975995291
OM3_B_B_3	0.00322070419259205	0.0016324164788596	0	0.0278972839544199	0.00779721775032107	0.0028329164180693	0.0333156720441896	0.0381152347647039	0.0086886888409961	0.0740116044663791	0.0260129948060045	0.0181071075527047	0.0410898130970852	0.043798078066296	0.0346909935432406	0.0162391716550338	0.0123509375402115	0.008796267168429	0.0240865733480109	0.00381338746304143	0.00476316494487568	0.0332081476662191	0.000696724292967263	0.0307682736892738	0.0170093661404781	0.0263059138515268	0.0217469689697327	0.0274737075719538	0.0409818927272223	0.0365633777049511	0.0170934724937804	0.0259264522995893	0.0592832459705686	0.00576967694811196	0.0507624687885065	0.0172027831402991	0.00401694738546592	0.0229158174349158	0.0150068852637431	0.0212577026173741	0.0407707043588858	0.0557648011225399	0.0238115204121062	0.0345693782135053	0.0300730610558757	0.050482390655343	0.0488402814095028	0.0401820600711111	0.038562431036408	0.0399928094632772	0.0212745534439813	0.0364521301694715	0.0196873554786793	0.0330164475696615	0.0194334035574578
OM3_C_7A_1	0.0246774015471091	0.0262653112001194	0.0278972839544199	0	0.0201016826657675	0.0250651018925263	0.00542022561859303	0.0102219060945811	0.0192103156638232	0.0461484497816894	0.00188478989787372	0.00979199476268063	0.0131980266972553	0.0159078481138984	0.00679610704220745	0.0116600561247183	0.0155483219669603	0.0191027487827476	0.00381164921830478	0.0240848458216588	0.0231352574228409	0.00531265905699049	0.0285938017987399	0.0028718900420071	0.0108898185533633	0.0541881953061935	0.00615168435007985	0.000423695181772594	0.0130900473083942	0.00866931412067517	0.0108057067598473	0.00197135368319657	0.0314046798391203	0.0221289252521498	0.0228769043838193	0.0106963888266322	0.023881328010767	0.00498263455554489	0.0128923861768175	0.00664102674137261	0.012878744113062	0.0278831738661088	0.00408675854913857	0.00667444067867155	0.00217644421019066	0.0225966202598956	0.0209533341831556	0.0122897844282475	0.0106693230250409	0.0121004338770661	0.00662417337677625	0.00855801574099174	0.00821158504956489	0.00512088432637215	0.00846556640461586
OM3_C_7A_2	0.00457655666153591	0.00616483072936851	0.00779721775032107	0.0201016826657675	0	0.00496434246847528	0.0255208978637508	0.0303213299171968	0.000891493667326523	0.0662281935078423	0.0182171444621728	0.0103104309365838	0.0332965110831899	0.0360053673460036	0.0268964553878138	0.00844235171577687	0.00455388336679038	0.000999075030852393	0.0162904890570408	0.00398387469770906	0.00303409502770346	0.0254133554770247	0.00849392469543487	0.0229730901964791	0.00921260288150769	0.0341004578377146	0.0139506287554963	0.019678048557556	0.0331885679879984	0.028769177783743	0.00929671562975542	0.018130590996989	0.0514946859914655	0.00202757495917772	0.0429714633158271	0.00940603464799475	0.00378031475006974	0.0151196012051534	0.00720998169923805	0.0134613128040724	0.0329773353344871	0.0479751836487562	0.0160154044274555	0.0267748187628441	0.0222777721558995	0.0426913114912876	0.0410487787939607	0.0323885689094966	0.0307686136952703	0.0321992794404782	0.0134781653163361	0.0286579096082069	0.0118908156552441	0.0252216234333614	0.0116368407918072
OM3_C_7A_3	0.000387789105672767	0.00120050202988978	0.0028329164180693	0.0250651018925263	0.00496434246847528	0	0.0304838189744037	0.0352837227384333	0.00585582646458411	0.0711840919299162	0.0231807123419315	0.0152744832453385	0.0382585356892088	0.0409670296734513	0.0318592334501683	0.0134064854290315	0.00951814570938981	0.00596340646258636	0.0212541957449484	0.000980475028253379	0.00193025831599172	0.0303762874885832	0.00352963808371635	0.0279362585201555	0.0141767045677728	0.0291379973701049	0.0189144860630582	0.0246415023085801	0.0381506064971908	0.0337317503293966	0.0142608136878526	0.0230941653984735	0.0564537864311507	0.00293677855972005	0.0479320763575618	0.0143701279522001	0.0011840360337586	0.0200833857307169	0.0121741621580072	0.0184251991129749	0.0379394009323011	0.0529349390645169	0.0209791298458056	0.0317376097447614	0.0272410039349292	0.0476519699885912	0.0460096983175141	0.0373507091840588	0.0357309531487795	0.0371614434650267	0.0184420506407847	0.0336204947110695	0.0168547891988151	0.0301845747778117	0.0166008276040132
OM3_C_7B_1	0.030096161127909	0.0316838928475797	0.0333156720441896	0.00542022561859303	0.0255208978637508	0.0304838189744037	0	0.00480177586289068	0.0246296097859524	0.0407318299536673	0.00730498862306382	0.0152119284076041	0.00777800033519102	0.0104879459940804	0.00137589962108722	0.0170798910430374	0.0209679068515536	0.0245220522130025	0.00923180604639202	0.0295036691791181	0.0285541800173584	0.000107567674321635	0.0340121039735075	0.00254834984268773	0.0163096958574128	0.0596019463494501	0.0115717706619689	0.00584391596700513	0.00767001658080129	0.00324914327717842	0.0162255885497784	0.0073915508388547	0.0259860274620924	0.0275479490313301	0.0174574510703475	0.0161162764047595	0.0293001729444219	0.0104027587922103	0.0183121483735901	0.0120610955784613	0.00745870497255336	0.0224641572898671	0.00950690820512878	0.00125423135221945	0.0032437951743744	0.0171771453145894	0.0155337384404714	0.00686972274648865	0.00524920622597078	0.00668036523228178	0.012044242831431	0.00313784234442121	0.0136315914119928	0.000299344277568773	0.0138855617478861
OM3_C_7B_2	0.034896109333555	0.0364836556099137	0.0381152347647039	0.0102219060945811	0.0303213299171968	0.0352837227384333	0.00480177586289068	0	0.0294301273963373	0.035932533507627	0.0121066121102325	0.020013177991622	0.00297626412236377	0.00568627217493077	0.00342588433509763	0.0218810203315927	0.0257687463288997	0.0293225799568316	0.0140333585174585	0.0343036842666052	0.0333542996604051	0.00490934263008066	0.0388115783935656	0.00735009349564102	0.0211108762322066	0.0643969436343846	0.0163732195024396	0.0106455847056526	0.00286827840041706	0.00155264124118362	0.0210267743769589	0.0121931714125381	0.0211851885028193	0.0323481759547267	0.0126560523114166	0.0209174692811007	0.0341002107125029	0.0152042617921094	0.0231131915840215	0.0168625203320002	0.00265696305694953	0.017663057493423	0.0143084494828952	0.0035475521506394	0.00804552614555352	0.0123757323179618	0.0107322473142286	0.00206797122448973	0.000447434389833414	0.00187861087343966	0.0168456684284584	0.00166394247705196	0.0184329332014729	0.00510111751684062	0.018686889309865
OM3_C_7B_3	0.00546804200543408	0.00705630991430006	0.0086886888409961	0.0192103156638232	0.000891493667326523	0.00585582646458411	0.0246296097859524	0.0294301273963373	0	0.0653380881474503	0.0173257544290112	0.00941896929461085	0.0324053689209543	0.0351142849972891	0.026005190328655	0.00755087909247608	0.0036623952173365	0.000107581398981133	0.015399077843837	0.00487536190713463	0.003925584737109	0.0245220656504238	0.00938539178562986	0.0220817626719619	0.00832113450978186	0.0349915472216744	0.0130591950464313	0.0187866761792501	0.0322974235381133	0.0278779459979037	0.00840524774580349	0.017239199960962	0.050604033825518	0.00291906666091122	0.0420805559351096	0.00851456740489858	0.00467180254605105	0.0142281782917227	0.00631850308125912	0.0125698748391583	0.0320861864291959	0.0470844206340698	0.0151239903857468	0.0258835516196511	0.0213864345868915	0.0418003964883673	0.0401578200873746	0.0314974077343812	0.0298774198910722	0.0313081143671013	0.0125867274954143	0.0277666757831692	0.0109993650813889	0.0243303305072033	0.0107453883295487
OM3_C_7C_1	0.0707970093772934	0.0723823560471725	0.0740116044663791	0.0461484497816894	0.0662281935078423	0.0711840919299162	0.0407318299536673	0.035932533507627	0.0653380881474503	0	0.0480317575567876	0.0559314534377907	0.0329575101053897	0.0302484353208954	0.0393567092848862	0.0577974349136763	0.0616809945190982	0.0652306716892179	0.0499569794890262	0.0702053879276417	0.0692572716720945	0.0408393344069292	0.0747069316755743	0.0432785913843796	0.0570280691366801	0.100245827384582	0.0522948596300512	0.0465718220721736	0.0330654547632259	0.0374844376519095	0.0569440513364498	0.0481182504349153	0.0147512796159019	0.068252465969365	0.0232801984410613	0.05683485520835	0.0700021882272209	0.0511269092947014	0.0590283286041471	0.052783728244436	0.0332766888887795	0.0182735431545914	0.0502318449465204	0.0394783108926728	0.0439735703212618	0.0235604801241899	0.0252037005131098	0.0338654483341854	0.0354853000886159	0.0340547320927848	0.0527668913303056	0.0375956836791893	0.0543527118091942	0.0410309974602646	0.0546064307435638
