	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.00937343749254783	0.0057787223336411	0.0203500974046519	0.00457964620276652	0.0165193394338969	0.00924300673326729	0.0104321539112185	0.0133791327719366	0.0348206221291491	0.0110719369573267	0.00816230120122352	0.00503273540970847	0.0183759061920071	0.00802458767582962	0.0156191620575106	0.0127262394709649	0.00129265099105869	0.0126764118442655	0.00879695378725428	0.00951027743178577	0.017506842025843	0.00700195021071413	0.00692778447090608	0.0323152263218763	0.0370886782373097	2.5181333888779e-05	0.0222235560848189	0.015027765232777	0.00992121090576011	0.0250619603242207	0.0237892291603426	0.00776090413572942	0.027593663062123	0.0126270276523377	0.0127605316116245	0.168476841470442	0.138779636356334	0.14172076653009	0.0147456303002184	0.0258217981056964	0.0106264716410473	0.00909126645675847	0.0142252041942669	0.00346681470440336	0.0147144280488898	0.0197394931966242	0.0112543415271821	0.0336395046142639	0.0497826137143736	0.0240318798890546	0.00895824866514903	0.00667030532500179	0.00834580622651962	0.00675222636256917	0.0103576349716514	0.0198518892427647	0.00752072451294017	0.0170699391348448	0.0081744601895193	0.0074650744740451	0.0167426117347641	0.0139065411726194	0.0069530499121501	0.0138344852423715	0.0105766677762426	0.00463722059568532	0.00695003501623645	0.0115629647451578	0.0177088194743527	0.0188937256864899
OM3_B_B_2	0.00937343749254783	0	0.00494195894782418	0.0284505793718436	0.00972836620569508	0.0236640325378147	0.0122074130783047	0.0188689236636396	0.0104859470444035	0.041837638353818	0.0175682359207198	0.00459986000699583	0.00955199511259485	0.0197379355344524	0.00558154498441825	0.0187053982834487	0.0146037069303343	0.00928569087978744	0.0217413150374431	0.0111524355737738	0.00551738702864827	0.0241642623139122	0.0156516928636405	0.00537872416706199	0.0389981351882047	0.0450147032596123	0.00938428772298822	0.0295259825002743	0.0179864271748239	0.0186453523215228	0.0308803619880474	0.030984006915662	0.0161974339902298	0.0320508486975324	0.0205010209538641	0.00430854262929579	0.175549570329549	0.145840087223123	0.148961055531804	0.0213957066814945	0.0338082369964303	0.0124531191777874	0.0155583023410296	0.0216161412042815	0.00796806454530444	0.0210544100605671	0.0274584029564197	0.0155624461494127	0.041818259045172	0.0561569405656195	0.0307307720520281	0.0132791446999247	0.01522482947665	0.00253404263195674	0.012872123761653	0.0159490948785585	0.0152797396822624	0.0109312725234491	0.00769968861951613	0.0144332614700798	0.016243570756719	0.00747919712727501	0.0207865232136933	0.0135824851153134	0.0120530069898716	0.0186609218120294	0.00498721879000825	0.0121491388724944	0.0184120126041978	0.0255097740378706	0.024228426186331
OM3_B_B_3	0.0057787223336411	0.00494195894782418	0	0.0235493465304325	0.00481039448588131	0.0187234144589189	0.00761754707721022	0.0140962377558826	0.00847609325842013	0.0369239859617796	0.012631368101571	0.00687779810987539	0.00461111227192861	0.0160178492333137	0.00252655967214235	0.0143714726958198	0.0104902584686845	0.00515805901785151	0.0171989201878181	0.0115074376891655	0.00385001317266746	0.0192435419700547	0.011018229282074	0.00654552309727479	0.0341115277772194	0.04008280810371	0.00579861166702767	0.0245865506903515	0.0136682518492378	0.0139709695308497	0.0260860540952264	0.026048425808918	0.0114761734931538	0.0275446434097425	0.0156049559550062	0.00918100568906304	0.170718396284811	0.140989676142309	0.144094669963929	0.0164662142908579	0.0288862554197677	0.00821796363662898	0.0106168615318505	0.016679395865244	0.0063438553322491	0.0161430493278735	0.0225264321397705	0.0108392408123447	0.0369074478773625	0.0513368025759543	0.0258254289730897	0.0084741817305949	0.0105703604173	0.00292531769084012	0.00793195649811756	0.0110546037338116	0.0191606942473667	0.00615297313565765	0.0121260879642039	0.00949178264147385	0.0116456398097532	0.0122668453163902	0.0158473043951822	0.00865308666167352	0.0145717874082177	0.0138126287241749	0.00163821496096242	0.0111299291809025	0.0134706155416498	0.0205864629888375	0.0194698444258277
OM3_C_7A_1	0.0203500974046519	0.0284505793718436	0.0235493465304325	0	0.0187398173841596	0.00580681165004077	0.0179344036148085	0.0099212216422735	0.0248256102291854	0.0152141769737842	0.0113991599712931	0.0284683661398615	0.0189737932390447	0.0193528875665965	0.0239955918887377	0.0158426059064869	0.018362199943033	0.0197675240675385	0.00900906013871969	0.0277155572044868	0.0252061486880578	0.00668087547128636	0.0133537369267765	0.0272739959416852	0.013456522139781	0.0167451537379586	0.0203548383689171	0.00401616255859178	0.016157403079875	0.0105522022733626	0.0102743221339488	0.00524820435516668	0.0125973972359853	0.0154906747190989	0.00795182339800437	0.0325159665739948	0.148446449339287	0.118692355046964	0.121580244315941	0.00827436399015043	0.00547460216053896	0.0189193032755293	0.0131472292440162	0.00710074786430583	0.0236426338878687	0.00901918092745832	0.00197289314830131	0.0149554449383091	0.0133840367698955	0.0305439315729392	0.00699055576535282	0.0162637628631187	0.0136822228187368	0.026381312241248	0.0156863937217306	0.013423614102765	0.0399806272589822	0.0183319815274481	0.0354766205302506	0.0142364656041998	0.0129406394548737	0.0357996952130735	0.00838814435803934	0.0149148582533871	0.0335407025577589	0.0098650054268179	0.023605371537354	0.024679030438827	0.0104033140935566	0.00312436788703056	0.0102692085033875
OM3_C_7A_2	0.00457964620276652	0.00972836620569508	0.00481039448588131	0.0187398173841596	0	0.0139909135294571	0.00466644198032449	0.00938375555529143	0.00964448823544778	0.0322838143232748	0.00796139875048322	0.0106305364816186	0.000560411881571591	0.0138085183117633	0.00570798301103592	0.0112062954130807	0.00814741664803881	0.00328777060008098	0.0127187984035718	0.0131162867148734	0.0071747754532974	0.0146187993152749	0.00654592628372203	0.00979033643149183	0.0295459338326202	0.0352954972956535	0.00460386418872416	0.0198557584130546	0.0105803325592188	0.00937467935926556	0.0217498791488526	0.021342482196903	0.00685884518493945	0.0237238422709617	0.010795704593667	0.0138891378721259	0.166153934472276	0.136412187123133	0.139479372046006	0.0118168800742256	0.0240837721812187	0.00606416006106599	0.00590511771462039	0.0118976472255679	0.00748326340226075	0.0115711086189988	0.0177337119363897	0.00700621399497353	0.0321013471462814	0.0468830911260408	0.0212290597518652	0.00458956027931571	0.0060804245031361	0.0076712774563846	0.0031917319184029	0.00662862062522433	0.0229881262895728	0.00294193392201364	0.0168531271100778	0.00479145517885291	0.00720707091565452	0.0170717542135894	0.0111400756601161	0.00385709582117189	0.0175649950186111	0.00902997169932756	0.00507918341121386	0.0115210279895321	0.00873938058260003	0.0157833570076528	0.0152691322298742
OM3_C_7A_3	0.0165193394338969	0.0236640325378147	0.0187234144589189	0.00580681165004077	0.0139909135294571	0	0.0124261132664793	0.00693334585312101	0.0191271147746977	0.0183671532114622	0.00611794969493607	0.0243299464842551	0.0141186524220768	0.0137523816736497	0.0188206903771639	0.0101039047155095	0.0125797179148262	0.0156822254287956	0.00854130699924792	0.0247396792850312	0.0199156583064983	0.001724096393584	0.00994372610136681	0.0232709405598457	0.0157999972674184	0.0214490461527934	0.0165297914849064	0.00586649897443998	0.0103808848386265	0.00797331489918588	0.0092052451914146	0.00736204176349532	0.00905831990547032	0.0133125685089193	0.0042640624867333	0.0278719512079454	0.152370219529479	0.122579095463822	0.125619469249987	0.00251893557557675	0.0104669269756488	0.0132691696815726	0.00810747730743122	0.0023316707221042	0.0199698522846427	0.00321961074266499	0.00414832337666604	0.00927423798548782	0.018499354525072	0.0332800344603931	0.00753926250191811	0.0108415807629165	0.0101165783826478	0.0214259189030806	0.0108074571159909	0.00797139924517544	0.03636081747696	0.0130587922696645	0.030331997186204	0.00923245424313459	0.00978304040960764	0.0308253251402831	0.00289345406743013	0.0101567026749956	0.0302583978193355	0.00625453537992586	0.0190425566001166	0.0219826117607412	0.00525542049344382	0.00283577076715621	0.00556517642486071
OM3_C_7B_1	0.00924300673326729	0.0122074130783047	0.00761754707721022	0.0179344036148085	0.00466644198032449	0.0124261132664793	0	0.0102759876176546	0.00719104573283587	0.0299816986887847	0.00656104816381882	0.0143856603480199	0.00425915809742115	0.00914589738628665	0.00677953996640449	0.00682304551008991	0.0034864335597859	0.00795042251439613	0.0141448424871679	0.0176957437159373	0.00762878375983001	0.0125127116971414	0.00875686347281244	0.0138067369144473	0.0270201114118777	0.0337793222064592	0.00926703706548346	0.0180968765558356	0.00614276204311232	0.0107644120942428	0.0187286382151296	0.0194230456612547	0.00857468440966446	0.0199335234465296	0.0105373700687181	0.016511568224896	0.163678479745453	0.133911442591648	0.137105141375886	0.0099413075916401	0.0228908570361226	0.00165097742181779	0.00519041802588691	0.0108424271434786	0.012041486342592	0.00940596508934634	0.0165287729898128	0.00342051333324416	0.0309204496172013	0.0440241742834043	0.018874716437227	0.00174557753339113	0.00834551687745754	0.00972396987394135	0.00399550310568445	0.00451126921302028	0.0267503336865212	0.00175007985309266	0.0180991286506028	0.004416615394447	0.00937653606625242	0.018808691082496	0.00959500324878446	0.00471515594819235	0.0217961942254234	0.0094634453521506	0.00867754678369699	0.0161869171996825	0.00758128632861073	0.0148150115892538	0.0120560312667319
OM3_C_7B_2	0.0104321539112185	0.0188689236636396	0.0140962377558826	0.0099212216422735	0.00938375555529143	0.00693334585312101	0.0102759876176546	0	0.0174323632269898	0.0246619856173971	0.00493846346188571	0.0185684186419327	0.00974023480770699	0.0160647992142764	0.0150157631328176	0.0121596136656261	0.0123223002578147	0.00990030391695474	0.00391598119579046	0.0180642046140419	0.0164044796754558	0.00839970027457383	0.00343271234786226	0.0173589636378653	0.0223801135861472	0.026661430256374	0.0104365414838292	0.0121134251727414	0.0120050842299378	0.00111960422803297	0.01612291534953	0.0137071420473355	0.00270766731577196	0.0198870437039555	0.0026721757296084	0.0227909500160286	0.158228240182952	0.128501173932637	0.131412178472521	0.00626249575664789	0.0153952031804156	0.0117521003449036	0.00517684037957438	0.00468628556097449	0.0137325371941443	0.00675352327348757	0.00943745700043952	0.00868686662461316	0.0232258370577413	0.0398367389416723	0.0143225828980393	0.00856806343738721	0.00377204029951495	0.0170086445830211	0.00679844096684627	0.00656475235565217	0.0301138086341932	0.00992374866456068	0.026210503696094	0.00586514216127001	0.00305337200805193	0.0263216925595322	0.00531473932904646	0.0059399000233201	0.0237677222288229	0.00112109399341894	0.0139199892140301	0.0151810017442539	0.00429874251317068	0.00741008629743354	0.0112944732619838
OM3_C_7B_3	0.0133791327719366	0.0104859470444035	0.00847609325842013	0.0248256102291854	0.00964448823544778	0.0191271147746977	0.00719104573283587	0.0174323632269898	0	0.0356004119746794	0.0136253110363303	0.014497678579343	0.00908596278465224	0.0101529145399828	0.00599001411648613	0.0106617861659636	0.00676707652550861	0.01228769640163	0.0212602285295884	0.0199441646230788	0.00514716153220861	0.0188805125526964	0.0155440891582619	0.0146150681818888	0.0324558508768963	0.0400451841518114	0.0134036412128915	0.0244740585466791	0.0100044526646653	0.0178479155062515	0.0238352925170276	0.0256419419038999	0.0155237325831362	0.0236358381045173	0.017692244404798	0.0141039214570136	0.168444645076099	0.138711473948492	0.142063556590381	0.0166092312464595	0.0295145118758694	0.00593278863053102	0.0123812355220041	0.0178158498669564	0.0147812268753871	0.0159437959597529	0.0232746771053048	0.00987221379356475	0.0374462224969697	0.0487424223597663	0.0247366676021775	0.00893383783163685	0.0150955130347805	0.00827695130907864	0.0108200787486345	0.0115439393524829	0.0256823436277718	0.00766669958099232	0.0133766077175001	0.0115701260272876	0.0162002557930461	0.0146981644272971	0.0164411366053564	0.011646134822498	0.0223152416442435	0.0166491839228784	0.0101137821290158	0.0195452211202028	0.0146525058450221	0.0217060027227297	0.017370738386524
OM3_C_7C_1	0.0348206221291491	0.041837638353818	0.0369239859617796	0.0152141769737842	0.0322838143232748	0.0183671532114622	0.0299816986887847	0.0246619856173971	0.0356004119746794	0	0.0243278087233456	0.0426884853895075	0.0323638731588188	0.0268518113871573	0.0367044351817615	0.0249868715217827	0.0288833944318174	0.0340310422751	0.024221280406332	0.0427044993877676	0.0376025091869893	0.017686560117112	0.0280065347782563	0.0416219783834672	0.0033048176026966	0.00695302554574215	0.0348296121620128	0.0126040616998746	0.025615543734753	0.0254720584860618	0.0118998756376209	0.0110362933542811	0.0271632778518996	0.014542368339049	0.0222316231584828	0.0460980770184315	0.1342103988272	0.104342006750798	0.107435475604264	0.0204754016729701	0.0103472249847645	0.0303520019691668	0.0263813398724751	0.0206151218864576	0.0382412509962865	0.0207911717251132	0.0152403101540412	0.0265695736862618	0.00813300217805294	0.0153356017300894	0.0111249890513577	0.0286488148305616	0.0282558917806249	0.0394964183116973	0.0290937080484177	0.0259012345224673	0.0546488465109449	0.0309823765673867	0.0480544009292352	0.0274952653539256	0.027707569404206	0.0487644981698961	0.0211582105968542	0.0284898724561163	0.0484074568699863	0.0243030846609938	0.0373559333122691	0.0397504805132522	0.0235675562138514	0.0172563914338035	0.0182421755040974
