	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_3	OM3_C_7H_1	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8B_1	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9E_1	OM3_C_9F_1	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9H_1	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_3	OM3_H_3F_2	OM3_H_3G_3	OM3_H_3H_2
OM3_B_B_2	0	0.0190323144849865	0.0288446539181455	0.00327553833122943	0.00159224703564139	0.007988218652981	0.0230912487265251	0.00227447326676868	0.0156957791569809	0.00579465747338584	0.00867330103452552	0.0227410922311035	0.00406009308286129	0.0224866487286888	0.0163540993373311	0.00331123543508799	0.0127117130903453	0.0157590796892896	0.029704061128296	0.0198945947112795	0.0064934117901361	0.008383802864903	0.019519503246556	0.0277239165621719	0.028828547564516	0.0354391251118574	0.0262964987540923	0.0407553154746897	0.0211633878258012	0.03375819502752	0.0170853235034212
OM3_B_B_3	0.0190323144849865	0	0.0117910657319823	0.022171590503989	0.0204900669588962	0.0259581166883615	0.0419269963007385	0.0205627181544319	0.0346213454891791	0.0236867122371507	0.0105887575616548	0.0417653934793186	0.015318062677673	0.00349256194635601	0.00352591408843799	0.022172039060906	0.00813200074670073	0.0347766904843364	0.0483408202754424	0.0387390341026631	0.0126197903882845	0.0121371710066049	0.0385415635343077	0.0467305184298813	0.0477484755205287	0.0544026278604319	0.0452441205650391	0.0595157962394812	0.0401649895534223	0.0527611836304885	0.0352763719106078
OM3_C_7A_2	0.0288446539181455	0.0117910657319823	0	0.0316141035994836	0.0304191920373196	0.0343942596350475	0.0505107439467306	0.0307524573438512	0.043578733100641	0.0341658907913165	0.0202474368445663	0.0510708916826618	0.025730693035866	0.0100061993592474	0.0129090177002223	0.0321471893393932	0.0161649282423181	0.0443213089886644	0.0564276756646922	0.0474161586754701	0.0230295484682916	0.0233842016851917	0.0479837884376715	0.056177092983882	0.0564287109178689	0.0631556973624265	0.0540457656020307	0.0676520654634964	0.0497208782076555	0.0617372814781877	0.0432381053112037
OM3_C_7A_3	0.00327553833122943	0.022171590503989	0.0316141035994836	0	0.00236198021842262	0.00496300063445976	0.0198446911532168	0.0032157876353841	0.0124720286346328	0.00499596604540529	0.0116734170484827	0.0196497797588939	0.00733258280126844	0.0256436200728128	0.0193645982178412	0.00213975746021208	0.0154583898962246	0.0127470772035439	0.0264350456085526	0.0166472150160551	0.00973182215336658	0.0116317682670224	0.0164691343379554	0.0246905361959911	0.0256132704428232	0.0322518556908609	0.0230931688812458	0.0375052257437449	0.0181638176978073	0.030609055029908	0.0138389833270176
OM3_C_7B_1	0.00159224703564139	0.0204900669588962	0.0304191920373196	0.00236198021842262	0	0.00732413111802105	0.0218156377900631	0.00108325967598479	0.014394686088683	0.00429530572867829	0.0102203850691886	0.0213049463776521	0.00529399874707106	0.0239269341777185	0.0178812078085698	0.00172898144860973	0.0142967897802795	0.0142939559375011	0.028492078254012	0.0186252886682457	0.0078893366207917	0.00946142669907547	0.0180649939851433	0.0262518986305548	0.0274956349250307	0.0340694176948561	0.024950392246899	0.0394783958646295	0.019682520654195	0.0323540823031293	0.0160945118116015
OM3_C_7B_2	0.007988218652981	0.0259581166883615	0.0343942596350475	0.00496300063445976	0.00732413111802105	0	0.0161656471204721	0.00813551848167534	0.00926667546771837	0.00873713217969787	0.0153851401929118	0.016873153023941	0.011965672327014	0.0294489883519531	0.0228641745325442	0.00668891287050163	0.0185417802199558	0.010686764254448	0.0224077190545518	0.0130376723199687	0.0140536479145565	0.0163239435377164	0.0139946514710418	0.0220215261437361	0.0220789518826488	0.028810165942993	0.0196703458058479	0.0336243545328027	0.0158155139605321	0.0273712636627051	0.009352289012952
OM3_C_7B_3	0.0230912487265251	0.0419269963007385	0.0505107439467306	0.0198446911532168	0.0218156377900631	0.0161656471204721	0	0.0220818768421368	0.00742828550298336	0.0200844144071886	0.0313528235335242	0.00435487693400211	0.0270946830668898	0.0454118515711224	0.0389488383078911	0.0203222621205509	0.0346948478209299	0.00862503066312287	0.00684529883743246	0.00319790642850838	0.0295729634475558	0.0312410916799148	0.00585030231103063	0.00765164748970586	0.005926984007747	0.0126648744999182	0.00368538482586385	0.0176720406844657	0.0060201512063171	0.0113776044920664	0.00768167392236112
OM3_C_7C_3	0.00227447326676868	0.0205627181544319	0.0307524573438512	0.0032157876353841	0.00108325967598479	0.00813551848167534	0.0220818768421368	0	0.0146556374090983	0.00356329513540911	0.0105090966238074	0.0213577959474	0.00524900906343207	0.0239653783662872	0.0180904347618963	0.00176527244306087	0.0147033375236126	0.014318576068402	0.0288150113083542	0.0189067388437538	0.00795002086846511	0.00917310605268847	0.0180949967225952	0.0262343793316995	0.0276839765319428	0.0342025376611193	0.0251258572966478	0.0397211462640635	0.0196601965311851	0.0324404024995921	0.0166398194092077
OM3_C_7H_1	0.0156957791569809	0.0346213454891791	0.043578733100641	0.0124720286346328	0.014394686088683	0.00926667546771837	0.00742828550298336	0.0146556374090983	0	0.0127961372237316	0.0240734682816536	0.00762007463158872	0.0196804509012957	0.0380991345947038	0.0317230721505708	0.0128950731687489	0.027584140693552	0.00318080016536909	0.0141872357188175	0.00425570810099135	0.0221866523752417	0.023815028417814	0.00498150352316507	0.0127667855789687	0.0131430944929903	0.0198016193064368	0.0106302196207762	0.0250897155751989	0.00680489294624082	0.0182288446142543	0.00474102031625601
OM3_C_8A_1	0.00579465747338584	0.0236867122371507	0.0341658907913165	0.00499596604540529	0.00429530572867829	0.00873713217969787	0.0200844144071886	0.00356329513540911	0.0127961372237316	0	0.0139404518924751	0.0187976422329482	0.00846588124565582	0.0270210307359362	0.0214035708953055	0.00297075026541789	0.0181994561310682	0.0118060744808659	0.0269173325105009	0.0170041752951876	0.0111947786597232	0.0118358693521509	0.0155206968216378	0.0234722472776691	0.025413471247285	0.0317530391559995	0.0228415671203319	0.0375363145882534	0.016941337969156	0.0298843681470149	0.0156719476184103
OM3_C_8A_2	0.00867330103452552	0.0105887575616548	0.0202474368445663	0.0116734170484827	0.0102203850691886	0.0153851401929118	0.0313528235335242	0.0105090966238074	0.0240734682816536	0.0139404518924751	0	0.0313195131922637	0.00559738786005072	0.0140805689422184	0.0076965259746567	0.0119462220160162	0.00437236189627034	0.0243889042647401	0.0377621232495081	0.0281671925739497	0.00312012985290591	0.00533899928046923	0.0281297773618631	0.036345731239471	0.0371916618915468	0.0438658763894457	0.0346980882148257	0.0489399262048483	0.0298019133712642	0.0422600619833258	0.024722929943903
OM3_C_8B_1	0.0227410922311035	0.0417653934793186	0.0510708916826618	0.0196497797588939	0.0213049463776521	0.016873153023941	0.00435487693400211	0.0213577959474	0.00762007463158872	0.0187976422329482	0.0313195131922637	0	0.0265667805009043	0.0452142910127321	0.0390073534652802	0.0196638303062987	0.0350025222330434	0.00704413062508328	0.00963744086065323	0.00498623317907637	0.0291917851117656	0.0304666789600495	0.0032794302622599	0.00514942729109582	0.00696649869440681	0.0129672108536243	0.00454707593318521	0.0189878908481962	0.00218634217178148	0.0111012701943852	0.0101577485083012
OM3_C_8C_1	0.00406009308286129	0.015318062677673	0.025730693035866	0.00733258280126844	0.00529399874707106	0.011965672327014	0.0270946830668898	0.00524900906343207	0.0196804509012957	0.00846588124565582	0.00559738786005072	0.0265667805009043	0	0.0187174727644725	0.0129388946840037	0.00690475116212481	0.009957823634573	0.0195383387872577	0.0337400302943622	0.0239013833195371	0.00273129570253329	0.00435919286820768	0.0233141807774874	0.0314719446261727	0.0327874011224902	0.0393573839524812	0.0302427321765417	0.0447576765892699	0.0248983643891337	0.0376304186157667	0.0211385590972868
OM3_C_8C_2	0.0224866487286888	0.00349256194635601	0.0100061993592474	0.0256436200728128	0.0239269341777185	0.0294489883519531	0.0454118515711224	0.0239653783662872	0.0380991345947038	0.0270210307359362	0.0140805689422184	0.0452142910127321	0.0187174727644725	0	0.00681248768904792	0.0255968507877806	0.0114559718492808	0.0382150640342796	0.0518297666637346	0.0422232771393659	0.0160427138124799	0.0153265698629875	0.0419833043530408	0.050161136684954	0.0512271536261686	0.0578743444558652	0.0487197197763798	0.0630019268516427	0.0435935523251209	0.0562223627920049	0.0387638306727564
OM3_C_8C_3	0.0163540993373311	0.00352591408843799	0.0129090177002223	0.0193645982178412	0.0178812078085698	0.0228641745325442	0.0389488383078911	0.0180904347618963	0.0317230721505708	0.0214035708953055	0.0076965259746567	0.0390073534652802	0.0129388946840037	0.00681248768904792	0	0.0195988560738904	0.00464606720866628	0.0320824868557093	0.0452595470224876	0.0357753095689545	0.010211197879075	0.0105209331785513	0.0358222843428303	0.0440364796402864	0.044813296264164	0.0515032751535041	0.0423364264631778	0.0564697956937719	0.0374938640470458	0.0499238450260261	0.0321247851969214
OM3_C_8E_2	0.00331123543508799	0.022172039060906	0.0321471893393932	0.00213975746021208	0.00172898144860973	0.00668891287050163	0.0203222621205509	0.00176527244306087	0.0128950731687489	0.00297075026541789	0.0119462220160162	0.0196638303062987	0.00690475116212481	0.0255968507877806	0.0195988560738904	0	0.0160221338045081	0.0126351451174278	0.0270509097179109	0.0171447702183345	0.00955655516429801	0.0109250323214665	0.0164110068078235	0.0245792307248043	0.0259411666021376	0.0324781191539682	0.0233861085422241	0.0379675659319524	0.0180058519601706	0.0307340374964245	0.0149176405296128
OM3_C_8F_3	0.0127117130903453	0.00813200074670073	0.0161649282423181	0.0154583898962246	0.0142967897802795	0.0185417802199558	0.0346948478209299	0.0147033375236126	0.027584140693552	0.0181994561310682	0.00437236189627034	0.0350025222330434	0.009957823634573	0.0114559718492808	0.00464606720866628	0.0160221338045081	0	0.0281884508086127	0.0408868097171053	0.0315459083028053	0.00746358658549814	0.00909401058248499	0.031876930584385	0.0400891193464286	0.0405929941811357	0.0473097907729059	0.0381513884726852	0.0521201311583014	0.0335985085599896	0.0458001438312416	0.0277036680943924
OM3_C_9A_1	0.0157590796892896	0.0347766904843364	0.0443213089886644	0.0127470772035439	0.0142939559375011	0.010686764254448	0.00862503066312287	0.014318576068402	0.00318080016536909	0.0118060744808659	0.0243889042647401	0.00704413062508328	0.0195383387872577	0.0382150640342796	0.0320824868557093	0.0126351451174278	0.0281884508086127	0	0.0154268728232528	0.00594314467084479	0.022180253864371	0.0234255550602057	0.00377713925438629	0.0119673882053105	0.0136287759151512	0.019963334760886	0.0110591981349502	0.0257625721676325	0.00541763272658145	0.0181417907291858	0.00791652134450044
OM3_C_9E_1	0.029704061128296	0.0483408202754424	0.0564276756646922	0.0264350456085526	0.028492078254012	0.0224077190545518	0.00684529883743246	0.0288150113083542	0.0141872357188175	0.0269173325105009	0.0377621232495081	0.00963744086065323	0.0337400302943622	0.0518297666637346	0.0452595470224876	0.0270509097179109	0.0408868097171053	0.0154268728232528	0	0.00993527857226107	0.0361498557367095	0.0379437462499505	0.0122824879675293	0.00903826342823403	0.00375099670278803	0.00784578149831374	0.00520931980778591	0.0112529526371149	0.0117980929375223	0.0077475302659215	0.0132166582878488
OM3_C_9F_1	0.0198945947112795	0.0387390341026631	0.0474161586754701	0.0166472150160551	0.0186252886682457	0.0130376723199687	0.00319790642850838	0.0189067388437538	0.00425570810099135	0.0170041752951876	0.0281671925739497	0.00498623317907637	0.0239013833195371	0.0422232771393659	0.0357753095689545	0.0171447702183345	0.0315459083028053	0.00594314467084479	0.00993527857226107	0	0.0263761143030101	0.0280592753819746	0.0043759852525633	0.00969924157438158	0.00905256771941683	0.0157778403697578	0.00663981515538642	0.0208677863400866	0.00550373893043741	0.0143639276784077	0.00521112051151951
OM3_C_9G_1	0.0064934117901361	0.0126197903882845	0.0230295484682916	0.00973182215336658	0.0078893366207917	0.0140536479145565	0.0295729634475558	0.00795002086846511	0.0221866523752417	0.0111947786597232	0.00312012985290591	0.0291917851117656	0.00273129570253329	0.0160427138124799	0.010211197879075	0.00955655516429801	0.00746358658549814	0.022180253864371	0.0361498557367095	0.0263761143030101	0	0.0031158049143167	0.0259521052641626	0.0341307080668064	0.0353191515076104	0.0419250643126882	0.0327872456611714	0.0472300975597012	0.0275596091525074	0.040230845536109	0.0233608230931488
OM3_C_9G_2	0.008383802864903	0.0121371710066049	0.0233842016851917	0.0116317682670224	0.00946142669907547	0.0163239435377164	0.0312410916799148	0.00917310605268847	0.023815028417814	0.0118358693521509	0.00533899928046923	0.0304666789600495	0.00435919286820768	0.0153265698629875	0.0105209331785513	0.0109250323214665	0.00909401058248499	0.0234255550602057	0.0379437462499505	0.0280592753819746	0.0031158049143167	0	0.0271928812085165	0.0352564207248187	0.0368521020078938	0.0433503246226183	0.0342929741370089	0.0488846004393286	0.0286985663977718	0.0415599128059653	0.0254646241479943
OM3_C_9H_1	0.019519503246556	0.0385415635343077	0.0479837884376715	0.0164691343379554	0.0180649939851433	0.0139946514710418	0.00585030231103063	0.0180949967225952	0.00498150352316507	0.0155206968216378	0.0281297773618631	0.0032794302622599	0.0233141807774874	0.0419833043530408	0.0358222843428303	0.0164110068078235	0.031876930584385	0.00377713925438629	0.0122824879675293	0.0043759852525633	0.0259521052641626	0.0271928812085165	0	0.00822326170488332	0.0100645376502756	0.0162379276534291	0.00753014253056172	0.0221726071854168	0.0018346118136569	0.014379619133735	0.00868056762081527
OM3_H_3C_1	0.0277239165621719	0.0467305184298813	0.056177092983882	0.0246905361959911	0.0262518986305548	0.0220215261437361	0.00765164748970586	0.0262343793316995	0.0127667855789687	0.0234722472776691	0.036345731239471	0.00514942729109582	0.0314719446261727	0.050161136684954	0.0440364796402864	0.0245792307248043	0.0400891193464286	0.0119673882053105	0.00903826342823403	0.00969924157438158	0.0341307080668064	0.0352564207248187	0.00822326170488332	0	0.00530530475346113	0.00892977140568401	0.00473660816222398	0.0154690137750302	0.00657594098193453	0.00676266316053168	0.0148841264283264
OM3_H_3C_2	0.028828547564516	0.0477484755205287	0.0564287109178689	0.0256132704428232	0.0274956349250307	0.0220789518826488	0.005926984007747	0.0276839765319428	0.0131430944929903	0.025413471247285	0.0371916618915468	0.00696649869440681	0.0327874011224902	0.0512271536261686	0.044813296264164	0.0259411666021376	0.0405929941811357	0.0136287759151512	0.00375099670278803	0.00905256771941683	0.0353191515076104	0.0368521020078938	0.0100645376502756	0.00530530475346113	0	0.00673834258015188	0.00257251586441557	0.0121356235797802	0.00913327172755356	0.00558609841113297	0.0134789155414744
OM3_H_3D_3	0.0354391251118574	0.0544026278604319	0.0631556973624265	0.0322518556908609	0.0340694176948561	0.028810165942993	0.0126648744999182	0.0342025376611193	0.0198016193064368	0.0317530391559995	0.0438658763894457	0.0129672108536243	0.0393573839524812	0.0578743444558652	0.0515032751535041	0.0324781191539682	0.0473097907729059	0.019963334760886	0.00784578149831374	0.0157778403697578	0.0419250643126882	0.0433503246226183	0.0162379276534291	0.00892977140568401	0.00673834258015188	0	0.00917566359498462	0.00664711730204181	0.0149430103119573	0.00226136687299639	0.0201524285541844
OM3_H_3E_1	0.0262964987540923	0.0452441205650391	0.0540457656020307	0.0230931688812458	0.024950392246899	0.0196703458058479	0.00368538482586385	0.0251258572966478	0.0106302196207762	0.0228415671203319	0.0346980882148257	0.00454707593318521	0.0302427321765417	0.0487197197763798	0.0423364264631778	0.0233861085422241	0.0381513884726852	0.0110591981349502	0.00520931980778591	0.00663981515538642	0.0327872456611714	0.0342929741370089	0.00753014253056172	0.00473660816222398	0.00257251586441557	0.00917566359498462	0	0.0147052659093419	0.00673338838596878	0.00773276574993215	0.0113668070598408
OM3_H_3E_3	0.0407553154746897	0.0595157962394812	0.0676520654634964	0.0375052257437449	0.0394783958646295	0.0336243545328027	0.0176720406844657	0.0397211462640635	0.0250897155751989	0.0375363145882534	0.0489399262048483	0.0189878908481962	0.0447576765892699	0.0630019268516427	0.0564697956937719	0.0379675659319524	0.0521201311583014	0.0257625721676325	0.0112529526371149	0.0208677863400866	0.0472300975597012	0.0488846004393286	0.0221726071854168	0.0154690137750302	0.0121356235797802	0.00664711730204181	0.0147052659093419	0	0.0210876669910585	0.00890828344027098	0.0244678780326744
OM3_H_3F_2	0.0211633878258012	0.0401649895534223	0.0497208782076555	0.0181638176978073	0.019682520654195	0.0158155139605321	0.0060201512063171	0.0196601965311851	0.00680489294624082	0.016941337969156	0.0298019133712642	0.00218634217178148	0.0248983643891337	0.0435935523251209	0.0374938640470458	0.0180058519601706	0.0335985085599896	0.00541763272658145	0.0117980929375223	0.00550373893043741	0.0275596091525074	0.0286985663977718	0.0018346118136569	0.00657594098193453	0.00913327172755356	0.0149430103119573	0.00673338838596878	0.0210876669910585	0	0.01298162071526	0.0102609551559116
OM3_H_3G_3	0.03375819502752	0.0527611836304885	0.0617372814781877	0.030609055029908	0.0323540823031293	0.0273712636627051	0.0113776044920664	0.0324404024995921	0.0182288446142543	0.0298843681470149	0.0422600619833258	0.0111012701943852	0.0376304186157667	0.0562223627920049	0.0499238450260261	0.0307340374964245	0.0458001438312416	0.0181417907291858	0.0077475302659215	0.0143639276784077	0.040230845536109	0.0415599128059653	0.014379619133735	0.00676266316053168	0.00558609841113297	0.00226136687299639	0.00773276574993215	0.00890828344027098	0.01298162071526	0	0.0190199570686296
OM3_H_3H_2	0.0170853235034212	0.0352763719106078	0.0432381053112037	0.0138389833270176	0.0160945118116015	0.009352289012952	0.00768167392236112	0.0166398194092077	0.00474102031625601	0.0156719476184103	0.024722929943903	0.0101577485083012	0.0211385590972868	0.0387638306727564	0.0321247851969214	0.0149176405296128	0.0277036680943924	0.00791652134450044	0.0132166582878488	0.00521112051151951	0.0233608230931488	0.0254646241479943	0.00868056762081527	0.0148841264283264	0.0134789155414744	0.0201524285541844	0.0113668070598408	0.0244678780326744	0.0102609551559116	0.0190199570686296	0
