	OM3_B_B_3	OM3_C_7A_1	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_3	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_3	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9D_2	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_2	OM3_C_9F_3	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_2	OM3_H_3H_2
OM3_B_B_3	0	0.0573649835064289	0.0884797778046266	0.0452368584499265	0.0545274805495912	0.0739120123253567	0.0521644489590756	0.0434930460930646	0.0506574857630988	0.0828164433641924	0.0732617182158772	0.0951276117304662	0.0613070986548074	0.0536810430190002	0.064139091972695	0.0739669850872228	0.109550468791827	0.0204527804886315	0.0867805912133071	0.0599733599732568	0.0752300797984318	0.0708584467410494	0.089578870130044	0.0741173206336802	0.107760290616611	0.0463614445220527	0.0743877442332364
OM3_C_7A_1	0.0573649835064289	0	0.0335405359866012	0.0123676733219267	0.00667301978912497	0.016919335344783	0.0103409296308936	0.0170067455724209	0.0109079238516956	0.0278510487875813	0.0242217899437959	0.0412474765418311	0.00556468979293741	0.00995873323850628	0.00753415090723823	0.0186493231427076	0.0530158503185591	0.0714749455468511	0.03201333361192	0.00368642139445105	0.0213122331999621	0.0202447400601833	0.0344416002952165	0.0172250679039879	0.053785344046817	0.0112446242817599	0.0197014086720563
OM3_C_7G_3	0.0884797778046266	0.0335405359866012	0	0.0452806601587804	0.0343504460956445	0.0176670742803451	0.0364518225042197	0.0476008967812697	0.0382050053736152	0.00596374463665101	0.0176912711843947	0.00804268877321736	0.0284279134126504	0.0348827631593908	0.0260101981712524	0.0155999289854208	0.0224434281571835	0.104193748206578	0.0038240170916669	0.0320327633548967	0.0133245513468996	0.0186755828065074	0.00343716079508617	0.0176430154028459	0.0203918952002319	0.0433244607661698	0.0164443683321309
OM3_C_7H_1	0.0452368584499265	0.0123676733219267	0.0452806601587804	0	0.0116452695081544	0.0292246386422925	0.0116816106960373	0.0105215063854091	0.0102129335798569	0.0394791280053548	0.0335148646166256	0.0527489175436769	0.017070140434968	0.0130987653070495	0.0195702806063478	0.0301251923915404	0.0651641943072707	0.0593960925851182	0.0437826008161115	0.0147690457975066	0.0325019126883078	0.0300391375298594	0.0463413046947	0.0293297214115752	0.0654635936826923	0.0028477081338428	0.0313414497409898
OM3_C_7H_2	0.0545274805495912	0.00667301978912497	0.0343504460956445	0.0116452695081544	0	0.0197973823490665	0.00380487224105732	0.0155775314231491	0.00517571755810752	0.0285843332549622	0.0218991894683271	0.0415515554789074	0.00742112855328004	0.00351273030147617	0.0101556328681276	0.0196066488229817	0.0551906845446201	0.0700428883258372	0.0328315833245891	0.00928750884741781	0.0212612810714033	0.0185070239699592	0.0355111494960531	0.0199754970761121	0.0543287180220878	0.00924811410488697	0.0209647055520028
OM3_C_7H_3	0.0739120123253567	0.016919335344783	0.0176670742803451	0.0292246386422925	0.0197973823490665	0	0.0229494479951582	0.0322774588112343	0.0244401279261443	0.0126063091172762	0.016953516700648	0.0256640043599752	0.0126689226914332	0.0215359381775786	0.00982049975279389	0.00660742563233829	0.0362362150954835	0.088301103754531	0.0163424838139425	0.0151282388079496	0.00940499225142245	0.0137168544990627	0.0183103248438412	0.00293859987348791	0.0376857524821661	0.0277675809493621	0.0079327047264385
OM3_C_8A_3	0.0521644489590756	0.0103409296308936	0.0364518225042197	0.0116816106960373	0.00380487224105732	0.0229494479951582	0	0.0152406037141269	0.00261121832439959	0.0307216861022029	0.0226637848889108	0.0433388324944396	0.0109499296443209	0.00243023690275511	0.0135896241803892	0.0220104482765493	0.0577081870803066	0.0683556704841731	0.0349853606439436	0.0128812453839905	0.0232548697002951	0.0197726056778721	0.0377402096347632	0.0230283408840773	0.0561503507998542	0.00889212927894319	0.0235580404703729
OM3_C_8B_2	0.0434930460930646	0.0170067455724209	0.0476008967812697	0.0105215063854091	0.0155775314231491	0.0322774588112343	0.0152406037141269	0	0.0153419409384736	0.042243919017842	0.0344775002509135	0.0546850160712815	0.0202288037840996	0.0153408956063983	0.0231825080155581	0.0339110585374198	0.0681929475314014	0.0577749651899576	0.0453662426804912	0.0204800832264867	0.0346214880115	0.03084694676953	0.0480562810424231	0.0332721633921348	0.0669954642590501	0.0107888991457417	0.0320281317588733
OM3_C_8B_3	0.0506574857630988	0.0109079238516956	0.0382050053736152	0.0102129335798569	0.00517571755810752	0.0244401279261443	0.00261121832439959	0.0153419409384736	0	0.032392961391512	0.0247781620979675	0.0451579217151452	0.0124484507201275	0.00501939316017859	0.0149449264190523	0.0234309355970839	0.0592016892070756	0.0667682443662311	0.0369041577899686	0.0131871014651769	0.0251456166615656	0.0219952454881141	0.0396132001928513	0.024297601267587	0.0580183299231915	0.00740671260475735	0.0256584814783469
OM3_C_8C_3	0.0828164433641924	0.0278510487875813	0.00596374463665101	0.0394791280053548	0.0285843332549622	0.0126063091172762	0.0307216861022029	0.042243919017842	0.032392961391512	0	0.0138222693922115	0.0136236436537877	0.0227708462720824	0.0292462845830524	0.0203338957819654	0.00967201291511273	0.0274394678943085	0.0984898549673751	0.00629584025162396	0.0263207291945948	0.00802168513106245	0.0140992616019447	0.00816315934554314	0.0123131915313858	0.0262775469845968	0.0375112793602937	0.0123264317320619
