	OM3_B_B	OM3_C_7A	OM3_C_7B	OM3_C_7C	OM3_C_7G	OM3_C_7H	OM3_C_8A	OM3_C_8B	OM3_C_8C	OM3_C_8E	OM3_C_8F	OM3_C_9A	OM3_C_9C	OM3_C_9D	OM3_C_9E	OM3_C_9F	OM3_C_9G	OM3_C_9H	OM3_H_3C	OM3_H_3D	OM3_H_3E	OM3_H_3F	OM3_H_3G	OM3_H_3H
OM3_B_B	0	0.0573649835064289	NA	NA	0.0884797778046266	0.0452368584499265	0.0521644489590756	0.0506574857630988	0.0828164433641924	NA	NA	0.0732617182158772	0.0951276117304662	0.0613070986548074	0.0536810430190002	0.0739669850872228	NA	NA	0.0204527804886315	0.0599733599732568	0.0752300797984318	0.0741173206336802	0.0463614445220527	0.0743877442332364
OM3_C_7A	0.0573649835064289	0	NA	NA	0.0335405359866012	0.0123676733219267	0.0103409296308936	0.0109079238516956	0.0278510487875813	NA	NA	0.0242217899437959	0.0412474765418311	0.00556468979293741	0.00995873323850628	0.0186493231427076	NA	NA	0.0714749455468511	0.00368642139445105	0.0213122331999621	0.0172250679039879	0.0112446242817599	0.0197014086720563
OM3_C_7B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM3_C_7C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM3_C_7G	0.0884797778046266	0.0335405359866012	NA	NA	0	0.0452806601587804	0.0364518225042197	0.0382050053736152	0.00596374463665101	NA	NA	0.0176912711843947	0.00804268877321736	0.0284279134126504	0.0348827631593908	0.0155999289854208	NA	NA	0.104193748206578	0.0320327633548967	0.0133245513468996	0.0176430154028459	0.0433244607661698	0.0164443683321309
OM3_C_7H	0.0452368584499265	0.0123676733219267	NA	NA	0.0452806601587804	0	0.0116816106960373	0.0102129335798569	0.0394791280053548	NA	NA	0.0335148646166256	0.0527489175436769	0.017070140434968	0.0130987653070495	0.0301251923915404	NA	NA	0.0593960925851182	0.0147690457975066	0.0325019126883078	0.0293297214115752	0.0028477081338428	0.0313414497409898
OM3_C_8A	0.0521644489590756	0.0103409296308936	NA	NA	0.0364518225042197	0.0116816106960373	0	0.00261121832439959	0.0307216861022029	NA	NA	0.0226637848889108	0.0433388324944396	0.0109499296443209	0.00243023690275511	0.0220104482765493	NA	NA	0.0683556704841731	0.0128812453839905	0.0232548697002951	0.0230283408840773	0.00889212927894319	0.0235580404703729
OM3_C_8B	0.0506574857630988	0.0109079238516956	NA	NA	0.0382050053736152	0.0102129335798569	0.00261121832439959	0	0.032392961391512	NA	NA	0.0247781620979675	0.0451579217151452	0.0124484507201275	0.00501939316017859	0.0234309355970839	NA	NA	0.0667682443662311	0.0131871014651769	0.0251456166615656	0.024297601267587	0.00740671260475735	0.0256584814783469
OM3_C_8C	0.0828164433641924	0.0278510487875813	NA	NA	0.00596374463665101	0.0394791280053548	0.0307216861022029	0.032392961391512	0	NA	NA	0.0138222693922115	0.0136236436537877	0.0227708462720824	0.0292462845830524	0.00967201291511273	NA	NA	0.0984898549673751	0.0263207291945948	0.00802168513106245	0.0123131915313858	0.0375112793602937	0.0123264317320619
OM3_C_8E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM3_C_8F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM3_C_9A	0.0732617182158772	0.0242217899437959	NA	NA	0.0176912711843947	0.0335148646166256	0.0226637848889108	0.0247781620979675	0.0138222693922115	NA	NA	0	0.0225647120601347	0.0188273470703055	0.0209264009182636	0.0129654605398151	NA	NA	0.0902312992136514	0.0244256712768795	0.0081399994887797	0.017450062930847	0.0310230403051125	0.012607900210057
OM3_C_9C	0.0951276117304662	0.0412474765418311	NA	NA	0.00804268877321736	0.0527489175436769	0.0433388324944396	0.0451579217151452	0.0136236436537877	NA	NA	0.0225647120601347	0	0.0359983324335128	0.0417353388046871	0.0232429226241715	NA	NA	0.111315784275101	0.0398831815951493	0.0203515876865114	0.0256569426726719	0.0506662730527435	0.0235569036515741
OM3_C_9D	0.0613070986548074	0.00556468979293741	NA	NA	0.0284279134126504	0.017070140434968	0.0109499296443209	0.0124484507201275	0.0227708462720824	NA	NA	0.0188273470703055	0.0359983324335128	0	0.0096475281920182	0.013887199992908	NA	NA	0.0760969758531613	0.00631507531065895	0.0158839487037785	0.0132326969949345	0.0153675727837485	0.014550848805
OM3_C_9E	0.0536810430190002	0.00995873323850628	NA	NA	0.0348827631593908	0.0130987653070495	0.00243023690275511	0.00501939316017859	0.0292462845830524	NA	NA	0.0209264009182636	0.0417353388046871	0.0096475281920182	0	0.0207980000539312	NA	NA	0.0698343078886834	0.012676083883779	0.0215984368448896	0.0218583253780117	0.0104317609469826	0.0215663028203304
OM3_C_9F	0.0739669850872228	0.0186493231427076	NA	NA	0.0155999289854208	0.0301251923915404	0.0220104482765493	0.0234309355970839	0.00967201291511273	NA	NA	0.0129654605398151	0.0232429226241715	0.013887199992908	0.0207980000539312	0	NA	NA	0.0893308770600181	0.0169527649833445	0.00602277774860582	0.00531127803657583	0.0282299784562866	0.0100463632516983
