	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7G_3	OM3_C_7H_1	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_3	OM3_C_9H_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_2	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_2	0	0.0111156781652623	0.0199050555567472	0.0479735499280972	0.0197167905052443	0.00840559387647957	0.025896986281295	0.00735883191515547	0.0329633050969634	0.00508972330191551	0.0104573497138343	0.017525357611726	0.0257156684520481	0.0346677027822918	0.041973897575501	0.0219499566072749	0.0213942134793747	0.0217305876652963	0.0112888959838678	0.0148619559084855	0.0300357565894384	0.0463922970226636	0.0839732904998998	0.083999525532235	0.0460485436829087	0.047433881973524	0.0556614528425892	0.0613036479358016	0.0530079669857214	0.0520129927450067	0.0245901681269154	0.035170607197762	0.0382243355908172	0.0336449497906339	0.0461827404600306	0.0447411016688537	0.028909200629228	0.0384400546956018	0.0539165643408126	0.0349943707846871	0.0328514492266746	0.0318038460418894	0.0471744884413096
OM3_B_B_3	0.0111156781652623	0	0.00990230377588788	0.0369783477947925	0.0307578389824509	0.0191871373055759	0.0147867415331989	0.0181371886818279	0.0220745089991218	0.00896628782607927	0.0127732145623315	0.00677768903935217	0.0146253987997493	0.024238377765701	0.0309668410401514	0.0323565166434456	0.0323532589187406	0.0315750720705749	0.0213014629576756	0.0247110857797565	0.019048278500636	0.0355386542154848	0.0949315375903782	0.0949886189399044	0.0354164680597829	0.0367256483439407	0.0665602849697626	0.0723091757375932	0.0638650053429514	0.0628501152324117	0.0137126261647992	0.0240759520483476	0.0271829307605038	0.0226774958901482	0.0352007931763229	0.0508268735469744	0.0180693026357937	0.0281124114724444	0.0431332737355739	0.0242110979491791	0.023829000522415	0.0207512407762664	0.0361595507422166
OM3_C_7A_2	0.0199050555567472	0.00990230377588788	0	0.0288778825422001	0.0394271243006075	0.0280860981261932	0.00900828897779688	0.0265305063139696	0.0166877528582573	0.0164422398132417	0.0221152178618477	0.00610881152942434	0.00824642234487434	0.0191185420200078	0.0227984056334199	0.0416850996286759	0.040935458718067	0.0407776449460213	0.0303986002021084	0.0336869112112287	0.011626602042626	0.0270306668612355	0.103331679996254	0.10333084243685	0.0262773651405718	0.0294556825713615	0.0754277986779535	0.0808263245792699	0.072722142618177	0.0715036781416019	0.00580123410304639	0.017162309420629	0.0194155318355759	0.0161403241646834	0.0278539808893718	0.0558248295013228	0.0118862675658301	0.019751138510749	0.0363202070058559	0.0176850654319344	0.014036561975809	0.0143407398322844	0.0294214382297824
OM3_C_7A_3	0.0479735499280972	0.0369783477947925	0.0288778825422001	0	0.0675213627095902	0.0561388851941671	0.0225312168533545	0.0545874553556862	0.0168134070797221	0.0445512443510161	0.0464584636040271	0.0305906106501928	0.0224631802971195	0.0172380816912807	0.00633340928861004	0.0688142456877918	0.068890062144821	0.067246319510809	0.0574978136491389	0.0605223413627137	0.0179603560913372	0.0033922072488852	0.13165177920614	0.131692714678776	0.00722026607661985	0.00787499955016548	0.103209870543823	0.10882505992959	0.100342652859005	0.0990520970934086	0.0235643239086425	0.0133597805738483	0.00984850114128197	0.0150312483504381	0.00460234970243256	0.0804792529501485	0.0196109786100563	0.0128177159133065	0.0111857013412889	0.0144227483251637	0.0222205120324135	0.0166692445715948	0.00686497305345077
OM3_C_7B_2	0.0197167905052443	0.0307578389824509	0.0394271243006075	0.0675213627095902	0	0.0122292025515832	0.0455151758828795	0.0131099575118189	0.0521416896132858	0.0232840069591745	0.0237705744318028	0.0369861310964843	0.0453581241421804	0.0533708034394571	0.0616039057401055	0.00659268708469269	0.00277595447141103	0.00950361910632861	0.0111819858864444	0.0098786329717406	0.0496011509625652	0.0658876365238809	0.0647461816014998	0.0647161678411573	0.0655191096952153	0.0664757783475927	0.0360716855312087	0.0416173475687712	0.033429836693618	0.0325250763868353	0.0442607417818271	0.0547146660847721	0.0578192627914879	0.0530125533604989	0.0655491668164155	0.0413909167282167	0.0482278986950292	0.0574957570487726	0.0728802101820328	0.0541716465828408	0.0515412194575242	0.0512718486597893	0.0664706748504817
OM3_C_7B_3	0.00840559387647957	0.0191871373055759	0.0280860981261932	0.0561388851941671	0.0122292025515832	0	0.0338471849331677	0.00568931739353263	0.0409517371116972	0.013035097576855	0.0147271355863836	0.0257622260868623	0.0337600729887191	0.042730381471705	0.0500915777232289	0.0147585354903856	0.014403770828426	0.01605159144313	0.00763464240765441	0.0106585794977671	0.03822362307042	0.0546437807344469	0.0758224441634687	0.0758956125121901	0.0542842327326464	0.0556761569346256	0.0477446364153813	0.0535878264994473	0.0452990342160053	0.0446336094470139	0.0327428970945957	0.0431951348313232	0.0463451508388146	0.041771475525787	0.0543240557683587	0.0399324448615318	0.0371149266340053	0.046827157788779	0.0620243453341605	0.0431881998798007	0.0408792656271818	0.0398694050871635	0.055167074238737
OM3_C_7C_1	0.025896986281295	0.0147867415331989	0.00900828897779688	0.0225312168533545	0.0455151758828795	0.0338471849331677	0	0.0328489458764487	0.00885518573761802	0.0231624122786214	0.0250293861517419	0.00912615110934656	0.00115456353789493	0.0127458715557752	0.0164969418649696	0.046773364484325	0.0470774872165629	0.0456986645048992	0.0357303536935767	0.0389867900799899	0.00538572377145091	0.021500925640553	0.109505722851468	0.109595891540747	0.0219252210117612	0.0232398635916539	0.0811710212856867	0.0870074630076461	0.0784595090394979	0.0774409992242844	0.00387154536170389	0.00944819031332182	0.0126895749504876	0.00889435938380116	0.0209039588067065	0.0608518653135675	0.00597673213270171	0.0161698076892849	0.0293390779170684	0.0111928622449063	0.0162092874295104	0.00657092948955584	0.0217785508196503
OM3_C_7G_3	0.00735883191515547	0.0181371886818279	0.0265305063139696	0.0545874553556862	0.0131099575118189	0.00568931739353263	0.0328489458764487	0	0.039475355394332	0.0102063716796367	0.0135543989201843	0.0241141981261418	0.0326011433364062	0.0406846388924915	0.0487080896739174	0.0159913523702903	0.0144253855418198	0.0156071475022392	0.00581350060333392	0.00877052584556211	0.0366942004730206	0.0528742500438989	0.0777148110353778	0.0776654004209103	0.0525002136926693	0.0535659557619822	0.0490812874808366	0.0544648500402595	0.0462716322832704	0.0450363627884498	0.0313900986260115	0.0419529963903917	0.0449432989428378	0.0401863377489604	0.0526847714896864	0.0446041487299702	0.0353405607262587	0.0444145476044348	0.0601193455602086	0.0413007074792886	0.0387400347510172	0.0384955248850704	0.0537621543396013
OM3_C_7H_1	0.0329633050969634	0.0220745089991218	0.0166877528582573	0.0168134070797221	0.0521416896132858	0.0409517371116972	0.00885518573761802	0.039475355394332	0	0.0299435009369248	0.0300059444630603	0.0157036124492484	0.00903232401779335	0.00498628846236865	0.0121808374548844	0.0527983226085492	0.0534650133971735	0.0511001458188964	0.0416904608333845	0.0446386344893107	0.00622375255611661	0.016355741528806	0.116421150230908	0.116495342477491	0.018416709136037	0.0156602346788211	0.0874149073484285	0.0932844081554865	0.0844965624573995	0.083310925695913	0.0112672151764512	0.00510060027970083	0.00832090279267848	0.00279790812007174	0.0138577727536702	0.0694727816551216	0.00524675605895271	0.0121134696604213	0.0212852399497458	0.00416192197553633	0.019268197013088	0.00332783057371778	0.014377750267496
OM3_C_8A_1	0.00508972330191551	0.00896628782607927	0.0164422398132417	0.0445512443510161	0.0232840069591745	0.013035097576855	0.0231624122786214	0.0102063716796367	0.0299435009369248	0	0.0115574722367456	0.0143479925133586	0.0227936446243799	0.0312734609685398	0.0386707859218063	0.0257621728287476	0.0246048286530072	0.0248176233655715	0.0143986138101933	0.0176133785866469	0.0267212179161093	0.0427559542019665	0.0877094915400101	0.0876608733652213	0.0423125765832273	0.0437457263010538	0.0592703120890884	0.0645930187842419	0.0564445911523114	0.0551237383387125	0.0213835478364821	0.0321430072582274	0.0349667668735477	0.030398041587957	0.042811966144067	0.048512785962488	0.025520251587672	0.0343449977898078	0.050461492559225	0.0315247419722989	0.0287708408767122	0.028728530817602	0.0440650040727296
OM3_C_8A_2	0.0104573497138343	0.0127732145623315	0.0221152178618477	0.0464584636040271	0.0237705744318028	0.0147271355863836	0.0250293861517419	0.0135543989201843	0.0300059444630603	0.0115574722367456	0	0.0171349334979701	0.0250733799670038	0.0310418404983711	0.0409533145240349	0.0231235913740539	0.0249171186358548	0.0213782517826306	0.0128961902763519	0.0155662625432539	0.0290511676280273	0.0453271977015355	0.0874118737151913	0.0874963322842378	0.0459847112912058	0.0447081799443662	0.0577735087213661	0.0639041225786141	0.0548150046124913	0.0538172153144784	0.0249617460778612	0.0334367213333097	0.0369285197848795	0.0314533557706756	0.043785060040313	0.0523239267686671	0.0270157272404442	0.0375053796362304	0.0504773101824053	0.0325049793010663	0.0355987653365835	0.0298960704875025	0.0442472051978276
OM3_C_8A_3	0.017525357611726	0.00677768903935217	0.00610881152942434	0.0305906106501928	0.0369861310964843	0.0257622260868623	0.00912615110934656	0.0241141981261418	0.0157036124492484	0.0143479925133586	0.0171349334979701	0	0.0087439627515172	0.0176637650082192	0.0247500755364598	0.0383980435711202	0.0383867048676944	0.0370982123936644	0.0270463921784521	0.0302232440161964	0.0126567067430868	0.0291053341244362	0.101394531073357	0.101422172953898	0.0292269677920569	0.0300069788366279	0.0727517507439273	0.0784074138872006	0.0699173997646314	0.0687197741836249	0.00797924595519669	0.0178690378192565	0.0208923325357315	0.0161579677171315	0.0286795123889533	0.0567552720539175	0.011400487663155	0.0215057159206549	0.0365133003993192	0.0175297201681034	0.0190802893966115	0.014410994629623	0.0297841050073272
OM3_C_8B_1	0.0257156684520481	0.0146253987997493	0.00824642234487434	0.0224631802971195	0.0453581241421804	0.0337600729887191	0.00115456353789493	0.0326011433364062	0.00903232401779335	0.0227936446243799	0.0250733799670038	0.0087439627515172	0	0.0126344199861581	0.0164177506524605	0.0467298420292124	0.0468860553230987	0.0456041941021627	0.0355873325243476	0.0388260796294227	0.00490345716987517	0.0212671974383692	0.109430682654801	0.109501955912102	0.0215560169291308	0.0230724036194808	0.0810919475232346	0.0868528315320309	0.0783557416096142	0.0772781354879045	0.00286330174713002	0.00957847943685909	0.0126223376859459	0.0088275427864167	0.0209033997180406	0.0610063148306197	0.00552996251076407	0.0155164972138706	0.0293568809230748	0.0109836454867767	0.0152360016100418	0.00662209460393398	0.0219534313874007
