	OM3_B_B_2	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_2	0	0.017957075749098	0.0509621144032531	0.0414975476827158	0.0278782251308282	0.0231404016605428	0.0163243564398232	0.0273961394820253	0.0416078313176861	0.0155007806222234	0.0423094383703977	0.0568505945971963	0.0516900557757651	0.0318674706728649	0.0801014831393025	0.0186421551566915	0.0130307267456491	0.0363748382639904	0.0301500705523159	0.0283064631596473	0.0467448472129853	0.00132666803648092	0.0324032573298173	0.01972914943218	0.00416378781243063	0.0160808593133391	0.0351423848470384	0.0655645506137246	0.0515725461562938	0.0569380706795579	0.054961795630922	0.0690246345466329	0.0812342238742953	0.0302662309118506	0.0536139333284309	0.0784059107476245	0.0633631169872974	0.0617845129724489	0.0655764485499601	0.0492223615782914	0.0546349268065504	0.0516314620993304	0.0109071551946601	0.0129496010205029	0.0434567913435881	0.0338520843755896	0.0229966267442834	0.0568345731751917	0.0269137105291039	0.0463866601981418	0.0570055184507567	0.0241854359154501	0.0465393766433194	0.0708490614240603	0.0308359340133731	0.0566252021825792	0.024707864503244	0.0461182269003575	0.0910001291607994	0.0126716834581742	0.0412583401816536	0.0639274852387755	0.0449427493210654	0.0595798078091785	0.0850610862053396	0.00202342683248104	0.0383087246329502	0.0721179834428812
OM3_C_7A_1	0.017957075749098	0	0.0331469775438223	0.0237071569188862	0.0102827231466233	0.00520344289591406	0.00284056182153702	0.0115361402439239	0.0236725589319861	0.00249004028753412	0.0243656333651883	0.03931611442887	0.0338655041423134	0.0139238911144457	0.0622203201452727	0.0365223484064208	0.0306807219436452	0.0197083258985237	0.012912843110817	0.0105532240761995	0.0290408330464525	0.0172310649559618	0.0159221339451892	0.0107145529356667	0.0138068234967035	0.00326474587663124	0.0181179959010121	0.0476718688872291	0.0336482868075016	0.0390748173878958	0.0372737730544825	0.0512990766379692	0.063496841016776	0.013597058460551	0.0357595503233233	0.0605999106451201	0.0454520605203867	0.0439463367777527	0.0477759678203287	0.031281265047475	0.0368053952273402	0.0336986987083471	0.00727091744662523	0.00731131337094639	0.0262106654202359	0.0162485878742208	0.00589737039273543	0.0393157458252359	0.010811501380624	0.0287184018854558	0.039081399782542	0.00688316052888302	0.0288214498452931	0.0530491082104699	0.0132438167221071	0.0390713871561929	0.00680604346884755	0.0281941413871003	0.0733735343482209	0.00554356728164962	0.0234111972779773	0.0464819802980122	0.0270417303750116	0.041714579776032	0.0672178949314406	0.0176707150887241	0.0206970449577933	0.0544553562996444
OM3_C_7A_2	0.0509621144032531	0.0331469775438223	0	0.00947529356709212	0.0231163769709061	0.0281308385101572	0.0346693045667347	0.0247727543019433	0.00985425445064788	0.0355315568967948	0.00939599468932966	0.00729952168764697	0.000749960913717924	0.0193424379911569	0.029305498554357	0.0692414471347828	0.0637918287064295	0.0164903659294161	0.0210981623790487	0.0226711945243621	0.00451631019079857	0.0503238402856687	0.0199819149513227	0.0374858094814014	0.0468649123865379	0.0349376123147155	0.0167861451648678	0.0148041353234675	0.00687106683822875	0.00608145938326554	0.00457104958537159	0.018198849587742	0.0303836183077866	0.0215482376587289	0.00278146226160431	0.0274934997819932	0.0127844884137871	0.0108484643871775	0.01464177704356	0.00437980064567633	0.00368674527429863	0.00359550597703971	0.0400714191415737	0.0396950724061264	0.00938792369870065	0.017201936793979	0.0280419425473698	0.00739548535228382	0.0249643681219056	0.00501212349940394	0.0069209982014598	0.0268362452661217	0.00464642461361192	0.0232394862497917	0.0201861843981933	0.00697282101052802	0.0263436116057803	0.00558573692409581	0.0403407579105282	0.0383032390775138	0.00974098756270212	0.0142343129957374	0.00633266740569851	0.00871001668416327	0.0341873566052529	0.0507968750738781	0.0128261372690142	0.0214276181277787
OM3_C_7A_3	0.0414975476827158	0.0237071569188862	0.00947529356709212	0	0.0136434919281298	0.0187514330242836	0.0251977119708449	0.0156263287428857	0.00293963947319184	0.0260756138917294	0.00354839218119546	0.0158062092570549	0.0102080851034769	0.0100488030725594	0.0387451766724581	0.059793171320461	0.0543483905948444	0.00848809424506645	0.0117197231433105	0.0132019195269199	0.00540386078541335	0.0408667933372373	0.0111867690123102	0.0287667531245151	0.0374031747100622	0.0254668042605784	0.00801696846151624	0.0242042020647719	0.0119222396456838	0.0155012940979261	0.0135975691130176	0.0276073214460693	0.03982227869965	0.0123949507569303	0.01216447159952	0.0369623878339115	0.0220881405526629	0.0203202728014395	0.024108794439995	0.00861779875312159	0.0131576154185777	0.0106892543065777	0.0306018313006166	0.0303816765108095	0.00528853340437161	0.00776569511394335	0.0185741048283892	0.0158298017431046	0.0157261508450323	0.00516795398252359	0.0158556205299868	0.017366570941582	0.00516413566498772	0.0313865994172756	0.0107227138327435	0.0155359729464489	0.0169062272558773	0.00534304767108651	0.0497134241858445	0.0288336363327058	0.0008654074119924	0.0230195665317482	0.00395138530042421	0.0181463641213757	0.0436531726805504	0.0413494622214344	0.00360324118352275	0.0307759226952968
OM3_C_7B_1	0.0278782251308282	0.0102827231466233	0.0231163769709061	0.0136434919281298	0	0.00595960588053556	0.011560864427923	0.00497746043309979	0.0140802205911392	0.0125399663925498	0.0148617022449168	0.029078377663392	0.0238500658208695	0.00495404898991365	0.0523635557139045	0.0461738125557027	0.0407838268520652	0.00981565756524192	0.0028990063684907	0.000931500097106612	0.0188803450296295	0.0272793230476588	0.00654860502901412	0.0178254668978719	0.0238035568365245	0.0118255261851733	0.00801234882627887	0.0378157591521602	0.0244498923550218	0.0291337880893534	0.0271109736602765	0.0411840614936436	0.0534108615757169	0.00440818006779116	0.0257991139878498	0.0505874131679319	0.0356617702623768	0.0339595495191099	0.0377362395498094	0.0217036462980593	0.0267989187594327	0.0240283957122096	0.0169737659236105	0.0173709826699447	0.0159383555371148	0.00599535258716892	0.00494284241220814	0.0290730219098229	0.00436800640625326	0.0185302570825504	0.0293505317386353	0.00373053173166858	0.0186728522632763	0.0441365962520891	0.0029740340949507	0.0288400993803323	0.0038018702489593	0.0184814745896039	0.0632227245497346	0.0152100500384889	0.0134561764467909	0.0362288508752943	0.0172272722499465	0.0317793134016051	0.0572814384856518	0.0277948202427369	0.0104599978089455	0.044298102198488
OM3_C_7B_2	0.0231404016605428	0.00520344289591406	0.0281308385101572	0.0187514330242836	0.00595960588053556	0	0.00747352225601977	0.00912370953879006	0.0185445205751622	0.00769090311599017	0.0192178331791855	0.0344854337679447	0.0288393865198687	0.00881082056146153	0.0571063543282602	0.0417195704504816	0.0357774050886389	0.0157739037070283	0.00884500646523851	0.00592031755102955	0.0241325848644451	0.0223821383949212	0.0123624964601317	0.0120394859049505	0.0189831880943956	0.00785996231856134	0.0139571971195178	0.0425624150765775	0.0284520538812488	0.0340043337792643	0.0323451636617611	0.0463139232457194	0.0584879411939518	0.0100777671705228	0.0307028716981638	0.0555477624948789	0.0403252917087097	0.0388900148623057	0.0427434699720606	0.0261267021959965	0.0317684826326915	0.0285572795094661	0.0124608210746925	0.0116648827824028	0.0216754433855994	0.0115891611238002	0.00398098593065366	0.0344952576453702	0.00831686696302772	0.0238408164940608	0.033945779641422	0.00397914179429388	0.0239028666945728	0.0478560953186751	0.00870906883132332	0.0342289384753058	0.00216537043217674	0.023075198005487	0.0684206022184644	0.0107133657579774	0.0183983903931334	0.0416821688174815	0.0219554298304755	0.0366383548613715	0.0621314531656476	0.0227847863733799	0.0159413701576844	0.0495058110531122
OM3_C_7C_1	0.0163243564398232	0.00284056182153702	0.0346693045667347	0.0251977119708449	0.011560864427923	0.00747352225601977	0	0.0116042243735267	0.0254418208134521	0.00195448794099087	0.0261768538087607	0.0405620111591849	0.0354009576118456	0.0157619233222171	0.0638793045696847	0.0346664109088887	0.0292728738508205	0.0203391091250059	0.0138675874501361	0.0120232000877372	0.0304314493674174	0.0157624656023316	0.0164115980776633	0.0128495671522393	0.012277785434541	0.000425296131403595	0.0189527180731988	0.0493318106708831	0.0356159334203758	0.0406711562657481	0.0386530814002113	0.0527273920712462	0.0649498867831633	0.0141663135006558	0.0373399862895593	0.0621313297653322	0.0471549981072951	0.0455062655148297	0.0492871878010131	0.0330839146302614	0.0383487839017759	0.0354598540750032	0.0054189161223559	0.00778077056495559	0.0272251860963199	0.0175320764461645	0.00667966903672445	0.0405492651083703	0.0109916953818195	0.0300726062189379	0.0408160847540046	0.00786303578499876	0.0302266999833687	0.0551513784658429	0.0145153087479204	0.040332605475119	0.00860036433538594	0.0299214353810873	0.0747308983654223	0.00367076482130531	0.02498308909401	0.0476687714123292	0.0287098674351575	0.0433158680522845	0.0688135317997109	0.0163240129863401	0.0219911513678661	0.0558250205722243
OM3_C_7C_2	0.0273961394820253	0.0115361402439239	0.0247727543019433	0.0156263287428857	0.00497746043309979	0.00912370953879006	0.0116042243735267	0	0.0168802234291832	0.0131762013160597	0.0177262707877084	0.0298754649736457	0.0255224360749543	0.00933032355513028	0.053972512471506	0.0450312694784337	0.0404192917604706	0.00901798355776234	0.00435471884657662	0.00587901697317975	0.0202981740387705	0.0270206150577309	0.00505143917529028	0.0210224960566469	0.0235624911712487	0.0117061616933437	0.00806210891986468	0.0395599092679145	0.0272816571829568	0.0308491328743773	0.0282891368915844	0.0423147467167288	0.0545204665031596	0.00323639446130843	0.0275443329131302	0.0519000197527482	0.0375445845092327	0.0355000251461322	0.0391060755519201	0.0241833324987121	0.0284215258459117	0.0263136480899446	0.016759440948559	0.01881293440382	0.0163275368583006	0.0081607540470482	0.00577655263751345	0.0298380124041194	0.000806948727719811	0.0198544541486135	0.0314271104002693	0.00520754635408918	0.0201407917403291	0.046929593977037	0.00599884842129424	0.029680218180305	0.00724776187174212	0.020888372325749	0.0640695337019683	0.0151416706498738	0.0157060275270719	0.0368053951015145	0.0195272948462723	0.0334600076270965	0.0587091996688616	0.0276753106257038	0.01205034337357	0.0452624001146866
OM3_C_7C_3	0.0416078313176861	0.0236725589319861	0.00985425445064788	0.00293963947319184	0.0140802205911392	0.0185445205751622	0.0254418208134521	0.0168802234291832	0	0.0261149173832739	0.000857890326233966	0.0168417945742226	0.0105098039738358	0.00975015351387755	0.03858066706946	0.0600753408840518	0.054305611045517	0.0108563347062451	0.0126763100270789	0.0134738149921761	0.00676124801666381	0.0408955901975282	0.0129452413623849	0.0276502783754789	0.0374696607294867	0.0257469238581103	0.0099677786695192	0.0240268042906811	0.0104438956491706	0.0155127976609065	0.0143361039311098	0.0279701903437761	0.0400689971883155	0.0137335874794827	0.0122557556234826	0.0370622266972893	0.0217913562919514	0.0204133024870447	0.0243041738947822	0.00764598709369879	0.0133684245015442	0.0100336593793454	0.0307767341231223	0.0299809466691026	0.00812946778649509	0.0087251636044006	0.0189916386385	0.0168972341921305	0.0168467135496882	0.00675392653891574	0.0154153351015604	0.0177811824310415	0.00648654576228164	0.0301530173390312	0.0113688671998282	0.0165412735870109	0.0169113072380832	0.00453348827768788	0.050100513988573	0.0290027325282259	0.00212569431821465	0.0239811961720068	0.00352220690789949	0.0181323411656945	0.0436151290496913	0.0413171798994326	0.00557829236915258	0.0312390482435997
OM3_C_7G_1	0.0155007806222234	0.00249004028753412	0.0355315568967948	0.0260756138917294	0.0125399663925498	0.00769090311599017	0.00195448794099087	0.0131762013160597	0.0261149173832739	0	0.0268170063027191	0.0416109849477149	0.0362542286593371	0.0163703959533536	0.0646459336814019	0.0340442316944508	0.0282907855570987	0.0217051445820999	0.015045459638656	0.0128841142064365	0.0313814177780234	0.0148084459051259	0.0178321140040695	0.011066043195099	0.0113623475832567	0.00217704116986578	0.0202129657604834	0.0500969031991021	0.0361264781667866	0.0414822145481036	0.0396150811530072	0.0536600226000603	0.065866572019323	0.0155402908741614	0.0381616511531915	0.0629925264866045	0.0478867653437576	0.0463450092942054	0.0501615365950643	0.0337337968800721	0.0391975262653085	0.03614366321174	0.00478377765766226	0.00587210938010681	0.028402500658076	0.018532705506856	0.00786733885969432	0.0416059851502007	0.0125147070174348	0.0310462764979876	0.041522047263837	0.00897252492863074	0.0311667783010934	0.0555357415587165	0.0155135471576281	0.0413718333594435	0.00921413202353263	0.0306297810909352	0.0757128024630442	0.00307749117220484	0.0258037150714021	0.0487568494356447	0.029462737291669	0.0441239228952239	0.0696279025623675	0.0152816795157875	0.0229943273666831	0.0567976880752858
