	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_3	0	0.0253650707115301	0.0471959516522256	0.0370901480340055	0.01180006925472	0.00878075910782097	0.014239680794863	0.0251892461858745	0.0246371176135824	0.0364892524781516	0.0349909785509452	0.0556104228665709	0.0401981491954549	0.0432195027148485	0.0223415455650981	0.0281565076673756	0.0639284560493374	0.0396610913371251	0.0403155832485752	0.0170982240149273	0.0108268823267949	0.0185626387141377	0.00870853948774197	0.0258211427220943	0.0277074553373931	0.0354233858116596	0.022064748248276	0.0408769085743836	0.0541100205519616	0.0748718840963492	0.0367630322524645	0.0395485675445314	0.0289486512825666	0.0445443999298748	0.0225786619059377	0.0268463238210982	0.0376023979534151	0.0349285622243603	0.024665695518396	0.039735060509993	0.0377774459268687	0.0293853017400867	0.0231145991927489	0.0239243296582429	0.0266988276169173	0.0496072742853288	0.0213658823124858	0.0225587800493111	0.0434474928654151	0.0231868832417627	0.0413223284983289	0.038248835253292	0.0168517678204118	0.0556956351861494	0.026756895192487	0.0293342456329836	0.0455635458255409	0.0309839865070338	0.0237728074489718	0.0452941654112324	0.01905888280237	0.0172342814333299	0.0149528554652497
OM3_C_7A_1	0.0253650707115301	0	0.0229413077593126	0.0125455808975689	0.0221317371786772	0.0225490346126243	0.0188742671179236	0.00850805042920852	0.00473478092846669	0.0135434313297139	0.0128093799921572	0.0327199674809491	0.0185686002313118	0.0198863804883871	0.00765956895508059	0.00545286134172696	0.0414458223026111	0.0179740924605546	0.0156904848608173	0.0268692926701563	0.0159297349104895	0.0226370946715218	0.0180118958574661	0.00689646810873068	0.00320950783485245	0.0131512512059149	0.0039766246835606	0.0210520602471632	0.032930211152712	0.054352709816901	0.0149203795999184	0.0193775012272522	0.00504723559609287	0.0203179964774049	0.0080817288315408	0.00333422388110429	0.0185315581824772	0.0140093162099527	0.00183733637367934	0.0176814778117482	0.0130602325890743	0.00415704527008974	0.00578614900472612	0.00539654876311267	0.00612684496052705	0.0266132997760656	0.00631699044863235	0.00395171042263951	0.019497007559862	0.00463916786144933	0.0176826771857903	0.0159903743498955	0.013882722604181	0.0339543539241096	0.0027902348732142	0.00719793841816038	0.0226662166337162	0.00953873518529379	0.00740217625969866	0.0229123057820762	0.00932221673772823	0.0161151861583232	0.0158796108247397
OM3_C_7A_2	0.0471959516522256	0.0229413077593126	0	0.0104082788300129	0.0442716160035236	0.0451085894804344	0.0409089363319021	0.0225478480149693	0.0252882984723385	0.0115855629161196	0.0135762857503957	0.013301718900246	0.0108453916989612	0.0053589917762217	0.0251449267612132	0.020392232503078	0.0201151738210316	0.010361985155612	0.00743372910703024	0.04834919867071	0.0378929147526136	0.0438875710567291	0.0405889813800421	0.0259001457929302	0.0200006770471043	0.0126293330740366	0.0260539966486551	0.0138544147980471	0.0154549674754559	0.0341065014605471	0.011490206708718	0.0128924950782651	0.0204914107089128	0.00523953451299137	0.0290694421183839	0.0206143535612594	0.0159066156926881	0.0145156602607744	0.0236181043860258	0.00996815943492027	0.00994072576966127	0.0192826275256862	0.0258739428042483	0.0247019499676544	0.0205726479600118	0.00804388559084921	0.0260468860497273	0.025668640035789	0.00602602872037833	0.0260736426363717	0.00604695952668438	0.0115330891021323	0.0356431378287297	0.0153866219580538	0.0222257853412046	0.0199851932735398	0.00500113380578521	0.0166515917801353	0.0271294712219564	0.00708117441581551	0.0295995252190129	0.0364963634322954	0.0386207749515613
OM3_C_7A_3	0.0370901480340055	0.0125455808975689	0.0104082788300129	0	0.0341697772515988	0.0348507305790405	0.0308377113347674	0.0132982637081902	0.0152474452316785	0.00476529889659393	0.00635032316664298	0.0210858066759003	0.00918824727261107	0.00787819595952667	0.0154377285711436	0.0106261176932541	0.0293676070454588	0.00836655090883357	0.00331936086916954	0.0385138072102003	0.0277563686642115	0.0341079304303708	0.0302875902760096	0.0162059189309991	0.00961071102080021	0.00562442919572507	0.0157694804250961	0.0129322114495559	0.0219621756405697	0.0428034096418449	0.006326047179692	0.0111392698514754	0.0106638908637349	0.0083311640916178	0.0191172016387925	0.0102971627294642	0.0124524553011395	0.00825856382135752	0.0133055363717314	0.00781183664864107	0.000923937131357476	0.00905207833012894	0.0159216544200545	0.0147907848746906	0.0107542780929927	0.0148594869592467	0.0160691188094763	0.0154295895971586	0.00767432628445856	0.0159204337556593	0.00552773539410852	0.00728309904494654	0.0256130893808638	0.0226455540282203	0.0120473593036266	0.0107268349404763	0.0106773929015909	0.00788401722689452	0.0173590345729399	0.0114356423542117	0.0197457300820795	0.0268580661594322	0.0283142056781701
OM3_C_7B_1	0.01180006925472	0.0221317371786772	0.0442716160035236	0.0341697772515988	0	0.00356065998988528	0.00391973474282027	0.0251101659354946	0.0193431626517416	0.0351155506470227	0.0341406658667343	0.0546464916810662	0.0397550379340355	0.0413668724361332	0.0224426724394139	0.0239177915322705	0.0629991011890692	0.038949847723891	0.0374206984519767	0.00647352470819727	0.00816374006437905	0.00690116491592876	0.00698401236787217	0.0194288914509987	0.0250049566129781	0.0342966072710587	0.0185446385044009	0.0414858539338292	0.0542174143455224	0.07524715019924	0.0354271103969608	0.0397181248517072	0.0241187565224569	0.042290667599629	0.0160029868452524	0.0244685393470332	0.0385706127490929	0.0347322899215414	0.0209720493783631	0.0388872624038594	0.0347603707442359	0.0254919225533424	0.0184212143582548	0.0196316838364964	0.025467763386569	0.0484019084657429	0.0192992137566779	0.0187961301132365	0.0414583348541371	0.0183569557410267	0.0388802786451969	0.0375069263833048	0.00889265979885618	0.0554758475561223	0.0223836322672308	0.0245913303513885	0.0437213390453263	0.028733311412611	0.0175520746426045	0.0441436099045552	0.0152950481360573	0.00910383543730273	0.0085800424205882
OM3_C_7B_2	0.00878075910782097	0.0225490346126243	0.0451085894804344	0.0348507305790405	0.00356065998988528	0	0.00630158549700392	0.0250329278254029	0.0204133444855181	0.035370856361068	0.0342177162222533	0.0548671036722066	0.0398353937230853	0.0418879068423175	0.0221692736399784	0.0249696694466134	0.063383551095667	0.0391612359249479	0.0381003084617265	0.00912448402509337	0.00792953824258008	0.00986304188962523	0.00527880913918588	0.0208299297708782	0.0254118637583728	0.0345307317805424	0.0190865629952226	0.0413249708162627	0.0542543338215846	0.0754135827868532	0.0358547143567833	0.0397219504341866	0.0252000610056635	0.0427866880294551	0.0173309272781618	0.0248151184380349	0.0382412071509866	0.0346781040351632	0.0215943685179923	0.0391029699235423	0.0354476540747668	0.0262274110706524	0.0194999620150206	0.0206490551724384	0.025614479371124	0.0487135361471883	0.0196536471463911	0.0194535687122485	0.0418870603191765	0.0192860680656643	0.0395848416192672	0.037572912997633	0.0105881408950005	0.0555820838593497	0.0232257411449989	0.0258667878541911	0.0443415661265727	0.0294040044600057	0.019018850364068	0.0445320226567266	0.0161840045184113	0.0114985830497503	0.0085990583186527
OM3_C_7B_3	0.014239680794863	0.0188742671179236	0.0409089363319021	0.0308377113347674	0.00391973474282027	0.00630158549700392	0	0.0227322330799492	0.015780315728542	0.0320756240213567	0.0312165358244282	0.0514962688116263	0.0368820465595692	0.038213852581766	0.0201613477542407	0.0205902354141841	0.0599055287743199	0.0360718523664541	0.0340472406251172	0.0081935041553934	0.00730727274559137	0.00561668932652745	0.00703149890017987	0.0156813153962274	0.0218215584341822	0.0313573180878897	0.0154199213241397	0.0388548403539728	0.0513539380928218	0.0724517900262459	0.0325217647354361	0.0370487795947916	0.0205748284001547	0.0389692821961665	0.0122684911946511	0.0213951414004649	0.0360357051277296	0.0319738229637714	0.0176902388862469	0.0359571355775293	0.0313889758712339	0.0220424928236022	0.0151637827462808	0.0164442985895615	0.0227040433721019	0.0452714923878969	0.0166790600270672	0.0156218668634771	0.0381983272922111	0.0149308962592992	0.0356684430543183	0.0345504624240997	0.00528001382008693	0.052519429288655	0.0189154599728309	0.0212206124288473	0.0406177596105343	0.0258096768971928	0.0139681884263646	0.0411351102902458	0.0126758053704516	0.00662050207540962	0.00598473323108426
OM3_C_7C_1	0.0251892461858745	0.00850805042920852	0.0225478480149693	0.0132982637081902	0.0251101659354946	0.0250329278254029	0.0227322330799492	0	0.0117780226659562	0.0117932876192236	0.0104264147094979	0.0309177920802962	0.0153466173382091	0.0182069523852615	0.00313412851110576	0.00925006104925205	0.038916423418994	0.0145742852279371	0.0162912865263024	0.0306630370465818	0.0173371909332069	0.0274715897357506	0.0200220556062361	0.0141520035809458	0.0071857542804141	0.0104726640292274	0.00885926815989201	0.0165429293521024	0.0295230579128441	0.0504599191018266	0.0116196428106892	0.0147859481758563	0.0111866594341204	0.0201165985754258	0.0147387366200669	0.00603734393454447	0.0137625008014162	0.0102734340037471	0.00865457480465233	0.014697072967455	0.0141193835698034	0.0100634497756489	0.0101983906887109	0.00918621942568409	0.00317801041025268	0.0247002552170571	0.00628845276609502	0.00894104564728437	0.0189110192691151	0.0109265272749764	0.0165380643192523	0.0136784073577604	0.0182599763202167	0.0310010342840863	0.0101072381734064	0.0106817847541919	0.020435564819654	0.00711316427893429	0.0132611135680079	0.0201445295107341	0.0108343503343595	0.0190711331465658	0.0206779090034625
OM3_C_7C_2	0.0246371176135824	0.00473478092846669	0.0252882984723385	0.0152474452316785	0.0193431626517416	0.0204133444855181	0.015780315728542	0.0117780226659562	0	0.0172082579902323	0.0168064633934036	0.0361339962044543	0.0223651744653744	0.0229064015065348	0.0106898207528118	0.0056592832330881	0.044573101869654	0.0215364621090019	0.0183724629785833	0.0233804763185268	0.0142907009935617	0.0189040926505344	0.0165774772684274	0.00248603996474964	0.00718332632855217	0.0168148338481699	0.00388505109464934	0.0250597311474303	0.036587954307962	0.0576909428263811	0.0180591243861358	0.0231591259737996	0.00486392753759817	0.0233647953056619	0.00392255514992952	0.00729665300179032	0.0227743211752653	0.0180932155614171	0.00338748512481156	0.0212718257073968	0.0157309404277042	0.0064216955491652	0.00326687366181037	0.00384695723944333	0.00983335275346659	0.0299504171944736	0.00720578437409372	0.00344236288683986	0.0226987306943441	0.00161199723555929	0.0203121763110127	0.0199130828931442	0.0105569341380826	0.0375217122406078	0.00330963841171791	0.00659233308317825	0.0254490944261306	0.011861822429563	0.00288556062873331	0.026128403094308	0.00757662670270364	0.0126013296755519	0.0136892423392521
OM3_C_7C_3	0.0364892524781516	0.0135434313297139	0.0115855629161196	0.00476529889659393	0.0351155506470227	0.035370856361068	0.0320756240213567	0.0117932876192236	0.0172082579902323	0	0.00206962826851805	0.0196158478602077	0.00526921157832822	0.00703821037078805	0.0142422043147699	0.0127317391860389	0.0281104176241327	0.0048015357390505	0.00581654352837257	0.0400217442652686	0.0280418346429434	0.0359256774986576	0.0304762912378581	0.0187017286832101	0.0103860916122805	0.00171798088894329	0.0166612965639167	0.0086267483295882	0.0194326160356369	0.0408383285157066	0.00404826477639878	0.00700442951477114	0.0133019421076309	0.0083936601903832	0.0210967016676943	0.0107020961690562	0.00771093689135788	0.00369245576705274	0.0145325940708529	0.00427522617151124	0.00516519007348964	0.0111806677370913	0.017423886776813	0.016223927193179	0.00998541492344587	0.0133586689505809	0.0162138002600918	0.0164764876847221	0.00713779907839919	0.0174906853747907	0.00623310044001535	0.0030082633031958	0.0270208511802553	0.0204782605954311	0.0139681260612022	0.0133193473747176	0.0100053840224583	0.0082124927883152	0.0194623598258548	0.00956545391405472	0.0205160216171985	0.0283020345951559	0.0292967606815132
