	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_3	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_3	OM3_C_8B_3	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_1	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_3	OM3_H_3F_3	OM3_H_3G_3	OM3_H_3H_3
OM3_B_B_2	0	0.0170360242997635	0.016004448150795	0.0235585433857004	0.0329002417292053	0.0187499152430164	0.0246442903940704	0.0177992251037125	0.0432936568317725	0.0299810266506224	0.0244420131798977	0.0284924671318319	0.0212432869904066	0.0327022306601898	0.0146739547666998	0.0331975239707086	0.0372448213973868	0.0197541430998706	0.0181728682177138	0.0290593804467297	0.0473430814641887	0.037845640341042	0.0453633663153677	0.0396447146364374	0.0261951879924633	0.0290845225151678	0.0168395867027015	0.014952215002656	0.0201107710664509	0.0218762534973148	0.0284804706097469	0.0346971859618535	0.0248279456312286	0.0505049610433457	0.0457687628412211	0.047599405743469	0.0470997874329199	0.0518549941672127	0.0131755204141226
OM3_B_B_3	0.0170360242997635	0	0.00935925398194283	0.0065400308719898	0.0164560636806433	0.00478183296059122	0.0107425772803735	0.00545270576142068	0.0263059135964894	0.0133788527745484	0.00745597745317607	0.0124730714568647	0.0059585419665956	0.0168340777116093	0.00329909669797131	0.0161654985731193	0.0221328621011568	0.00626375911604639	0.00916075814675418	0.0130397916454189	0.0311717135154951	0.0219553212855776	0.0301658385765873	0.0230270162288858	0.012576967435661	0.0132014362937487	0.00981851585502621	0.00569845877634961	0.00363002876989922	0.00813110768817312	0.0125905868146941	0.0179107467908361	0.0112632648552558	0.0338828701373276	0.030438140197158	0.0311509338213408	0.0302267406381564	0.0348850670635175	0.0115696408302296
OM3_C_7A_3	0.016004448150795	0.00935925398194283	0	0.0129418477171903	0.0190620463265147	0.00617506294840464	0.00949876819693421	0.00472641288762386	0.0304416206488162	0.016720577224837	0.0133532236220313	0.0145043871220791	0.00827135183468409	0.0181320985700107	0.00660413518447745	0.0215883284637355	0.0218623661091617	0.00597356756857048	0.00232140578422111	0.0150003928097796	0.0325199029493878	0.0230161601678606	0.02984401626892	0.025717635648483	0.0107072754209286	0.0148628637833049	0.00088026943301762	0.00380945444772991	0.0125762755828652	0.0072867724530245	0.0143403238303606	0.0214462091026991	0.00947417222515626	0.036260337226441	0.0303138091630211	0.0331253982593386	0.0335698344387391	0.0386588081989204	0.0179861750200441
OM3_C_7B_2	0.0235585433857004	0.0065400308719898	0.0129418477171903	0	0.0103657226607054	0.00677187445509158	0.00843905767309252	0.00823214468519183	0.0197674810621564	0.00724471017370978	0.000989781754096454	0.00716787536441866	0.00501370965958082	0.0112775891561493	0.00917362807564976	0.00966973207732141	0.0169105446463257	0.00722595643031968	0.0115584802396906	0.00765854937565094	0.0250281773157322	0.0161534517238511	0.0246239006914888	0.0166817234856329	0.00992741783731089	0.00796675751467876	0.0129777468989494	0.0103842760600243	0.00442336219297195	0.00735972428535126	0.00743481364322224	0.0114921303392493	0.00910287696979239	0.0274805517588318	0.0248089246408622	0.0248506087685853	0.0237182604170385	0.0283485739332549	0.0167974908316928
OM3_C_7B_3	0.0329002417292053	0.0164560636806433	0.0190620463265147	0.0103657226607054	0	0.0142490839104579	0.00983482511951172	0.0154137922836129	0.0115132323222223	0.00312300605576389	0.00937784942308053	0.00457394828339859	0.011703557851344	0.00253076201790552	0.0182500956128457	0.00619067456800527	0.0075151958733486	0.0135268689755874	0.0168738178991364	0.00406250246319426	0.014726177651346	0.00590689845275017	0.0144636397860118	0.00677782240464678	0.00943267112088933	0.00422207764953182	0.0186307988013774	0.0182551375480594	0.014778563913474	0.0117902178930542	0.00472259021641332	0.00278272474766991	0.0101162779743142	0.0176208403732074	0.0145780452189129	0.0147448050795688	0.0145312465599073	0.0196024483111916	0.027154943764221
OM3_C_7C_3	0.0187499152430164	0.00478183296059122	0.00617506294840464	0.00677187445509158	0.0142490839104579	0	0.00645016972808924	0.00146306659747737	0.0251839134839905	0.0114873967349868	0.00723244369296562	0.00976405391030203	0.00255659178599563	0.0139591294734026	0.0044303378651705	0.0157670771385075	0.0187254882038898	0.00150739106276398	0.0050406115452694	0.0103265899106635	0.0286061636607932	0.0191144315792783	0.0268685827497967	0.0210254695323212	0.00825020497308137	0.0103389054828234	0.00626840419613016	0.00404681978182508	0.00698510223775503	0.00361525413960856	0.00973690407179573	0.0162868396649485	0.00686161796756402	0.0318485415608475	0.0272227988150132	0.0288873415172479	0.0286787043549901	0.033620782296039	0.0160105091377348
OM3_C_7G_2	0.0246442903940704	0.0107425772803735	0.00949876819693421	0.00843905767309252	0.00983482511951172	0.00645016972808924	0	0.00696439241320588	0.0213452757578296	0.00806820182232782	0.00807745010292807	0.00549506838085945	0.00482998763071295	0.00865312907279727	0.0108583520478915	0.0136755050968649	0.0126122791880622	0.00508724175384037	0.00721116985789867	0.0058794642220031	0.0230569875836736	0.0135311731714726	0.0207316038780448	0.0163162274768339	0.00183531352853387	0.00563286755787087	0.00895499376498001	0.0097218288116974	0.0114436755416215	0.00286777411312626	0.00521879547362413	0.0124333652203479	0.000664200699928366	0.0267696459209371	0.0211407222633552	0.0236300543722498	0.0242045245715823	0.0293457549005365	0.0222802074403187
OM3_C_7G_3	0.0177992251037125	0.00545270576142068	0.00472641288762386	0.00823214468519183	0.0154137922836129	0.00146306659747737	0.00696439241320588	0	0.0264833875103019	0.0127461451049498	0.0086934645465145	0.0108746056489326	0.00385546824516124	0.0149559364439249	0.00411209876312536	0.017178802119594	0.0194922246841074	0.00195580851669148	0.00381038069206051	0.0114247014123429	0.02960012920738	0.0200742795237099	0.0276337348815972	0.0221859240974261	0.00866825315669267	0.0113954426222556	0.00487079996382992	0.00287105855713779	0.0081408853342137	0.00411707790214791	0.010808493466171	0.0175464634053805	0.00726265623631155	0.0329645644613035	0.0280168794951848	0.0299581685683694	0.0299000025008853	0.0348800508311979	0.0161131624644182
OM3_C_7H_1	0.0432936568317725	0.0263059135964894	0.0304416206488162	0.0197674810621564	0.0115132323222223	0.0251839134839905	0.0213452757578296	0.0264833875103019	0	0.0137593486773688	0.01886412274429	0.0159733172193136	0.0226440747586691	0.013164031310701	0.0287221405417951	0.0103261066442588	0.0136652131244406	0.0246984436486186	0.0283099928684638	0.01551339569333	0.010005183796016	0.0105085758848495	0.014306444379355	0.0059532509387128	0.0208790115211889	0.0157195159908893	0.0300610348023368	0.0292279345720173	0.0236522252450146	0.0231593125693174	0.0161809427181609	0.00899771070646085	0.0216254859884054	0.00925841049601384	0.0138453521194851	0.0083016298103265	0.00451581613034607	0.00858626733687563	0.0353843474283406
OM3_C_7H_3	0.0299810266506224	0.0133788527745484	0.016720577224837	0.00724471017370978	0.00312300605576389	0.0114873967349868	0.00806820182232782	0.0127461451049498	0.0137593486773688	0	0.00625781154914234	0.00264705606231111	0.00893243361882437	0.00444214377473305	0.015310311850438	0.00577529711768001	0.0101068795201957	0.0109411930660886	0.0146481264499467	0.00247582969110815	0.0178321495331825	0.00894985261230756	0.0174797342772434	0.00968850163244946	0.00823319235798898	0.00290304981851663	0.0163842698646002	0.0155307471744666	0.0116614296614554	0.00946279602413947	0.00301253768652821	0.00480194718600099	0.0085099720348542	0.0205680532223709	0.0176278467530058	0.0177788492659862	0.0172024171536306	0.0221411300697408	0.0240383658812483
