	OM3_B_B_1	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_1	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_2	OM3_C_9E_1	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3C_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.0321279426782143	0.0155777015926511	0.0290521619330369	0.0851407037735111	0.0309900894516053	0.0359859359748666	0.0518148289854104	0.0417396059229025	0.00634471825605261	0.00907887842822964	0.0601643869472967	0.0785033984567564	0.0432037065659691	0.0518986751634619	0.0459750720792947	0.00897866324974655	0.00907127307674275	0.0104307286530783	0.0201463384630756	0.062123344657292	0.0389918872282046	0.0330350731912854	0.03450120711388	0.032032693670968	0.0436252612685121	0.04136712256644	0.00355680808931905	0.0121866351848394	0.0169602210422263	0.0124421728817751	0.0150237326753452	0.00994990514915587	0.0109701390275059	0.0172694261627858	0.0196603527345622	0.0449560120236972	0.0379946092882852	0.0328044208481473	0.0446897937556692	0.0421739605592528	0.0493054647999461	0.0367964972558368	0.0700149075357255	0.0453361346006996	0.0526396202665047	0.0494756683373794	0.056106365866542	0.0734337341764504	0.0321326757612157	0.0428756117144418	0.0320512961520118	0.0383643863602299	0.0480555985273885	0.0432122304832215	0.0571689227184985	0.0481032307393553	0.0404167754554483	0.0470355866327346	0.0344735455014759	0.0408208924853698	0.0338546705679329	0.0418476032529958	0.0437830094563099
OM3_B_B_2	0.0321279426782143	0	0.0177965178715208	0.00334738339834399	0.0569170696722894	0.010692469395536	0.00790332283064375	0.022005481470398	0.0160646822075988	0.0263939836178412	0.024828963278482	0.0352671118770304	0.0500806147567595	0.0175575365518657	0.083609258428286	0.0777366935465238	0.0291872289052532	0.0232981877683087	0.0273339045575886	0.0130212447794749	0.0329899838980736	0.0145796463402571	0.00658978998779315	0.00768714424223471	0.00498189973973137	0.0134828494585123	0.0124798623050531	0.0328403414637929	0.0424549712739092	0.0192130448068288	0.0433892205832541	0.0468494452641054	0.0409907897084885	0.028344249648607	0.0192828084432372	0.0149923077572077	0.076239308053771	0.0698429191400259	0.0642343574131074	0.0137212230525474	0.0151842324474166	0.0243858821414129	0.00731849729283671	0.0406571815147796	0.0160518850639951	0.0239296434117435	0.0202183363559678	0.028832243114012	0.0449542437768235	0.00647941987715453	0.0110596658129458	0.00809369189900066	0.0123043648119891	0.0184661674828647	0.0166667777594966	0.0261487685707252	0.0232418371324116	0.0120313216203305	0.020158622337796	0.01041429135325	0.0134106047477336	0.0129713305596991	0.0181937897767259	0.0172357373124314
OM3_B_B_3	0.0155777015926511	0.0177965178715208	0	0.0146596718898987	0.0707902117608584	0.0166629655421218	0.0210770080118299	0.0366761233426674	0.0269770163579304	0.00932344768301232	0.00897632881864962	0.045963377732014	0.06403981759719	0.0282041679906342	0.0671872008417718	0.0610700058759594	0.0123133040203546	0.008064429400741	0.0111492509879097	0.00606158185838407	0.0473553516636468	0.0239085089391316	0.0181751410357607	0.019035202450995	0.0174075581711407	0.0284602287971169	0.0264361688786348	0.0167212870595789	0.0260242089840128	0.00899579954632019	0.0261412541049858	0.0299409475265536	0.0243836076427264	0.0125512349057397	0.00595883606785461	0.0049024990940335	0.0602557689174469	0.0531727926838588	0.047998122642022	0.0298653419814769	0.0273323277237817	0.0348792725805331	0.0219390172416352	0.0552893785937396	0.0305396673678265	0.0374822325630552	0.0341170121666301	0.0416963567629284	0.0588001835988616	0.0171868481347573	0.0284200952428257	0.0168986238977305	0.0234717247304243	0.0330780137553097	0.0279174056282526	0.0425370942965129	0.0332427645999182	0.0256623358738236	0.0320402866687946	0.0197481891255927	0.0254712751622131	0.0189221445102336	0.0272845063897002	0.0291901815945159
OM3_C_7A_1	0.0290521619330369	0.00334738339834399	0.0146596718898987	0	0.0589008299877802	0.00942885338796949	0.00894433273466368	0.0240793599198958	0.0166625973346007	0.0232453257025866	0.0218365271126577	0.0363117034238904	0.0520452046362119	0.0183468646349746	0.0806737433483121	0.0747824193999519	0.0258743469774927	0.0201815546503757	0.0240831486807673	0.00971527523028813	0.0350185390305871	0.0149370868377686	0.00672371182620047	0.0081872777003146	0.00508040183273611	0.0155645805776482	0.0141068469311995	0.0298998548383289	0.0394525577606933	0.0165901621095195	0.0402346400710252	0.0437904958557503	0.0380481311182598	0.0251158434739573	0.0160817053697128	0.0118998248360399	0.0734003083027908	0.0668514267995807	0.0612809252327123	0.0161704730343996	0.0163131708913189	0.0253033158308158	0.00873933625700082	0.0428666442390304	0.0177775433095089	0.0257189697874818	0.0221602408975022	0.0304287940442895	0.0469215575027202	0.0062163375307889	0.0139846331488554	0.00720291984038072	0.0127682180860806	0.0204976005880203	0.0176670887042872	0.0287736799898198	0.0241134349825248	0.0134271575006227	0.021353086604746	0.0099336880355945	0.0145321890869363	0.0120507553058465	0.0185301649332943	0.0184005361685048
OM3_C_7A_2	0.0851407037735111	0.0569170696722894	0.0707902117608584	0.0589008299877802	0	0.0586014987790344	0.0506177626065241	0.0358031285502037	0.0447986250117502	0.0791617098104501	0.0791965083639561	0.0274106373523653	0.00738843958298186	0.0431315206661435	0.135950618744614	0.130153160251584	0.0788912694356915	0.0766096255989528	0.0786240469905093	0.0662504045171045	0.0240934897899203	0.0474647435783637	0.0562408074857218	0.0533375264781568	0.0572701861719982	0.0439688624574623	0.0451256462123078	0.0869901197301411	0.0959703445208836	0.0744675129979273	0.0951401854399902	0.0994775015926852	0.0946996763853944	0.0795164020244915	0.0702996490378825	0.0676917223406231	0.129481002886988	0.122189576545404	0.117287343657255	0.0433700089274631	0.0436720210504196	0.0365580682264018	0.0502570187762534	0.0171169992749084	0.042235658936875	0.0345876845478671	0.0386685565618523	0.0293520731395714	0.0123916909796133	0.056941668097498	0.0485215522586764	0.0542652329278237	0.0477481244540602	0.0387625566846617	0.0447236812705019	0.0324119256697227	0.0390283635944317	0.0457323420231163	0.0393546205172769	0.052365658115971	0.0464022751839352	0.0525947448519552	0.043982938774361	0.0419863006255609
OM3_C_7A_3	0.0309900894516053	0.010692469395536	0.0166629655421218	0.00942885338796949	0.0586014987790344	0	0.0129669377058032	0.0236209617122979	0.0143966170460474	0.0250408144804761	0.022927060658921	0.034243291543367	0.0514241330284505	0.0174678324481885	0.0818568706747517	0.0757749207431088	0.0263399613460625	0.0227941793656333	0.0232069138915852	0.0117000779925793	0.0349218421128213	0.0151004202556765	0.00498078001718291	0.00931227241269602	0.00601722555117967	0.0166813201193682	0.0163715118681773	0.0318486616329625	0.0398211092320637	0.0167916053836057	0.0403397763216893	0.0446794886598852	0.0395051955685445	0.0238392841536264	0.0146623602030688	0.0119808584673581	0.0750348345139477	0.0677903055169769	0.0621311398218793	0.0185140239097537	0.0178122299842965	0.0252329729389796	0.011270427419362	0.0434454833934202	0.0168305533338874	0.0246851744446648	0.0215579195740693	0.0312359087170181	0.0464987762581079	0.00477801898057772	0.0158693235977127	0.00857503637432082	0.0121561657787482	0.0218128349139888	0.0152036670881459	0.030588468537884	0.0229109537483412	0.0158280600015732	0.0202276254035599	0.00732966736069175	0.0138882314317659	0.0102631035360483	0.0183996468731356	0.0204632333648494
OM3_C_7B_1	0.0359859359748666	0.00790332283064375	0.0210770080118299	0.00894433273466368	0.0506177626065241	0.0129669377058032	0	0.0164536474363381	0.010295356898771	0.0299265336818958	0.0293916570908575	0.0282748318429923	0.0439038444839875	0.0104423074101151	0.0877771850905387	0.0818238431190293	0.0314961718956979	0.027241495870135	0.030628692049885	0.016683514434313	0.0268774324352788	0.00749730363934207	0.00941596981228141	0.00547246847876915	0.00953591769625459	0.00805563923375239	0.0055563147129302	0.0372720571323947	0.0468692396305034	0.0248105676842029	0.0469476642080907	0.0507718951926661	0.0452351762096062	0.0317452722089094	0.022084696439941	0.0183337899595622	0.0807150177468597	0.0738982395124818	0.0686605343758361	0.00917611008939601	0.00755143317612547	0.0167362356573405	0.00345101672631555	0.0345654479237271	0.01151460626005	0.0177783692573872	0.0144453636726518	0.0217689425413632	0.038602005841558	0.00946366012806217	0.0112303803705937	0.00558104965138862	0.00634784292941198	0.0122185862391627	0.0110901789888528	0.0215855707914876	0.0159396389727355	0.00502620686095238	0.0133172535939617	0.0079372300606114	0.00738639028459537	0.00859683179259668	0.0106501712589595	0.00954481340014465
OM3_C_7B_2	0.0518148289854104	0.022005481470398	0.0366761233426674	0.0240793599198958	0.0358031285502037	0.0236209617122979	0.0164536474363381	0	0.0116445137436953	0.0456482015360707	0.0447764690442779	0.0163831248663912	0.0287840056680498	0.0106681287389862	0.103503322885105	0.0974864303904552	0.0464919343444735	0.0430871340869531	0.0451730414381029	0.0319603207387534	0.011820359948528	0.0145041120318883	0.02072107934794	0.0181229496834635	0.021832302471398	0.00873617076623927	0.0111484037655901	0.0531175270235991	0.0621620703257033	0.0392903448838563	0.0621037070809338	0.066324081531224	0.0609968803545467	0.0460719808772232	0.0363397882468308	0.0331148066474412	0.0966179621870489	0.0895183284163734	0.0842153430660772	0.00924348628441686	0.0109973705870059	0.0111361647572288	0.0154837321827106	0.0199952450238027	0.00778985735233216	0.00335518114036907	0.00413527295805794	0.0109088838164662	0.0235707410348712	0.0214268103465152	0.0142436714800057	0.0198230447479267	0.013793017424226	0.00544497858234008	0.0105755856867485	0.0097938570411451	0.0108083853821005	0.0121285846018054	0.00728139513583878	0.0180974703959102	0.0116094819459011	0.0191871668607209	0.0134077941754182	0.0111542315090202
OM3_C_7B_3	0.0417396059229025	0.0160646822075988	0.0269770163579304	0.0166625973346007	0.0447986250117502	0.0143966170460474	0.010295356898771	0.0116445137436953	0	0.0355720768225948	0.0349813884700101	0.0201590774720464	0.0377515403895395	0.00501183621548099	0.093095474219989	0.0870641787810382	0.0356942608568503	0.0332559136866217	0.0344043050461346	0.022254494588871	0.0215370911446778	0.00716737938414099	0.0131692552443242	0.0109404996532336	0.0145685863669411	0.00824050362319884	0.00795261666722842	0.0433109852835687	0.0518342696409965	0.0301741506139544	0.051424197052187	0.0559031611058543	0.0509931492719521	0.0352486206160621	0.0257867947702737	0.0233003365122416	0.0864981774009958	0.0790369552413702	0.0738009149595087	0.0107505300513903	0.00708407848363907	0.011415690859348	0.00912920161177748	0.0301559762124059	0.00663315601546743	0.0117556769125319	0.0102843197147841	0.0173493024731268	0.0327525879282023	0.0136387184816803	0.0140137178264721	0.0107035835719501	0.00419535876202013	0.0103655527350242	0.00516000518274649	0.0198970453366857	0.00993632430737415	0.00765972240640725	0.00653106173049261	0.00786445385782758	0.00569121729291541	0.00875469844549927	0.0067539857529929	0.0092110066932795
OM3_C_7C_2	0.00634471825605261	0.0263939836178412	0.00932344768301232	0.0232453257025866	0.0791617098104501	0.0250408144804761	0.0299265336818958	0.0456482015360707	0.0355720768225948	0	0.00525709272763021	0.0540983128595297	0.0724860477314667	0.0369574402473605	0.0580412558525072	0.0520077442534657	0.00633272469317692	0.00441290717694819	0.00707732374155326	0.0141519172871755	0.0560395937654916	0.0327283723465491	0.0270446783344247	0.0282817886770359	0.0261494901989912	0.0374979483819942	0.0352796033324103	0.00819952640153432	0.0174481480231643	0.0124538007050357	0.0173784503466481	0.0208629942477845	0.015611618561943	0.00836935808534932	0.0113483101918646	0.0134891564920713	0.0511801375541921	0.0440483837583391	0.0389159363760971	0.0387170031299322	0.03604167163786	0.0432019972633391	0.030770940954067	0.0639678681391133	0.0392821359571396	0.0464142710531078	0.0432296976473994	0.0500917561976531	0.0673591431133793	0.0261134040746651	0.0371200917753406	0.0258464926667132	0.0321943241354249	0.0419545546399507	0.0369167249634135	0.0512704134840448	0.0418583897278969	0.0343699041354955	0.0408090582767441	0.0283515222638737	0.0345526848575575	0.0275792517249587	0.0356862013726719	0.037721656458578
