	OM3_B_B_2	OM3_B_B_3	OM3_C_7A_1	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8E_3	OM3_C_8F_2	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9F_2	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9H_3	OM3_H_3D_2	OM3_H_3F_1	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_3
OM3_B_B_2	0	0.00194576393188853	0.00506583128811135	0.0064095429883999	0.00786705361197432	0.00356781807310451	0.0152919568489739	0.0107590853492618	0.0113849690657839	0.00191439314475565	0.0211902546225335	0.0155803387419959	0.00328504167437935	0.012159559691961	0.0138601939461599	0.00309183210025976	0.00697625634057339	0.00812720273552855	0.0163564461175841	0.0157862480038726	0.00937887362976033	0.00848605502804806	0.0115535562106246	0.0133968492090183	0.0173902354701573	0.0210968515325658	0.0081248247628228	0.00449626207501635	0.0195796660507642	0.00847265278708247	0.00697404842272811	0.00293077077156223	0.00695582363326417	0.018958852218065	0.0123090427637729	0.00113827234375737	0.0120819425895534	0.0177848703249261	0.0414413013971435	0.00892633390504611	0.00911822071216291	0.0274929779628607	0.0213172431533122
OM3_B_B_3	0.00194576393188853	0	0.00626615780429462	0.00450689354643409	0.00942912876282144	0.00232061105407446	0.0134400962362585	0.0090927344650472	0.0107790754340342	0.00385065858700736	0.0193726461184618	0.0138822538002288	0.00141840740604844	0.010269955417284	0.0121770950919456	0.00181807037033489	0.00821162880122745	0.00641933025242909	0.0147879699083955	0.0140771524644287	0.0111510479102301	0.0069744265684842	0.00981614480581907	0.0124410568224045	0.0156552367027803	0.0192593052882618	0.00630589695800408	0.00413906753790676	0.0180321880051995	0.00685799667773771	0.00517986869393627	0.00467329692219043	0.00890103666501418	0.0172900239379053	0.0103654684348485	0.00144812656235689	0.0102732030621072	0.015993450230783	0.0397794147248594	0.00738411952674185	0.0076500436743491	0.0261267854727836	0.0194181063600455
OM3_C_7A_1	0.00506583128811135	0.00626615780429462	0	0.00941815906361296	0.00352414485346545	0.0058378563549663	0.0192871575811353	0.0152974138343148	0.0164241859454372	0.00417281155688567	0.0252704046826757	0.0200298012597998	0.00761928964516013	0.014490442659683	0.0183491911742343	0.00795032784159492	0.00194699134196108	0.0126161178945516	0.0210285470739531	0.020210822793019	0.00585693024488595	0.013240057531698	0.0159455422201355	0.0119780965034101	0.0217454173744703	0.0250978008042248	0.0104069637661349	0.00954548950237456	0.0242765685872377	0.0131041055456066	0.0113078587073854	0.00275922711130425	0.00611547121253952	0.0234548538235757	0.015614154207359	0.00484121502193882	0.0162790026797409	0.0219790646167515	0.0459112503071444	0.013646596900962	0.0139152736237918	0.0323860044255089	0.0249803709127794
OM3_C_7A_2	0.0064095429883999	0.00450689354643409	0.00941815906361296	0	0.0129148980633646	0.00359461294386732	0.00999825252851117	0.00698158680443143	0.0117664418334061	0.00825031622419735	0.0159670195844269	0.0111991717835125	0.00353293279193261	0.00576358993590802	0.00966550343785576	0.00468100956913931	0.0111909820834194	0.00469555719084349	0.0125928127705344	0.0113350248440874	0.0150090083783536	0.00598986380938167	0.00725563069903622	0.0101469959912775	0.0127300195194499	0.0157559192652719	0.00199579450640535	0.00695075883560788	0.0157791663152875	0.00546335038092408	0.00345534500174886	0.00875714107327814	0.013297175210533	0.0145930747872681	0.00621025620040491	0.0055504920638183	0.00727089045047779	0.0127921101788681	0.0368200494966177	0.00616469903138008	0.00666249847881196	0.0242885417169887	0.0155640414380484
OM3_C_7A_3	0.00786705361197432	0.00942912876282144	0.00352414485346545	0.0129148980633646	0	0.00932276875378038	0.0227068950064139	0.0185201135918895	0.0187560686471839	0.00633869735931894	0.0286821822358141	0.0233072387227561	0.0108363698903834	0.0180029674512223	0.0216048140768906	0.0109412799907223	0.00223247231311053	0.0158479414558635	0.024188640500146	0.0234993534811211	0.00257121772803707	0.0163305534823029	0.0192343981639763	0.0146211015017763	0.0250650090596288	0.0285281149274896	0.0139297383927938	0.0120645583971495	0.0274225812615927	0.0162696298237142	0.0145885303547113	0.00496828464880805	0.00504181987671955	0.0267170283017364	0.0191199711864867	0.00798280856367754	0.0196357758233746	0.0253536189565621	0.0491990170837367	0.0167611299809061	0.0169753451737476	0.0353462515377272	0.0284680787942499
OM3_C_7B_3	0.00356781807310451	0.00232061105407446	0.0058378563549663	0.00359461294386732	0.00932276875378038	0	0.0134738102828941	0.00980049681281426	0.0127195942079394	0.00510834851092671	0.0194580614822298	0.0143865305683337	0.00276199796632188	0.00902008584588867	0.0127526763736075	0.00384696327870005	0.00765449770611649	0.0071713597307821	0.0155599939197948	0.0145503554020469	0.0114285910311951	0.00808832642814164	0.0103200664987176	0.01012303660821	0.0160355268650284	0.0192733651920351	0.00487490850128941	0.00636286491428936	0.018802011001697	0.00778853825209182	0.00580077770920781	0.00531544805583784	0.0100062897389248	0.0178144940746413	0.00980448135968851	0.00245966864603887	0.0105453534046585	0.0162040030810702	0.0401988438356015	0.00842185866889425	0.00879935287609456	0.0271416156967574	0.019149053503028
OM3_C_7C_1	0.0152919568489739	0.0134400962362585	0.0192871575811353	0.00999825252851117	0.0227068950064139	0.0134738102828941	0	0.0052209400080564	0.0119016964101232	0.0171867045937403	0.00598536065655984	0.00289679746265155	0.0120308546292615	0.00758635074937355	0.00320939200543682	0.012363459041598	0.0211273000522199	0.00735063027049427	0.00492916604791724	0.00278080852264068	0.0245803947740435	0.00768072386706548	0.00415169261164534	0.017248796943429	0.00324607068629652	0.00582678097636879	0.00980247589347353	0.0128839602165144	0.00710420801665238	0.00731467678034697	0.00833288581617407	0.0181118709763401	0.0220781343196168	0.00525282105965719	0.00452916094997339	0.0148346854720939	0.0032960882876877	0.00287850043228549	0.0268531633856621	0.00723041883100875	0.00742506830459073	0.0155569864137645	0.00620984929538063
OM3_C_7C_2	0.0107590853492618	0.0090927344650472	0.0152974138343148	0.00698158680443143	0.0185201135918895	0.00980049681281426	0.0052209400080564	0	0.00738640131170736	0.0125724672923265	0.0106622361084331	0.00482566157768822	0.00769455648987393	0.00812189728004902	0.00310183820003487	0.00768485087680939	0.0172242282404869	0.00268165538181011	0.00576275570167185	0.00503887441170885	0.0201351785257185	0.00251001743043405	0.00108551248936765	0.0164613215809997	0.00666723075138256	0.0106676935015596	0.00783741764758012	0.00776841674082042	0.00901036164119383	0.00230515747271825	0.00401442826681032	0.0136785640250537	0.0172537934112486	0.00820503684829301	0.00537797769869841	0.0105404268235624	0.0021366021550233	0.00720402358606798	0.030699947645291	0.00204342092512379	0.00220490888416436	0.0173773897904902	0.0114036428426016
OM3_C_7C_3	0.0113849690657839	0.0107790754340342	0.0164241859454372	0.0117664418334061	0.0187560686471839	0.0127195942079394	0.0119016964101232	0.00738640131170736	0	0.0124767136991201	0.0158387172352659	0.00997341576354612	0.00995796360097479	0.0151111655743841	0.00876532916256832	0.00897795964360003	0.018286300102035	0.00762378806391383	0.00919459181693631	0.0102364140715812	0.0194977144543963	0.00621152219935713	0.00834178524972477	0.0219020648194845	0.0116826029157442	0.016081013409567	0.0134387144803835	0.00688895902001676	0.0115424826672336	0.00689224204661593	0.00844814057868944	0.0139295069544866	0.0155965208675435	0.0121542147713037	0.0127021084877837	0.0119068664873367	0.00943146994181959	0.012717216245316	0.0330065925813672	0.00631815637399006	0.00579009949968937	0.0176129938040706	0.0175200117857373
OM3_C_7G_1	0.00191439314475565	0.00385065858700736	0.00417281155688567	0.00825031622419735	0.00633869735931894	0.00510834851092671	0.0171867045937403	0.0125724672923265	0.0124767136991201	0	0.0230665658411797	0.0173976389943591	0.00519821065027527	0.0139667770898751	0.0156727651388303	0.00489055847977707	0.00588447106445163	0.00997274509053659	0.0180940754197356	0.0176093841803141	0.00759031555210807	0.0102331992785215	0.0134004073978228	0.0143135952904671	0.0192255087851656	0.0229828527874061	0.00987813985340213	0.0057261054568054	0.0212957120305503	0.0102725335598141	0.00885870139078726	0.00146916024101268	0.00505877320608251	0.0207533065240243	0.0142153755278262	0.0027235740685336	0.0139611391613845	0.0196499959137147	0.0432144241227375	0.0106855189314023	0.0108353008071793	0.0290651194881779	0.0232271573020593
