	OM3_B_B_2	OM3_C_7A_2	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7C_3	OM3_C_7G_1	OM3_C_7G_3	OM3_C_7H_2	OM3_C_7H_3	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_3	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9D_3	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9H_2	OM3_H_3C_1	OM3_H_3C_2	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_2	OM3_H_3F_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_2	0	0.00904698149501019	0.0105579244705753	0.0216794960852245	0.0249961057749649	0.00887773923079747	0.0394811028553467	0.021578122458424	0.014381625558358	0.072920157656599	0.00590442151237539	0.0193470028747569	0.0245994362216746	0.0184434965937408	0.010407153015488	0.0146098875711456	0.0115220446529617	0.00607993327691118	0.0116740033524109	0.0360832307964092	0.0583176792808674	0.0190977124304994	0.0840184891764855	0.0147041935497694	0.0197576681055091	0.0190392898170534	0.0245261249853652	0.0416680727198767	0.0252966573068662	0.0224267607443105	0.0255663834559571	0.0546696139589855	0.0189397354174926	0.0194190795054748	0.00931618689991056	0.0104137720134276	0.0148522607250219	0.0200022136031617	0.0128061831108912	0.0243963144982584	0.0184598763972634	0.0169863853721255	0.0306134850347008	0.0127048865207255	0.0237830196050409	0.0331209960515767	0.0150886861257679	0.0155658903763558	0.0561700916583068	0.025484998004025
OM3_C_7A_2	0.00904698149501019	0	0.00852840468292141	0.0157316825305159	0.0179742427400824	0.0132980812057796	0.0340258207580491	0.0171613705608147	0.0059043077064231	0.0670849469329629	0.00589292127900065	0.0150614112249941	0.0189918142331274	0.0127770879364921	0.00350659968016068	0.0200844321221473	0.0176777696430045	0.00453370243171117	0.00484444705416341	0.0309571803788442	0.0516058178522519	0.0131621811251684	0.0781013774963207	0.00791468587980232	0.0137360184565644	0.0129114676369598	0.0174020679083228	0.0358727172912003	0.0207497237596105	0.0149819389284094	0.0177962916359837	0.048625627563708	0.0109381339727253	0.0113963532208388	0.00512966955111848	0.0087166438490028	0.00715047413861816	0.0117352956967963	0.00629573592430129	0.0171668289700104	0.0103094489791567	0.011098353213506	0.023404565641193	0.00564885093862348	0.0156214372317171	0.0284752762985619	0.0116601176019724	0.0119117593940131	0.051064929372017	0.019675628828472
OM3_C_7A_3	0.0105579244705753	0.00852840468292141	0	0.0125378746144262	0.0166000696054384	0.0149390002341385	0.0311675510685708	0.0120611956767783	0.00932067033499982	0.0646161765540434	0.010324267562152	0.00951622458727621	0.0164250153409022	0.0148999770300443	0.00674267616135456	0.0218264194803389	0.0165023157290129	0.0106173394109108	0.00753169536726226	0.0272601303293771	0.0502270439838412	0.0138158651306139	0.0766463166587565	0.0069203864887887	0.0141216278750876	0.013659192087721	0.0173503195470271	0.0334191137172988	0.0169740109363316	0.0162766344859889	0.0178472812822689	0.0466102781396672	0.0130449485955454	0.0120908382195994	0.00350848571253629	0.00452564243104142	0.0102513590319912	0.0130302121031028	0.00903294292075589	0.0166272919121521	0.0116425073234463	0.00739411949235098	0.0224141362601349	0.00909280618192903	0.0175662499452871	0.0259093209290402	0.00913422959343643	0.0102839084357213	0.0491357572214353	0.0181204839255166
OM3_C_7B_2	0.0216794960852245	0.0157316825305159	0.0125378746144262	0	0.0047893303174246	0.0267861170631125	0.0192565925742965	0.00401115513106188	0.0125956936106516	0.0524566978536159	0.0206661415911765	0.00465557276309096	0.00501684535150763	0.011433975140487	0.0125059145430058	0.0338539024741583	0.0289752507438559	0.0199562618791584	0.0146960672575406	0.0156471597879984	0.0377559882975246	0.00849643525624474	0.0645496030915984	0.0107932022577347	0.00796378341558515	0.00829699399560187	0.00692726620144203	0.0212782927840476	0.00683125243490109	0.00822117450673399	0.00740352176665657	0.0343564337296241	0.00841701553003189	0.00700493137856602	0.0133736503895739	0.0118497600454868	0.0102157401108636	0.00782722968420538	0.0111119494539201	0.00569849365497447	0.00780061383491081	0.00598544469697261	0.010216068833895	0.011457262274184	0.00962179020711941	0.0152967396691744	0.00883254158101228	0.00924565282451135	0.0376589296628148	0.00727818477287165
OM3_C_7B_3	0.0249961057749649	0.0179742427400824	0.0166000696054384	0.0047893303174246	0	0.0300187753877865	0.017067147434531	0.00833999479640619	0.0142284724695672	0.0495746579572528	0.023427214138723	0.00943917478426258	0.00499360245583623	0.0116081319203581	0.0150379379585937	0.0371024280149881	0.0328075346380317	0.0224478316712923	0.0171487004986713	0.0143366398800974	0.0341681456261426	0.00888896202242603	0.0613007713815621	0.0134469043668401	0.00816146459886035	0.00863691160392595	0.00358256344868187	0.0186204015035222	0.00817368622053221	0.00605296463573055	0.00320551892705478	0.0312761482177671	0.00810013787518405	0.00724512817097901	0.0167268854435297	0.0157011293394978	0.011467098485578	0.00744243572998383	0.0130632250188382	0.00190631606806753	0.00823408284080591	0.00965369238848602	0.00583330608727445	0.0132944280328321	0.00663562250766181	0.014025520126923	0.0120630390317226	0.0119887423050687	0.0350352036418984	0.00583817721937304
OM3_C_7C_1	0.00887773923079747	0.0132980812057796	0.0149390002341385	0.0267861170631125	0.0300187753877865	0	0.0457274815063501	0.0269450614642578	0.017001868440618	0.0791124827639538	0.00749404082552287	0.024381652603167	0.0306685888645504	0.0254918900281427	0.0157903860567508	0.00709249539507673	0.00610781981532605	0.00960926367507739	0.0134548738916502	0.0420396733658144	0.0641102223898785	0.0258285991166796	0.0906898101540148	0.0172303517535116	0.0263981869606499	0.0256450447745999	0.0301380561551481	0.0478336726482216	0.0316295508268163	0.0280479552369716	0.0302445584638458	0.0608864997543972	0.0239435988086234	0.0235913623044516	0.0134693060781033	0.0171120813923411	0.0202765177598815	0.0240715769053869	0.0190124277173752	0.0296178317698703	0.0227223193397153	0.0210950745115317	0.0357396012064639	0.0185927555991136	0.0286036945714191	0.040141402834635	0.0222414731646988	0.0229143644479486	0.0632824838484451	0.031885948871216
OM3_C_7C_2	0.0394811028553467	0.0340258207580491	0.0311675510685708	0.0192565925742965	0.017067147434531	0.0457274815063501	0	0.0194227058297864	0.0311284342542169	0.0335707310101223	0.0393512450755958	0.0220239933294496	0.0151362585344554	0.0239996999515942	0.0307295707005935	0.0527403638518401	0.0475682538618455	0.0382485911408215	0.0337496280528097	0.00489838424395986	0.020454843795441	0.0218818224250056	0.0458005898200405	0.0299322399500329	0.0211208641135444	0.0219982431826113	0.0175595138156449	0.00282972279159549	0.0144413692913607	0.0205600851262046	0.0186387565463832	0.0157329931505119	0.0243007543446565	0.0242442932480008	0.0323025756500651	0.0293150102066581	0.0273026958471916	0.0244046804875916	0.0282038291635841	0.0178056117261746	0.025121421097497	0.0252237838781039	0.0130759761988292	0.0287350873134132	0.0216290802597552	0.00792138587129285	0.0244701350508237	0.0241737130833435	0.0190280711352561	0.0145436660857122
OM3_C_7C_3	0.021578122458424	0.0171613705608147	0.0120611956767783	0.00401115513106188	0.00833999479640619	0.0269450614642578	0.0194227058297864	0	0.0148676836854312	0.0527407989369317	0.0214447835338274	0.00265686541660912	0.00631859503472259	0.0134245585529869	0.0138046661732163	0.0338782534021918	0.0283174053485827	0.0209535590689474	0.0161560651667824	0.0152683948831854	0.0389048692803742	0.0105934208706377	0.0651663620867883	0.0123657994952772	0.0101644194137937	0.0105418118493887	0.0103252626922519	0.0217831170041421	0.00587993972323859	0.0116996403986915	0.0112642496196381	0.0349892313404233	0.0117933331157275	0.0105160298250487	0.0138783769204686	0.0112973610013739	0.0126115760133127	0.0114669712784678	0.0127727802613939	0.00937707097439555	0.0111296590457273	0.0072165468014055	0.0129521502334842	0.0132651423557027	0.0134942841376203	0.0151627066411763	0.00861536950754969	0.00937845937451804	0.0378699860336477	0.00895219917860485
OM3_C_7G_1	0.014381625558358	0.0059043077064231	0.00932067033499982	0.0125956936106516	0.0142284724695672	0.017001868440618	0.0311284342542169	0.0148676836854312	0	0.0637306468099263	0.0104753880451438	0.0128898863407653	0.0165387545558245	0.0130438466247148	0.00566551608160135	0.0238841314355147	0.0210871881783901	0.00992283099397637	0.00375640246906701	0.0280128325869304	0.0479610010672361	0.0124198348940735	0.0751296188199339	0.00395210925461092	0.0126960069726584	0.0120127717195854	0.0143674743166978	0.0327946654325062	0.0187827443998214	0.0123453571276992	0.0136985730269652	0.0453882425414378	0.00802899637805412	0.00709617457225483	0.00663374198736553	0.0106824430103125	0.00623907023431449	0.0073349594926697	0.00737244115420435	0.0136581514512218	0.00625844747639281	0.00794466756937716	0.0195349658267177	0.00662707771127084	0.0120910295918723	0.0266816064965021	0.0123001847182306	0.0126615690960225	0.0487689685547247	0.0174820788456619
OM3_C_7G_3	0.072920157656599	0.0670849469329629	0.0646161765540434	0.0524566978536159	0.0495746579572528	0.0791124827639538	0.0335707310101223	0.0527407989369317	0.0637306468099263	0	0.0726069792065903	0.0553231678251102	0.0485652497950823	0.0563326998983988	0.0639447439359734	0.0861447689092354	0.0809802012998152	0.0714072495419337	0.0666770913649125	0.0375477132596559	0.017352970474695	0.0546791331870905	0.0154510073209353	0.0627771591904403	0.0539425736206834	0.0547918029956133	0.0498656475118138	0.0313718713942336	0.0479732938613055	0.0526347747951517	0.0502509733889282	0.0185790288670918	0.0566672425146965	0.0566584677460089	0.0656800848720487	0.0628448878705018	0.0601146274561371	0.0565740435316255	0.0612691903523888	0.0501895479683941	0.057589086204959	0.0583406272277094	0.044289865570194	0.0617413232792983	0.0529283687542043	0.040196825522064	0.0579038794541993	0.0574929060537636	0.0196000817765427	0.0476640254831888
