	OM3_B_B_1	OM3_B_B_3	OM3_C_7A_2	OM3_C_7B_3	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8B_3	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_2	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_H_3C_2	OM3_H_3D_1	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1
OM3_B_B_1	0	0.0436014024405626	0.0232363216796089	0.00727241009894611	0.0134441793041389	0.00946327042493111	0.0277804452795085	0.0256233524748142	0.0750693569381569	0.100159967065859	0.00956956856902028	0.0342718383192095	0.0302996210233509	0.0382210227703248	0.045584039504046	0.0276131728167642	0.0368340057296607	0.0286861653814649	0.0166108611705285	0.0186344151974199	0.0265789123515881	0.0231237392103993	0.0208616437038972	0.0229196676550329	0.00406846703295431	0.0330583428116501	0.0411912918663785	0.0435193288042168	0.0330620665113124	0.031489516269863	0.0176014777322313	0.011514349217234	0.0115284231707461	0.012221467066383	0.0038712421315762	0.0183262897104383	0.0100032714393098	0.0166754525398506	0.0264055108867395
OM3_B_B_3	0.0436014024405626	0	0.0325302662449676	0.0487174391456176	0.0310929646476268	0.035328707061644	0.0158304590144611	0.0192988755766767	0.0317000802300652	0.0567953472973721	0.0422659875252909	0.0104922796844406	0.0164818941312444	0.00551398421861771	0.00962556391523945	0.0159975737187135	0.00919594469970038	0.0155498669381098	0.0277174412910628	0.0249830392822274	0.0182973820788349	0.02489310285608	0.0241925132267017	0.0217505558664751	0.0439739430025292	0.010891945845984	0.0152179082088528	0.00520425518661281	0.0157382488150276	0.0125193636545296	0.0288206758293621	0.0342467136129513	0.0364994167749506	0.0480012490833317	0.040687981423896	0.0307787104422827	0.0341013322406437	0.0273311850885624	0.0196610725771886
OM3_C_7A_2	0.0232363216796089	0.0325302662449676	0	0.0305042955721562	0.0213394088613372	0.0223423150316518	0.0208027601346895	0.0241372296877581	0.0628519357360276	0.0849805701932536	0.0295181351114555	0.0279230936478702	0.0283561910196392	0.0287540582245415	0.0391103095965175	0.0206417698329672	0.0305954795541976	0.0240822807595724	0.0131451827724089	0.0168469116220023	0.0244141702487814	0.0274753386420596	0.0230139812160177	0.0227768401777896	0.0264639167348815	0.0258244126501512	0.0387352679967884	0.0352097228028927	0.0312310421892721	0.0250358377798004	0.024671356466264	0.023670445294852	0.0264133421526963	0.0344181613201266	0.023314790595546	0.0278200335581819	0.0206967502505695	0.0198472759823102	0.02610731048276
OM3_C_7B_3	0.00727241009894611	0.0487174391456176	0.0305042955721562	0	0.0176563819807089	0.0134009657592209	0.0330351244009348	0.0298764207844683	0.0797491498285783	0.105369376727095	0.00813499158176797	0.0388401750324571	0.0341267585354061	0.0432344643127378	0.0495496964109998	0.0328833525171492	0.0412029481614126	0.0333355823843966	0.0229405690667499	0.024155480950971	0.0308806461539375	0.0260521012405713	0.0248996327424893	0.0272250421370764	0.00483361011923425	0.0379131943302424	0.0443217060312174	0.0480203047481956	0.0366003203200347	0.036296301979565	0.0207688896325262	0.0146989271240563	0.0131679466284926	0.00669454931906856	0.00835912749606477	0.0203289753019873	0.0146832414746356	0.0214012952020323	0.0302393533400544
OM3_C_7G_2	0.0134441793041389	0.0310929646476268	0.0213394088613372	0.0176563819807089	0	0.00427311490788378	0.0155326301896369	0.0123302599315042	0.0621783433236027	0.0877997488586348	0.0116238427876187	0.0212211514586228	0.0168826751264993	0.0255972228413292	0.0322468498877012	0.0153926012880948	0.0236551591664971	0.0156890768429898	0.00865872684489753	0.00737204875743384	0.0133181615067994	0.00997546973551634	0.00744697818150079	0.00963838036734479	0.0129773142158253	0.0202640203890149	0.0277743974412473	0.030443067967083	0.0196225593505241	0.0186456262230217	0.00467787877033727	0.00341876306737966	0.00627851495269039	0.017507348315743	0.00994474755636961	0.00697645997651121	0.00346384377582263	0.00385508100238299	0.0129770248143258
OM3_C_7G_3	0.00946327042493111	0.035328707061644	0.0223423150316518	0.0134009657592209	0.00427311490788378	0	0.0196845696252335	0.0165890441020059	0.0664427111489333	0.0920302433843855	0.00802666869536855	0.0254931460285594	0.0210655503163519	0.029841602549499	0.0364655183380361	0.0195376734130478	0.0279197767986933	0.0199586215006965	0.0110348494701832	0.0110618024275689	0.0175814036764401	0.0136620264300249	0.0116656811232712	0.0139041715882656	0.00870443881407345	0.0245213683624446	0.0317885363602628	0.0347121601794671	0.0237345187284052	0.022906044028751	0.00813893397410029	0.00225405625839654	0.00415814435713802	0.013812708581625	0.00577347679379565	0.0091780906717391	0.00175538660606908	0.00801008193941003	0.0171530919752883
OM3_C_7H_1	0.0277804452795085	0.0158304590144611	0.0208027601346895	0.0330351244009348	0.0155326301896369	0.0196845696252335	0	0.00592622915890784	0.0474088931987952	0.0725406649614879	0.0270307727020255	0.00749938878995904	0.00809490411825631	0.0104822770433353	0.0193045992557329	0.000185316399723696	0.0102945281190077	0.00353766293196039	0.012261518610607	0.00916197583572203	0.0054093531301889	0.0121573886622182	0.00950393481008622	0.00718703628075976	0.0282491993537182	0.00567870551158859	0.0179461960898569	0.016266527618493	0.0106574644268738	0.00443844396898355	0.0141735728586727	0.0188383145137282	0.021360597133444	0.0328834382473431	0.0249062296886249	0.016861588934317	0.018361974176004	0.0116915425209013	0.00765725630876388
OM3_C_7H_2	0.0256233524748142	0.0192988755766767	0.0241372296877581	0.0298764207844683	0.0123302599315042	0.0165890441020059	0.00592622915890784	0	0.0499331884922085	0.0758131092678399	0.0230366928651287	0.00901654957005059	0.00495561259706181	0.0138083690650691	0.0199729713724747	0.00592330320931681	0.011338841915431	0.00385030926898915	0.0127841622121638	0.00859373590306038	0.00101295740742448	0.00633123754752849	0.00498858188043559	0.00270539793151854	0.0252789494715323	0.00845551989741268	0.0162899206683887	0.0181565866898739	0.00798360091277043	0.0068561334544389	0.0095270133064983	0.0151992354648557	0.0172609912392474	0.0287290063125221	0.0222593546448658	0.0116441397881741	0.0156609294965592	0.00898332301501549	0.0020241113475463
OM3_C_8A_2	0.0750693569381569	0.0317000802300652	0.0628519357360276	0.0797491498285783	0.0621783433236027	0.0664427111489333	0.0474088931987952	0.0499331884922085	0	0.0270291615616255	0.0727436828743327	0.040984463895229	0.045916686022794	0.0369368535260688	0.0308572130675061	0.0475825938161839	0.0386243859511056	0.0465311328648135	0.0593893401647416	0.0565504511275072	0.048928391198787	0.0544423589278439	0.0549106671873532	0.0525821361943724	0.075125785286988	0.0420688572872004	0.0377235754778021	0.0317927848660615	0.0438569223880749	0.0436505526317791	0.059232508593764	0.0651055796553669	0.0670188808338706	0.0782023871736315	0.071984686586573	0.0605192579613514	0.0653671505017533	0.0585680500039492	0.0497058162129489
OM3_C_8A_3	0.100159967065859	0.0567953472973721	0.0849805701932536	0.105369376727095	0.0877997488586348	0.0920302433843855	0.0725406649614879	0.0758131092678399	0.0270291615616255	0	0.0987613030470663	0.0668206150376265	0.0721681411024484	0.0622713966336109	0.0575611350364881	0.0727009634228213	0.0647047234679383	0.0722070182875664	0.0839305141700527	0.081613820345705	0.074802918339454	0.0807608735471975	0.0807718357282437	0.0783717661696784	0.10064748374647	0.0675997757107443	0.0646349184742525	0.0579108934007333	0.0703489835928404	0.069219716748271	0.0852628108655191	0.0908938320427722	0.0930116517137956	0.104358018231989	0.0973582803964952	0.0868173367867711	0.0908083553606908	0.0840624087353071	0.0758234092537874
