	OM3_B_B_1	OM3_B_B_2	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_1	OM3_C_7G_2	OM3_C_8A_1	OM3_C_8A_2	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8C_3	OM3_C_8E_2	OM3_C_8E_3	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9A_2	OM3_C_9A_3	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9G_1	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_2	OM3_C_9H_3	OM3_H_3D_2	OM3_H_3D_3	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3G_3	OM3_H_3H_2	OM3_H_3H_3
OM3_B_B_1	0	0.0164788311119449	0.0308777005099803	0.012149334519483	0.0109162609668393	0.0154408290140605	0.00799497632701809	0.00786426703632012	0.00806144119911348	0.022878969593796	0.0527640963301595	0.0629474589387472	0.0586025682326745	0.0323337412543843	0.0268915695681231	0.0474989309803076	0.0161260678960541	0.0519533916646219	0.0462481551860383	0.0242698048425213	0.00598497892151892	0.00459234802203022	0.0244808168266315	0.0287382847795797	0.0183455893109711	0.0673999240406502	0.0671671944065589	0.0335719212129143	0.0456193212527086	0.0409156497849585	0.0225092120426824	0.00852597318428212	0.0210030835304684	0.00270031644279376	0.00982413720174213	0.0660059694645116	0.0401130565144827
OM3_B_B_2	0.0164788311119449	0	0.0217484549828051	0.0203224461248974	0.0123241698486728	0.0276394613858535	0.0229835055592059	0.0170597457960794	0.00844881085906879	0.0097876339165836	0.0410901787206925	0.0538893944325318	0.0504568824518323	0.0213839036312668	0.0225175762177117	0.0414638375391425	0.0137790174537929	0.0422074856723499	0.0371670857573868	0.0137216406895292	0.0137196304613554	0.0126884199323011	0.0181265758740149	0.0135883436407147	0.00756446810673022	0.0568219478831022	0.0572862685621577	0.0261710590031342	0.0369875078334971	0.0305138599166775	0.0150301287782521	0.0148526898212108	0.00747244209276141	0.0191249823027914	0.00976296914197395	0.0594503557720528	0.0368631949593138
OM3_C_7C_1	0.0308777005099803	0.0217484549828051	0	0.0399695315489913	0.0200584621931393	0.0458195944751104	0.0388678824617639	0.0357665816131706	0.0259294496208595	0.0123441397803033	0.0221060294461237	0.0326449328411454	0.0288602311248827	0.0036875565916065	0.00819114738835547	0.0199504100081268	0.0150509553969665	0.0212434866840204	0.0157529003945799	0.00802858869882479	0.0319793274848577	0.0264206874127541	0.00690623853593869	0.0140165413941137	0.0145834076033822	0.0365953420145787	0.0365323197502343	0.00498763379563303	0.0153931852699585	0.0100701593522001	0.00837405507798687	0.0231621811588048	0.0144683236976939	0.0332424651717865	0.0298747173001371	0.0377248564732713	0.0175119859858259
OM3_C_7C_2	0.012149334519483	0.0203224461248974	0.0399695315489913	0	0.0215031716128911	0.00799095938519198	0.00901747532072152	0.00452513684149776	0.0140474538976787	0.0295146661103511	0.0608777201390811	0.0725610148930033	0.0685876261375115	0.0405834967939842	0.0375561703746814	0.0581483649227554	0.0265286654092301	0.0611502442027545	0.0556982926622261	0.032377855840322	0.00813640382790311	0.0149080116040297	0.0343649237526209	0.0338992782340231	0.0257209636792827	0.0762535165448284	0.0763988627419406	0.0434662506597583	0.0552613701354786	0.0496392851350069	0.0318270249325221	0.0201217794371539	0.0272441551354711	0.0119096869669044	0.0106033122165636	0.0766425293965561	0.0514315149334935
OM3_C_7G_1	0.0109162609668393	0.0123241698486728	0.0200584621931393	0.0215031716128911	0	0.0262233564353537	0.0188896555046483	0.0170015429846109	0.00870573735310368	0.0139756890324112	0.0420798023558904	0.0520537264796494	0.0477446529318068	0.0217898383339216	0.0161646993401121	0.0368273230577367	0.00522303501540412	0.0410605374414428	0.0353419892625442	0.0140670347041031	0.0134337515740233	0.00673570709560078	0.013567449531369	0.0204594726959128	0.00948816298878845	0.0565357181612702	0.0562733457008269	0.0226644807529553	0.0347121119548135	0.0301234469574769	0.0117306637871375	0.00353185034413368	0.0127769598021867	0.0131952628496146	0.0134967760674484	0.0553636291621476	0.0299551922384607
OM3_C_7G_2	0.0154408290140605	0.0276394613858535	0.0458195944751104	0.00799095938519198	0.0262233564353537	0	0.00814475757623645	0.0106064043150982	0.0203452292807178	0.0363013117493197	0.0673113772089139	0.0781668368100403	0.0739223573055984	0.046864598036595	0.042306953521967	0.0629165944913162	0.0314419406531114	0.0670122673560258	0.0613931105755996	0.0386438299879214	0.0142255041721768	0.0195372011131458	0.0396979281920778	0.0411804484150339	0.0321681313573401	0.0823343209748514	0.0822563171631379	0.0488334529565023	0.0608297210762649	0.0557360280548095	0.0374853578677091	0.0239529588470875	0.0341158699959895	0.0137688517205568	0.0179133742579505	0.0814091852845785	0.0554618973200853
OM3_C_8A_1	0.00799497632701809	0.0229835055592059	0.0388678824617639	0.00901747532072152	0.0188896555046483	0.00814475757623645	0	0.0075001964413721	0.0147491574202204	0.0304761843039446	0.0607221852916995	0.0708710169125752	0.0664741721830606	0.0402793852635502	0.0347085302894481	0.0552209273930563	0.0240794933158316	0.0599271123412497	0.0542122861030353	0.0321675441835178	0.0094900756177322	0.0125074207723109	0.0324516784096563	0.0360160039017931	0.0260456499243186	0.0753733703431087	0.0751232606250177	0.0415154539882991	0.0535665781460492	0.0488999497101698	0.0305006227155143	0.0162458456868624	0.0284668310266259	0.00583525585274773	0.0141271116398474	0.0736780301557051	0.047531347986376
OM3_C_8A_2	0.00786426703632012	0.0170597457960794	0.0357665816131706	0.00452513684149776	0.0170015429846109	0.0106064043150982	0.0075001964413721	0	0.0099155338628177	0.0257606551505859	0.0569557712808174	0.0683240463156257	0.0642740072342265	0.0365577100332085	0.0330945187385783	0.0537146498786636	0.0220647275942968	0.0569835582154605	0.0514695353329986	0.0283266709905667	0.00378978659358371	0.0103837465618973	0.0300005009634144	0.0305838159726741	0.0217425277511334	0.0721856319254858	0.0722467308052938	0.0391286771397239	0.0509943076414279	0.045546919497771	0.0275416956072953	0.0156105019425586	0.0235489236944166	0.0081824707849129	0.00741260331367362	0.0722244015205861	0.0469213466029648
OM3_C_8B_1	0.00806144119911348	0.00844881085906879	0.0259294496208595	0.0140474538976787	0.00870573735310368	0.0203452292807178	0.0147491574202204	0.0099155338628177	0	0.0159917100786279	0.0470597561354031	0.0585413927042363	0.054593496284025	0.0266467996868547	0.0239324043891171	0.0443578941480983	0.0130639585064935	0.047131989167803	0.0416658387191309	0.0184142222584974	0.00614957873311654	0.00490778090056039	0.020441808315747	0.021283943420103	0.0118418844109425	0.0623019331407735	0.0623982883665096	0.029488607798069	0.0412351105791722	0.0356519632732715	0.0178099154496483	0.00922193964810554	0.0138612587625595	0.0106835526990115	0.00479426624831768	0.0628131308143297	0.0381658333184262
OM3_C_8B_2	0.022878969593796	0.0097876339165836	0.0123441397803033	0.0295146661103511	0.0139756890324112	0.0363013117493197	0.0304761843039446	0.0257606551505859	0.0159917100786279	0	0.0314528181754585	0.0441244188700874	0.0407716287218415	0.0116110352457898	0.0153017736001701	0.0322838642837291	0.0114890420902723	0.032428836723944	0.0274458311076155	0.00465690776123343	0.0220810747246999	0.0183376007601316	0.0106818837659515	0.00654657688904106	0.0046118413645099	0.0470912354807237	0.0475158182586256	0.0170955154939905	0.0273233323787798	0.0207310703302334	0.00785095265211496	0.017488346457838	0.00232518867509256	0.025544500348281	0.0189603204466339	0.0499545795685994	0.0288029636415621
