	OM3_B_B_3	OM3_C_7A_3	OM3_C_7B_2	OM3_C_7B_3	OM3_C_7C_1	OM3_C_7C_2	OM3_C_7G_2	OM3_C_7G_3	OM3_C_7H_1	OM3_C_7H_2	OM3_C_8A_3	OM3_C_8B_1	OM3_C_8B_2	OM3_C_8C_1	OM3_C_8C_2	OM3_C_8E_1	OM3_C_8F_2	OM3_C_8F_3	OM3_C_9A_1	OM3_C_9C_2	OM3_C_9C_3	OM3_C_9D_1	OM3_C_9E_1	OM3_C_9E_2	OM3_C_9E_3	OM3_C_9F_1	OM3_C_9F_3	OM3_C_9G_2	OM3_C_9G_3	OM3_C_9H_1	OM3_C_9H_2	OM3_H_3C_2	OM3_H_3D_1	OM3_H_3D_2	OM3_H_3E_1	OM3_H_3E_2	OM3_H_3E_3	OM3_H_3F_1	OM3_H_3G_1	OM3_H_3G_2	OM3_H_3H_1
OM3_B_B_3	0	0.0160347937507199	0.0386777546854219	0.0204980430085558	0.0321076762945999	0.0161767465378001	0.0111087484751888	0.0256959059142324	0.0249625245254681	0.0191394671588917	0.021752207467751	0.0280676546650831	0.0380472669681642	0.00781165566155812	0.00775588596233542	0.0183480942592904	0.0140286268085516	0.0436224046368151	0.0113530528102692	0.0254985035604318	0.0213064617915243	0.0220115527945916	0.0170280200381343	0.0311275640184631	0.0535388557264853	0.00816799691273315	0.0318556570758267	0.0044395103418242	0.0455751935430838	0.0207982074941121	0.0183282587691656	0.00529045033444301	0.0139158611358359	0.0057295559439502	0.00854431683790492	0.0133974565667717	0.060303072430129	0.00149951641023167	0.00248794724236817	0.0110877610655881	0.019529184277682
OM3_C_7A_3	0.0160347937507199	0	0.0228720487576202	0.00510454007116427	0.0170550531945407	0.00385656231156446	0.0265915607443973	0.041358050969402	0.00913965418493204	0.00537008537705528	0.0343419658957835	0.0141043178914933	0.0229480729985749	0.0238425355100452	0.00848254449593077	0.00690344339569824	0.0287537164806115	0.0589700125652154	0.00468408915952217	0.0411273028185941	0.0365084497455815	0.0373045096149248	0.0328474132689463	0.0470386190800647	0.068791701747748	0.0227326589815762	0.0467668808093754	0.0164257731861196	0.0606061096059717	0.00601740561367905	0.00239590350888697	0.018657572148074	0.029001804289659	0.0171433644675703	0.0124529305893751	0.0281880867604025	0.0742848652078958	0.0154949615919454	0.0172984544692677	0.0269210487199334	0.00769479279067113
OM3_C_7B_2	0.0386777546854219	0.0228720487576202	0	0.0181880174642984	0.0148296172379887	0.0242951506231815	0.0494345493615357	0.0641846232099299	0.0153983813242519	0.0198281364625592	0.0566249725177026	0.0128548678125949	0.00519753512137593	0.0464007656326094	0.03093300157486	0.0214228888777771	0.0515884017894767	0.0817848015691614	0.0274414679767064	0.0639590779326815	0.0593533090774262	0.060152031664671	0.0549504084628648	0.0697649179379439	0.0915747221739804	0.0455895080558183	0.0695451738552544	0.0392761954118689	0.0833648673145609	0.0180078174563794	0.020489087653463	0.0415092703975625	0.0518564435814583	0.0399339590287174	0.0329468563707217	0.0510305382853573	0.0966004125895726	0.0379287292403738	0.0401245346272467	0.0496951008444896	0.0204557016569865
OM3_C_7B_3	0.0204980430085558	0.00510454007116427	0.0181880174642984	0	0.0152587619701608	0.00807084610990027	0.0313347166848914	0.046078475777604	0.00691830654391738	0.0026357114136643	0.0394314802457912	0.00911206831031458	0.0179033038016456	0.0282279361106916	0.012748314027233	0.00520162214461606	0.0336585310941931	0.0638113494119368	0.00934745245722251	0.0458612063768912	0.0413596068116423	0.0421362872771397	0.0369090701972821	0.051610471001813	0.0736611761756924	0.0276051695809642	0.051695559444871	0.0213483718647932	0.0655241735552122	0.00137422543529445	0.00286195004909936	0.0235662263943301	0.0338482312779152	0.0221356950407904	0.0153227702984072	0.0330796984071325	0.0793376418948269	0.0197571264671581	0.0220060395263649	0.0315389747801169	0.00514433049524483
OM3_C_7C_1	0.0321076762945999	0.0170550531945407	0.0148296172379887	0.0152587619701608	0	0.0159370520938019	0.0414316129542919	0.0558374037861542	0.00837206268420689	0.0178911889585782	0.0459203757282633	0.0181968850875591	0.018737640641382	0.0397627578497767	0.0252164086415968	0.0204387303598979	0.0427212744939086	0.0724922375208191	0.0213472862090281	0.0555545871027615	0.0504902041534571	0.0513667039040516	0.049120029365769	0.0619604167053103	0.081977375257622	0.0371938641066247	0.0599520042363431	0.0310828403587295	0.0735732028562058	0.0162113108960106	0.0154848263261566	0.0332043269662436	0.0432841027267786	0.0313024687094886	0.0294883160756506	0.0422606011800294	0.0854194949720145	0.0319021497429828	0.0327300299528145	0.0421744445004809	0.0201879273605734
OM3_C_7C_2	0.0161767465378001	0.00385656231156446	0.0242951506231815	0.00807084610990027	0.0159370520938019	0	0.0259055633681976	0.0405721076757586	0.00924082972150834	0.00904560972088895	0.0323593736848416	0.0171492173766532	0.0251128308208273	0.0238726605104684	0.00955361521063297	0.0107552485200772	0.0276335271178758	0.057830995912899	0.00588919881762696	0.0403146200932971	0.0354586666232088	0.0362968970522169	0.0331999506570207	0.0465031546955219	0.0675529855064591	0.0217953981853616	0.045443907488903	0.015506131216706	0.0592606817975687	0.0092674027618368	0.00526904178548892	0.0177105803116173	0.0280373285896894	0.0159487800612232	0.0146177384981392	0.027112434510147	0.0723954473875073	0.0159878507830845	0.016912049160367	0.0264875694258428	0.0115079652979912
OM3_C_7G_2	0.0111087484751888	0.0265915607443973	0.0494345493615357	0.0313347166848914	0.0414316129542919	0.0259055633681976	0	0.0147736737105682	0.0350842859362174	0.0301560968246655	0.0127931398030641	0.0391557785796046	0.0490531719294032	0.00524547514821989	0.0187275792776189	0.0294513075017059	0.00370619330859798	0.0325588970007358	0.0220125977693379	0.014545042875397	0.0102017751477895	0.0109053934393507	0.0104472949129364	0.020610085727533	0.0424660426504162	0.00431006462831575	0.020769996136652	0.0104059018926128	0.0344744906262381	0.0317464254973789	0.028963085690904	0.00823635976756964	0.00304620433888242	0.0101470324759925	0.0191267008780378	0.00313010865760322	0.049381333908442	0.0122501577477924	0.00933182487074819	0.00181108815819491	0.0306334914245361
OM3_C_7G_3	0.0256959059142324	0.041358050969402	0.0641846232099299	0.046078475777604	0.0558374037861542	0.0405721076757586	0.0147736737105682	0	0.049781757340571	0.044823029145963	0.0144863549853032	0.0537073393307097	0.063714634603326	0.0183917734993514	0.0334150330253548	0.0439708593105703	0.0131527897685183	0.0180727158214903	0.0367741997092076	0.000379023841481648	0.00567619367503868	0.00476131861570601	0.0134802445544644	0.00649266951063863	0.0280134290500327	0.0187840792671348	0.00813726458065834	0.0250906731494203	0.0204305311634965	0.0464544355730218	0.0437279243823292	0.022872476282507	0.0125757923645333	0.0246543725241921	0.0330772959278037	0.0135935587542052	0.0365374644771123	0.0266690919295578	0.0240899222850994	0.0146162917090326	0.0451382465229894
OM3_C_7H_1	0.0249625245254681	0.00913965418493204	0.0153983813242519	0.00691830654391738	0.00837206268420689	0.00924082972150834	0.0350842859362174	0.049781757340571	0	0.00955360518755431	0.0413653433412156	0.0121098369921855	0.0171200879128367	0.0327582885873452	0.0175911248004005	0.0121180636765262	0.0368698562442695	0.0670518251140776	0.0137309290028816	0.0495282319360416	0.044692269681094	0.0455288334839949	0.041898452857385	0.0556595386252632	0.076755863635802	0.0310144456547709	0.0546534106071317	0.0247067741047489	0.0684525771587975	0.00796544558112785	0.00726023084575996	0.0269230501950417	0.0372650494761666	0.0251843145458681	0.0213746555823226	0.0363474922121286	0.0813497491313411	0.0245397196967418	0.0259651820411415	0.0355925682682893	0.0119595726700612
OM3_C_7H_2	0.0191394671588917	0.00537008537705528	0.0198281364625592	0.0026357114136643	0.0178911889585782	0.00904560972088895	0.0301560968246655	0.044823029145963	0.00955360518755431	0	0.0389438122895948	0.0092125813541244	0.0189166902584485	0.0267292041075032	0.0114314122093228	0.00257328150936248	0.0326906649273518	0.0626872063654436	0.00855392233061469	0.0446219088419976	0.0402836315584505	0.0410307360399662	0.0351416159042127	0.0501894079599983	0.0725741699485912	0.0266187559117616	0.0507242106896435	0.0204944643685297	0.0645213838968128	0.00192686504503912	0.0040158903685415	0.022667092789835	0.0327907598397046	0.0214036007939828	0.0132095527837605	0.0320931065187423	0.0786682769171806	0.0182548645310671	0.0208602363741222	0.0302243129955413	0.0027153504138706
