	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.043217776836545	0.00966310062562722	0.0443159078414934	0.0634106670295824	0.039755760248799	0.0113307673466594	0.0224065850608562	0.0161159996662384	0.0261181728165685	0.0259889405473687	0.0132124089040922	0.0710918940614161	0.0403039708892191	0.0233687326060456	0.022030954665959	0.00794591444586176	0.048368214279363	0.0594621822740783	0.0639509824393897	0.0664399571591024	0.0388598080485698	0.0229339956189147	0.012545146656081	0.0259819874066501	0.0272798175127026	0.0329514769506776	0.00693034989262325	0.00965627294758025	0.0129821348170374	0.00369963293876101	0.0317023807232681	0.00738834315479983	0.0560097938504494	0.044634417461174	0.0094783123109921	0.0144057484241294	0.0073922675303448	0.0534133316800832	0.0663239567544084	0.0568202839302391	0.0478406613014001	0.0355165265846076	0.00702195980962043	0.0237407478059018	0.00668742863807932	0.0214830608019879	0.00142365345521343	0.00715596948219155	0.0147400323258811	0.00944385921292301	0.0374006572051942	0.0230986935277359	0.00488651916245062	0.0299936970017742	0.0192842805998749	0.0443055940759089	0.0338722904558525	0.0303506655677843	0.0103888195739857	0.0136066282556981	0.00721840713852568	0.0211693041928769	0.0106750198240005	0.00876852198161169	0.011454480299407	0.0151337861851257	0.0146958339009571	0.00242213107679599	0.00624489643038876
OM4_B_B_2	0.043217776836545	0	0.0521659819837833	0.00409338812151559	0.0209483445268225	0.00371152010027223	0.0324357911946614	0.0235695991947817	0.0588848206792671	0.0689617976396318	0.0173235094746767	0.0300468900946618	0.0284542455037672	0.00423092072864815	0.0206336027523148	0.021435353366864	0.0377596071490275	0.00579654494363158	0.0162964017091341	0.0209119430416448	0.023476249477715	0.00470219135602697	0.0203000246703646	0.0315028508134938	0.0691640204890175	0.0159691491769592	0.0105112908811478	0.0362929038388782	0.0340059829422655	0.0302604803024106	0.043549114112241	0.0747274905317513	0.0366292390786499	0.0128066100109965	0.0041544535330827	0.0350528495001715	0.0288901605569272	0.0358528445888528	0.0102764942886363	0.0235988366606161	0.0152721862377063	0.00512296257228839	0.00800804197301482	0.0462891030314866	0.0194882706604939	0.0380357509074805	0.0645446861044341	0.0445241321642469	0.0367402511014277	0.0579408720479017	0.0340698271722937	0.0804957043494932	0.0204961312500968	0.0402231232155265	0.0135013438143347	0.0239573638396038	0.00881309629610126	0.0100621903172224	0.0129544353567306	0.0331918305104955	0.0560568029281238	0.0360588811170384	0.02341751092744	0.0331633759545845	0.0348399254966332	0.0318561750343247	0.0281409463651359	0.0301314326032073	0.0455401322212045	0.0371514810907234
OM4_B_B_3	0.00966310062562722	0.0521659819837833	0	0.0535281859706905	0.0726292758057654	0.0488164468082001	0.020928719506113	0.0300438994693461	0.00673000356830186	0.016822700137134	0.0351601842115571	0.0222234725613988	0.0795824113147998	0.0494812773189796	0.0318075337966532	0.0307622247196017	0.0173867402841781	0.0574825911536827	0.0684366544114698	0.0730052492936601	0.0751046588738337	0.0479553082187292	0.0319349419589107	0.020757670208585	0.0176232810608921	0.0362235023003502	0.0421122756719068	0.0162111309239284	0.0181743347531922	0.0222420158951895	0.00863521845624502	0.0226456773700145	0.0155532639839273	0.0649137572161835	0.0538428848022696	0.0191350953457255	0.0237261685814838	0.0165443348425582	0.0622450023196806	0.0754895276880418	0.0661346569601033	0.0569279056915094	0.0443059835406581	0.0121873310274494	0.0328111663205878	0.0141967204641598	0.0125341807527756	0.00877451118451342	0.0154388144377798	0.00716340311823852	0.0190063201027312	0.0284982494067834	0.03244868272674	0.0119769934997799	0.0392064024938502	0.0284440803047359	0.0524395078549052	0.0425176275861984	0.0394688045271386	0.0199558342584616	0.00397279821860658	0.0162895557213531	0.030740857426069	0.0202959038024126	0.0183732874364617	0.0203858206829471	0.0244145693293089	0.0243534434106315	0.00799788758332516	0.0158276548303647
OM4_C_1A_1	0.0443159078414934	0.00409338812151559	0.0535281859706905	0	0.0191344460601848	0.00517273976860245	0.0332305485525287	0.0259917939585546	0.0602195982349325	0.070291520120805	0.0183832881281367	0.0313213218760446	0.0288468737709657	0.00407641633832046	0.0226362923424536	0.0230990436270144	0.0383182574581877	0.0043207262252607	0.0155790745875589	0.0197869875902529	0.0236076337710752	0.00580138776471552	0.0216626470223762	0.0331210223420107	0.0701977253776984	0.0175067065111206	0.0114338569346317	0.0374328548400353	0.0354370010869521	0.0313621111115143	0.044971390121412	0.0759590377376926	0.0380782160057113	0.0125849235586083	0.000323149761950749	0.0357059754202899	0.0299195646615764	0.0370429471997969	0.0106894328128842	0.0220374655623607	0.0127625041285452	0.00401819325202583	0.0105302927684553	0.0468150058884417	0.0207516652824082	0.0395536676014302	0.0657573905453925	0.0455670447622147	0.038159619116367	0.058991757898708	0.0349792184136064	0.0816554156982868	0.0212519647865299	0.0416876894997121	0.0143418520752495	0.0251043424861331	0.0128192547806177	0.0127156112371987	0.0140958022933602	0.0340650523904352	0.0574638831981199	0.0372780995503874	0.0237370130187212	0.0339457220473372	0.0357217456493975	0.0331606028669759	0.0291982080728742	0.0305749174706431	0.046569385182217	0.0381359840172828
OM4_C_1A_2	0.0634106670295824	0.0209483445268225	0.0726292758057654	0.0191344460601848	0	0.0239611079376924	0.0522779851169942	0.0445069086627032	0.0793140343464621	0.0893731247477982	0.0375117174975639	0.0504412479676487	0.0157200973100588	0.0231871815370887	0.0414966871824154	0.0421288275812879	0.0572380862969396	0.0152848375304306	0.00651313782763518	0.00365519757013074	0.011131506288285	0.024769209881238	0.0407683616437146	0.0521819419759502	0.0892293819995241	0.0365575652130955	0.0305593080759131	0.0565436766125842	0.0545417058368561	0.0504780351558603	0.0640744788148619	0.0950243669550777	0.0571800758969226	0.0097927776743619	0.0188188338964303	0.0546870465875587	0.0490301450404484	0.0561580169383665	0.0125391199742515	0.0031410382916397	0.0069236905769685	0.0158981617275055	0.0289386145723216	0.0656705160304934	0.0398695276873152	0.0586428789989143	0.0848362073269224	0.0646490545918687	0.0572656630329831	0.078050052344579	0.0540541843459189	0.100698529357234	0.0403436169759105	0.0607864043540036	0.0334711273399694	0.0442293610566051	0.0250044092731836	0.03100730452721	0.0332116118553519	0.0531331686144688	0.0765588014000256	0.0563941789324504	0.0426492747679044	0.0529861558173678	0.0547870366782347	0.0522784218903421	0.0483133486112606	0.0494842991926784	0.0656463681899863	0.0572207893723912
OM4_C_1A_3	0.039755760248799	0.00371152010027223	0.0488164468082001	0.00517273976860245	0.0239611079376924	0	0.0288646972391543	0.0208409219829183	0.055528718521034	0.0656101733593055	0.0137871962404673	0.0266325792034919	0.0321478767230343	0.00174394412261861	0.0175801996743666	0.0181800834336972	0.0341388932605453	0.00869414164797115	0.019735335536591	0.0242360512987907	0.0271351594523184	0.000991791369727265	0.0168940771176305	0.0282491995500118	0.0656995403261512	0.0126217832863422	0.00687747420105946	0.0328374024091397	0.0306661551731887	0.026780984188977	0.04021792412054	0.0713391659678091	0.0333016039479165	0.0163525559461465	0.00543772271346208	0.031449928160579	0.0253830581540287	0.0324154614762793	0.0139213540836192	0.0267478959884491	0.0178291606314856	0.00812274954879069	0.00537024304921166	0.0426693179608015	0.0160373494049766	0.0347423992928883	0.0611427946987808	0.0410442108278556	0.033399331263441	0.0544750084791181	0.0305339820518456	0.0770829280453807	0.0168871882652603	0.0369074146324029	0.0098767403067466	0.020478689815004	0.0107407534336374	0.00755718086314811	0.00941380219954304	0.0296439087193931	0.0527300056610154	0.0326330280256611	0.0197362870403251	0.029590084129101	0.0312970092792454	0.0284576745873206	0.0246415880000721	0.0264792802166018	0.0420565846036177	0.033643525994537
OM4_C_1C_1	0.0113307673466594	0.0324357911946614	0.020928719506113	0.0332305485525287	0.0522779851169942	0.0288646972391543	0	0.0147841864202091	0.0274446597273529	0.0374285926183461	0.0151206035971309	0.00440791100544036	0.0606736416619593	0.0292735717129051	0.0140124739582985	0.0121873876633059	0.00561214283577892	0.0373687277919178	0.0485685028598475	0.0529660443420158	0.0558500892318264	0.0279335783568197	0.0124737850169212	0.00688201131048563	0.0370298682834971	0.0167537946978689	0.0219955384701286	0.00504348600806491	0.00577606273552859	0.00318107828398283	0.0129626428283583	0.0429438757910853	0.00737891924611197	0.0452036061493636	0.033551782045302	0.00281952402080959	0.0038925230209578	0.00499974067007915	0.0427002381867964	0.0552328827575657	0.0456176324186895	0.0368721249457312	0.0250366542242544	0.0139914382860426	0.0131120268845715	0.00888657933686702	0.0327445913846841	0.0124692437068895	0.00723478827769005	0.0258363886317688	0.00195037879463705	0.0485694056474077	0.0120009864744284	0.010261010363773	0.0190010096743543	0.0086969601761831	0.0345788610378892	0.0236388636017617	0.0194851518644429	0.00102909958552986	0.0248948745727202	0.00534508525543521	0.0098401022378824	0.000730308646683108	0.00256239555884229	0.00422303755510289	0.00463735991683592	0.00370105372587951	0.0134441765335761	0.00510231546974093
OM4_C_1C_2	0.0224065850608562	0.0235695991947817	0.0300438994693461	0.0259917939585546	0.0445069086627032	0.0208409219829183	0.0147841864202091	0	0.036682390184936	0.0466240935428396	0.0104213332091906	0.0105141208999162	0.049784298839823	0.0220287753725395	0.00423244243129685	0.00562654064112154	0.0200988007941679	0.0293003711714371	0.0395253510048571	0.0442698905240482	0.0455133296535127	0.0202051694089371	0.00768498866817435	0.00989634777426476	0.0476026784126541	0.00951718950387958	0.015399784096062	0.0160598329600648	0.0128198918693855	0.0116088146403581	0.0215685786250269	0.0525636734050796	0.0150473026311576	0.0358651715917414	0.0262682567957996	0.0174723916153999	0.0111737508994378	0.015458668557932	0.0330620024367811	0.0471070707746041	0.0386397566502726	0.0286556625546372	0.0156115018141112	0.0276239609508492	0.0085011460153253	0.016076892259167	0.0425630135190325	0.0238277300473809	0.0152620334415968	0.0365822189993272	0.0153806475356765	0.0584538562704777	0.0108243634857531	0.0182933177874776	0.0134461212240283	0.00856658114002348	0.0224578314836581	0.0135090949510528	0.0129879348529384	0.0149076505224222	0.033723746625941	0.0155036607321226	0.0132981176366261	0.0153727218033647	0.0161205672811269	0.0116698059725148	0.0105976490873853	0.0152809034178079	0.0248234896131242	0.0175046640133395
OM4_C_1C_3	0.0161159996662384	0.0588848206792671	0.00673000356830186	0.0602195982349325	0.0793140343464621	0.055528718521034	0.0274446597273529	0.036682390184936	0	0.0100976835574859	0.0418569762164683	0.0289289368452065	0.0862665633801409	0.0561791088989026	0.0385255117731543	0.0374886758548326	0.0234705081954927	0.0641879236621042	0.0751493280570328	0.0797114402685192	0.0818079685892584	0.0546641626664305	0.0386505953941978	0.0274813776051918	0.0112973675048646	0.0429441489297589	0.0488124906721069	0.0228520147721582	0.0249010102125944	0.0289082004619681	0.0153642374933927	0.0159284367187796	0.022282054750984	0.0716295955580221	0.0605349519938124	0.0254715142706656	0.0303803594044417	0.023211923226454	0.0689618680761455	0.0821821514663375	0.0727990633963979	0.0636363092705968	0.0510290680434267	0.0168571743882993	0.03952050118958	0.020920376911911	0.00594228268229589	0.015040154758894	0.0221661414134954	0.00442099530106366	0.0255503655117138	0.0218024740722355	0.0391032528867225	0.0187045339805259	0.0458973125627892	0.0351383498311848	0.0590990240412077	0.0492378358498929	0.0461745494354748	0.0264974212771852	0.0030024545179906	0.0229681085474567	0.037279529985582	0.0267870562144226	0.0248829979251172	0.0270953871003007	0.0310799151349235	0.0307574985837354	0.014128739302386	0.0223538295833869
OM4_C_1D_1	0.0261181728165685	0.0689617976396318	0.016822700137134	0.070291520120805	0.0893731247477982	0.0656101733593055	0.0374285926183461	0.0466240935428396	0.0100976835574859	0	0.0519392487627879	0.0390193098769816	0.0962504851453256	0.0662559525373034	0.0485807283696083	0.0475708992540172	0.0331853581822267	0.0742637190088922	0.0852158778276891	0.0897772344933493	0.0918320007156093	0.0647455447843514	0.048739822812267	0.0375513087622419	0.00527286549319271	0.0530309895069028	0.0588934831741429	0.0329186293664992	0.0349922583652056	0.0389815950206427	0.0254502813727654	0.00601731639370767	0.0323705463757386	0.0816941742617799	0.0706070740927625	0.0353427871225443	0.0404461262811821	0.0332905037744785	0.0790219925253204	0.0922435592976789	0.0828480974555763	0.073712998532041	0.061101427591286	0.0258240420291784	0.0496082762761598	0.0309932162373994	0.00492494715605114	0.0249714754968506	0.0322577570006624	0.0120773994998255	0.0355575291324241	0.01194103105347	0.0491629142800706	0.0287857203907136	0.0559750980579279	0.0452221907287424	0.0690477880488727	0.0592976382127787	0.0562587012284709	0.0365005377564365	0.0129556908575648	0.0330514858190349	0.0472580996065544	0.0367566507469358	0.0348709166033454	0.0371874316174439	0.041151328861887	0.0406510872060773	0.0240176216353774	0.0323603143581032
