	OM4_B_B_1	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.00373278002271563	0.0112110185759243	0.00517914818969827	0.0124994840073531	0.00291092746069958	0.0080627032551031	0.0325559322922106	0.0314524839738774	0.00227583557217457	0.00883385460362066	0.00479550587778156	0.0146016920826218	0.019127977180639	0.00595487840482909	0.00991278214811735	0.0183766948622871	0.000416057397376686	0.0124500767200746	0.00245791047963078	0.00206429173226979	0.014295569141174	0.0129534282770705	0.00389445252670778	0.00301070977965288	0.00515472792731335	0.0118705437701834	0.00327023244617221	0.00431326463106882	0.0112719767763863	0.00422249831478978	0.021181047633295	0.0208508518964461	0.00951685155958273	0.00603031525610544	0.00215744761055583	0.00210619416335495	0.00829273182638944	0.00498960993075733	0.00441811728867599	0.0155455442446807	0.014323985658481	0.0046882612827871	0.0188806460537477	0.013100280280315	0.0330032494781921	0.043429568965893	0.00418814363177382	0.00383733695436529	0.00178671201424792
OM4_B_B_3	0.00373278002271563	0	0.00747834775863623	0.00144637791399261	0.00876684675317361	0.000821855673636579	0.00432996868024292	0.0288243800751171	0.0277208444327929	0.00145694876288314	0.00510113325198583	0.00852823276925159	0.010869118915515	0.0153955813276596	0.00222211560199242	0.00618008190295551	0.0221089479651966	0.00414883517607883	0.0161825952674078	0.00127487361850433	0.00579705620214296	0.0180280147671909	0.00922080388224224	0.000161673323086795	0.00072207307061855	0.0014219574418653	0.0156030833991392	0.0070029827101474	0.000580487865770798	0.00753930744914224	0.000489720982293179	0.0174487499504322	0.0171185376764921	0.00578414321595322	0.00976301880647969	0.00157533683219088	0.00162659031474404	0.0120253823575775	0.00125683806751937	0.00815085052490196	0.0118130036170274	0.0105914033619004	0.000955487088305092	0.0151482391224247	0.00936766016097141	0.0367344592890061	0.0471596979744706	0.000455366090156562	0.000104557454004968	0.0055194792195244
OM4_C_1A_2	0.0112110185759243	0.00747834775863623	0	0.00603199263410929	0.00128852854610226	0.00830018562143168	0.00314841470861677	0.0213476497730565	0.0202439713587801	0.00893526253533268	0.00237724620603511	0.0160062246129634	0.00339086761666515	0.00791755292119543	0.00525626267087495	0.00129828683408513	0.0295855938073555	0.0116270570625671	0.0236599459606198	0.0087531922431915	0.0132752032116385	0.0255051654603308	0.00174249816012501	0.00731667752466162	0.00820040536870513	0.00605641281210966	0.0230804932596853	0.0144810659866595	0.00689787035034218	6.09608925350152e-05	0.00698863571462754	0.00997085821534642	0.00964062246002773	0.00169423016288985	0.0172409277797013	0.0090536473570552	0.0091048994109333	0.0195031189656212	0.0062215301156355	0.0156288661163495	0.00433478990621324	0.00311314189459085	0.00652287694885806	0.00767019575120995	0.00188935870913201	0.0442085889625938	0.054631359959213	0.00702299002049515	0.00737379231838135	0.0129976398284695
OM4_C_1A_3	0.00517914818969827	0.00144637791399261	0.00603199263410929	0	0.00732050127035516	0.00226823264738892	0.00288359707035047	0.0273784027501432	0.0262748361416504	0.00290332454339071	0.00365476475242225	0.00997456782872601	0.00942279277853872	0.0139493120875206	0.000775738557967228	0.00473371876487551	0.0235550640159845	0.00559520138723031	0.017628829623284	0.00272124978266506	0.00724341295285486	0.0194742160546662	0.00777446219730822	0.00128470469573993	0.00216845019489971	2.4420487198254e-05	0.0170493274353649	0.00844933080786574	0.00086589030194548	0.00609295274284677	0.000956657168132589	0.0160025133953889	0.0156722955745929	0.00433777797353704	0.0112093415984784	0.00302171234538953	0.00307296570781095	0.0134716787009757	0.000189539966564772	0.0095971890280302	0.010366687625427	0.00914507441215953	0.000490891062473832	0.0137019662347348	0.00792131974940976	0.038180133042204	0.0486049259294145	0.000991012051524266	0.00134182053125406	0.00696583775487474
OM4_C_1C_2	0.0124994840073531	0.00876684675317361	0.00128852854610226	0.00732050127035516	0	0.00958867829993486	0.00443693695217178	0.0200593156355388	0.0189556169721639	0.010223749917666	0.00366577081976105	0.0172946285984419	0.00210234229172475	0.00662904811766079	0.00654477570342036	0.00258681386429956	0.0308737123233867	0.0129155179788619	0.0249482092744069	0.0100416811809081	0.0145636447167399	0.0267933870391299	0.000453969971262081	0.00860517769025689	0.00948889884640465	0.00734492130118825	0.0243687690531161	0.0157694917483133	0.00818637344034621	0.00122756768743849	0.00827713818423215	0.00868236885091516	0.00835213035387743	0.00298275642826711	0.0185293126120588	0.0103421337120733	0.0103933853173075	0.0207914651706645	0.00751003759544718	0.0169172756835119	0.00304626732821066	0.00182461591496096	0.00781138252356134	0.00638168934628739	0.000600830675784065	0.0454962164813048	0.055918521530417	0.00831149225333373	0.00866229207294883	0.0142860847730226
OM4_C_1C_3	0.00291092746069958	0.000821855673636579	0.00830018562143168	0.00226823264738892	0.00958867829993486	0	0.0051518179568552	0.0296459894117542	0.0285424720797	0.000635093354291894	0.00592298025994967	0.00770639590243277	0.0116909381035007	0.0162173652454544	0.0030439693366641	0.0070019251630502	0.0212872267239334	0.0033269834549741	0.0153608106494289	0.000453018110283055	0.00497520878517635	0.0172062477411277	0.0100426329759523	0.000983528951284681	9.97826236529108e-05	0.00224381220102052	0.0147812936569431	0.00618113942611045	0.00140234330621319	0.00836114503466417	0.00131157647185491	0.0182705139628381	0.0179403050550934	0.00660598792914256	0.00894118810777661	0.000753481498581521	0.000804735016088517	0.0112035652174225	0.00207869299247166	0.00732901194662825	0.0126348164269475	0.0114132243285941	0.00177734227526459	0.0159700252734483	0.0101894884356969	0.0359129798992777	0.046338465172588	0.00127722159710897	0.000926413099619067	0.00469763096893796
OM4_C_1D_1	0.0080627032551031	0.00432996868024292	0.00314841470861677	0.00288359707035047	0.00443693695217178	0.0051518179568552	0	0.0244954851229769	0.0233918615724568	0.00578690470609822	0.000771170522020918	0.0128580359939085	0.00653925786916918	0.0110658708940273	0.00210786015908116	0.00185013052103716	0.0264380364443977	0.00847875074017589	0.0205120636894066	0.00560483150377817	0.0101269362625408	0.0223573761635782	0.00489090347266418	0.00416829637550476	0.00505203623930427	0.00290801748852466	0.0199325833229799	0.0113328316119544	0.00374948410377555	0.00320937538550839	0.0038402505400886	0.0131191284248805	0.0127889009832042	0.0014541872599784	0.0140927799275843	0.00590529145906973	0.00595654435857869	0.0163550544472673	0.00307313645056341	0.0124806657027152	0.00748316883021655	0.00626153510509558	0.00337448646503081	0.010818518846424	0.00503776292350942	0.0410621602255705	0.051486019306051	0.00387460525642764	0.00422541189424356	0.00984936583204791
OM4_C_1F_1	0.0325559322922106	0.0288243800751171	0.0213476497730565	0.0273784027501432	0.0200593156355388	0.0296459894117542	0.0244954851229769	0	0.00110384747227776	0.0302808828588022	0.0237244722074622	0.0373493981958482	0.0179572404217205	0.0134308982366505	0.0266028625925573	0.0226457156300764	0.0509219975133172	0.0329718332957122	0.0449996379931191	0.0300988657772898	0.0346194095924716	0.0468438889199966	0.0196054085989909	0.0286627536148237	0.0295462374399056	0.027402816807634	0.0444204791059623	0.035824829950713	0.0282440580293026	0.0212866986374829	0.0283347994310097	0.0113776470176423	0.0117078783614894	0.0230415865578924	0.0385835982211042	0.0303992328180777	0.0304504697144993	0.0408448091294248	0.027567892494409	0.036972188976104	0.0170134150610666	0.0182349350820886	0.0278691623295981	0.0136782446089055	0.0194585676337294	0.0655346715981061	0.0759481736114596	0.0283691446351863	0.0287198529885834	0.034341944995782
OM4_C_1F_2	0.0314524839738774	0.0277208444327929	0.0202439713587801	0.0262748361416504	0.0189556169721639	0.0285424720797	0.0233918615724568	0.00110384747227776	0	0.0291773800306173	0.0226208345125098	0.036246077691915	0.016853511474567	0.0123271157056362	0.0254992800374229	0.0215420589139883	0.0498191338985923	0.0318683953709185	0.0438965577905332	0.028995358759389	0.0335160141420366	0.0457408733088021	0.0185017031070061	0.0275592144315073	0.0284427178571693	0.0262992507086446	0.0433173791527685	0.0347214668907605	0.0271405097662511	0.0201830192363241	0.0272312531243298	0.010273845428436	0.0106040796159655	0.0219379367177714	0.037480313467534	0.0292957327277333	0.029346970812771	0.0397415928887606	0.0264643298524725	0.0358688577777068	0.0159096736293181	0.0171312099395488	0.0267656060508846	0.0125744645951259	0.0183548599667648	0.064432456030947	0.0748465182942912	0.0272655990706288	0.027616315053939	0.0332385422469461
OM4_C_1G_1	0.00227583557217457	0.00145694876288314	0.00893526253533268	0.00290332454339071	0.010223749917666	0.000635093354291894	0.00578690470609822	0.0302808828588022	0.0291773800306173	0	0.00655806500738002	0.00707131459592937	0.0123259994932134	0.0168523979213205	0.00367906021070824	0.00763700666639003	0.0206522303919442	0.00269189208204337	0.0147257672512431	0.000182075262362987	0.00434012020673764	0.0165712173426958	0.0106777025517329	0.00161862195299223	0.000734875961632259	0.00287890412489599	0.0141462464857024	0.00554605365249353	0.00203743602776701	0.00899622171466402	0.00194666926085172	0.0189055305953955	0.0185753243952519	0.00724107068301824	0.00830611116959332	0.000118388164272587	0.000169641692173406	0.0105684980273016	0.00271378509760116	0.00669392943925944	0.0132698725837452	0.0120482871823387	0.00241243468010881	0.0166050597547388	0.0108245573312511	0.0352781657602481	0.0457038382494078	0.00191231441067549	0.00156150613350464	0.00406254183579608
