	OM4_B_B_2	OM4_B_B_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4E_1	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_2	0	0.0803549175467122	0.0265280046304249	0.0220076332437592	0.0299328873428584	0.00620117575349814	0.00428038085394772	0.0223385620253866	0.0104190051734642	0.00123993349131689	0.0117695032239442	0.0208532561521011	0.0270510012935164	0.0222936440739356	0.0235816608868044	0.0403630154382446	0.0143497619974775	0.026543833944173	0.0199342721152871	0.0307104939694823	0.0622627963199117	0.0290553084212215	0.00830168936188451	0.00457030610151937	0.00490794050987827	0.0037898329233821	0.0200088536471662	0.0128419347994984	0.0316083414389553	0.0148048008725758	0.0320041609619031	0.0334403098574191	0.011782599089273	0.00393334352833929	0.00892578015881884	0.00716173414668158	0.0164845051410264	0.0209661696101544	0.0305478689702768
OM4_B_B_3	0.0803549175467122	0	0.106542848217247	0.102096342098436	0.109686170215617	0.0859547346624958	0.0767676735859395	0.0935973262913845	0.0702735318430191	0.0792529104616275	0.0709989088227663	0.0992267593228872	0.107190783325469	0.10242517541379	0.103755413469756	0.120477414224251	0.094035233133999	0.106582489926821	0.100217664931006	0.109045365439131	0.0363405772557951	0.109224459581793	0.0720819332523221	0.081402122148239	0.0776600816628026	0.0829531376664786	0.0999943995528592	0.0878197929569009	0.111655932972124	0.0948516748736276	0.112181811041162	0.11077203413776	0.090598514834842	0.0764388980875199	0.0883249442166024	0.0737867033608755	0.0640518925971959	0.100548395953335	0.110594197401417
OM4_C_1F_1	0.0265280046304249	0.106542848217247	0	0.00857802719587217	0.0108316916491936	0.0206813142581243	0.030511084160904	0.0277383234780993	0.0363910123213437	0.0275442300967862	0.0374823293102564	0.0158211270514017	0.00699718239041759	0.00428773615230801	0.00323599968799885	0.0141066740994455	0.0125982470848041	0.000212267511211646	0.0073896030176823	0.016610521642449	0.0853657762619832	0.00707934464226587	0.0347840680055757	0.0266987582317044	0.0301327603464302	0.023685338009875	0.0103215736937063	0.0245158638032568	0.00960977366149113	0.0136988681462718	0.00846792284446391	0.0203163219526522	0.0191063775063238	0.0304432048804186	0.020092906275125	0.0335380188020038	0.0429974249733051	0.0118267073918228	0.00408073866522969
OM4_C_1F_2	0.0220076332437592	0.102096342098436	0.00857802719587217	0	0.00809661707586246	0.0172525433415601	0.0254176513067333	0.0191656645699817	0.0323993178773276	0.0231875966118558	0.0316488112571642	0.00725347339397366	0.00514599221417029	0.00608734181575323	0.00588175287789278	0.0194890427763625	0.011250884480768	0.00842696067687621	0.00389869826425611	0.011138752423013	0.0834775478196688	0.00723361784799493	0.0302016291105087	0.020879817966476	0.0245887116695978	0.0201327564504279	0.00222184032844633	0.0168023244599098	0.00961865005436383	0.00727581652054715	0.0102268136462622	0.0148353825544039	0.0120510392565076	0.0258708877335435	0.0139045102314092	0.0284078253545828	0.0381555156497357	0.0032488146315485	0.0111697912570547
OM4_C_1F_3	0.0299328873428584	0.109686170215617	0.0108316916491936	0.00809661707586246	0	0.0253440414836661	0.033140068133069	0.0221834713596718	0.0403446404335405	0.0311334546895226	0.0389584745846942	0.0113270000587009	0.00416601218602464	0.0116001049386953	0.0104486366188632	0.0143335183761607	0.0190182160194318	0.010619828596852	0.0113702388390128	0.0062224049450451	0.0915430136766682	0.00387882111177832	0.038026038089305	0.0283978294870281	0.0321519801499795	0.0282074049814813	0.00993656356323266	0.0229228362770336	0.00308812458198373	0.0151321564915658	0.00493611634462444	0.00967629768177833	0.0191998725963573	0.0337403064510991	0.0214771117577704	0.0360774535637197	0.0458332592689948	0.00918660861084666	0.010325745865535
OM4_C_1G_1	0.00620117575349814	0.0859547346624958	0.0206813142581243	0.0172525433415601	0.0253440414836661	0	0.0104675704918565	0.0227230709934758	0.0157239652131971	0.00702132483952719	0.0179247950268452	0.0178906202732714	0.022041872820322	0.0165377240598798	0.0178878469558458	0.0346866164299384	0.00824427323499109	0.0207159321639088	0.0145764200034732	0.0271237060529331	0.0662746328990655	0.0239378883596001	0.0141999355467186	0.00856271844938341	0.0107567733604265	0.00301617139806088	0.0155179954860414	0.0136583812943975	0.0266423528905208	0.0105961190703574	0.0268017681024828	0.0302624232160931	0.00991177234623824	0.00994549469440093	0.00725805547230315	0.0133550826651716	0.0224319529434482	0.0169336355401665	0.0247456252171001
OM4_C_1G_2	0.00428038085394772	0.0767676735859395	0.030511084160904	0.0254176513067333	0.033140068133069	0.0104675704918565	0	0.0226250687272552	0.00799648993782371	0.00378852538466817	0.00749602432236977	0.0233094119490689	0.0305354687347649	0.0262441540512347	0.0274883887159723	0.0441906663984775	0.018537025526481	0.0305151499067584	0.0236930415212151	0.0333052556368974	0.0600899649496496	0.0325846850851823	0.0050506511598978	0.00506465568943663	0.00194246695600131	0.00799632274157196	0.0233192835818802	0.0135407581697428	0.0350260911503682	0.0181434909443016	0.0355629250284174	0.0357428954404091	0.014231634832552	0.00206627037815821	0.0116822010575855	0.0030347514967664	0.012743931127427	0.0240102200084424	0.0344879649513964
OM4_C_1G_3	0.0223385620253866	0.0935973262913845	0.0277383234780993	0.0191656645699817	0.0221834713596718	0.0227230709934758	0.0226250687272552	0	0.0304594463002788	0.0233893406376683	0.0244748411736635	0.0119778354498284	0.0226589356780441	0.02462831757115	0.0248614856201763	0.0364908547764074	0.0239137624665163	0.0275899803529572	0.0213164540485693	0.0181667373350974	0.081708182584468	0.0244212323518844	0.0272467679290845	0.0180682702344636	0.0207667989639541	0.0237347247547151	0.0175418185150249	0.00951109493203542	0.0252154805593785	0.0165935422996092	0.0268380631600614	0.0184046846743394	0.0132167813933184	0.0243833533471445	0.0154933708101803	0.0244157542135482	0.0326390690699369	0.0159195102665842	0.0300389310326477
OM4_C_1H_2	0.0104190051734642	0.0702735318430191	0.0363910123213437	0.0323993178773276	0.0403446404335405	0.0157239652131971	0.00799648993782371	0.0304594463002788	0	0.00921867583081127	0.00905453517773337	0.0310457207040171	0.0374075357447505	0.0322572858832214	0.0336012167975554	0.0503973393734929	0.0238599111333391	0.0364292545301233	0.0301538370450784	0.0409887021237228	0.0521598713173182	0.0393868769548841	0.00327278242725246	0.0130175349043686	0.00973456947623122	0.0127123703666504	0.0304204434138264	0.0215231663560326	0.0419798368681059	0.0252199669227327	0.0423124854869385	0.0435673174284814	0.0219240244516351	0.00673735591409709	0.0191873349976924	0.00616276833507788	0.00756952358271949	0.0313688252503027	0.0404586275263192
OM4_C_1H_3	0.00123993349131689	0.0792529104616275	0.0275442300967862	0.0231875966118558	0.0311334546895226	0.00702132483952719	0.00378852538466817	0.0233893406376683	0.00921867583081127	0	0.0112272810819613	0.0220927442547418	0.0282136995418193	0.0233303161260131	0.0246347197744232	0.0414308272059369	0.0152494491254917	0.0275655772381392	0.0210428410652188	0.03194818385678	0.0610253028466485	0.0302079603882493	0.00724284402139845	0.00542926545346497	0.00488960616767309	0.00429467076199656	0.021204991947607	0.0139174126243685	0.0327791921982069	0.0160050569819925	0.0331487619716548	0.0346789375803508	0.0130189731816175	0.00292610839664012	0.0101654884586911	0.00641475819047491	0.015466129741553	0.0221875915125172	0.0315795528532397
