	OM4_B_B_1	OM4_B_B_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_2A_1	OM4_C_2C_3	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_3A_1	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3G_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2
OM4_B_B_1	0	0.0219412126366319	0.0126586568672731	0.0116417149674514	0.0157178554756977	0.0169428283204788	0.0616127806996709	0.0621784069006725	0.111868395376356	0.119557580459976	0.0280788809973598	0.12821933251657	0.0990719450137156	0.0729819081181717	0.0697559803916707	0.0345666340021346	0.056851520652273	0.0428154407197443	0.038300154559955	0.0204594489497832	0.0770202903974107	0.0796211664125728	0.00712632716359777	0.0166270847423338	0.0169243997509187	0.00524964406652605	0.000369020057498666	0.0109616369228964	0.0191515022632923	0.0317874373037087	0.0276298696513678	0.0728608656474625	0.0281547699771975	0.0212769996909407	0.0256005158222045	0.0618366566737811	0.0281705829357887
OM4_B_B_3	0.0219412126366319	0	0.025178995466082	0.0157580431774179	0.00721979723719043	0.00501320544018488	0.0414718783276242	0.041711615573292	0.092302738806726	0.0997092968565558	0.0123888706908922	0.107020807475716	0.0787639046338982	0.0929101419073928	0.0894927409109133	0.0148915851206829	0.0364429571807979	0.0214445211539108	0.016961532391535	0.00787560141594318	0.0971901026479974	0.0916894252605413	0.0157181838916869	0.00549037944858406	0.0350147110724724	0.0254923365247771	0.0222179824653705	0.0207317183184401	0.0179524842042251	0.0512070825279535	0.0473298531886688	0.0919696124299976	0.0490450884473478	0.0419307750237204	0.0407251464570623	0.0814078937363379	0.0428966773217344
OM4_C_1E_2	0.0126586568672731	0.025178995466082	0	0.00942527401745723	0.0179982259327931	0.021207159086051	0.0666024654646005	0.0668026851329412	0.117299909628051	0.124653417297168	0.0352179628066599	0.131273901046244	0.103721748795601	0.0682122536404339	0.0647110133581532	0.0398897208935368	0.0615651736723381	0.0463676114041373	0.041978744877547	0.0275313495770158	0.0726196749112068	0.0687307892665669	0.0168169576550871	0.0200151729175646	0.0106427156414567	0.00915356822315338	0.0124200385598575	0.00445466390244557	0.0120293177287791	0.02663483343298	0.0230882278594522	0.0669797400258118	0.0260206681020995	0.0191564658237121	0.0156873828541824	0.0565777005570241	0.0180111883214304
OM4_C_1E_3	0.0116417149674514	0.0157580431774179	0.00942527401745723	0	0.00859987755333701	0.0119708632341569	0.0571985886111178	0.0574037882475057	0.107950810207407	0.115317847605252	0.0262306264292704	0.122135218857317	0.0943698713794097	0.0774605563649305	0.0739922220875742	0.0305192089954751	0.0521590674597123	0.0369864015530128	0.0325775269216504	0.0187522942046857	0.0818176794542016	0.0771079364424396	0.0111482788578128	0.0106796274964808	0.0195680564671636	0.0122518108167764	0.0116762901018744	0.00498816427890673	0.00775703668606856	0.0357735545813051	0.032040834829121	0.0763454269207055	0.0343562065400231	0.027261255934176	0.0250127940956898	0.0658749326234514	0.0272423278040065
OM4_C_1F_1	0.0157178554756977	0.00721979723719043	0.0179982259327931	0.00859987755333701	0	0.00373743522581207	0.0486725004662998	0.0489224498081181	0.099464009632161	0.106876661399392	0.0180152223382541	0.11408045107358	0.0859532559069772	0.0857368549199456	0.0823098808445493	0.0219233310502694	0.0436531854105184	0.0286238373275798	0.0241603930220283	0.011057006650526	0.0900332127991691	0.0852476152741681	0.0107493861460924	0.00221799753616936	0.0278103887873061	0.0186548781993333	0.0159425483648406	0.0135446846585643	0.012343379602779	0.0440160209446998	0.0401611433485178	0.0847789074460924	0.0420169294185587	0.0348907151086433	0.0336083047496362	0.0742169220473738	0.0358270045967666
OM4_C_1F_2	0.0169428283204788	0.00501320544018488	0.021207159086051	0.0119708632341569	0.00373743522581207	0	0.0457809788791726	0.0461343827065901	0.0965294873385982	0.104027332607468	0.0143459920028831	0.111757608826104	0.0831995811979077	0.0884152308884153	0.0850356466155524	0.0187770925363202	0.0408278593205684	0.0261527527738669	0.021635928208888	0.00733831317380386	0.0926457896146985	0.0888733063178523	0.0107592857865135	0.00156857908030684	0.0305953701186679	0.0206431398088377	0.0172246671713883	0.0167738450791466	0.0160525109277428	0.0467183366792094	0.042771735789783	0.0876516331072543	0.0442806046064639	0.0371843312898937	0.0368823542927028	0.0769745810971058	0.0391611010568452
OM4_C_1G_1	0.0616127806996709	0.0414718783276242	0.0666024654646005	0.0571985886111178	0.0486725004662998	0.0457809788791726	0	0.00204663794367302	0.0509746394871695	0.0584362772218285	0.03386928086032	0.0676146611124511	0.0375957928561977	0.133883082993934	0.130537432016096	0.0271414432430489	0.00514885214060464	0.0207190235699417	0.0248218321202228	0.0412043232579148	0.13805177147294	0.130772195090652	0.0545354811271192	0.0467685205797917	0.076310782778015	0.0660430918134122	0.0619520746917989	0.0621688191565331	0.0579391680525628	0.0923835510953817	0.0884241098842812	0.133125314109189	0.089619837590474	0.0826299843363481	0.082027106885537	0.122521162093446	0.0841134137276505
OM4_C_1G_3	0.0621784069006725	0.041711615573292	0.0668026851329412	0.0574037882475057	0.0489224498081181	0.0461343827065901	0.00204663794367302	0	0.0508603929758345	0.0581808856835624	0.0346325732274361	0.0666978785731213	0.0371546075256329	0.134265041180165	0.130894983131481	0.0276454603354748	0.00533712358456432	0.0206354906177864	0.0248931921823305	0.0418229483735458	0.138467603727805	0.13044139216426	0.0551292690603948	0.0470680985887732	0.076629379512483	0.0665203339399185	0.0625129965070333	0.0623805382185551	0.0578700841991597	0.0927394018131746	0.0888103015555323	0.133405228693459	0.0901245100058178	0.0831070149845443	0.082151236416657	0.122861906825551	0.084200058320733
OM4_C_1H_1	0.111868395376356	0.092302738806726	0.117299909628051	0.107950810207407	0.099464009632161	0.0965294873385982	0.0509746394871695	0.0508603929758345	0	0.00831098463894217	0.0839622999216409	0.0287865553306032	0.0152917230069761	0.183902910187156	0.180627420082154	0.077874962600565	0.0560354973707904	0.0714319468813698	0.0756671958032504	0.091561128438616	0.187968094323903	0.179802116139055	0.104792434061044	0.0975496812484366	0.126888301751216	0.116462682825165	0.112216478830172	0.112892003420841	0.108456644214327	0.142799439045973	0.138827501660258	0.183280469444488	0.139770982042046	0.1329087236525	0.132607801729843	0.172706680714089	0.134655302785854
OM4_C_1H_2	0.119557580459976	0.0997092968565558	0.124653417297168	0.115317847605252	0.106876661399392	0.104027332607468	0.0584362772218285	0.0581808856835624	0.00831098463894217	0	0.0917106433205562	0.0229479054102918	0.0214159177911722	0.191402514427878	0.188101203727138	0.0854399303422713	0.063426365053031	0.0786705644148319	0.0829769054404109	0.0992468189768307	0.195503592868589	0.186257022530435	0.112492812299559	0.105004255515246	0.134356533434256	0.124080653524913	0.119902216740168	0.120261105173143	0.115545429396066	0.150299772172224	0.146361434013854	0.190655960174491	0.147423878040357	0.140533810440752	0.139858509493628	0.180168071444605	0.141858339918903
OM4_C_2A_1	0.0280788809973598	0.0123888706908922	0.0352179628066599	0.0262306264292704	0.0180152223382541	0.0143459920028831	0.03386928086032	0.0346325732274361	0.0839622999216409	0.0917106433205562	0	0.101197851836628	0.071305163069236	0.100931321984095	0.0976811825057795	0.00798648490024483	0.0293463284568051	0.017592427979248	0.0137882413168155	0.00780363807061654	0.104980766232159	0.10313931907798	0.0209558227333188	0.0157991433512497	0.0438394499621021	0.0328315203968665	0.0284324159451567	0.0308646042290611	0.0300052340114426	0.0595755052979675	0.055485496793112	0.100631523271786	0.0562052583850532	0.0493240773148942	0.0508541925635634	0.0897330779416475	0.0532072011449896
OM4_C_2C_3	0.12821933251657	0.107020807475716	0.131273901046244	0.122135218857317	0.11408045107358	0.111757608826104	0.0676146611124511	0.0666978785731213	0.0287865553306032	0.0229479054102918	0.101197851836628	0	0.0322817033513166	0.198597696674608	0.195133039963934	0.0939842443125485	0.0719546600555671	0.0857360290574368	0.0902381965197795	0.108182343156461	0.202932600037574	0.18812094068043	0.121311183389715	0.112473467400717	0.141525878243392	0.132243480510021	0.128537968683862	0.127021052623748	0.120924243391523	0.15755657919409	0.153840683751069	0.197100964408674	0.155648482044033	0.14861285395602	0.145775257143812	0.187122052957543	0.147507452730204
