	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.0105812331589853	0.00645071006945755	0.01359003638667	0.00718795282979459	0.0273552328545138	0.0313042614733297	0.0386146605605316	0.0579516164216783	0.158125920862173	0.196336366734416	0.2156696585864	0.075481689404122	0.103113031344038	0.125296668027558	0.0879967690961889	0.108118356328903	0.135669423837863	0.0848382687440435	0.103361349304251	0.10194073107297	0.0264379786985422	0.0204088900628837	0.0497529680501751	0.0105917060981065	0.0186634854631751	0.0127429087363438	0.0393590711208901	0.0397456008682076	0.0422253157802496	0.0563589770448016	0.0776581101526452	0.0700392347551729	0.0661725017451415	0.079324611596881	0.0994582357662766	0.0531949179959062	0.0909634200425653	0.126463968867676	0.0606628721961063	0.092363837775602	0.112464138352468	0.0476088978648354	0.0570229676773717	0.089298534525433	0.0236867147605485	0.0436805858992595	0.0835602391910963	0.0246497615977104	0.0575425092015963	0.0432476370792262	0.166113772542674	0.164842213019752	0.167427837831106	0.0642506322011678	0.0722671021185817	0.0987869197376576	0.0889180006344453	0.123470867933268	0.070508227342812	0.0932102459647807	0.119840686808328	0.0693572709948887	0.11444031565698	0.137021153930594	0.052467091734847	0.0627405490127503	0.122065879788177	0.0383626541571111	0.0526412755052135	0.0869199991314536	0.00677293016206331	0.0188585265748286	0.027905943412984	0.020501559459514	0.033990559949824	0.0417458742034818	0.171142927426216	0.182711195131594
OM4_B_B_2	0.0105812331589853	0	0.0132222885096133	0.0191588338399379	0.0140374068748235	0.0328426129874242	0.038342513572157	0.0445121810541248	0.0638579624423575	0.160669750745052	0.19996932439154	0.219184408792132	0.0802979151042386	0.107466334689193	0.130454429335237	0.092036529478208	0.112065196370418	0.140291330415793	0.0878120703775199	0.106257700560661	0.106521972498962	0.0315069972615197	0.0261694884621691	0.0557011668396889	0.0158485493761937	0.0247386912118047	0.0195877820313584	0.0444165646964524	0.0455085177973046	0.0487259200366968	0.0617497114690356	0.0832354741929824	0.0757621168130177	0.071504242870617	0.0853140887323465	0.10555594504124	0.0592726918229212	0.09671958128834	0.132099742044667	0.0667670780421372	0.098338945785989	0.118531967077202	0.052027984243478	0.0627168655584325	0.0951778103883166	0.0297923108249979	0.0490427269001735	0.0887616655014831	0.0291865999220502	0.0614492774404084	0.0472988148391755	0.168845003561338	0.168360846589553	0.170403459410092	0.0698147159105414	0.0785624037003199	0.103889692655518	0.0941735213811959	0.128457311184273	0.0766172082570731	0.0985080546019398	0.125076643070418	0.0751508967450899	0.119642356514333	0.142023237185757	0.0585968902647647	0.0684792692290355	0.127596878084492	0.0436213297011217	0.0590173133612727	0.0931269740491615	0.00916944219079157	0.0242482043621429	0.0337086429480897	0.0266827755371758	0.0397712328294718	0.0477778429382026	0.174493694446894	0.185948657480961
OM4_B_B_3	0.00645071006945755	0.0132222885096133	0	0.010654457004154	0.00508411002155428	0.0220154438434407	0.0265521273213202	0.0344714682418857	0.0534784425999379	0.157823459328929	0.195145818282725	0.214306415626672	0.0733274469451241	0.100402465945382	0.122411993009139	0.0866353289362865	0.106290333810145	0.13314221237127	0.0839391178673019	0.10242483975158	0.0996937414058213	0.0221917423974251	0.014697457884749	0.045128460236023	0.0091827525799168	0.0167309848231269	0.0103847441473363	0.0366269007447429	0.0355511752452868	0.0374004773508073	0.0524835497207149	0.0740263756497362	0.0658833857419014	0.0624986049228264	0.0753240715440112	0.0953247069902357	0.0495108809884112	0.0869451087998403	0.122956219481831	0.0571096187593246	0.0883346661698288	0.108627994909185	0.0436079678404597	0.0526361186902055	0.0849891692775342	0.0190569243893715	0.0402757390670406	0.0797563380335738	0.0237571540412518	0.0560529150288042	0.0412356308471012	0.165489857097855	0.163635251821955	0.166645556739736	0.0604887006219523	0.0685980504424238	0.095292337129563	0.085013901589562	0.119965395541244	0.0665856285489486	0.0891065914927507	0.115998755492226	0.0655516584395033	0.110948599790493	0.133532695722586	0.0487701256321841	0.0588212457848886	0.118490706213358	0.0343559618329749	0.0482902759735181	0.083108804211377	0.00638832709554883	0.0149964437590477	0.0244429340236363	0.0180176194802949	0.0300568770388358	0.0380439558744898	0.170200714143416	0.181521357893681
OM4_C_1A_1	0.01359003638667	0.0191588338399379	0.010654457004154	0	0.00733435640628781	0.017471552618084	0.0207356001671876	0.0271917771710155	0.0479508855780271	0.160934272072364	0.196539941642444	0.215684287126547	0.0716693616794278	0.09834500922195	0.12094025595927	0.0873832870682244	0.106659697044781	0.131950414232727	0.0867053119756051	0.104863297245832	0.0996498435747363	0.0166196328816431	0.0111096790045542	0.041421104383094	0.0140490574819568	0.016275891357915	0.0137598304603192	0.032020264932326	0.0288822990694035	0.0312856246725565	0.048110345661993	0.0682012313269155	0.0603325052456961	0.0569714385738703	0.0676248035239609	0.089217146688467	0.0428250513366126	0.0802301892006886	0.118857438632329	0.0511049076315676	0.0828445746531915	0.104265978627765	0.0364593218454306	0.0468230322612733	0.0797144163221524	0.0132011776920695	0.0360536812736809	0.0750087732810635	0.0282031087919212	0.0583823047514295	0.0435192265018834	0.168189573912669	0.164492281803703	0.169342280754304	0.0550214570068864	0.0637429180279609	0.0919772712908254	0.0804257625389613	0.117132323382485	0.0607142240095052	0.0845089799587671	0.111857067224484	0.0608424617956297	0.106153634611363	0.130041163449139	0.0430518226519867	0.0533929069338614	0.115238808352446	0.0279873245551042	0.0426191267846236	0.077855293650672	0.0128802755470341	0.011743423165471	0.0199753447453545	0.0106615807316372	0.0238170614015035	0.0310933056714495	0.171575926725613	0.183142054256653
OM4_C_1A_2	0.00718795282979459	0.0140374068748235	0.00508411002155428	0.00733435640628781	0	0.0215988403276684	0.0250515808425823	0.0318313948477094	0.0520247231940658	0.158860619508927	0.195824875215745	0.21505258158396	0.0725471371648796	0.0998718510890352	0.122295334217261	0.0868567218492851	0.106419174024672	0.132975594345679	0.0849736329207202	0.103266036616087	0.100052697679863	0.0198458885573708	0.014284507433221	0.0445415661455419	0.0103696018868852	0.0155049063522954	0.0106428280953846	0.0343714531256008	0.0334720510070742	0.0357254214476194	0.0511342520549578	0.0719375843648006	0.0642095151807776	0.0605080690610841	0.0727245239064172	0.0935752774688359	0.0470066563211271	0.0846200121177784	0.121781847689241	0.0550051002742271	0.0867334968606548	0.107428234807238	0.0411693227754999	0.0509342503013271	0.0835577858562719	0.0168904405056927	0.0382973500151522	0.0782001960083909	0.0255942504220246	0.056992947430983	0.0420711316547941	0.166573062146158	0.163938529888401	0.167767152853188	0.0585641911337655	0.0670793794460614	0.0944373318533567	0.0837335134455022	0.11947777468314	0.0647302283759747	0.0878636109814083	0.114944051507536	0.064042582277608	0.109459065450016	0.132717122978665	0.0468317141559956	0.0570145459971352	0.117680346148914	0.0321820305828138	0.0466489118845632	0.0814510864026505	0.00810532647717133	0.0137507140696477	0.0223219336053586	0.0142717189280609	0.0276143756687695	0.0356587801215679	0.170682803858872	0.182245546276041
OM4_C_1A_3	0.0273552328545138	0.0328426129874242	0.0220154438434407	0.017471552618084	0.0215988403276684	0	0.0129208954706684	0.0187066131797053	0.0338292200486714	0.154084465619958	0.187019107363071	0.205665468073813	0.0614636275845975	0.0861647288052995	0.107986529707501	0.0784978670498014	0.0967090822559509	0.119695415837379	0.0795676412896118	0.0971775886473951	0.0884330774119307	0.0119969314356053	0.00922276231416084	0.0259048003995674	0.0224083457360284	0.0183547778141508	0.0193762427970588	0.0247026530331381	0.0168797793692287	0.0201060896064792	0.0350612920295285	0.0558607823765616	0.0465905540299578	0.0445647625645559	0.0566289702461712	0.0754861288727616	0.0321138108439708	0.0678724929558212	0.105159610432406	0.0391793340249062	0.06893358311792	0.0901416605003011	0.0255622990622382	0.0330982031774558	0.065326066528712	0.0111134089940174	0.0262708212359294	0.0616542314470922	0.0285707774030637	0.0511533974184541	0.0364794441016824	0.16048332286722	0.155165220813814	0.161201124804939	0.0424841829037198	0.0504295946677877	0.0782987326107668	0.0666070131896938	0.103203845564603	0.0475386934227173	0.0700317833906935	0.0976074016654474	0.0475933654698548	0.0928834967168674	0.116213542429259	0.0309059508053441	0.0404604519568838	0.101230619855943	0.0181597064739281	0.0291784243263877	0.0645052494204225	0.0259968371931403	0.0208900328422484	0.0137877869551153	0.0158154274335632	0.0155357176938887	0.0203043252873849	0.162826095334808	0.173724003530117
OM4_C_1C_1	0.0313042614733297	0.038342513572157	0.0265521273213202	0.0207356001671876	0.0250515808425823	0.0129208954706684	0	0.0128274718930696	0.0317201137471333	0.159556783602634	0.191181231528383	0.209983228253845	0.064491238790589	0.089270277885493	0.109978199162673	0.0835015330522009	0.100388285758803	0.122375888326193	0.085855991791197	0.102902430254513	0.0922883274437376	0.0135516126622236	0.0134026627028894	0.0275880130341205	0.0281088976370783	0.0239581842990936	0.0247343970470007	0.0266819190374254	0.016372163559729	0.0116104547974028	0.0357006785272719	0.0536779253821917	0.0447518945113295	0.0436623207576984	0.0504390737220513	0.072152876645376	0.028111028801827	0.0635416492234974	0.10447284157383	0.0370283805568111	0.0666362812270711	0.0884919732711448	0.025410789549048	0.0311550692534106	0.0629718771131896	0.00975228804535604	0.0267026007473084	0.0609649826221187	0.0356254908462626	0.0572347090350551	0.0433626496936151	0.165838380900706	0.159273791232154	0.166344095724235	0.0410989113514808	0.0490868150723173	0.0794181967641268	0.0660963980258761	0.104402576243751	0.0450155353663228	0.0696285685497111	0.0973396088125145	0.0465576342427853	0.0923528155915645	0.116790153050829	0.0295139468519796	0.0388166244089438	0.101220659648068	0.0173262471818999	0.0259283315579055	0.0619038932966135	0.0311927889934385	0.0194514038242632	0.018051545577008	0.0169568615893923	0.013640421455637	0.0194052075632261	0.167240389669575	0.178469599000557
OM4_C_1C_2	0.0386146605605316	0.0445121810541248	0.0344714682418857	0.0271917771710155	0.0318313948477094	0.0187066131797053	0.0128274718930696	0	0.0249806157588374	0.158139381866049	0.188468791386537	0.207075608963962	0.0593371991346735	0.0835262907125491	0.105340027394873	0.0807021761708157	0.0967698131932661	0.117316009842526	0.0852267051869971	0.10124476078827	0.0895113495077914	0.0144026572474312	0.0218979788078493	0.0241749071463431	0.0350590470852347	0.0277181718295067	0.0310358463734577	0.0210581539755988	0.00956378470745622	0.00949800174623082	0.0291265782435221	0.0442559461792271	0.0363632835457117	0.0342287926759625	0.0411394627791005	0.0641546471837341	0.0179564657470049	0.0536213391817503	0.0971195167516652	0.0284269744439953	0.058577545577012	0.0812628956053995	0.0153669369106294	0.022958985903028	0.0552073062334228	0.0157115372947235	0.0194259219244364	0.0524546764657611	0.0415829906124079	0.0576951474689131	0.0441496108311319	0.164483266978007	0.155675007096147	0.164980367290182	0.0320883481703008	0.0417022598657902	0.0727400373393543	0.0586695215755647	0.0986402507094462	0.0366073299462265	0.0616835123680902	0.0900055829262861	0.0389183457447636	0.0842411312389731	0.110097247695501	0.021772774513311	0.0303003284849679	0.0945381616795006	0.0122732771919903	0.0190546096731728	0.0539746369352694	0.0384320157806763	0.0282225850353962	0.016723883345377	0.0195935124823416	0.00884240702633222	0.0112571742185071	0.164189613675541	0.175608352365448
OM4_C_1C_3	0.0579516164216783	0.0638579624423575	0.0534784425999379	0.0479508855780271	0.0520247231940658	0.0338292200486714	0.0317201137471333	0.0249806157588374	0	0.144843008630531	0.170358336143593	0.188458893890271	0.0440186477679719	0.0630793811782575	0.0832193331061682	0.0672791491166252	0.079706572466195	0.0961202261140672	0.0752949663430169	0.0889275253110913	0.0710878949163171	0.0332571427466587	0.0408206961881627	0.0132936912915543	0.0511250258744312	0.0421837289570752	0.0470244537407312	0.0255949243870911	0.0197805669672329	0.022792756383798	0.0121893756944504	0.0240242602227027	0.0138414211942689	0.0158782184435932	0.0300646057420625	0.0422480514837109	0.0128827198504201	0.0371656130908629	0.073751254191231	0.011288095148276	0.0357324053256339	0.0578442016465623	0.0173702809628073	0.0043926706560566	0.0321202028248996	0.0366543931946094	0.0209190669817528	0.0303075459458537	0.050296209736752	0.0514543088083028	0.0432804851187088	0.149570213652692	0.13802669302733	0.149606119595147	0.0129916366301717	0.0197586645283392	0.0498293779201758	0.0348943087496895	0.0748758808938424	0.015016332911772	0.0384522814041101	0.0661728718515936	0.0168669271143395	0.0612735342596197	0.0863244282273961	0.0100959231193323	0.00999186165096701	0.071110861190576	0.0215380932823797	0.00684029945563795	0.0314399802656043	0.0583031976934712	0.0503766277239351	0.0330809278662409	0.0399955446210597	0.0255306269380786	0.0194389280330326	0.147335764083097	0.158214500603125
OM4_C_1D_1	0.158125920862173	0.160669750745052	0.157823459328929	0.160934272072364	0.158860619508927	0.154084465619958	0.159556783602634	0.158139381866049	0.144843008630531	0	0.0530421558665659	0.0707805265053797	0.103208059738767	0.0934747334665482	0.0871136008719982	0.0790145833759307	0.0686934850340856	0.0778702711019215	0.0752238291503868	0.0577462647518077	0.0779525108725675	0.153337112620448	0.158354403696584	0.139496117576505	0.150591591549841	0.145153769060147	0.148732379479603	0.139365533909937	0.150766007553543	0.159115013238834	0.134321538940058	0.139230238692463	0.141266812715923	0.138161649480112	0.165157694122961	0.14829880138702	0.149380637940632	0.15692454179349	0.12179195142245	0.141336914391169	0.13969542782558	0.129453542242642	0.150631105475533	0.146023975357796	0.141249237354125	0.157864149016075	0.140030978442016	0.130850983323353	0.135864409800953	0.103836827478497	0.118951835603651	0.0159556200175542	0.0400719856078071	0.018433176319407	0.13887438578024	0.133291010196648	0.112644293065808	0.128302148258106	0.1059192110666	0.142154996579778	0.131377303167152	0.123990632674235	0.13328576397887	0.125615984955951	0.113663136440853	0.141887967977068	0.139917320914055	0.114059432158565	0.149247651833274	0.147232864089746	0.136786333632016	0.161324793538491	0.168501372151657	0.149046677364005	0.155601870896785	0.151363858098794	0.149862092071889	0.0330903182734355	0.0396894619880754
