	OM4_B_B_1	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.00678833412756531	0.00955037024328533	0.00703680934086069	0.00318007736577053	0.00247294280832866	0.0177838587165054	0.00591531215116753	0.0124458809452019	0.00384302243245329	0.022584896565354	0.0148611994213209	0.0162690408292753	0.00410429786178944	0.00355442547455222	0.0107193667087381	0.0215170369479433	0.0139663702756793	0.0094105976577007	0.00197889379769894	0.0018246856434684	0.0222409529491856	0.00765206738522697	0.0065473270371119	0.0176107207898037	0.000691363786851303	0.0151905278002845	0.0144828000070333	0.00682515120613416	0.00968258093218291	0.00338315281546329	0.0188178472193308	0.0220215108347864	0.0137975082416958	0.0111715099393205	0.00746487474920038	0.0136078289844277	0.00430051872558467	0.00833688044643797	0.00139598992593849	0.0038754535453618	0.00787279821437448	0.0152037608804536	0.00665177848866938	0.0230489148598357	0.0122804417534833	0.0190890893371373	0.0109054762148251	0.00192566391514935	0.0134572962172781	0.0235923753240895	0.000899353585072043	0.0208840069528558	0.00772406103914165	0.00592076592072316	0.0103711838169974	0.00957696612687025	0.0163282785197899	0.00777636456512535	0.00310483295873573
OM4_B_B_3	0.00678833412756531	0	0.0163383359030788	0.0138249136631257	0.00360828391005239	0.00431541656506599	0.0245711620342215	0.01270346874081	0.0192336500133743	0.0106312600037447	0.0293716666515851	0.0216487743362037	0.0230564899262373	0.00268406233343523	0.0103426727173481	0.0175072577471464	0.0283039349950534	0.0207540203188818	0.0161985718092275	0.00480946284298894	0.00861298261775908	0.0290277648342989	0.014440140516338	0.000241010825910777	0.0243980413151551	0.00609698030962223	0.0219780741178723	0.00769473008063974	3.68176717447965e-05	0.016470538475027	0.0101714056121914	0.0256050448409751	0.0288083490981811	0.0205851720400921	0.0179593703911826	0.000676552579444254	0.020395508073895	0.011088740160302	0.0151249167636508	0.00818429704204837	0.0106636900052688	0.0146608597207248	0.0219913060382966	0.0134399014233077	0.0298356276748691	0.0190682231165749	0.0258762584006071	0.0176933547797855	0.00871395837433311	0.020244987321614	0.0303790197779553	0.00768767136537949	0.0276709783283725	0.014512130403926	0.0127089222705367	0.00358293771692606	0.0163649301604327	0.0231157221185217	0.0145644311783718	0.00368352822711025
OM4_C_1A_2	0.00955037024328533	0.0163383359030788	0	0.00251361956935939	0.0127303131779104	0.0120232143283997	0.0082339737000048	0.00363512942104837	0.00289563017373149	0.00570742058491043	0.0130355015653832	0.00531109078280994	0.0067190328523822	0.0136544819870281	0.00599601548344948	0.0011690380145501	0.011967519771778	0.00441620447571711	0.000139776947579467	0.0115291882916273	0.00772573138294979	0.0126915177744109	0.0018983510358529	0.0160973471476953	0.00806082095083648	0.0102417105246792	0.00564044153353993	0.0240320126568662	0.0163751501466447	0.000132214934358615	0.00616728665897791	0.00926805485261352	0.012472050436646	0.00424733224939044	0.00162119974345777	0.0170148229866119	0.00405764176842214	0.00524992642366451	0.00121352334852921	0.00815441809703337	0.00567498966887103	0.00167761583188831	0.00565367552764808	0.00289865570890525	0.0134995753000053	0.00273018265999008	0.00953932244605378	0.00135515497087616	0.00762475505437798	0.00390710026350554	0.014043102506715	0.00865104248128789	0.0113344209113042	0.00182635599051888	0.00362967561007363	0.0199208673352511	2.65967289739639e-05	0.00677827506604179	0.00177405143213104	0.0126550727286472
OM4_C_1A_3	0.00703680934086069	0.0138249136631257	0.00251361956935939	0	0.0102168071873767	0.00950969459728462	0.0107475161251813	0.00112151340863342	0.00540923608432116	0.00319381692246664	0.0155489444870285	0.0078246741184911	0.00923259833946723	0.0111409952753471	0.00348241413585755	0.00368265382922728	0.0144809882972364	0.00692979736065961	0.00237384291136273	0.00901565947987267	0.00521214695952733	0.0152049691595533	0.000615269552452424	0.0135839186026238	0.0105743662142466	0.00772816005510874	0.00815402100345675	0.0215188453163827	0.0138617288788401	0.00264583419814641	0.00365368675397717	0.0117815792404402	0.0149855071139826	0.00676092677986869	0.00413481346675997	0.0145014189903322	0.00657123808799307	0.00273631938970534	0.00130009759714456	0.00564083867656178	0.00316138575536819	0.000836004961033121	0.00816725483828848	0.000385037113339264	0.0160130064769585	0.00524378974476304	0.0120528417938387	0.00386876996784811	0.00511116949926331	0.00642069795828706	0.0165565194513883	0.00613746925833418	0.0138479036770628	0.000687264673896012	0.00111605957511083	0.0174075508468335	0.00254021623866765	0.00929183972637241	0.000739569281834979	0.0101415652343961
OM4_C_1C_2	0.00318007736577053	0.00360828391005239	0.0127303131779104	0.0102168071873767	0	0.00070713649430456	0.0209635242524954	0.00909532999973839	0.0156257433531495	0.00702306993271041	0.0257643314543066	0.0180409805225384	0.0194487686106798	0.000924224698471004	0.00673447635162019	0.0138992793573407	0.0246965275237049	0.0171461829981637	0.0125905440118102	0.00120118620056835	0.0050047529012319	0.0254204060479989	0.0108320530791834	0.00336727410582048	0.0207903936959001	0.00248871548408739	0.0183702968197883	0.011302904322001	0.00364510141453568	0.0128625205926713	0.00656320560951029	0.0219974673670287	0.0252009754158306	0.0169773267335588	0.0143514100658468	0.00428483283891679	0.0167876538820092	0.00748056049567321	0.0115168516316372	0.00457606022047304	0.00705550065463963	0.0110527793448414	0.0183835294095003	0.00983178351525223	0.0262283247693068	0.0154603092602423	0.0222686971887119	0.0140853837637115	0.00510573039846802	0.0166371261421376	0.0267717553752924	0.00407942688931527	0.024063529355541	0.0109040452564817	0.00910078367875101	0.00719118916407426	0.0127569084059534	0.0195080039619696	0.0109563477025387	7.52446666343036e-05
OM4_C_1C_3	0.00247294280832866	0.00431541656506599	0.0120232143283997	0.00950969459728462	0.00070713649430456	0	0.0202564920953541	0.00838821227906831	0.0149186641720347	0.0063159443566968	0.0250573535022526	0.0173339208905239	0.0187417216913213	0.00163136082115609	0.00602734984897527	0.0131921879538616	0.0239895365402442	0.0164391157903944	0.0118834443168492	0.000494049852489715	0.00429762170272888	0.0247134238378131	0.0101249435659496	0.00407440721750814	0.0200833597946465	0.00178158008192693	0.0176632400746351	0.0120100072991596	0.00435223399725936	0.0121554225516758	0.00585607857629647	0.0212904459311785	0.0244939905191148	0.0162702581401607	0.0136443217219918	0.00499196405872926	0.0160805837488132	0.0067734364724536	0.0108097457615336	0.00386892808558469	0.00634837518533461	0.0103456709807472	0.0176764727814509	0.00912466909414057	0.0255213526536012	0.0147532288446704	0.0215616786519476	0.0133782936074911	0.00439859943367098	0.0159300547994671	0.0260647902290199	0.00337229378271321	0.0233565309103144	0.010196936115427	0.00839366598153787	0.00789831164522438	0.0120498097183977	0.018800957598793	0.0102492388334611	0.000631891840195505
OM4_C_1D_1	0.0177838587165054	0.0245711620342215	0.0082339737000048	0.0107475161251813	0.0209635242524954	0.0202564920953541	0	0.0118689799077284	0.00533838765579829	0.01394116702645	0.00480170649821585	0.00292292723054874	0.00151496990268324	0.0218876015744199	0.0142297454869886	0.00706495926572744	0.00373367359456092	0.00381781735395422	0.0083737473055214	0.0197625109539018	0.0159593528778427	0.00445770553471051	0.0101322698116374	0.0243302013179516	0.000173156732863398	0.0184751436176237	0.00259357392444886	0.0322637682090318	0.024607971965079	0.00810176182450308	0.0144010066818726	0.00103410850721372	0.00423822759344761	0.00398668978764859	0.00661280456373745	0.0252475686266953	0.00417638030740273	0.0134836979473095	0.00944746431235828	0.0163880100521476	0.0139087379278577	0.0099115420520914	0.00258033981470422	0.0111325372587391	0.00526580447061724	0.00550383393794045	0.00130538428696153	0.00687884534322221	0.0158583833542619	0.00432692169691309	0.00580936162752955	0.0168845989000922	0.00310054750902117	0.0100602772249955	0.0118635263382075	0.0281532373018815	0.0082073775950567	0.0014557267989209	0.0100079744342597	0.0208882910360338
OM4_C_1D_2	0.00591531215116753	0.01270346874081	0.00363512942104837	0.00112151340863342	0.00909532999973839	0.00838821227906831	0.0118689799077284	0	0.00653073574445488	0.00207230609169161	0.0166703570842973	0.00894616028883501	0.0103540745544879	0.0100195253823954	0.00236090392954384	0.00480416035140231	0.0156024138280465	0.00805128905770954	0.00349535308993426	0.0078941738089197	0.00409064185687187	0.0163263860192741	0.00173678254503354	0.0124624712078301	0.0116958315080513	0.00660666654226617	0.00927550498307916	0.0203975032530913	0.0127402843382365	0.00376734372658392	0.00253217694897014	0.0129030335126721	0.0161069266451902	0.00788241945001307	0.00525631841599454	0.0133799812515242	0.00769273182477879	0.00161480770200309	0.00242160978001128	0.00451933519957817	0.00203987485849691	0.00195751773239001	0.00928873872811176	0.000736476405731661	0.0171344131780611	0.00636529016291496	0.0131742934337085	0.00499027586185829	0.00398966403455524	0.00754219252164872	0.0176779190341898	0.00501596784387271	0.0149693364566305	0.00180877759842352	5.45383948270556e-06	0.0162861480445491	0.00366172602637362	0.0104133154887269	0.0018610821545125	0.00902008748224914
OM4_C_1E_2	0.0124458809452019	0.0192336500133743	0.00289563017373149	0.00540923608432116	0.0156257433531495	0.0149186641720347	0.00533838765579829	0.00653073574445488	0	0.00860300142192329	0.0101400040690511	0.00241547349026496	0.00382342847152547	0.016549884935688	0.0088915920858228	0.00172659418636809	0.00907199857974348	0.00152058104493089	0.00303540669499682	0.0144246512786947	0.0106212790920161	0.00979601239613564	0.00479397206778191	0.0189926698292468	0.00516523257766711	0.0131372054532093	0.00274482690480142	0.0269269914028713	0.0192704629372316	0.00276341560678869	0.00906286066900617	0.006372483969796	0.00957654015361628	0.0013517078406043	0.00127443250528266	0.0199101124094386	0.00116201632935024	0.00814551363025635	0.00410914851337934	0.0110499577140172	0.00857057097128039	0.004573238298929	0.00275806101052687	0.00579426900995452	0.0106040888135288	0.000165447967088701	0.00664375589577071	0.0015404772994186	0.0105203046156823	0.00101147405810283	0.011147629464508	0.0115465722611704	0.00843888675289807	0.00472197750132459	0.00652528198920641	0.02281604018513	0.00286903352217587	0.00388267131568348	0.00466967328425797	0.0155505050446716
OM4_C_1E_3	0.00384302243245329	0.0106312600037447	0.00570742058491043	0.00319381692246664	0.00702306993271041	0.0063159443566968	0.01394116702645	0.00207230609169161	0.00860300142192329	0	0.0187424385988008	0.0110183954898695	0.01242628812563	0.007947276670845	0.000288598328467935	0.00687644267630383	0.0176745216924986	0.0101235365270066	0.00556764517916724	0.00582190082665924	0.00201834171045661	0.0183984761994319	0.00380908387588796	0.0103902584557458	0.0137680218169615	0.00453438202865707	0.0113477353794127	0.0183254669134631	0.0106680762219263	0.00583963398934013	0.0004598716957468	0.014975200683413	0.0181790222654763	0.00995466910542366	0.00732859679531358	0.0113077842341437	0.00976498388695437	0.000457498921441807	0.00449390804074436	0.00244703707170705	3.24312815083297e-05	0.00402981814736139	0.0113609689281396	0.00280878100868128	0.0192064827325792	0.00843755762115253	0.0152464551174394	0.00706255659827606	0.00191736345122749	0.00961444645708942	0.0197499741881998	0.00294367238564559	0.0170414591686857	0.00388107863825121	0.00207775991943394	0.0142140089086599	0.00573401701098941	0.0124855280873428	0.00393338297822637	0.0069478265450255
