	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_2	0	0.00821950130062157	0.00854557274877864	0.00657550732458545	0.0293325208540499	0.00564910483013922	0.00724979237877185	0.0306515902276752	0.00619845912779057	0.00911142216368816	0.0334197825357075	0.00624008634245924	0.0121932527025867	0.0307705812271389	0.00777951605446991	0.0189125974249199	0.0306593578960533	0.00282627675411993	0.0131898381655455	0.0425418810761732	0.00534308896321406	0.0120616896263138	0.0154920073897636	0.0105320658872032	0.0116858803275565	0.0154240110724789	0.0111893484875773	0.0186341491970343	0.0200735130499499	0.0020532265540056	0.00427117777958717	0.0186510723473964	0.0130524863147149	0.00973363315577152	0.0210132755893508	0.00502055864069496	0.016770769521874	0.0112313066718091	0.0104421542514765	0.0128768382572653	0.0283787441774194	0.00899860811745947	0.0205363811527733	0.00833181812536869	0.0339697620149175	0.00876551339133147	0.0152233976105842	0.00721394202904431	0.00905757879479845	0.0103619222728532	0.00864170054731731	0.0131280538077085	0.00600088982112519	0.0143104454768474	0.0103504911493765	0.0116835447897854	0.0144908113685988	0.0110379853420346	0.0133184915942554	0.0257915325936315	0.0300817855735915	0.0241321270344653	0.00893254653032678	0.00240628215723345	0.0138757211162103	0.0184170960730059	0.0125059672944747	0.0170916080972505	0.00574207787791946	0.013186835207632	0.0124640773567413	0.00560548492904317	0.00866088623126517	0.0110578291498084	0.00903623447927852	0.0132105119454511
OM4_B_B_3	0.00821950130062157	0	0.00771748044796853	0.00860711062957632	0.0265100775173868	0.00259356200927947	0.0048793699878617	0.0306790484036812	0.00956089427490518	0.0133611194830978	0.032829939279814	0.00882860716590996	0.0166708160155583	0.0299723245636736	0.010641583620808	0.0217040911656953	0.0327915801685145	0.00682443106746926	0.016845217147319	0.0416754702797968	0.00407781443893397	0.0168347267483652	0.0144705905286944	0.012606425823041	0.00436416174916658	0.0154777771543284	0.0136484324900453	0.0238069187637095	0.0204865385250181	0.0100796078059659	0.00617102723443284	0.0141697836443102	0.00497653875897931	0.011854977841605	0.0191619693112145	0.00992588299811356	0.0163644509160346	0.0135845940104461	0.014807988471086	0.0159337106381383	0.0292270600180901	0.00958314007578596	0.0224018954119492	0.0137119756224828	0.038703657765795	0.0163435766633349	0.0202258588469026	0.00624212140861294	0.0101592482580599	0.0157834421438022	0.00791849344720888	0.0126820561151456	0.00589913276345807	0.015288744496797	0.0117940482848483	0.00927251106060866	0.012398665220088	0.00872082154204003	0.0178028509375799	0.0203745386613533	0.0221823630674156	0.0165793380081113	0.0107544466441063	0.00686611622741851	0.0179833965031493	0.0208420317553539	0.0140912807000287	0.0198959066802865	0.0133453124919999	0.0159263994315197	0.00484821848648729	0.00575068294772296	0.0106925463316735	0.0114550499584433	0.0121618076466457	0.0119289577728936
OM4_C_1A_2	0.00854557274877864	0.00771748044796853	0	0.0119407950114157	0.0218372877238278	0.00730144299794119	0.0109361325754375	0.0244712925175516	0.0135607890975511	0.017188810209934	0.0269337337627195	0.013354413108616	0.0201183610831599	0.0241244089595716	0.0148624546337738	0.0265209366341086	0.0263888513581972	0.00782889905386755	0.0212731438087662	0.0361688406334231	0.00913020569363196	0.0201798706148827	0.00901544170722675	0.0173823818256364	0.0115022627816247	0.00869106420110632	0.0177767380088939	0.0268742099875834	0.0151782627664533	0.0102396765540031	0.00984907815735114	0.0110163746036024	0.0112186346624731	0.0167699496089877	0.0134972984114281	0.0130994241783191	0.0228849044777247	0.00836014879051239	0.0186602490203584	0.0207258704111371	0.0237755586294072	0.0149614509997394	0.0153840467041238	0.0163119439190586	0.0423353690850432	0.012626575957268	0.0236321014441249	0.0106995424067757	0.00360283878666552	0.0186937179047147	0.013862107945792	0.00664382683356757	0.0112757865727578	0.0196364166561615	0.0168368250360226	0.0141299288873754	0.0106095258957382	0.0154515948720778	0.0213518200999606	0.0181769679851965	0.0246658227349345	0.0186814186807167	0.00408832309268484	0.00848130417950115	0.0220689796128677	0.013899922008652	0.0189812105790579	0.024045706946806	0.0125899263621303	0.0189941667986847	0.00861562422871321	0.00644701190522283	0.015566549779459	0.0151333665631559	0.016734005177968	0.0176129822085911
OM4_C_1A_3	0.00657550732458545	0.00860711062957632	0.0119407950114157	0	0.0335209520911575	0.00693861507683883	0.00471638205387649	0.036006500368348	0.0075794051657965	0.00744927214694601	0.0386191853052404	0.00539195455315696	0.00921351797693337	0.0358580998305909	0.00936730079163243	0.0150324146727519	0.0366879964182005	0.00468398824801107	0.0114484404609438	0.0478120788189321	0.00665587334317923	0.00964130301896955	0.020382024553634	0.0059485482013665	0.0115432860595468	0.0202863678820095	0.005876590692047	0.0163681718770016	0.0258240641774872	0.0075844165326671	0.00716585627615477	0.0217102410963503	0.0117171319195864	0.00596255337769995	0.0253666905106766	0.00600690701767443	0.0125486231471308	0.0172823105658829	0.00918438057217661	0.010801734557869	0.0343617732335789	0.00439345471130588	0.0260530278167654	0.00634076049760506	0.0316522148184694	0.0137006526501476	0.0136616880609393	0.00283680050768266	0.0140222883467774	0.00901011189172354	0.00888999933434947	0.0180113085366925	0.00615740513367312	0.0080296979221177	0.00548135485513821	0.00585315277854706	0.0193040673980693	0.0067995328878948	0.0105155836096168	0.0283153198485266	0.0299902602929962	0.0248587094010959	0.0140361150852944	0.00449764777193563	0.0118088164788514	0.0240888590706716	0.00720611118139823	0.0121726908569653	0.00781494404275382	0.00759287972881678	0.0121154690676908	0.00565993943871283	0.00503747278575815	0.00456159025200061	0.00781959829183075	0.00707505038739282
OM4_C_1C_1	0.0293325208540499	0.0265100775173868	0.0218372877238278	0.0335209520911575	0	0.0273954859093015	0.0312012569318055	0.0106703020389595	0.0331022587862288	0.0378796750103785	0.00997691920038815	0.033706775961092	0.0413783571122812	0.0077691338918658	0.033623329967461	0.0474814534399156	0.0185417642778659	0.0294067988634493	0.0414451200941154	0.0168304351213673	0.0288683455921108	0.0412773261911204	0.0140077574637873	0.0384785742066046	0.0274256921295251	0.0149345315090051	0.0392714339796802	0.0478818743748666	0.0130832489950014	0.0305058445685562	0.0294325500395649	0.0127097902264939	0.0272080433506229	0.0376053389166705	0.00868482399753245	0.033525178808167	0.0425498609634025	0.0199809565502076	0.0390704633161129	0.0408688791271629	0.0141763105543699	0.0357396979449346	0.0155936996551567	0.0376119140700472	0.062906029672612	0.0304072117355365	0.0441811056925539	0.0317912140007827	0.02060942281884	0.0395774346536762	0.0322548923512123	0.016364802031709	0.0310119579750681	0.0410235305709125	0.0378458936759593	0.0345530141099169	0.0173702037692945	0.035179615691508	0.042501742885039	0.0105543810020886	0.0244791549579332	0.0205779251532079	0.0210728574261747	0.0298627649226596	0.0426060511566317	0.0172348953508477	0.040179196672547	0.0456046376205972	0.0334584415280839	0.0407504366862275	0.0245695510667493	0.0280927704440453	0.0363950942625329	0.036488677085269	0.036844911106988	0.0381771229919809
OM4_C_1C_2	0.00564910483013922	0.00259356200927947	0.00730144299794119	0.00693861507683883	0.0273954859093015	0	0.00403942843239508	0.0306765230309162	0.00754606563129543	0.0113643386959078	0.0330372469093671	0.00691713226437834	0.0147349804115	0.0302271766297673	0.00884258295336787	0.0202789723242474	0.0321320999894738	0.00449249000854067	0.0150838662839387	0.0420069996476306	0.00216135864380157	0.0148269873843133	0.0145385268909957	0.0111469383648359	0.00632395797549329	0.0152455691166365	0.012162387660154	0.0217953074697454	0.0202080658333639	0.00749521537427127	0.00399088242167978	0.0154681150795937	0.00745597681372134	0.0103272443535712	0.0196448657708326	0.00762931006182194	0.0157720181523309	0.0125139704265064	0.0128267851564357	0.0143015150687258	0.0289166444421713	0.00835735225812478	0.0217457211714546	0.0115191945659243	0.0368718169478398	0.0139855556047181	0.0182046745744412	0.0052165915775078	0.00931110050394086	0.0136088152361762	0.00693771579718092	0.0124940051202715	0.00427399014508624	0.0143249828847146	0.01047252111877	0.00922746887231431	0.012668755272153	0.00845459469352309	0.0158819620991601	0.0220851498598683	0.0247039978764969	0.0189739535705877	0.00972935802706395	0.00440567332320087	0.0161390097459112	0.0199868533209813	0.0128502297916682	0.0184761263221144	0.010862406382544	0.0144976864803286	0.00720127354983226	0.0043782127459896	0.00911519969048454	0.0105569256213692	0.0103687831709227	0.0115409719016258
OM4_C_1C_3	0.00724979237877185	0.0048793699878617	0.0109361325754375	0.00471638205387649	0.0312012569318055	0.00403942843239508	0	0.0347013558418332	0.00676310116252864	0.00911570523384669	0.037053071539616	0.00501650342880733	0.012099259135216	0.034234580688173	0.00813353360386771	0.0168957164002631	0.0360506037713077	0.00564016888785408	0.012549510396109	0.0460084551858509	0.00352354771670857	0.0123659409748606	0.0185641766126828	0.00776280037634659	0.0069104160559678	0.0192005929885057	0.00887887303634734	0.0192774545648897	0.0242148047917294	0.00869901363595956	0.00517224762026485	0.0189843306919043	0.00774808083789276	0.00711543517365899	0.0235607744533949	0.0067113292156944	0.0120417213477695	0.0163403590212015	0.0106443446091603	0.0115888679667449	0.032899646397097	0.00471732470298565	0.0256282867336152	0.009609195481058	0.034079868369326	0.0158720892136913	0.0158878762952589	0.0027943486262221	0.0131719352116307	0.0116252598290073	0.00577452151954446	0.0165095406077408	0.00329101333466876	0.0107515689222035	0.00692247635447921	0.00617679104129475	0.0163987519845989	0.00455286661038316	0.0132190499508765	0.0252284761371271	0.025988948060932	0.0208119011408014	0.0134940469622719	0.00527546835647013	0.0135436043031384	0.0238105700148343	0.00921969329784199	0.015053371924591	0.0111310361872306	0.011537250074827	0.00883402519011962	0.00586581401172493	0.00599564499534128	0.00757405309948986	0.00812016427813546	0.00760846356128827
OM4_C_1D_1	0.0306515902276752	0.0306790484036812	0.0244712925175516	0.036006500368348	0.0106703020389595	0.0306765230309162	0.0347013558418332	0	0.0350230381543158	0.0394378242942183	0.00348002801535888	0.0359975119518684	0.0426745056504559	0.00308455370097276	0.0355321346080737	0.0494183032788227	0.00847340932832596	0.0314202515674466	0.0429889700470776	0.0124847611829007	0.0319071789151955	0.0424093917193543	0.0162365112318394	0.0409336490858607	0.0325300696531183	0.0158165434379683	0.0415676034091734	0.0483084667061401	0.0115938536489019	0.0312518428610198	0.0317962145271775	0.0193992555965462	0.0329001373634298	0.0400353180438116	0.0123860327855031	0.0351235420319892	0.0460408291425698	0.019737784569552	0.0404435094904566	0.0427296179302479	0.00717264371696197	0.0386900020050224	0.0112800305235189	0.0387608752007879	0.062919497844628	0.0286930927424646	0.0448838537169205	0.0350261109774162	0.0220032918454241	0.040473570615593	0.0353531115907934	0.0182183153406506	0.0339239718980094	0.043911135871729	0.0405369800292317	0.03851790376415	0.0206376903664108	0.0390613334701874	0.0437138378013541	0.0203477004260818	0.0343730961145877	0.0295922988698631	0.0220428236895426	0.0318525393687471	0.043922115355039	0.013490697594668	0.0428234705465743	0.0476093465830261	0.0335526584461661	0.0428214066400715	0.0301005236641981	0.0308257972553605	0.0388707317888506	0.0395044082848323	0.0388156061717751	0.0419197868265825
OM4_C_1D_2	0.00619845912779057	0.00956089427490518	0.0135607890975511	0.0075794051657965	0.0331022587862288	0.00754606563129543	0.00676310116252864	0.0350230381543158	0	0.00537844828878291	0.0376232804747954	0.00249187846904523	0.00957083131513265	0.0349874071074672	0.0018770823276618	0.0148924647444845	0.0349189317052415	0.00733804590141665	0.00836052179047157	0.046412833530514	0.00552662155283429	0.0092457136128799	0.0195939797488222	0.00759292396293746	0.0109156308287027	0.0203180646283707	0.00942851700220585	0.0157772172870346	0.0237960930435089	0.0059297306251559	0.00391435543091093	0.0220194309955832	0.0135016896265247	0.00618633814251762	0.0253403424458958	0.00239064816900594	0.0119710132387698	0.0154861176795618	0.00621988815102485	0.00783362525902583	0.0319613607058777	0.00642179441526947	0.0255479206544722	0.00715150037247762	0.0302761038013803	0.013448022285903	0.0116177981793144	0.00824974008275064	0.0141502829088537	0.00778352303997512	0.00411213232595381	0.0175993824461567	0.00387108265969643	0.0130822592392199	0.00751295972600889	0.0119632435882164	0.0165825651162199	0.00820030098860461	0.0103448159616091	0.0286871164138696	0.0307174173139565	0.0250531929030358	0.0142469624926709	0.00637358641504529	0.00966598313198401	0.0234250147255584	0.00981788493897853	0.0146241020625756	0.00935051976720942	0.0129127506642921	0.0143771054921546	0.00979967805134468	0.00540067846886729	0.0115347806658663	0.00389305915574413	0.0114244031891576
OM4_C_1D_3	0.00911142216368816	0.0133611194830978	0.017188810209934	0.00744927214694601	0.0378796750103785	0.0113643386959078	0.00911570523384669	0.0394378242942183	0.00537844828878291	0	0.0421829675997151	0.00463061173209934	0.00423299933637608	0.0395614707063273	0.00611329156274795	0.0100272729221437	0.0389093817953851	0.00961401393998593	0.00431296444036599	0.0511288049897838	0.00968728059892269	0.00392354473465831	0.0241905357925897	0.00425045603183736	0.0149078579158445	0.0244545810471879	0.0056948181702411	0.0106562585865809	0.0284540554132883	0.00843132780791108	0.00863218124506038	0.0266101624541187	0.0167355578863201	0.0034251299657972	0.0298303822579624	0.00439091095108525	0.00970674884770867	0.0197548179820355	0.00173608610551768	0.00409850541636148	0.0365280103166875	0.00568511847240179	0.0293683078888941	0.00337172617234571	0.025541840524538	0.0146930058879312	0.00686868527686706	0.00941612553299008	0.0180978300933406	0.00299012526783765	0.00822346609249464	0.021982808213322	0.00779814902935141	0.00974072881212361	0.00492797496540018	0.0118109775219349	0.0217881176098445	0.00875335766895399	0.00497632877894018	0.0333349602990389	0.0346912528755483	0.0293830485450428	0.0180245757149341	0.00879477495831143	0.00488829065875033	0.0271540399983457	0.0061596760485616	0.00962476314779188	0.00901766822635481	0.00914150119030503	0.017837954920235	0.0120571350315019	0.00372086819557697	0.00995803419648448	0.00242459248049666	0.00986476404504236
