	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2E_2	OM4_C_2F_1	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_2	OM4_C_3E_1	OM4_C_3E_2	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3H_1	OM4_C_3H_2	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4F_1	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_1	0	0.00501949557120508	0.00514755380996224	0.113244279292462	0.110592664487796	0.00971451149089399	0.01156482500374	0.0113774519853202	0.0201044621241005	0.0252245217298707	0.0165537731134161	0.00340222410354251	0.00735798986598038	0.0145854807050374	0.0140462651794041	0.00846143472377318	0.00704486989780681	0.00536107634790987	0.0105851804005841	0.0135138368017888	0.00712377748447538	0.00919951444830153	0.00519450120813658	0.00900642195670889	0.0136854612746541	0.00809922558695506	0.0121861265327455	0.0111663225371246	0.00623492932647994	0.0156865361915236	0.0113332938134607	0.0284002892848639	0.000824674383749003	0.0080371438190672	0.00746058663256347	0.0146258928928348	0.00348950765147292	0.00423705130436437	0.0039410472020014	0.00186745878325649	0.0175631911794509	0.0128680660790892	0.00440392051355615	0.00761573014970255	0.00962344185443831	0.0125135729257357	0.00323820541016405	0.0101985121881732	0.00317793453347121	0.0116800540139874	0.0121807843664513	0.00214383152154684	0.0175326045204514	0.0120420459853268	0.0086149334950636	0.00430121376994595	0.0064242169898451	0.00417473049050147
OM4_B_B_2	0.00501949557120508	0	0.00477257499092951	0.10830145469234	0.105710730640922	0.00675918786183387	0.00655773307502174	0.00636571235164894	0.0192278460253909	0.0301675346796107	0.0117527857894343	0.00663659681129442	0.00385453996822384	0.0194621570740405	0.0189277614581706	0.00680819419975639	0.00205583204792747	0.00226852021854629	0.00573883527833762	0.00859228567560198	0.0116733013850777	0.00430758942316441	0.0101833864066684	0.0137759402397005	0.0186905027085338	0.00342937917746417	0.00724611771887201	0.00633153284501901	0.00326219098671248	0.0206392506231436	0.0159571410203955	0.0332659718730414	0.00584343436239959	0.0130292490854285	0.0124776418058757	0.00978271250474879	0.00445401098627531	0.00182729027908921	0.00110000783957401	0.00535777593934717	0.0225193081877369	0.00786280710422885	0.00523709740877645	0.011857492745394	0.0132626541198577	0.00786601772605383	0.00723787466675478	0.00571263620611752	0.00261619910892726	0.0104380717269415	0.00722056300809526	0.00288173725595045	0.0213285115196015	0.0073676886732649	0.00368015554187434	0.00467424600066752	0.00528898869687681	0.00090330985043253
OM4_B_B_3	0.00514755380996224	0.00477257499092951	0	0.10989536564493	0.106978057079731	0.00493645365105324	0.00940927319103177	0.00929896230648968	0.0236703230441785	0.0290838008965177	0.0131694070433431	0.00840293933782645	0.00861799879328029	0.0188148963881308	0.0164136988902367	0.00332547524065034	0.00566178914216824	0.00682274592581287	0.0097947254132782	0.0122580638778709	0.0120209278762587	0.0068391858910116	0.00873054570025251	0.0136027911849641	0.016799109242898	0.00793592582063763	0.00955396409250393	0.00830473305952777	0.00790114821103708	0.0196507500486404	0.0160437497444394	0.0304457634540751	0.00567811600783298	0.0120849043217283	0.0112933921445266	0.0114617919017327	0.00168410943606235	0.00297839527329364	0.00458160222084066	0.0067773090934427	0.0201953187932021	0.011157236232423	0.00840670831286287	0.0126629117975167	0.0147662721631915	0.0120871964981363	0.00838279263569862	0.00679657173381167	0.0057045006252642	0.00660754577723369	0.00964153973982129	0.00420984069456688	0.0226186736298845	0.00870903673610261	0.00775866462161042	0.00800731805628016	0.00946890147309429	0.00417707389394941
OM4_C_1A_2	0.113244279292462	0.10830145469234	0.10989536564493	0	0.00825615585918551	0.105265208069989	0.101785293655097	0.101983854489194	0.111739131375168	0.138260124323212	0.0968925268522126	0.114451966623997	0.107492738493808	0.127608564564	0.126166269875765	0.107541117907901	0.106260337063889	0.108801082991419	0.103334849622365	0.100450424052314	0.119715103500542	0.104095569992556	0.118198882409279	0.121919710597451	0.126537709527677	0.105785918191092	0.101121723599834	0.102164052288799	0.108511736654046	0.128809319508112	0.123911637792205	0.139609524454136	0.114060692947961	0.121230953152865	0.120624657628462	0.0987456143849824	0.111148552711748	0.109139808618834	0.109394958213332	0.11351426843492	0.129939709203677	0.100715644314108	0.112189485364826	0.119628533753726	0.120174580911669	0.102114597231207	0.115286496062121	0.103326399373547	0.110662061926306	0.107090202322872	0.10112937907166	0.111119641600239	0.127399398255837	0.101417620652287	0.10497747312908	0.111672752647989	0.110306893782128	0.109102644904844
OM4_C_1A_3	0.110592664487796	0.105710730640922	0.106978057079731	0.00825615585918551	0	0.10223997937239	0.0992369874362964	0.0994436753360843	0.110525333208277	0.13564267585843	0.0941337546638503	0.112018135294817	0.10518092101947	0.125055793308197	0.123146041514763	0.104462501998792	0.103665241891767	0.106370391655943	0.100969035688868	0.0981395809468242	0.117246249513317	0.101454058099907	0.115438433756592	0.119399483651685	0.123674782048934	0.103372826698648	0.0984997110781777	0.0994821268392515	0.106158422352228	0.126177312999304	0.121481286153555	0.136300519544183	0.11140216800856	0.118561671004884	0.117911009437665	0.0960380305321184	0.108307263757022	0.106429745690327	0.106804218908445	0.110990511532678	0.126932567688886	0.0982909928314821	0.109840072188463	0.11724156895187	0.117959192581011	0.0999043194564061	0.112803341053012	0.100542874191859	0.108145170387925	0.103754635786103	0.0985252596676753	0.108484746513826	0.125396550131864	0.0986544328785659	0.102509545666539	0.109305845424807	0.108066432334491	0.106480370739984
OM4_C_1C_2	0.00971451149089399	0.00675918786183387	0.00493645365105324	0.105265208069989	0.10223997937239	0	0.00710144966549789	0.00711115172699095	0.0255845823309632	0.0339882874076571	0.00898292979903234	0.012600274790249	0.0099751929186833	0.0237496619888792	0.0210408515295597	0.00238126712660561	0.00593295762933468	0.0089597443845837	0.00889488885103425	0.0103600268352942	0.0167950675642593	0.00523218404413651	0.0136657236651147	0.0184862641461918	0.0216164472675983	0.00825980271837255	0.00664147189237052	0.00543341029228393	0.00980331114732985	0.0245790568746594	0.0209052311008533	0.0347704951750798	0.0103754345859328	0.0170200216933888	0.0162288469967817	0.00763276914806221	0.00652142526631707	0.00591850817539163	0.00737561380278699	0.0110261305858673	0.0248501557909657	0.00896608189887803	0.0118352252579834	0.017329500913561	0.0192262555647913	0.0110655058406359	0.0128287900730254	0.0037197250280706	0.00899978624153962	0.00460760066800125	0.00682086774849874	0.0081189767746841	0.0272193635374269	0.0051089613031053	0.00746352711473779	0.0113088892777871	0.0120238854787998	0.00684151488027151
OM4_C_1C_3	0.01156482500374	0.00655773307502174	0.00940927319103177	0.101785293655097	0.0992369874362964	0.00710144966549789	0	0.000228695110781416	0.020589419204514	0.0367104275851203	0.00567231025535762	0.012887640535368	0.0066252608172265	0.0259869435417837	0.0252739888447185	0.00900115466894746	0.00452054338711269	0.00727868654272279	0.00287255306575625	0.00326111757548724	0.0181084550064869	0.00258326678999678	0.016682067548229	0.0202751275138544	0.0251875718199286	0.0044514676036698	0.00117731140121412	0.00175477876110618	0.00732381191716027	0.0271893504703302	0.0223798373378542	0.0395406424919024	0.0123894210422404	0.0195859087452896	0.019024149258309	0.00372595019878278	0.0100951686869473	0.00763511715903947	0.00765449820954098	0.0118132598709842	0.0289386264919038	0.00187759504823365	0.0108894725590032	0.0181636355543572	0.01921809719334	0.00435479475464922	0.013639565956816	0.00338366918379614	0.00895179792515795	0.0116755101232243	0.00099100309202148	0.00942113278731255	0.0271629348448939	0.00280818488156743	0.00341179729305191	0.0103191871010533	0.0096286815296425	0.00739125314612854
OM4_C_1D_1	0.0113774519853202	0.00636571235164894	0.00929896230648968	0.101983854489194	0.0994436753360843	0.00711115172699095	0.000228695110781416	0	0.0204061839352372	0.0365112502228092	0.00590100140792741	0.0126728569271993	0.00639666757528006	0.0257843577210274	0.0251125226490373	0.00896904534841592	0.0043358044610757	0.00705745052728141	0.00267390790752006	0.00325244401853933	0.0178989756877259	0.00246141413695242	0.016503282824229	0.0200700185658495	0.025010246589473	0.00422318415647163	0.00138658202266157	0.00183564177377218	0.00709637187357074	0.0269920726602216	0.0221688874007199	0.0393871579786564	0.0122020637695107	0.0193940434637872	0.0188372331995322	0.00395380459270832	0.00995440678716888	0.00747321639969214	0.00746083035884461	0.0116073962830368	0.0287709060721896	0.00191523774770358	0.0106661424320719	0.0179483620290548	0.0189945668130327	0.00423650788273097	0.0134298307245505	0.00340291584703056	0.00874414029584935	0.0116976360801528	0.00120973027605918	0.00923406200982235	0.0269368754120464	0.00295339491902582	0.00318615941416187	0.0100964307568607	0.0094000243623274	0.00720562218069415
OM4_C_1D_2	0.0201044621241005	0.0192278460253909	0.0236703230441785	0.111739131375168	0.110525333208277	0.0255845823309632	0.020589419204514	0.0204061839352372	0	0.03394876102385	0.0253638037351482	0.0172251730533567	0.0156232413500531	0.0251154902064926	0.0301244800422189	0.0260286920670015	0.0196528023471975	0.016977642673915	0.0177497184545994	0.0186263883235529	0.0194783848848677	0.0208480582073265	0.0228664118058365	0.0212410111519423	0.028264921793607	0.0174100170019367	0.0217474673302166	0.0220295935975185	0.0159699750864451	0.0268638500276441	0.0212556772077166	0.0426986191712038	0.0203280651874182	0.0228614658233041	0.0231828535360501	0.0238455140928749	0.0226190061519696	0.0207924039964191	0.0191194710835824	0.0183298204515351	0.0322151868062	0.0197030653143334	0.0157284204753678	0.018356935445325	0.0164395385511213	0.0165981988827701	0.0181042905875378	0.0228885651383082	0.018038030860606	0.0296470590923383	0.0215352640008581	0.0196984216479636	0.01929399298425	0.0233033550745438	0.018365510483215	0.0159476362336959	0.0142092697883612	0.0195781987057109
OM4_C_1E_3	0.0252245217298707	0.0301675346796107	0.0290838008965177	0.138260124323212	0.13564267585843	0.0339882874076571	0.0367104275851203	0.0365112502228092	0.03394876102385	0	0.0417530589018328	0.0240923026831655	0.0312164629138183	0.0107716867800032	0.0141150396603958	0.0319566119128861	0.0322203464380281	0.0297367529104097	0.0352659215560546	0.0382069029301568	0.0187894973127137	0.0344159907602418	0.0204099418966103	0.0165115301446688	0.0126198965040598	0.0327675791499933	0.0373940609849032	0.0363853564016056	0.0301320298932183	0.0095398879494071	0.0147234219723376	0.0125045552421222	0.0244088875945205	0.01720779766926	0.0178851122256595	0.0398402919048155	0.0276332476529236	0.0294072363593764	0.0290681559045299	0.0249388273149716	0.0108619582939227	0.0378264351296749	0.0264927561698176	0.0190598426394396	0.0192163348474124	0.0367282999047217	0.0231945988593968	0.0353378818831751	0.0278049062755075	0.0336357830725305	0.0373791646733592	0.0273504363031979	0.014843206239192	0.0372219023914321	0.033531536234116	0.0269701706747532	0.0286107456736509	0.0293723899761275
