	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2D_1	OM4_C_2D_2	OM4_C_2D_3	OM4_C_2E_1	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_1	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_1	OM4_C_3H_3	OM4_H_4A_1	OM4_H_4A_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_1	OM4_H_4E_2	OM4_H_4E_3
OM4_B_B_1	0	0.0166702960306304	0.0298350685946927	0.0107788329164435	0.00644047623029051	0.0180306873282198	0.00793445164882463	0.00327647277572889	0.0284685854857359	0.0043347860812901	0.0294282216158374	0.0151476257843334	0.0243199640527996	0.0347210467826622	0.0110177939660073	0.00471651785445129	0.0103249910223409	0.0204972812271304	0.017283972309758	0.0270465145974263	0.0119356633104568	0.00514468979959346	0.0198119929988628	0.00907058488209664	0.0157416492011785	0.0318712418154673	0.00648826638336565	0.00164505311817942	0.0177066378335028	0.0126943046935655	0.0208061260795473	0.0320564241963698	0.0126435482825087	0.0191107185455798	0.0306027532852993	0.00159282933167429	0.014592721210236	0.0263228803438669	0.0197474169822421	0.0176007585353851	0.0270170535179879	0.0141335139138529	0.0363018604193061	0.0177026997319791	0.0165417768700199	0.0125928329261063	0.0178504887885515	0.017333670459591	0.0258179373424786	0.0199641993003241	0.00343042898080498	0.00513115970821912	0.0016649359113351	0.0121724680390637	0.00304710521851041	0.0159717687882412	0.0101696992947613	0.00748786906455351	0.0195745071505283	0.0311054810105602	0.0127859751864042	0.0101416781104061	0.0324567852268611	0.0236112051877201	0.0289586222657418	0.0138748181312233	0.0300875480253319	0.0182189893127933	0.0217218562411894	0.0134720230234653	0.00320807623964818	0.00512879397471776	0.0115012571091873
OM4_B_B_2	0.0166702960306304	0	0.0133531307988482	0.0273752061137091	0.0109832764980623	0.00818191990947571	0.0169819180865834	0.0171654280738432	0.0118865944763242	0.0150684717982406	0.013932390908234	0.00152959992261638	0.00806313872637044	0.0193086237451852	0.0148184163899158	0.0145505983205603	0.0123069625695051	0.00408027876660837	0.00085154818600027	0.0122966642062682	0.00863007559930276	0.0214650554272423	0.00492316194193868	0.0110845832977555	0.00885288499961203	0.0152863300826322	0.01927305749832	0.0177189034505843	0.00105779415962011	0.0108743556976042	0.00413700343675978	0.0154563876103727	0.0110173880053157	0.00366703963816135	0.0141521425936945	0.0179359573848088	0.00235918772617733	0.0118299075354812	0.00596061419227983	0.00105077886256993	0.0117520681177	0.00432141193046135	0.0198168151652827	0.00163965002480442	0.0108354135298625	0.0042127021722323	0.00432391085850574	0.00203065257994929	0.0117357963932252	0.00368116649444555	0.0173340103426746	0.01270388633379	0.0163527142289893	0.00716357501663749	0.0141013612571481	0.00119895175000492	0.0141198596962203	0.0224268999668589	0.0039833236863302	0.0146867680550034	0.0292052326552397	0.00660248718300761	0.0158262787415605	0.0106821547259216	0.0122949491677058	0.00899831164896971	0.0135201549733583	0.0111559392503105	0.00691930498471886	0.00453746623920496	0.0197072720267686	0.0126991628106143	0.00517612510104909
OM4_B_B_3	0.0298350685946927	0.0133531307988482	0	0.0405983395342386	0.0237340619554992	0.0145713043492061	0.028522868740286	0.0298694776965199	0.00169000096121843	0.0276122398746371	0.00457171218596477	0.0148158460208186	0.00556523663403092	0.00772347033528051	0.0251909363318326	0.0270523036833515	0.0231679981758228	0.0093578063148887	0.0126397552433378	0.00664038352036879	0.0195384608853596	0.0347492312891061	0.010373553264778	0.0241489463953651	0.0171060223155637	0.00225251685481991	0.0314079745708096	0.0309831813637516	0.0122955656895437	0.0207606748625381	0.00934607324519676	0.00251033185469983	0.0209079170758127	0.0108049791171438	0.000822714560874107	0.0309868899366963	0.0152567053900195	0.00729155865296838	0.0110216585652402	0.012582906888712	0.0054344976075105	0.0159263610302597	0.00647674152460162	0.0121494484512613	0.0181735620817925	0.0172531363560458	0.0124289797840939	0.0134012064730975	0.00816523470795619	0.00987647074080841	0.0300147075817097	0.0260551109677241	0.0293208766931203	0.0185294806423676	0.0270781742932921	0.0138936532837677	0.0248740007806571	0.0348479610170075	0.0119061934697903	0.00139261429403963	0.0420311400932292	0.0197008257993556	0.00311723525809646	0.0103497765358166	0.00269182166880034	0.0185695713200406	0.000827733717977566	0.0171127855410367	0.00896485907593201	0.0165298530849875	0.032743448162665	0.0254021363697838	0.0183977541185197
OM4_C_1A_1	0.0107788329164435	0.0273752061137091	0.0405983395342386	0	0.0171025165544776	0.0284587977157898	0.0154060435425378	0.0115517410725327	0.0392148891613132	0.0138403099571479	0.0401577193554884	0.0258637290901916	0.0350927696393109	0.0454147909030039	0.0195694189500473	0.0143997096367614	0.0198976616536731	0.0312548205784556	0.0280178504747271	0.0377170548439288	0.0223279042195819	0.00599310767831351	0.0305748630971682	0.0182303416719398	0.0260021775206781	0.0426173705520383	0.0120556395358157	0.00966499669214423	0.0284212794187879	0.0225548520046199	0.0315068555281746	0.0427980167881669	0.0224688335692456	0.0298866003640608	0.0413691053982538	0.00977272082066664	0.0253516652204985	0.0369735201340586	0.0304604382543091	0.0282730712431276	0.0377398644445197	0.0248908056939197	0.0470653031464394	0.0284607558098719	0.0264527035219797	0.0233538897429939	0.0285972645451799	0.027884157950067	0.036427758142808	0.0307282025200293	0.0114834914436887	0.0149965692334943	0.0115136478634667	0.0227771367715774	0.0136651946775792	0.0267234162380004	0.0190571331417646	0.00903289352138307	0.0300402658907038	0.0418741007445951	0.00517583243280311	0.0209057489688671	0.0431855411872135	0.0341285268971046	0.0396595806993595	0.0241134920394888	0.0408377403927184	0.0281636138667348	0.0324604229345737	0.0242357003111693	0.00812062413027886	0.0155829807379029	0.0222324258319231
OM4_C_1A_2	0.00644047623029051	0.0109832764980623	0.0237340619554992	0.0171025165544776	0	0.011623928264443	0.00691147958135839	0.00619862238416651	0.0224557414301506	0.00410520425156663	0.0230642445038494	0.00946984502417767	0.0181764061068419	0.028324587364997	0.00719498574744319	0.00361810797545697	0.00526332243244869	0.0145029126976457	0.0114607465834796	0.0206319272036059	0.00561055907088702	0.0115832959637167	0.013524138157617	0.0081425080509457	0.00944360872473179	0.0258392271164017	0.0084422250084966	0.00790444906162266	0.0119524178975182	0.00689508974855323	0.0150347304501475	0.0260404397369486	0.00688990365907719	0.0129343516396752	0.0244776104995203	0.00734097340271408	0.00870637210959693	0.0198991472357923	0.013360972136883	0.0119982516235541	0.0206437606642192	0.00784251783087922	0.0301676184762766	0.0117472504100585	0.0104946164451449	0.00677087552213205	0.0115178201379073	0.0120882299420475	0.0193830375256787	0.0139373802354472	0.0063613427994524	0.00552153726267829	0.00562399150261227	0.00573238505915345	0.00344060805267622	0.0100920564229803	0.00616481814210751	0.0114521899150082	0.0144323202615092	0.0249596926863223	0.0183326146512612	0.00447604354686372	0.026482150602065	0.0171742368424173	0.0230894523648291	0.00763038000247427	0.0240489706356598	0.0121015967845687	0.0153703032862075	0.00721359727134926	0.00906313741904852	0.00171607227836891	0.00596714143986753
OM4_C_1A_3	0.0180306873282198	0.00818191990947571	0.0145713043492061	0.0284587977157898	0.011623928264443	0	0.0145103382814064	0.0169783189641509	0.0138491536734796	0.0146543768981756	0.0124386014434028	0.00807809015999295	0.0095244361133442	0.0173169233039296	0.0107865695772822	0.0140861371032132	0.00910619368050632	0.00790483642333457	0.00765339607525428	0.00966567891348835	0.00613530703363351	0.0231702297454309	0.00522692891454532	0.016439410512195	0.00266266302920462	0.0168232446287497	0.0177203117740764	0.0195266568731838	0.0081077669908912	0.00645802594665235	0.00937977392646631	0.0170794787144231	0.00659228438278885	0.00594377592680596	0.0151350964778783	0.0187373177605051	0.00727722102894858	0.00884939045394447	0.00392589677015308	0.00879324561358452	0.0100735005790848	0.00547298840114891	0.0204603858911316	0.00702772191523157	0.00367668381872077	0.00805246487922261	0.00408444058921765	0.0101788619197747	0.00816393507551202	0.00741547171479171	0.0170753327174207	0.0161164033890704	0.0169913780093758	0.00596515506089198	0.0149878839015679	0.00720851790890001	0.0106297210692864	0.0213143899398695	0.0115776930848013	0.0154805109697116	0.0288385938349487	0.00950252291395668	0.017664776727393	0.00570604925296679	0.015052987073238	0.0044490392026714	0.0151541133230146	0.00318059472986362	0.00571016827126855	0.00603612655433211	0.0203404700671459	0.0129465717503156	0.00917036273107249
OM4_C_1C_1	0.00793445164882463	0.0169819180865834	0.028522868740286	0.0154060435425378	0.00691147958135839	0.0145103382814064	0	0.00483484268010764	0.0274785110005471	0.00401174541478869	0.0269191175274012	0.0155761249807805	0.0230381844774623	0.0318051458441008	0.00423384687608796	0.00402424863187075	0.00541971408338283	0.0198595103490073	0.0172619979938695	0.0241737075848752	0.00899875890143304	0.0117055239140296	0.0181813051713229	0.0145010145658573	0.011852639756983	0.030737263899657	0.00344899551372715	0.00944028268376081	0.0178147960756501	0.00806449756244539	0.0207225460684561	0.030968749459863	0.00793737435665559	0.0179803314409352	0.029186215663131	0.00733464182398863	0.0146236711136104	0.0233578289989088	0.0175407308248888	0.0180321643930916	0.0245243757469354	0.0130239125468891	0.0347296191832435	0.0173313564397574	0.0117020660987788	0.0129513492120769	0.0161429381062307	0.0184277924758566	0.0226573560182836	0.0192616079854579	0.00475673358075076	0.0109414930513144	0.00627137033095564	0.0101535791369931	0.00636413120359785	0.0159075457855073	0.00396661450643533	0.00702080394050267	0.0207602604632636	0.0296013689378322	0.0146245007845679	0.0110499815881438	0.0314866489724827	0.0201311889402205	0.0283654905248123	0.0101118379157625	0.0289748788916265	0.0133682976144572	0.019627859946731	0.0125817762181583	0.00807843114689645	0.00565609869064444	0.0124779016019353
OM4_C_1C_2	0.00327647277572889	0.0171654280738432	0.0298694776965199	0.0115517410725327	0.00619862238416651	0.0169783189641509	0.00483484268010764	0	0.0286229086366813	0.00232968420393937	0.028962053236389	0.015644936695019	0.0243069349540068	0.0341222902740097	0.00843815806887092	0.00290196630807077	0.00837544487318919	0.0206881551814035	0.0176571396749686	0.0264053316292106	0.0108780185647123	0.0070228642393731	0.0195796589488916	0.0115051531938132	0.0144747560686669	0.0319957455974418	0.0033230268872391	0.00465009203698707	0.0181446045945396	0.0110082976236751	0.0212307205463121	0.0322013760911415	0.0109251348941965	0.0190698202456927	0.0306006985474801	0.0025032901819408	0.0149032401834931	0.0256353656889555	0.0192758426207167	0.0181700392414154	0.0265345597171597	0.0139474053402426	0.0362751892255283	0.0179419181019234	0.0149105525874676	0.0129555960328992	0.017540796734694	0.0181710796848535	0.0250428059456529	0.0201179291399406	0.000203014483155436	0.00755550859249119	0.00175293640955843	0.0115065921983643	0.00333674463522724	0.0162896705534325	0.00774493994234744	0.00537819566538416	0.0204972695814874	0.0310713763263745	0.0121706501931448	0.0105945234861448	0.0326530009961767	0.022675136957999	0.0292802409168554	0.0125887823096433	0.0302062981314345	0.016621181314769	0.0213340124682442	0.0133479921143285	0.00355005562142814	0.00449149387549399	0.0120730980339926
OM4_C_1C_3	0.0284685854857359	0.0118865944763242	0.00169000096121843	0.0392148891613132	0.0224557414301506	0.0138491536734796	0.0274785110005471	0.0286229086366813	0	0.0263910434893151	0.00551550881494368	0.0133751646279276	0.00445155543816368	0.00931893083586083	0.0242879638454062	0.025836886429184	0.0221750714185366	0.007978409935603	0.0112079757432962	0.00697298539056865	0.0184835932017069	0.0333344707231965	0.00930607684927753	0.022567805787146	0.0162923363080916	0.00340546433238404	0.0302778373301545	0.0295778227616875	0.0108303337599797	0.0198550122377197	0.00781382222893305	0.00359131303897213	0.0200045790109006	0.00958393749939825	0.00249679210736346	0.0296574206822287	0.0138795393647876	0.00748212138314313	0.0101230474736477	0.0110712702277179	0.00566934825700735	0.0147057824853745	0.00795740778336107	0.010770635847286	0.0175052959092215	0.015879439834417	0.011339534703	0.0118187672995338	0.00829429129655838	0.00852750613444665	0.0287735599771376	0.0245749434089972	0.0280111905621725	0.0173992687304031	0.0257614533512644	0.0125004094844294	0.0239152879221704	0.0336734613111834	0.0102524771232363	0.00307009160739924	0.0407759408277054	0.0183305183192214	0.00403644898946444	0.0101824807598652	0.00158546099126564	0.0176511976773586	0.00163564609562057	0.0165710188945565	0.00814781948301115	0.0152834519133449	0.0314205651339437	0.0241406978384963	0.0169911825006644
OM4_C_1D_2	0.0043347860812901	0.0150684717982406	0.0276122398746371	0.0138403099571479	0.00410520425156663	0.0146543768981756	0.00401174541478869	0.00232968420393937	0.0263910434893151	0	0.026642561485019	0.0135623760563824	0.0220495249083541	0.0317953511580903	0.00668338605464879	0.000572854074340778	0.00620239446720989	0.0184842097842434	0.0155180841007858	0.0240779969976585	0.00854880556600154	0.00899405963295409	0.0172956019838073	0.0106793563522671	0.0121657474731247	0.0297531427462566	0.00441192528713992	0.00596621874060449	0.0160221309455049	0.00876593639173017	0.0190873601355225	0.0299626419890162	0.00869137187245282	0.0168205604472085	0.0283361471673741	0.00434550099195027	0.0127674316528975	0.0233069985750725	0.0169631839716156	0.0160902876229687	0.0242150027896512	0.0116934503694815	0.0340017404835597	0.0157630214541294	0.0126701717729968	0.0108599306963708	0.0152505695641789	0.0161909897593829	0.0227136880962064	0.017907219496975	0.00244308863653241	0.00697651371303587	0.00276024309179341	0.0091934623630014	0.00236158999245558	0.0141440082453912	0.00585032203478634	0.00736134675182712	0.0185334482706577	0.0288009301299686	0.0144480890067047	0.00857892934807001	0.0304244128931762	0.0203489012109413	0.0270856746229178	0.0102775452197599	0.0279647788572762	0.0143772290501614	0.0190269443721007	0.0111113674998185	0.00575477862041432	0.00240896664308279	0.0100698225775435
