	OM4_B_B_1	OM4_B_B_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1G_1	OM4_C_1G_3	OM4_C_1H_1	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2F_1	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3B_1	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3E_1	OM4_C_3F_3	OM4_H_4A_1	OM4_H_4A_2	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4E_1	OM4_H_4F_1
OM4_B_B_1	0	0.0227797951611129	0.0147390213371162	0.0141406124222367	0.00721773595591392	0.0297925117885176	0.00701487886789197	0.0163582358906998	0.00834044082046318	0.00601346147033694	0.00694383327543533	0.0116789503468234	0.0100537126230057	0.0140500875784627	0.0101162125173536	0.0108302142206675	0.0114735090717227	0.00188568283885511	0.0347100794329696	0.0106027788683236	0.00991938239879508	0.0300861908489726	0.0281875692229341	0.0303634783467542	0.0268760732038099	0.0327266785964216	0.00785050672603965	0.0137041840938322
OM4_B_B_3	0.0227797951611129	0	0.00804171216815895	0.00864014991234289	0.0155629477670959	0.00701437440416295	0.0157657911202321	0.00642239115218877	0.0311181854394009	0.0167671311854113	0.0158368317486273	0.0111018709270855	0.0127270949923517	0.00873067862325798	0.0126645963959486	0.0119506051346015	0.0113073127835427	0.0208944238400401	0.0119335727756788	0.0121780380362353	0.0128614222178119	0.00730813999820363	0.00540898325921786	0.00758551046402707	0.00409715118928645	0.00994946767527347	0.0149302156612825	0.00907659568884745
OM4_C_1D_1	0.0147390213371162	0.00804171216815895	0	0.00059845222234888	0.00752156304114029	0.0150557900794685	0.00772441959906835	0.00161935014649431	0.0230784785912627	0.00872582821284503	0.00779546490636076	0.00306025385403418	0.00468554970006794	0.00068898329786891	0.00462304807058755	0.00390902370683799	0.00326570396955109	0.0128534624142508	0.0199746150755184	0.00413646684382173	0.00481988351835915	0.0153495372115994	0.0134504912326624	0.0156268897991718	0.012138723803946	0.0179906770196162	0.00688879122022421	0.00103490982094638
OM4_C_1D_2	0.0141406124222367	0.00864014991234289	0.00059845222234888	0	0.0069231216471121	0.0156541931356903	0.00712597882265527	0.0022178016211695	0.0224801340965166	0.00812739073569296	0.00719702435030445	0.00246180319912904	0.00408710146127446	9.05310891556891e-05	0.00402459971859238	0.00331057417667587	0.0026672535594143	0.0122550429290161	0.020572981499042	0.003538017665943	0.00422143552836959	0.0159479383654417	0.0140489040459615	0.0162252891235735	0.0127371437883445	0.0185890594417701	0.00629034800942914	0.000436457692624755
OM4_C_1F_1	0.00721773595591392	0.0155629477670959	0.00752156304114029	0.0069231216471121	0	0.022576462914849	0.000202860650259402	0.00914087449132491	0.0155578521553432	0.0012042926130527	0.000273907441348412	0.00446134485972401	0.00283604805565155	0.00683259204651131	0.00289854997713538	0.00361257622849869	0.00425589538527411	0.00533207827949653	0.0274947386655189	0.00338513277935668	0.00270171354070563	0.0228701808299235	0.0209713157064039	0.0231475054136764	0.0196596621156711	0.0255110375053852	0.000632783206103324	0.00648667076437843
OM4_C_1F_2	0.0297925117885176	0.00701437440416295	0.0150557900794685	0.0156541931356903	0.022576462914849	0	0.0227792872789024	0.013436554167926	0.0381296649538783	0.0237805306740228	0.0228503212095703	0.0181157531008084	0.0197408546664361	0.0157447164471284	0.0196783610184967	0.0189644249399168	0.0183211801823157	0.0279073734727413	0.00491934274753598	0.0191918405330788	0.0198751711919033	0.000293770868424399	0.00160541246885805	0.000571146703893378	0.00291725255719588	0.00293516505818942	0.0219437887569319	0.0160906125129299
OM4_C_1G_1	0.00701487886789197	0.0157657911202321	0.00772441959906835	0.00712597882265527	0.000202860650259402	0.0227792872789024	0	0.00934372912467552	0.0153550083057401	0.00100143204768541	7.10467915561549e-05	0.00466420404471232	0.00303890809910467	0.00703544931108575	0.00310140999447195	0.00381543590825073	0.00445875469933808	0.00512921955366181	0.0276975455465041	0.00358799257443385	0.00290457363846039	0.023073004246474	0.0211741450320587	0.0233503279243513	0.0198624952242047	0.0257138518519857	0.000835643819164265	0.0066895283585052
OM4_C_1G_3	0.0163582358906998	0.00642239115218877	0.00161935014649431	0.0022178016211695	0.00914087449132491	0.013436554167926	0.00934372912467552	0	0.0246975084299577	0.0103451275603237	0.00941477374700035	0.00467959593602426	0.00630488321393914	0.00230833254845341	0.00624238196886292	0.00552836168501933	0.00488504513251392	0.0144727079236532	0.0183554721515557	0.00575580358461877	0.00643921619110102	0.0137303060811071	0.0118312309232177	0.0140076632728031	0.0105194457278888	0.0163714932795854	0.00850810837670474	0.00265425842011499
OM4_C_1H_1	0.00834044082046318	0.0311181854394009	0.0230784785912627	0.0224801340965166	0.0155578521553432	0.0381296649538783	0.0153550083057401	0.0246975084299577	0	0.014353652772497	0.0152839672934197	0.0200187152103926	0.0183936188165326	0.022389618817312	0.0184561135585781	0.01917005479738	0.0198132926446103	0.0102260679191332	0.0430461942519268	0.0189426390254275	0.0182592995895643	0.0384232859626812	0.0365250307639562	0.0387005181877137	0.0352137756040025	0.0410632291848213	0.0161905801015227	0.0220437514425502
OM4_C_1H_2	0.00601346147033694	0.0167671311854113	0.00872582821284503	0.00812739073569296	0.0012042926130527	0.0237805306740228	0.00100143204768541	0.0103451275603237	0.014353652772497	0	0.000930385277994675	0.00566562690737028	0.00404033587967084	0.0080368617015044	0.00410283761990462	0.0048168615684049	0.00546017828511071	0.00412779485982822	0.0286987005838168	0.00458941889907958	0.00390600174332067	0.0240742428415929	0.0221754135904993	0.0243515619318487	0.0208637830047543	0.0267150445709445	0.00183707533337804	0.0076909425204692
OM4_C_1H_3	0.00694383327543533	0.0158368317486273	0.00779546490636076	0.00719702435030445	0.000273907441348412	0.0228503212095703	7.10467915561549e-05	0.00941477374700035	0.0152839672934197	0.000930385277994675	0	0.00473525029272785	0.00310995465875832	0.00710649487051892	0.00317245654456507	0.00388648233526138	0.00452980099393167	0.00505817340030509	0.0277685733210617	0.00365903904338294	0.00297562021804663	0.0231440378433228	0.0212451807112173	0.0234213612020785	0.0199335322370604	0.0257848822545386	0.000906690593167844	0.00676057403568993
