	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1C_1	OM4_C_1C_2	OM4_C_1C_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1F_1	OM4_C_1F_2	OM4_C_1F_3	OM4_C_1G_1	OM4_C_1G_2	OM4_C_1G_3	OM4_C_1H_2	OM4_C_1H_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_1	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2D_1	OM4_C_2D_3	OM4_C_2E_2	OM4_C_2E_3	OM4_C_2F_1	OM4_C_2F_2	OM4_C_2F_3	OM4_C_2G_1	OM4_C_2G_2	OM4_C_2G_3	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3B_1	OM4_C_3B_2	OM4_C_3B_3	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_2	OM4_C_3F_3	OM4_C_3G_2	OM4_C_3G_3	OM4_C_3H_2	OM4_C_3H_3	OM4_H_4B_1	OM4_H_4B_2	OM4_H_4B_3	OM4_H_4E_3	OM4_H_4F_2	OM4_H_4F_3
OM4_B_B_3	0	0.0606345458649905	0.0758846610416031	0.054986089733605	0.0831413543261525	0.0785686050213239	0.0550758122204953	0.055513725097715	0.0851322621366293	0.070709843789921	0.0627012890854453	0.049863547151991	0.0785526567208851	0.0785538424931482	0.0660860114810822	0.0387081052716667	0.058880631464172	0.0311508499901105	0.079545818549773	0.0609308636981307	0.0705144010144041	0.0739675811033498	0.0547484367804718	0.0653359642062116	0.0775973007702507	0.0636292796881986	0.0681289712981878	0.0744455869365471	0.046677036418742	0.0698832281809056	0.0608367507336341	0.0807525044603867	0.0648771369378145	0.0409941555338996	0.0625318652382546	0.0633518619387215	0.0671045943032371	0.0650731948721267	0.0603538400819405	0.0651800553804367	0.0532376895310049	0.0536953141735269	0.0641834419006158	0.0607239428005395	0.0742629020017612	0.0592211197078112	0.0734304535014283	0.0717430735590167	0.0638528067796762	0.0703480672417544	0.0639266686424985	0.072046191142787	0.0696605179137174	0.0736604243398452	0.0637141353274571	0.0561808324321607	0.0519794504306854	0.0516271205322814	0.0755602460278902	0.0619211530322326	0.0649298059708025
OM4_C_1A_1	0.0606345458649905	0	0.0261282826356298	0.0185598684441479	0.0379000057922841	0.0310599276356315	0.00691540298627216	0.00631983270711731	0.0372570164261331	0.0198771521842503	0.0161754240686651	0.0267595664974511	0.0249318470578156	0.0320187744252781	0.0113187212555357	0.023121214703214	0.00922100885676976	0.033645978780514	0.0299670278278206	0.00927275211111248	0.0186158105990277	0.0213951639629748	0.0153957526543648	0.0526104716160016	0.0231560216128473	0.00726426054462671	0.0177481232713973	0.0260995008188047	0.0162773567511177	0.00989336794589221	0.000452633820344309	0.021785470801246	0.00474004593775423	0.0302822332881354	0.00660851190614387	0.00328495993769505	0.0122297207524871	0.00796661001426985	0.0160164713835415	0.0138945673806368	0.0174680170736054	0.020392397587686	0.0039600193580748	0.0161301677731779	0.0154684867049037	0.0138996595884204	0.0147926010604881	0.0414974898885426	0.00569192517488059	0.0176332373968507	0.00388923828000529	0.021587129777012	0.0173714799813539	0.0254296942386672	0.00528383009473532	0.0209076830086002	0.018332643443205	0.0187155912236076	0.0221854632351581	0.00285441395251951	0.00751824592114015
OM4_C_1A_2	0.0758846610416031	0.0261282826356298	0	0.0446784220242205	0.0119020872358839	0.00505369342407779	0.026070997464664	0.0260507320625066	0.0112325111760357	0.00641324023299175	0.0137059072183286	0.0273651153604036	0.00551312202028178	0.00622476155833893	0.0148243462878143	0.0447937027979887	0.0352191281804421	0.0448815705248391	0.00405326986749475	0.0185563852985211	0.00753258768053889	0.00513358471953368	0.0415025697836015	0.0393559241169676	0.00666786419325282	0.0314822981965608	0.00899276495303813	0.00193452722561167	0.0403264214692827	0.0198474580695253	0.0256757858271682	0.0160559274844347	0.0224916162123733	0.035960412484745	0.0197322274942973	0.0233033829296762	0.0139034782239112	0.0311708593067538	0.0416622473241843	0.0379034434992556	0.0435203245483235	0.0222845622396662	0.0230768752733887	0.0417026832471895	0.0154774192503857	0.0397546073488381	0.0153337807182957	0.0225961227172624	0.0294925288085148	0.00849877170587795	0.0268576251192775	0.00467098182896235	0.00878183803477893	0.00247341319621662	0.0291273755540792	0.019899500477064	0.0240014512199901	0.024333710050496	0.00538892360638169	0.0232748760323573	0.0186643367754747
OM4_C_1A_3	0.054986089733605	0.0185598684441479	0.0446784220242205	0	0.0564235474584215	0.0495984574080796	0.0206979982259997	0.0203881634277136	0.0557853420349913	0.0384120000487721	0.0338120330013135	0.0390092887933863	0.0432450947076118	0.0505370790313405	0.0298713231911391	0.0178297713222606	0.00967200778070787	0.0365229274629345	0.0485023430543247	0.0270525398381973	0.0371673155495871	0.0399126904003169	0.00329319213731876	0.0667856843251115	0.0414029814355289	0.0146793749425567	0.0361990073370135	0.0446200901738012	0.0112725353157384	0.0267742036444311	0.0190124302791038	0.0381759215559755	0.0225491056686472	0.0384532565408578	0.0250501321177938	0.0214965964148472	0.0307854936069034	0.0157361279031519	0.00589047437466088	0.011777259771336	0.00231516416683571	0.0344622793421241	0.0218613862598104	0.00620870648881068	0.032682842765468	0.00606813647745275	0.0321925269763129	0.0583953863148171	0.016336053739228	0.03618744775873	0.0185158924327584	0.0401294021063669	0.0359221869118718	0.0439350153830245	0.0165656309596366	0.0359925663249128	0.0315414423714289	0.0317444649436273	0.0406197533707102	0.0214136067965336	0.0260496121686731
OM4_C_1C_1	0.0831413543261525	0.0379000057922841	0.0119020872358839	0.0564235474584215	0	0.00686636885313436	0.0371792830868162	0.0372386626611292	0.00389798001503115	0.0180303736620377	0.023931025889302	0.0333614970205796	0.0153212591830533	0.00590666982071463	0.0265893437529489	0.0551451406908935	0.0470430202363944	0.0521405870909678	0.00863620104935039	0.0298232096155103	0.0193077266162634	0.016975707232385	0.0532175354131139	0.0359416202146677	0.0171717702912341	0.0433767854229192	0.0203135027657496	0.0118216183546975	0.0514114797170178	0.0316480802558055	0.037448375855844	0.0257610422210059	0.0343798969295595	0.0422628787941192	0.0314032155220016	0.0351558704317521	0.0257206184997395	0.0430580642905404	0.053536858063028	0.0497789547933165	0.0551833199178751	0.0301796643673103	0.0349540884203568	0.0535816684106078	0.0268663351471832	0.0516078044870457	0.0268565757766382	0.0181943509274331	0.0413874942355417	0.0203386034873811	0.038750100287552	0.0163209398804398	0.0205444827907811	0.0125297037827806	0.0410216241522779	0.0275754171133843	0.0326193236376619	0.0328489581824227	0.0168272656852645	0.0350501389864648	0.030497399524824
OM4_C_1C_2	0.0785686050213239	0.0310599276356315	0.00505369342407779	0.0495984574080796	0.00686636885313436	0	0.0305914188532263	0.0306178677283307	0.00685742873839567	0.011201979368841	0.0176232696089411	0.0291918154385225	0.00925287312950283	0.00136723865275519	0.0197444158044603	0.0489367404695124	0.0401912806650776	0.0474752541374556	0.0028087463975186	0.0231518441865472	0.0124523149317792	0.0101692710264048	0.0464020109523901	0.0371836970915575	0.0109183659467337	0.0365234521857386	0.0135764334816118	0.00506483173799535	0.044857365456499	0.0248803908435255	0.0306078480551532	0.0200687917460891	0.0275174606541581	0.0380335901495964	0.0245903556389176	0.0282951298938914	0.0188632413020681	0.036220839404955	0.0466784021087281	0.0429532970760665	0.0483876745917993	0.0250073738924989	0.0280908612785145	0.0467235391513926	0.0203279137120962	0.0447508223847324	0.0202463378309502	0.0197072386983749	0.0345323349103541	0.0134749193590565	0.0318904294214563	0.00947761763394173	0.0136932266255114	0.00583025869542432	0.034164701705842	0.0224644050317463	0.0271313583293021	0.0274125517275822	0.0101933564171383	0.028207755865598	0.023638888307776
OM4_C_1C_3	0.0550758122204953	0.00691540298627216	0.026070997464664	0.0206979982259997	0.0371792830868162	0.0305914188532263	0	0.000597631648537216	0.0372537520611798	0.0196803998108746	0.0135098319973477	0.0203790190985805	0.0263358561188629	0.0313134957578235	0.0121815063067739	0.019295309811073	0.0132143308829152	0.0270137625099551	0.0301104929608292	0.00753202425269688	0.0187640069824744	0.0221061952554343	0.0174186016163794	0.0471729591096227	0.0248328359077695	0.0135497252408179	0.0170891958704658	0.0255331436399627	0.0142773482382972	0.0148737787417812	0.00686693331145556	0.0259184892688601	0.0100701859591973	0.0233816005974114	0.00769777242385281	0.00864105121417109	0.0132769124256009	0.0145381217396722	0.0200201096794159	0.0195554443328625	0.0189646228313502	0.01452101865178	0.00947412831200313	0.020238732908512	0.0193702631897789	0.0176914492627803	0.0185600732195602	0.0377225789527374	0.0123502764620554	0.018069746312836	0.0108037517033652	0.021408957169742	0.0175697743574869	0.0247636166616598	0.0119814719109565	0.0156070783936309	0.0120340275776067	0.0123665097889958	0.0233145522426754	0.0070680874356252	0.0100040034504805
OM4_C_1D_1	0.055513725097715	0.00631983270711731	0.0260507320625066	0.0203881634277136	0.0372386626611292	0.0306178677283307	0.000597631648537216	0	0.0372506707559084	0.0196486232179523	0.0136685845528376	0.0209357268719467	0.0261909906611213	0.0313621561298874	0.0119972492509326	0.0195161533747163	0.0127402607616984	0.0275651986269553	0.0300825674452782	0.0074959953128362	0.0186972194711139	0.0220063254937406	0.0171019651035782	0.0476569020152329	0.0246608068254216	0.0129682498922497	0.017084023655227	0.0255560490088439	0.0142827904649592	0.0144090621099614	0.00627613340294734	0.0255501833652758	0.00955197240888446	0.0239790740443307	0.00739834677569477	0.00810512058637917	0.0130904878424882	0.0139477341038253	0.0195767954260005	0.0190119130281026	0.0186961752997856	0.0150204228957173	0.00894112223161255	0.0197892553351989	0.019001798083756	0.0172536224363591	0.0181984499910229	0.0380542263660449	0.0117560707039883	0.0179739995278115	0.0102086045717861	0.0213833675025273	0.0174916397410119	0.0247930695469565	0.0113861885048541	0.016049378361935	0.0125742088241565	0.0129126888095894	0.0231836099142741	0.00654676778101648	0.00965794232007046
OM4_C_1D_2	0.0851322621366293	0.0372570164261331	0.0112325111760357	0.0557853420349913	0.00389798001503115	0.00685742873839567	0.0372537520611798	0.0372506707559084	0	0.0176424834787474	0.0244551283183203	0.0355319377400034	0.01329779678152	0.00661723913346364	0.02599979068533	0.0557505799941793	0.0462579630785375	0.0540594725456829	0.00729379004825741	0.029760966330556	0.0187420153559688	0.0159005982436872	0.0526390067144981	0.0397663626323097	0.0152275518791276	0.042258979429521	0.0201729273092913	0.0117896959191743	0.051515481680856	0.0302003785748782	0.0368051578432584	0.0231131722753896	0.0334185377120019	0.0444254964545067	0.0309353562616145	0.0343375017225671	0.025041604550842	0.0418184777059406	0.052547607063235	0.0484605117624821	0.054683533256389	0.0317235176014006	0.0340475641779793	0.0525657994870799	0.0250222319656492	0.0507193393647697	0.025125913059935	0.0219922682197972	0.0402928917573024	0.019655248351672	0.0377223739497793	0.0158981879670093	0.0199891148754773	0.0125887772578613	0.0399492437705958	0.0291537071378853	0.0339318513618419	0.0342024915545572	0.0153760982293074	0.0344097238217266	0.0297553940792306
OM4_C_1D_3	0.070709843789921	0.0198771521842503	0.00641324023299175	0.0384120000487721	0.0180303736620377	0.011201979368841	0.0196803998108746	0.0196486232179523	0.0176424834787474	0	0.00802575243605609	0.0236399889559609	0.0079053526879736	0.0121463512845932	0.00856871882670337	0.0385433607727849	0.0290424990770946	0.0399475525415733	0.010436731811165	0.0121552824825637	0.00146482574614807	0.00338027985808148	0.0352094135006735	0.0403114944548104	0.00731272904679737	0.0256003504033541	0.00270482246256219	0.00622931895668153	0.0339267898680844	0.0146876699542416	0.0194255375213799	0.0148311337050758	0.0165301277638227	0.0317111588132295	0.0133903653716325	0.0171929030081658	0.00774559322634679	0.0254251727131608	0.0356183662005694	0.0321877583976001	0.0371957948576564	0.0176659021330901	0.0170514794687238	0.0356797453217575	0.0116980846624686	0.0336400262787262	0.0112509482172635	0.0250787342250459	0.0236025851025668	0.00260921134945944	0.0209211737710685	0.00174515833957388	0.00257838199835277	0.00559322553326335	0.0232173916734579	0.0156113175532405	0.0188317733356227	0.0192127807912957	0.00506853101650394	0.0170274631268783	0.0125182226478438
